id,uid,title,score,date,content
160051791,坏熊,,5,2019-08-01 23:12,新加坡的牛车水有些类似于上海的城隍庙，小商品，吃喝玩一条龙。说到吃，很多饭店都是国内过去的人开的，所以菜品的口感上并无太大的差别。
160022265,_WeCh****28713,,5,2019-07-31 09:55,就没有用，牛车水原貌官有免费的电子讲解。白花钱买了
160005840,Boye1,,4,2019-07-30 12:38,当地的唐人街，吃饭的小店很多，美食街天天海南鸡饭很出名，每天都排队，地铁过来比较方便，牛车水门口还有林志远肉干，所以购物很方便。
159944894,Ivan,,5,2019-07-27 06:44,牛车水不仅仅是当地新加坡人最早的记忆地方，也是中国新移民最喜欢的地方，这里最吸引人的不是风景，也不是购物，而是来自中国各地的美食，川菜，粤菜，东北菜，湘味，都可以在这里找到。
159838829,_CFT01****3573639,,1,2019-07-20 20:36,不值得去，脏乱破，丑化华人形象，很失望
159793515,Tomozi,,3,2019-07-18 11:25,這個地方也叫中國城&#x0A;&#x0A;China&#x20;town&#x0A;&#x0A;nice&#x20;view&#x20;and&#x20;wonderful&#x20;day&#x20;start&#x20;from&#x20;morning.&#x20;&#x0A;&#x0A;we&amp;#39;&amp;#39;re&#x20;come&#x20;back&#x20;again&#x20;with&#x20;my&#x20;friends.
159783169,紅氿,,4,2019-07-17 16:00,新加坡唐人街的意思，冲着麦士威熟食中心把酒店就定在牛车水，新加坡本身就不大，这里离克拉码头也很近，早晨可以喝喝南洋老咖啡然后逛两个景点，中午去熟食中心吃各种网红小店，还顺便可以买林志源的猪肉脯。
159783043,bobosheng77,,5,2019-07-17 15:33,华人的聚集地方，很多店铺，美食摊。
159771257,满天星宝宝,,4,2019-07-16 18:57,没有那种惊艳的感觉，但吃饭逛街还是可以应付的。如果想去拜个佛，牛车水也是个不二佳地。
159770974,随风而去蒲公英,,4,2019-07-16 18:55,在中国城附近，有许多的小商品店和饭馆，类似于中国商业街，因为我们去的时候临近中秋节，到处都挂完了灯笼，感觉回到了90年代的中国。
159771536,蒲公英宝贝,,4,2019-07-16 18:52,这里有新加坡最著名的寺庙，也有很多餐饮购物点，家庭便药有活络油及千里追风油最出名
159770018,望天树宝贝,,4,2019-07-16 18:51,牛车水名字的由来是当时没有自来水，牛车运水情景在唐人街非常普遍，便称唐人街为牛车水。如今的牛车水是现代购物中心、
159771828,企鹅宝贝2017,,4,2019-07-16 18:48,年味最浓的就是牛车水了，就像是过去的&#x20;香港&#x20;缩影，可惜晚上游客太多了，还有好多&#x20;印度&#x20;人
159771158,仙人掌海滩,,4,2019-07-16 18:45,牛车水就是唐人街，几条街都是卖小商品的市场，严重怀疑那些商品都来自我们中国义乌，游游逛逛还不错，商品就不必买
159743975,flanclin,,5,2019-07-14 23:07,其实就是新加坡的唐人街，别有一番风味
159726709,兰夏的果实,,5,2019-07-13 21:53,牛车水是新加坡很适合逛街的地方，商场很多可以购物，逛一天也不觉得累，还有很多吃饭的地方，有很多明星开的餐厅，可以去打卡。
159535819,selma1982,,4,2019-07-02 18:14,很有名气的一个地方，可以到这边看看一些小玩意儿，很有当地的特色，充分的诠释了什么叫做南洋风情一条街，这边来的一般也都是华人。晚上新加坡夜景真美
159478675,Andre Li,,4,2019-06-28 14:45,历史悠久的牛车水是新加坡的唐人街，据说因为当时没有自来水，这里的居民要靠牛车运水而得名。牛车水是新加坡华人聚集的地方，也是游客来到新加坡必看的文化景点之一。但是其实牛车水一条街比较拥挤繁杂，各个店面小铺非常多，都是叫卖的，有些价格开的偏高。
159436455,Ivan,,5,2019-06-25 07:45,新加坡最古老的一条华人居住区，现在也是很多新移民到此体验家乡美味的地方，周末人流量很大，是美食和购物的天堂，里面最有名气的是唐城坊和珍珠坊。
159353970,richardfwm,,3,2019-06-19 09:40,牛车水比想象中要糟糕，那里也流行几元店，进了一家店看到新加坡特色的摆件，手边零钱就差0.1元新币，和店家商量，居然不卖，太不人性化了，有客自远方来不亦乐乎，真的没感觉这是在做生意。步行街里的东西都卖得很贵而且质量看上去也不怎么样，挺失望的
