id,date,score,title,uid,content
159962201,2019.7.28 2:24,5,,M44****533,鱼尾狮公园也算是游览新加坡的必到景点了，说是公园，其实还是比较空旷的，视野是挺好的，对面就是金沙酒店，旁边还有那个著名的大榴莲，但是在步行街行走的时候还是很晒的，什么遮挡都没有，所以那里有一个喷发水雾的桥洞供游人降温，想的还是蛮周到的。
159948792,2019.7.27 12:07,5,,天涯海角6668,值得去看看，一定要去看，不看不行！
159948013,2019.7.27 11:11,5,,elwaywong,说起鱼尾狮为什么让我想起了周星驰美人鱼里报警的片段！&#x0A;&#x20;&#x20;&#x20;&#x20;认真点！鱼尾狮是新加坡的代表兽&#x0A;&#x20;&#x20;&#x20;&#x20;到了之后才发现鱼尾狮公园还真的只有鱼尾狮，很小的一片地枉费了我们计划了半天的时间。&#x0A;&#x20;&#x20;&#x20;&#x20;最大的特色还是碰水的鱼尾狮了，很有游客围成一圈拍照，绝对是热门景点！&#x0A;&#x20;&#x20;&#x20;&#x20;很想知道鱼尾狮的故事&#x0A;&#x20;&#x20;&#x20;&#x20;白天很晒，真的很晒！
159944775,2019.7.27 3:46,5,,M49****970,新加坡鱼尾狮公园就是这个弹丸之国的地标，够现代，够气派！是打卡拍照的必选之地。去鱼尾狮公园最好是赶早，或者晚上，这样就不会受不了新加坡的阳光。而且，拍出照来也更好看。如果你挑了个中午，恐怕你在那里都定不下心来拍照，新加坡的日照实在太强烈了。
159920416,2019.7.25 19:48,5,,m53****76,鱼尾狮公园位于新加坡滨海湾旁，背后是高楼林立的CBD，前面可遥望金沙酒店，晚上在公园的亲水平台上观看金沙酒店的超级灯光秀，非常震撼！作为新加坡地标的鱼尾狮，超萌超萌的，非常可爱！
159893776,2019.7.24 8:52,5,,187****0887,鱼尾狮公园往里面走，有一个像桥一样的地方，买杯咖啡坐在底下真的非常惬意，也没有什么人，很舒服。
159878180,2019.7.23 10:39,5,,_WB6****555,鱼尾狮公园这里游客超级多的哦。
159836997,2019.7.20 20:39,5,,素素77,鱼尾狮作为新加坡独一无二的地标建筑和重要标志，无论白天晚上都游客众多，络绎不绝。我最喜欢看新加坡的夜景，夜幕之下的鱼尾狮，别具魅力。
159825327,2019.7.19 23:49,4,,亮亮,这里不仅是网红打卡胜地，而且附近到处都是高楼林立，不仅环境优美，而且现代化气息特别浓。高楼林立，其实侧面上也反映出新加坡这里繁荣的经济。
159783041,2019.7.17 15:28,5,,bobosheng77,人一如既往的多，新加坡的标志之一……
159780140,2019.7.17 11:25,5,,风的坡道,也算是新加坡标志性景点之一了，公园十分干净整洁，设施设备完备，口气很好，棒棒哒！
159774569,2019.7.16 23:43,4,,亮亮,绝对是新加坡的网红打卡地，许多游人都在此拍照留念，感觉一定要饮一口新加坡的喷泉水。感觉他们这里的喷泉⛲️是那么的清澈，如此的甘甜。
159758008,2019.7.15 22:52,4,,亮亮,新加坡的地标性建筑，作为是否来过新加坡这座美丽城市的重要象征。人们在此拍照留念，非常有秩序，体现出来这里人们的素质非常高。
159715151,2019.7.13 8:02,5,,njcpa000,特别有代表性的建筑，公园也很美丽，喜欢这里的感觉！
159712371,2019.7.12 22:25,5,,兰夏的果实,鱼尾狮公园是新加坡非常有名的景点的，算是新加坡的地标性建筑了，非常有特色，挺适合拍照片的，非常不错的地方，可以去看一下。
159684311,2019.7.11 9:43,3,,我想遇到你,这里是看新加坡景色最美的地方之一，因为是公园标志性的鱼尾狮代表了整个新加坡。旁边的金沙酒店，等无边泳池远远的看着就特别的羡慕。
159683609,2019.7.11 8:48,5,,M39****186,挺不错的一个地方，就是人有点多！
159684060,2019.7.11 6:46,4,,摩小亚,其实这儿说是公园也算不上吧，因为真的好小，完全就是一条沿海绿道而已。&#x0A;不过呢，城市风光确实漂亮，四周的建筑物都很有特色，并且多是标志性建筑哦。&#x0A;这算是去新加坡必打卡的地标景点吧，但是但能不能看到鱼尾狮本狮也是需要运气的。&#x0A;比如我去的时候那儿就在维修中，所以整个鱼尾狮都被包裹起来了，完全看不到。&#x0A;一直小小的山寨版小鱼尾狮在旁边，孤独的吐着水，好惨哦。&#x0A;鱼尾狮公园（Merlion&#x20;Park），是新加坡面积最小的公园。&#x0A;公园看台能变成可容纳100名表演者的舞台，观众坐在阶梯上，就能背靠滨海湾，在星空下欣赏音乐会和精彩的表演。
159633194,2019.7.8 22:29,4,,1361130****,鱼尾狮绝对是新加坡标志性景点。这里是一个看景的好地方，眼前是湛蓝的海港，跨过大桥就是大榴莲，周围还有很多著名的建筑物。新加坡总理李光耀为鱼尾狮公园剪彩开幕。公园已迁到浮尔顿1号的新家。鱼尾狮公园内设有站台、购物商店和饮食店供游人合照和休息，看台也能变成可容纳100名表演者的舞台，观众坐在阶梯上，就能背靠滨海湾，在星空下欣赏音乐会和精彩的表演。
159530162,2019.7.2 8:15,4,,摩小亚,我也是无语了，鱼尾狮本狮我去的时候在维修，所以整个被包围起来，难怪我们在那附近到处找没找到，最后由一个当地人带到了鱼尾狮背后的那个迷你版鱼尾狮面前。&#x0A;&#x20;&#x0A;起初我没明白，以为面前的那个山寨鱼尾狮就是电视里大名鼎鼎的鱼尾狮，吓得我当场傻掉。&#x0A;因为我看别人拍照，鱼尾狮不该是在水边，然后很大只得嘛，怎么在我面前的是如此小只呢。&#x0A;显得格外楚楚可怜的在那里孤独的喷着水。&#x0A;&#x20;&#x0A;后面才恍然，原来那个是缩小版的鱼尾狮，大的在维修，所以只能将就看看小的啦。&#x0A;好吧，最有名气的景点竟然没有打卡成功，还是蛮遗憾的呢。&#x0A;&#x20;&#x0A;但是，那个山寨小鱼尾狮也是真的够无聊的呢。哈哈哈，有种被戏弄的感觉。
159503103,2019.6.30 11:08,5,,hanasun603,新加坡的标志性景点，晚上为了看金莎激光秀从滨海湾会展中心步行过去的，一路上很多夜跑者，鱼尾狮雕像附近看见很多中国旅行团，有些拥挤，但夜景很美，比陆家嘴CBD要漂亮
159478494,2019.6.28 16:00,5,,Andre Li,鱼尾狮公园是新加坡的地标打卡地了，新加坡一共有4座鱼尾狮，公园里面的是妈妈和一个宝宝，在圣淘沙岛上那个是爸爸，另外还有一个宝宝在花芭山上。&#x0A;古代苏门答腊的一位王子曾在当地看到一只灵兽，很像狮子，于是他便把小岛命名为狮子城，而鱼尾狮的鱼尾造型则代表过去新加坡曾是一个渔港。&#x0A;晚上的夜景比较美，但是时间安排不够，期待下次再来
159449066,2019.6.26 10:18,4,,我想遇到你,这里应该是新加坡最美的地方，整体的建筑都特别的漂亮，而且因为事业是整个新加坡的代表。在这里能感受到各种繁华与美丽，不得不说新加坡确实是一个非常好的城市。
159417528,2019.6.23 18:55,4,,素素77,夜晚的鱼尾狮像和白天不大一样，白天的鱼尾狮在烈日之下并不起眼，但是，到了晚上，灯光下的鱼尾狮格外好看。一定要在晚上来一次鱼尾狮公园哦。
159412176,2019.6.23 14:53,5,,300****825,打卡新加坡鱼尾狮公园&#x20;据当地人说这个雕塑被搬运过两次后才来到现在的位置&#x20;面对滨海湾金沙酒店滨海湾花园&#x20;购物中心&#x20;比邻榴莲剧场&#x20;是新加坡地标性建筑&#x20;处于金融中心&#x20;游客齐聚&#x20;相信到访这个国家人无一例外都要来这儿逛逛&#x20;找好角度拍照很关键&#x20;水流刚好接到手心才对&#x20;但娃不配合没办法
159408257,2019.6.23 7:02,5,,红中1104,标志性打卡地点啊不虚此行噢不错
159380067,2019.6.20 22:13,5,,_WeCh****926758,似乎每个游客都会在鱼尾狮拍这样一张照片，湖边的餐厅吃饭听听现场乐队演出，很惬意
