id,uid,title,score,date,content
160096950,300****088,,3,2019-08-04 12:24,动物太少看都看不到了，可能我们去的晚了
160091704,_WeCh****315629,,5,2019-08-04 09:05,网上预订门票，很方便。出行之前打印出来，直接在动物园门口机器上扫码打印门票。夜间动物园需要选定场次进去，坐车浏览一圈，不一样的体验。
160086308,E11****90,,5,2019-08-03 21:50,3周岁宝宝不要门票的，多买了~~~
160082541,幽媛蓝荷,,4,2019-08-03 16:48,总的来说还可以吧，地方挺大的，就是距离市区远了一点，我们是打车去的，小孩子比较喜欢，还有儿童玩水区，建议带好泳衣去
160075888,wqfwqf1122,,5,2019-08-03 11:36,动物园环境非常好，动物种类很多，很多动物处于半开放式，空调风扇设备布局非常合理，给游客的参观体验很好，整个游览过程
160068984,137****5669,,5,2019-08-02 21:36,小朋友非常喜欢，很多都能近距离和动物互动，不错
160060289,206****012,,5,2019-08-02 15:04,千万看清楚这个联票，是日间动物园➕日间动物园夜间灯光秀，而不是日间动物园➕夜间动物园，现场取票要排长队，还不如直接现场买，这样至少不会买错，携程价格也没便宜
160062146,206****012,,5,2019-08-02 15:03,千万看清楚这个联票，是日间动物园➕日间动物园夜间灯光秀，而不是日间动物园➕夜间动物园，现场取票要排长队，还不如直接现场买，这样至少不会买错，携程价格也没便宜
160061756,206****012,,5,2019-08-02 15:00,人多天热，孩子们玩大半天的是里面的水上乐园，带好泳衣和替换衣服就行，晚上的灯光秀要19:30才能开始，等待时间太久我们就放弃了
160061477,206****012,,5,2019-08-02 14:59,人多天热，孩子们玩大半天的是里面的水上乐园，带好泳衣和替换衣服就行，晚上的灯光秀要19:30才能开始，等待时间太久我们就放弃了
160057907,320****512,,5,2019-08-02 13:33,挺棒的，环境优美，表演很有趣。很棒！
160059938,申申爱熊猫,,5,2019-08-02 12:41,值得来玩，新加坡动物园的动物跟人没有距离感，没有围墙围着，纯天然的感觉，公园里可以坐卡通小动物图案的摆渡车。
160056393,120****967,,4,2019-08-02 09:52,园内动物比较少，设施还是挺齐全的，只是如果去过番禺长隆动物园的可能就要比较失望。
160057131,M27****534,,5,2019-08-02 08:52,适合带孩子去，携程出票很快！！
160055605,M27****534,,5,2019-08-02 08:51,出票快！不亏是携程！动物园很好玩，适合带孩子去
160055076,lowriver75,,4,2019-08-02 07:51,新加坡动物园带孩子来玩还是不错的，园区还蛮大，因为是暑假期间，人比较多，本来想把两个动物园一天玩，但最后还是分开两天玩，带小孩的朋友可能会比较累。
160051336,320****443,,4,2019-08-01 20:50,野生动物园里有些节目，但没找到节目单，听到声音才循声而去，结果看了个尾，但是节目后与鹦鹉互动了很长时间，免费给食让你喂，很不错！
160051437,320****443,,4,2019-08-01 20:46,感觉河川动物园更好，小孩更喜欢，大熊猫和亚马逊漂流很不错！还可以摸海星。就是屋里面冷气很足，需要经常穿脱外套。
160041497,昊瀚国际,,4,2019-08-01 13:45,真的很一般般，远不如国内几个知名动物园，价格倒也不便宜。一样小动物园，我觉得北海道的旭川比这个强多了。当然，也有可能是新加坡太热，动物实在热死了。。。
160043342,Mandy,,5,2019-08-01 13:35,很不错，就是走的太累了，晒！动物很原生态，孩子可以近距离观察他们，日间动物园和河川两个园子走下来7个小时左右
160043125,昊瀚国际,,5,2019-08-01 13:05,很好，在门口买票窗口隔壁的一个房间取，就是只有火烈鸟和小狐狸，就当留个纪念，在商店里也要卖9新币了
160041014,昊瀚国际,,5,2019-08-01 13:04,很好，在门口买票窗口隔壁的一个房间取，就是只有火烈鸟和小狐狸，就当留个纪念，在商店里也要卖9新币了
160042557,大卫的微笑,,5,2019-08-01 13:03,动物很丰富，路线设计很巧妙，带小朋友玩走走停停不感觉累，定了园区游览车，还可以边走边看。
160038710,闾闾,,5,2019-08-01 10:09,动物很可爱，女儿很喜欢，小猴子随地跑，到处可见小蜥蜴。一点也不怕人，大摇大摆的在路上爬着。
160036128,206****891,,5,2019-07-31 23:01,新加坡动物园是亚洲比较著名的动物园，孩子期盼了很久，终于可以如愿了！我们是第一次来新加坡动物园，印象最深的是绿化非常好！动物园虽然不大，但动物的种类还是比较丰富的，如果想仔细看，可以步行，也可以坐小火车参观，一共有四个车站，哪个车站上都行，想看哪些动物就近下，很方便！路牌指示也很清楚，不过如果去过广州长隆野生动物园的话，就没有必要来了，会有些小失望的。
160030957,紫色雨兰,,5,2019-07-31 18:04,大门口换票&#x20;很好玩&#x20;和动物距离很近&#x20;很多地方有休息凳&#x20;里面配套设施也很多&#x20;含小火车可以随时上下站&#x20;很多展馆有空调&#x20;休息不错&#x20;这需要大半天或一天慢慢玩
160007324,_WeCh****399837,,5,2019-07-30 14:00,这次出门真是大爱携程，各种方便、实惠和靠谱。买票很方便，不用排队，而且价格也相对便宜一点，看着排长队的老外，真心觉得祖国威武
160000549,dongruxin,,5,2019-07-30 06:48,没有异味的动物园，孩子非常喜欢，什么都很人性化。里边有露天嬉水池，旁边就是肯德基，大人可以休息，宝贝玩了3个小时都不爱走，好在是自由行。
160000656,tigerhu1984,,5,2019-07-30 06:30,取票很快，由于小火车检修，提前看攻略退了小火车的钱（是消费券），动物园里面干净，温馨，路标设置清晰，看到了很多在国内没见过的动物，小孩子最感兴趣的还是动物园最北边的戏水区，要给小朋友备好泳装毛巾。动物园是一个非常好的景点。
159998853,rika487,,5,2019-07-29 23:33,12:30到的&#x20;夜间动物园只能约9:15了！3个动物园整整玩了一天&#x20;天气热&#x20;动物园有点暴晒&#x20;河川的水族馆区域空调足&#x20;特别凉爽&#x20;三个园的门是在一起的&#x20;而且每个进出都是同一个门&#x20;不用担心走到别的门出去了。门口有肯德基&#x20;星巴克&#x20;动物园里面也有餐厅&#x20;吃饭基本可以对付。
159995906,chinalee,,4,2019-07-29 21:20,不错的水陆体验，中文导游很热情，讲解详细清晰，还很热情的帮游客拍照。从陆路冲入水路的一瞬间还是蛮新奇的。
159995988,chinalee,,5,2019-07-29 21:17,自助餐品种还算挺多的，味道也不错。还有孔雀、松鼠等会不时出现在你脚边。红猩猩一家很高傲，自顾自吃东西对于合影根本不顾。不错的体验。
159995901,chinalee,,5,2019-07-29 21:17,自助餐品种还算挺多的，味道也不错。还有孔雀、松鼠等会不时出现在你脚边。红猩猩一家很高傲，自顾自吃东西对于合影根本不顾。不错的体验。
159994302,110****435,,5,2019-07-29 20:02,新加坡的夜间动物园很有名，就是冲着这个带孩子去玩的。很不错。
159992993,Tomozi,,3,2019-07-29 19:08,大家都说去新加坡一定要去新加坡动物园&#x0A;&#x0A;其实并不准确哈&#x0A;&#x0A;因为这里有四个大园区：&#x0A;&#x0A;日间动物园&#x0A;&#x0A;夜间动物园&#x0A;&#x0A;飞禽园&#x0A;&#x0A;河川动物园&#x0A;&#x0A;（可以买套票，也可以买单独票）&#x0A;&#x0A;体力好或者带孩子的建议你们都玩哈&#x0A;&#x0A;本人根据自己的体力选了河川生态园&#x0A;&#x0A;主要是河流湖泊相关的动植物&#x0A;&#x0A;不仅水下更有很多水上动物&#x0A;&#x0A;看了国内租借来的熊猫&#x0A;&#x0A;最开心的是报名喂了海牛！！&#x0A;&#x0A;超级萌的啊啊啊啊！&#x0A;&#x0A;亚马逊探索船也要坐&#x0A;&#x0A;一边漂流一边看各种动物！&#x0A;&#x0A;看到了近距离的美洲豹！！&#x0A;&#x0A;坐了两个Round&#x0A;&#x0A;开心到飞起&#x0A;&#x0A;绝对新加坡必玩了
159984086,M13****436,,5,2019-07-29 10:55,方便快捷&#x20;就在动物园门口取票&#x20;不用排队
159986025,mputss,,5,2019-07-29 10:49,没有国内的长隆好玩。人比较多&#x20;在自助机上换票需要排队&#x20;比较耗时
159981565,118****851,,5,2019-07-29 06:56,非常不错！！！！！！！！！！！！！
159982338,118****851,,5,2019-07-29 06:49,动物园很漂亮，设施完善！！！！！！！！
159979606,M22****975,,5,2019-07-29 00:57,取票要排队&#x20;其他都很好很方便&#x20;很棒很棒很棒很棒很棒很棒很棒很棒
159978151,138****1894,,5,2019-07-28 21:34,日间动物园动物种类很多，步行可以和动物亲密接触，还有喂食体验。河川动物园有一段坐小船游览很好玩，还有海牛。
159976602,138****1894,,5,2019-07-28 21:22,买两个公园门票可以换购，孩子很喜欢
159978253,138****1894,,5,2019-07-28 21:21,买两个公园门票就可以换购，孩子很喜欢
159975001,bb21512,,5,2019-07-28 19:03,带娃还可以，动物种类还可以，基本都可以看到，就是每种动物数量有限
159975848,Allenmac,,5,2019-07-28 18:53,非常不错的一次精力，夜间和日间都感觉很棒。
159972084,_WeCh****88037,,5,2019-07-28 16:59,值得一玩，很不错，提前把票订好就可以了
159973727,_WeCh****88037,,5,2019-07-28 16:59,很好玩，住的酒店打个车很方便，提前把票订好就可以了
159971322,chee,,5,2019-07-28 15:18,带着电子邮件订单在手机到入口处就可以了……太方便了，下回还再这里订好
