id,uid,title,score,date,content
,,Arab Street for all,5.0,,One of the best places to buy gifts for your loved one’s at home at the best prices. Sultan Masjid also close by. People are friendly and you can literally find anything there.
,,Mixed culture,4.0,,"Arab street is a mixture between Malay Indian Indonesia and Arabic culture, good mixture of cuisine all around and of course the mosque itself, be aware of the opening hours for non muslims especially on a Friday."
,,Amazing,5.0,,"We loved being there, everything was nice! Alibaba, Aladdin. Everything you need to know about the east and the food was so tasty. Highly recommended"
,,Good place to visit,4.0,,Found this place on Google. It’s About 5 minutes walking from Bugis Station. I surprised about the beautiful colors and I think this is the most quiet place in the crowded Singapore. It’s likely a old town with nice small houses and vintage shops. Took 1 restaurant to enjoy Turkish food which I could look the the Mosque. Feeling so peaceful there
,,I love it here ..... such character,5.0,,"This is a really attractive and fun place to shop and eat. It's full of life and superb restaurants where people eat inside or out. We ate at a Lebanese restaurant....

It was awesome.

Saturday early evening 6pm ish you will see street singers and a live band .... we loved it"
,,Must visit,5.0,,"Places are well done up and conserved. Lots of silk and fabric stores, some tourists traps with Turkish wares, carpets and fragrance Great place to spend time and see an unique cultural part of the multicultural Singapore"
,,Nice part of Singapore,5.0,,"It’s a very nice area in Singapore to visit. We went on Saturday and there were bazar and fashion show there, it was great time and we had a nice dinner there."
,,Colorful area of town!,4.0,,Very colorful and vibrant part of town. The Mosque is gorgeous especially at night. So many restaurants you will never be at a loss.
,,Full of Culture,5.0,,"Bustling historic street and area full of culture, middle eastern food and artisan cafes. Gorgeous shops selling beautiful textiles, pretty Turkish lights, perfume and more. Expect plenty of patterns, colours, and delicious eats. Just love this area, it’s vibrant, interesting and happening."
,,Amazing Arab Street,4.0,,"Arab Street is a small street which makes up a larger part of this neighborhood within the Kampong. You will find all sorts of souvenirs and imported Middle Eastern goods along with gentlemen touting for suit sales.
One of the big attractions here is the Sultan Mosque built in 1932. This stunning architecture with it's gold dome is the centre to the district.
Along Haji Lane you will find colorful street art, restaurants and many fabric stores.
Interesting place - Just go"
,,Excellent and has its own character!,5.0,,"The heritage area is an excellent visit, from the museum to the local eating house. The local there are warmth and willing to help you with a bit of history and photo taking. The energy is different from the other heritage area such as Chinatown and Little India. It was calm and at easy. Not busy and fast paced. They have some tourist store for souvenirs as well. Try the ZamZam , unique experience! Nurul from Drop INN hostel Singapore recommended us to Zam Sam and drink the pulled tea! Excellent experience!"
,,More the area than the street,4.0,,"Arab Street on it's own is not all that interesting. Sure, there are shop house with stores selling Arabic souvenirs and other items imported form the Middle East, as well as restaurants. But for me it was nicer to look along some of the smaller roads off Arab Street such as Muscat Street which I found far more interesting.

Along Muscat Street directly perpendicular to the main entrance of the Sultan Mosque can be found a really nice row of Turkish restaurants selling Turkish and Mediterranean food and many stalls selling all kinds of street food.

On the other side of Arab Street is Haji Lane which is a colourful small street with lots of eating places and stores selling all kinds of original goods. This street has quite a lot of walls covered with lots of artistic graffiti.

Often people talk about visiting Arab Street, but when here one should visit the Sultan Mosque, the Malay Heritage Centre, Haji Lane, Muscat Street and some of the famous Indian Muslim restaurants that can be found in this area. Also, the famous Bugis Street and Bugis Junction Shopping Mall is only a 10 minute walk from Arab Street."
,,A bit disappointing,3.0,,Much smaller than I had expected but worth a look if you have the time. Not enough shopping opportunities for me
,,Foodies Paradise,5.0,,"Arab and surrounding streets offer a variety of restaurants to meet all budgets and tastes.

From high end restaurants to delicious local budget friendly eateries, this place has it all.

My favourite restaurants are the little Indian and islamic eateries, very reasonably priced menus and delicious meals"
,,Lively Area,5.0,,Sultan Mosque is the big attraction in the area which draws many tourists and the locals who come here to pray. There are many Arabic and Turkish restaurants and cafes here and at the end of the road there are many bars. There are shops selling rugs and clothes there are also many souvenir shops. You can spend a couple of hours here but not much for the kids to do.
,,Boutique shops galore,5.0,,"Very nice little boutique shops everywhere you turn down on Arab street. Prices are high, but its expected as it is Singapore. We didn't stop to eat on the street itself, we went around the corner instead and found a nice Indian restaurant. Next time I visit Arab Street I will look to purchase a few items. Would recommend coming here to a friend."
,,Busy street,3.0,,A major street in the Kampong Glam neighborhood. Several attractions are on or near it. Lots of choices for shopping or dining.
,,Arabs and Streets.,4.0,,"We found this area accidentally. After walking for what seemed like miles through the blistering heat, we found this area. To sum it up, it's a few roads of Arab/Turkish restaurants, shops and markets. There's Street art around which is quite awesome. Standard feels of an Arabic area. Haggling at shops and touting outside restaurants. There's a lot of tourists here, so if you're after an authentic Singaporean experience then probably go somewhere."
,,Arab street,4.0,,"Good street for some good arabic, Lebanese, turkish and many middle eastern food. Evening visit is better as they close the road and use the road for dining."
,,Excellent place to hang out for dinner and live music,5.0,,This is truly a happening place in the evening with live music. Do walk by the Haji lane for designer shops. You will find excellent Turkish and Lebanese restaurants.
,,Intresting,4.0,,An interesting place to walk by. The mosque looks beautiful. Please remember to visit late evening to enjoy the place.
,,Great,5.0,,A great change from the modern plastic Singapore. Bars lively. Plenty of eateries. Bargains in the stores though some of dubious quality!
,,Great Crew On Board,4.0,,"We were one of the lucky preview holders for the pre-opening of The Jewel at Changi.
The Tiger Street Lab was selected as a dining spot because a table of diners left and we got the table! For the opening - the chef is from Keng Eng Kee Seafood in Bukit Merah. Salted fish skin were large crispy tasty pieces. His signature moonlight horfun was a hit and we ordered a second plate, His coffee ribs were the best ever. The rating was not a 5 cos it was very crowded, took a little longer for the food to be served, first plate of horfun was not ""heat hot"" but service was excellent and all profits go to the Tiger Street Food Support Fund. And of course, there was a wide selection of Tiger beers but they ran out of seasonal tiger."
,,Interesting area,4.0,,We just did a tour bus drive by but a walk would have been better. Great sights en route. It is amazing how each area/quarter of Singapore is so unique
,,Good to visit,4.0,,I like it as design and the foods here was good too. I took these photos by iPhone xs max. I have not been here at night
,,cool place to walk,4.0,,"Arab Street was the name of a road and neighbourhood in Singapore. There are two explanations behind the name. The first one is that the area was owned by an Arab merchant Syed Ali bin Mohamed Al Junied and that it was the site of an Arab kampong.
We walk in this street to see the shops.it is clean place and chance to eat Middle eastern food..It good point to strart shopping in Singaphore."
,,Interesting place to walk and enjoy the sights and smells of the food.,4.0,,"We were looking for a restaurant that wasn't Turkish food (since my friend and I had already been to Turkey), and finally found a Lebanese place and had ice cream afterwards. A nice afternoon walk, and a good place to buy fabrics if you need to make traditional Muslim women's clothing!"
,,Colourful streets,3.0,,This was a 10 minute walk from where we stayed. The streets are very colourful and filled with shops and food places. The mosque is very beautiful. Worth a look around and clean and safe.
,,I loved it!,5.0,,"Colourful, full a muslim restaurants, nice, very nice place walking to the Mosque. And the surrounding streets super colorful and full of nice places to eat or drink a juice... I really enjoyed this area of Sinpagore"
,,Go for everything Lebanese,4.0,,"Come to this area for everything Lebanese, Mediterranean, Egyptian. so many food outlets to choose from. We ate at alaturka with views of the mosque and had ice creams later at Likecty and Waffles down the road"
,,Interesting,4.0,,"Arab Street is Singapore's Muslim quarter. It is a very lively neighborhood surrounded by shops that sell brightly colored fabrics and textiles, hand-made Persian rugs and aromatic teas. The center of Arab Street is the Masjid Sultan Mosque that has a history that reaches back 200 years. You can also find indie boutiques, street arts, Spices, Turkish lamps, table cloth, cafés, bakery, Lebanese restaurant and so many other shops."
,,Definitely a place to visit!,5.0,,"I liked it much more then Little India or Chinatown, its kind of a hippie area with fun graffiti painted walls, authentic Arabic restaurants (I highly recommend Sultan de Casablanca) and cute bazaars.
Great, relaxed autmosphere, perfect to spend anytime from an hour to several more."
,,Cool,5.0,,"I was able to see the Mosque. I'm not new to mosques because I live near one in Taguig, Philippines and I don't feel shy to enter here. I think when you're traveling you just have to open and adapting to different culture. Traveling teaches you how to act and somewhat feel the vibe."
,,Different culture,4.0,,We liked this area. We stopped and had a great lunch here and had fun broozing around the shops. Lots of different things to see.
,,Art Wall Street,5.0,,most of the shops seller sating alsalam alaykom which means peace up on you . They have a great attitude once i was tried to buy and i get an issue with my card seller offered me to take it free. Most of the area is Arabic Restaurants And street names as Arabic city names. Do not miss to visited.
,,Fancy and hipster,3.0,,Less crowded that Hije Line just next to it. Good if you like a little bit International culture (but you count also woth international prices).
,,Truly Arab,5.0,,The street is in mid centre of Singapore. Though just a small area it is very old and give truly experience of arab + lebenon + turkish feel. Lots of restaurant and music give very nice feel. A masjid is also situated there. A must visit place in Singapore.
,,"Terrific atmosphere, interesting shops, expensive restaurants",3.0,,"I went to Arab Street mainly to sample a non-asian style meal in this part of the world. There are plenty of turkish/lebanese style restaurant-cafes with staff outside actively inviting potential customers to come in an eat at their establishment.We did have dinner at one of them but thought it wasn't good value. Going by the menus on display at every establishment, the servings are not very generous and you'll walk away feeling you paid double what you would for the same thing at restaurants in your own country. Plenty of interesting shops selling rugs and other middle-eastern decorations. Sultan Masjid is magnificent"
,,Visit if time allows,3.0,,"I like the Arab part of Singapore. Take a little time to walk around, see the mosque and enjoy a restaurant. There are many quaint little houses."
,,Shopper’s paradise,5.0,,"Arab street is known for its intricate lacework and fine fabric . Small shops set up along the two sides of a road , display everything Turkish / Arabic . Carpets , laces , table wares and much more . The restaurants offer exquisite platter on Turkish / Mediterranean cuisine to satisfy hungry shoppers’ palate."
,,Don’t waste your time here!,3.0,,"While searching online about Singapore I read a lot about the Arab street and that it’s good and not to be missed .

Now when I reached there at about 10 pm it was dull,dark and nothing tbh. A very small street with just a few not very impressive restaurants but I still went to a restaurant and gave it a try.
The food was good but you can’t go very wrong while ordering a pizza and not Arab food!!

So thought to go early the next day for some Arab food. As I went around at 9pm it was still the same but I tried the Arab food and was very very disappointed. The food was stale and the restaurant was clumsy, mismanaged and super expensive.

Don’t waste your time and money here rather if you are a fan of Indian food especially veg little India is not to be missed!!!"
