id,uid,title,score,date,content
,,Future World!,4.0,,I only went here for Future World. I enjoyed my time there and I think it was worth it. I wish they can have more exhibits that adults will like as well. I did see a lot of kids enjoy in the museum but also saw a lot of adults looked bored.
,,Rediculous childish museum,1.0,,This is more a fun Park for children and had nothing to do with art nor science. Better safe your money for a cool drink.
,,A Whimsical Whim,5.0,,Decided to visit on a whim while in Singapore. Had a couple of hours before a flight and wanted some cool air con. Was pleasantly surprised how well this place is put together. The exhibits were fantastically entertaining and easy to access. Ordering tix was also a breeze at the self-service stand.
,,Future World exhibit is one of the coolest things I've ever seen,5.0,,"I can only speak about the Future World exhibit, but it was ridiculously cool. There were about ten rooms, and while many of them are mostly catered to children, the intersection of art and technology is still very interesting. The final room cannot be missed - it is one of the coolest things I've experienced."
,,Building is more interesting than the exhibits,3.0,,"The architecture of the ArtScience Museum is stunning. The is seen from the outside and the inside, although you can walk the all the inside floors for free without entering the exhibits. We did the full exhibit tour and there were three open when we were there. The really wasn't any science link to any of them, but the one on balloons did try to add some technical aspects. There were several high-tech video installations, but all the focus was on visuals and not the underlying technology. Our daughters enjoyed the interactive drawing parts and playing with the balls that change color based on how fast they are going, but as other reviewers say, there isn't much of particular interest for adults. The Wonderland exhibit was heavily hyped, but it was mainly a presentation of all the books/movies based on the story so more history than anything else. We all found that interesting, but neither Art nor Science."
,,"Not where Art meets Science, more like Fart meets Patience",3.0,,"The best way to enjoy this iconic building is to admire it from the outside. Compared to government-owned museums (like the National Gallery or Asian Civilisation Museum), this one has the highest price AND the lowest amount of interesting content. The current three exhibitions are enjoyable for young children below 22 years old. Otherwise, they are just collections of low-operating-costs (or even low set-up costs) items. Yet, because of the high appeal to young children, queues can be quite long on weekends. Sometimes, farting can made queuing quite toxic. No wonder Japanese tourists keep their masks on. The 3 stars is an average of 4 stars for families with young children and 2 stars for others."
,,Awesome exhibits,5.0,,"We spent our last day in Singapore at the ArtScience Museum, and we all loved it. We live in Japan, so we are very familiar with TeamLab exhibits, and my kids were thrilled to get the chance to visit a different one. The interactive activities were fun for all of us. They especially loved coloring their pictures and seeing them come to life up on the wall. Aside from a few extra activities, this one was very similar to TeamLab Future Park in Fukuoka.
The Wonderland Exhibit was our favorite. It was so cool how the maps interacted with some displays, and we all enjoyed hunting for our maps story in each room."
,,Not enough to see. Only for children.,1.0,,This place was only there to get a nice Instagram photo and for children. Nothing outstanding there. There was only about 3 rooms too. Rubbish for the price. Save your money.
,,nice place for someone who love art,4.0,,cool and instagramable place to visit even if you not really understand about something related to art and its kids friendly too
,,Excellent exhibits Future of the World and Wonderland,5.0,,"Kids had an amazing time in both the FoW and Wonderland exhibitions. The line to get into the exhibitions are somewhat long, but well worth the wait for the fantastic experience inside. Both exhibitions are interactive and engaging. I can especially envision spending half a day at FoW alone (with kids) if we have had more time.

Would suggest child/ senior friendly arrangements to enhance the experiences of those two groups with special needs. I see a lot of family waiting in line, and kids gets restless after a long wait. Some fall asleep in their parents arms while waiting and had to be carried for hours."
,,An awesome time at “Future World”!!,5.0,,"We went to the Art and Science Museum, expecting to see the ‘Alice’ exhibit, but were told that there was a 30 min wait. They then suggested Future World, which was amazing!! It was really interactive with slides, glowing balls, design your own hopscotch... I can’t even begin!! A bit crowded and expensive but TOTALLY worth it!!!!!!"
,,Alice in Wonderland,5.0,,"First of all in my opinion, an extent of which you would value the show very much depend on what shows are being staged. Luckily, beside The Future World, we also had Alice in Wonderland, during our July visit. The museum has different agenda over time.

My kids claimed that the show has been their highlight during Spore holiday in July 2019.

The colors show, 3D paintings, are mind-boggling. While Alice in Wonderland exhibition took us back in the time of magical journey. Overall, we appreciate governmsnt of Singapore on their endeavor to provide affordable yet entertaining and educative show to the public."
,,Future world x floating utopia,2.0,,"Whenever it comes to contemporary art it would automatically mean an IG spot, but the one hosted by teamlab(future world) turned into a children playground instead. Kids running everywhere, screaming, it’s like a zoo rather than an art museum.
I bought a pass for 2 exhibition, skipping the wonderland one, for SG32, it was not worth it for its display and the atmosphere.
The floating utopia was alright nothing major."
,,Museum to visit in Singapore,4.0,,"If you are into museum and such, you might want to include this one in your itinerary. Currently they have several good exhibition, like Future World, Alice in Wonderland and Floating Utopias.

You might have seen some interesting shots from instagram like people touching a huge moon. That one is from the Floating Utopias installation. Before you come, you need to make sure the time of each exhibition.

Price per person for adult foreigners like us is S$19 for single exhibition. You can get better price for bundling exhibition. 2 exhibition at S$32 and all exhibition at S$40."
