id,uid,title,score,date,content
,,Memorable,5.0,,I think a gaze of glimpse of these army officials can bring back memories for anyone in ranks. They look so real. I think it is like time travel. I was amazed by the battlebox.
,,"Battlebox, Fort Canning Singapore",5.0,,"A very interesting and enjoyable experience. My 16 year old Granddaughter really enjoyed it too. The young lady who took us round was very knowledgeable and answered all our questions. I felt that having a guide to set the scene was better than having to read all about it, on the displays, as we did in the exhibition on Santosa Island."
,,Excellent Guided Tour,5.0,,"There were a limited number of tickets available for each tour so I was lucky as a solo tourist I was allowed into the 2:45pm tour (even though the sign said full) as the last person. It always pays to double check with the counter.

At the beginning of our tour our guide (unfortunately forgot her name) said we would be quizzed at the end!

We walked a short way to the bunker entrance and got a bit of history on Fort Canning and some of the remaining above ground attractions. After walking into the bunker our guide closed the heavy entrance door behind us.

The museum did a great job recreating the settings, both artifacts and figures, in various rooms to represent the key people and activities on the final days before Singapore’s fall to the Japanese in WWII. The movies and our guides great knowledge helped us better under the events and definitely made this one of the best guided tours I’ve joined to date. Well worth the admission.

I was awed by the conditions that these soldiers had to endure to stay protected and keep lines of communication going through out the war.

At the end of our tour we had a wrap up back in the gift shop and our guide followed through with her quiz. One prize for children and one for the adults.

If you have time wander through Fort Canning and find the escape exit from the bunker. I attached a photo of what it looks like now ( modified and no longer hidden)."
,,Amazing Experience,5.0,,This was an amazing tour. One of the best I've done and we've been to WW2 exhibits all across the world. Definitely recommend.
,,An Unexpected Gem,5.0,,"The battle box is s real gem right in the heart of Singapore. I just stumbled across it by chance after detouring off the main road to walk up Fort Canning Hill. I’ve found when travelling that these unexpected discoveries are often the most rewarding.

It’s a great story to tell and our guide was very knowledgeable and clearly enjoyed delivering her talk.

All in all a great experience and highly recommended.

Regards, Rhett Mason
Christchurch,
New Zealand"
,,Battlebox Tour,5.0,,Very informative and interesting - not over the top with details and the tour moved at a relaxing pace . A good starting spot for touring with Orchard Road and museum close by plus lovely parkland around the battlebox .
,,What an interesting place!,5.0,,"The story of the surrender of Singapore in World War II was told in such an interesting way. It would be impossible to not be enthralled by the bunker and its place in history. I learnt so much in a short period of time. And on a hot day in Singapore, the bunker was a cool change. If history interests you, do not miss this place."
,,very informative and historical overview,5.0,,"Excellent guide and information provided , laid out facts and had displays to provide visual details which I enjoyed. I would recommend this tour if your interest is WW2 history."
,,Review of the British Command & Control Bunker,4.0,,"The museum displays were interesting in relation to the bunker, unfortunately there were not much time allowed to review the individual displays. The presentation by the official guide was factual without depth in detail. Overall good for the general public consumption but not enough for anyone with a keen eye on history."
,,Worth a look,5.0,,"This is a guided tour and as such relies heavily on the quality of the guide. When I visited, the guide was superb. Very knowledgeable and friendly. The museum itself is quite thought provoking. It certainly made me about a piece of grim history that took place not all that long ago. Highly recommended."
