id,uid,title,score,date,content
,,Really Cool Area,4.0,,Had lunch in the area and walked around afterwards. Super cool architecture and a very fun walk along the river. Definitely worth a visit while in town.
,,Worth a Visit,5.0,,"Worth a visit. Plenty to see heaps of bars and restraunts. Wear comfy shoes, very crowded at lunchtime. Nice views of Singapore river and CBD. Can take a bum boat ride from here."
,,Buyer beware,3.0,,"What was once a busy commercial wharf is now a popular dining and entertainment venue along the Singapore River.

Many restaurants display some very unusual seafood in tanks along the sidewalk.

We enjoyed our lunch there, but left one restaurant when we realized it was a bait and switch situation."
,,River of life,5.0,,"The Boat Quay comes to life in the evening! The place gets crowded with tourist after dark and the drinking holes that line the Singapore river can get rather crowded. Enjoyed the crowd and the liveliness. But it can get a tat too humid and warm, given the islands tropical climate. A good time to visit is after 9pm when the weather cools down a little more."
,,Great Location,5.0,,We loved our time in Singapore and the boat quay was a relaxing area for us to visit. Its not often in cities like Singapore where you can find a peaceful spot. Singapore is our favourite!
,,Work or leisure - Boat Quay fits it all,5.0,,"Riverside Bars n Restaurants, Different cuisines, Good for Singles or Family, Great Atmosphere, Lovely Food... Need you ask for more."
,,Be careful of the cost,1.0,,My Girlfriend and I shared 1 lobster and 6 oysters and they charged me over $850 SGD !!! That is OVER $600 USD I am still shell shocked (excuse the pun) do not eat at any of these restaurants !!!
,,Sit here and soak up local Singapore,4.0,,"One of our favorite places when we visit Singapore. There are lots of bars and restaurants to choose from here, although our favorite is Charlies. Check out Happy Hour drinks and relax watching river boats full of tourists drift by, as well as guys on little boats fishing leaves out of the river which is actually a reservoir. Enjoy the contrast of the finest architecture and feel part of the local scene as office workers call here for drinks after work."
,,Great Happy Hour at Boat Quay,4.0,,"A perfect place for a nice evening, beautiful people around in company of good drinks and some good restaurants."
,,Not my cup of tea,3.0,,Walked down this a couple of times and I hate restaurants who flash menus and offer happy hour drinks to get you in. Didnt seem overly busy when we were there. Not somewhere i would make a point of going for dinner
,,Fun,5.0,,Boat Quay is located between North Bridge Road and Anderson Bridge. You can have leisurely stroll along the river or admire the view which include Marina Bay Sands and Singapore’s central business with high-rise buildings. You can find numerous bars and clubs in this area. It is 12 min walk from Clarke Quay
,,Once The Major Port Area Back In the 19th Century,4.0,,Back in the 1860's this was the major port area of Singapore but over the years has been developed into a very pleasant walking mall that goes from the old Shophouses near UOB to the Elgin Bridge. Good views and an open area with views .Boat Quay used to be a road by this name and is now a pedestrian mall
,,The Singapore way of doing things,4.0,,"The Singapore way of doing things has also filtered into Boat Quay. It was always nice to visit, a pleasant walk and a magic spot in the evening, when the sun had set and you could have a fairy tale meal at the river side with the illuminated Sampam boats went by and the tall buildings of the business district looked down on the riverside restaurant areas. This is still the same, but in the couple of years I haven't visited Singapore, some things have changed a bit. Some years ago every restaurant had ""barkers"" who forced menus on the tourists walking by, promising discounts. It seems that this practice has abandoned and now restaurants await customers in an orderly way with fixed menu prices. Also the practice of charging for peanuts and napkins was abandoned in the restaurants I visited. Boat Quay has become a bit duller in this regulated aspect, doing things the Singapore way, but Boat Quay is still a prime attraction in Singapore."
,,The viewpoint,5.0,,This is a favorite for us. Beautiful place to stroll and take in the area.Lots of restaurants...not cheap but worth it.
,,Boat Quay so good.,5.0,,We love Singapore and we love the different foods. Boat Quay is a great place to go and see the river views at night and experience some great foods.
,,Best spot,5.0,,"Good food, Friendly staffs, nice river view and good ambiance. I was enjoying my time here and will come back once were back in SG"
,,Boat Quay @ Singapore,5.0,,"A popular and historical Quay in Singapore, situated along Singapore river, sandwiched between Clarke Quay and Marina Bay. Numerous restaurants , drink bars bars are aligned along the waterside at Boat Quay. These bars and restaurants are mostly old shop houses which have been conserved. The cosmopolitan banking sector lies behind Boat Quay. The parliament house is located opposite to Boat quay.
There are Conserved shop-houses that line both sides of Circular Road at Boat Quay.

The night view of the restaurants and pubs along the Singapore River are wonderful and enjoyable. Also there are several Sculptures at Boat Quay that depict activities carried out on the banks of Singapore River in the 19th and 20th century. There are light and fountain shows during the evenings at Boat Quay. An evening stroll at Boat Quay with a drink or two is a great option."
,,Brilliant atmosphere,5.0,,"What a great place in the evening.its so busy I think people come straight from work for a meal or drink with friends .we walked right along to the end and got a table overlooking the river.We were at the Victorian London pub and the penny black next door had a few drinks ,the service was great even though they guys were rushed off their feet so busy ,serving meals as well,they still looked after us very well.Hubby had the Guinness which he said was really good pint,as it can vary I stuck to my white wine.we stayed about two hours and watched the ferries going by ,all lit up loads of them ,they were full as well,nice to watch as the place come to life and the skyline is amazing when it gets dark.we enjoyed happy hour here ."
,,Very good atmosphere,5.0,,Wonderful bars and restaurants with live music. Reasonably priced food and drink and all ages there. We had a great firework display too..lighted boats sail past added to the atmosphere.
