id,uid,title,score,date,content
,,So interesting,5.0,,"- filled with information
- watch ceremonies live on main entrance and also meditation floor
- a lot read and discover for those who don’t know anything about Buddhaism
- beautiful interior and exterior
- peaceful environment
- nice rooftop area with lush vegetation and great views"
,,Never Ever Miss This,5.0,,"This temple has 5 floors. I do recommend you to visit every floor. I did plan only half and hour for this temple, but in reality I stayed there for 2 hours. Although it locates in China town which is a very busy area but this place is really tranquil.
Walls of the first floor are decorated with lots of Buddha statues. Buddha statues represent zodiacs.
A square walk way on the second floor exhibits story of Buddha in Singapore. Also many souvenirs from visitors are presented here.
There is a small but nice museum of Buddha in this region on 3rd floor. Also many Buddha relics presented here.
On 4th floor, the Buddha tooth relic is presented in golden stupa. Also floor tiles are made from gold. There are meditation area on both sides. It is really peaceful supporting meditation.
Roof top is also nice with small garden growing orchids. There is a big bell you can walk and hold a rank walking around for meditation."
,,Beautiful,5.0,,This temple is quite beautiful. You walk in and they will give you a sarong to cover up for free. It is interesting to walk around and read about a different religion from my own.
,,Beautiful and tranquil,5.0,,"Well worth a visit. The temple is stunning and allows you to visit all the levels - museum, history, orchid garden and the main temple itself. Very interesting as you learn about the building and the religion."
,,Beautiful tranquil temple,5.0,,Free to walk around. 4 floors including a roof garden. Lots to look at and read (if you’re inclined).
,,Don't miss the orchid garden on the roof,5.0,,"It's easy to think that the ground floor is the only part to see. But if you go to the right you can go up in the lift to see the temple of the Tooth, orchid roof gardens, museum and I believe you can get vegetarian food in the basement.
Not to be missed.
Remember to cover knees and shoulders (although there are scarfs and sarongs available to borrow)"
,,Fascinating and beautiful,4.0,,This Buddhist temple was as magnificent as Cathedrals in Italy with really beautiful artifacts. The had thousands of mini Buddha’s lining every wall on every floor. The rooftop garden was a delightful surprise.
,,Buddist Culture,4.0,,I enjoyed seeing the architecture inside and out. There is also a museum. It is currently under construction.
,,"Hidden within China Town, you must go",5.0,,this is an amazing place. One should always make time to visit this amazing temple somewhere within China Town.
,,Worth the visit,5.0,,"we went to Chinatown to visit the Buddha Tooth Relic Temple and walk around the neighborhood. The Temple is beautiful, you can really feel the peace and serenity of the religion with a brief visit."
,,Excellent must visit,5.0,,"We went to look at the temple which was very nice inside. We did not know that it was also a museum. You can catch a lift to level 4, then walk up the stairs to the roof gardens, very nice. Then there are 3 floors of museum to look at. We stayed from the roof garden and worked our way down. The people looking after the temple were very nice. This is a must visit when you go to Chinatown"
,,Amazing interior,4.0,,"The temple is filled with beautiful and interesting artifacts and architecture. Gold is used throughout and makes the temple have a glow to it. When you visit, make sure to cover your shoulders and legs - this applies to women for sure. I was given a shawl to cover my shoulders as I had a tank dress on. It was amazing to see the hundred Buddha statues on the first floor. My son and I just stared for a second as our senses were a little overwhelmed. Then there’s an elevator to the fourth floor which is where the tooth is located. It is enshrined in an enclosure and close circuit television allows you to look at the tooth. Was informed no one other than the most senior of monks are allowed into the area. I don’t know if I believe the tooth belonged to Buddha but the temple itself is amazing to visit. Because we were with a tour we didn’t have time to properly wander in the temple but our brief visit still left an impression of wonder. Will have to come again to see the things we missed."
,,Mesmerizing,4.0,,I liked the colors and the statues in this temple. It feels very serene and calm inside. There are lot of local people who come and offer prayers.
