id,uid,title,score,date,content
,,Bustling and colourful,4.0,,It was great to arrive in Chinatown and find a great place for noodles and help to find a $S 3 Tiger beer to quench my prodigious thirst. It is a thriving place to pick up some souvenirs also.
,,"Fun, fun, fun!",5.0,,"So much to see, hear and observe! Watch your step as you might step on some food. Food is everywhere you look. Cultural Heritage Center is a must, otherwise just sit somewhere with a drink and observe!"
,,"Seen one Chinatown, seen 'em all",4.0,,"Chinatown in Singapore is reasonably typical of other Chinatowns I have visited. There's a variety of market stalls, food streets, etc and plenty to keep you busy for a couple of hours."
,,Worth having a look at Chinatown!!,5.0,,"While in Singapore we went on a tour in Chinatown looking at all the shops and food places, well worth having a look and make sure to ask some of the locals for the best food places."
,,china town Singapore,4.0,,"Lots of shops, restaurants, places to stay...your typical Chinatown....but much cleaner than most. Came here to grab lunch and to just look about. Always a fun spot!!!!"
,,ChiTown,4.0,,"Street hawker, pawn shop, chinese chess, etc. Enjoy every moments strolling around eating local foods."
,,Cheap souvenir,4.0,,If you want cheap souvenirs .just come to this place. ( MRT NE4/DT19) Theare are traditional food and good place for shopping.
,,I didnt buy anything,5.0,,I didnt buy anything from this place but there is a shopping mall on the other side of the road where they have Daiso (a Japanese dollar store). Google it cause its awesome
,,Cheap place to shop and eat,5.0,,"There's a money changer that offers a good price. Always with long line but worth it.
You can find almost anything here with a cheaper price. From medicine, snacks, souvenirs etc. A lot of good foods with reasonable price. Even Singaporean shops and eats here. A must visit place."
,,Weekend Outing,5.0,,"Great place. Crowded. But very cultures oriented. Good for family outing as well. Lot of eatery to try on,"
,,Great bargains,4.0,,"If you are after handbags, silk dressing gowns, Knick knacks and a bargain then this is a great place to visit. Friendly people working in the stalls. Got some great bargains. Ate at a lovely restaurant for lunch and was quite cheap and yummy and air conditioner was great. MRT station right in the middle of china town. It’s clean, but not to the normal standards of Singapore. However bring water it gets very hot walking around."
,,Great for photos!,5.0,,Really nice shops to get some food and really good for walking around and taking photos. Great hawker centres with cheap food too. I’d recommend also walking towards the Rochor/Duxton area as they’re all around the same area!
,,A must see area,5.0,,"Chinatown has become a little more comfortable in the last five years - the street stalls in Smith Street with its outdoor cafes now have semi-permanent seating areas and more well established hawker stalls but it is still a fascinating place (among many in Singapore) to visit. The shops, eating places and temples are addictive. There is smoke much activity and and interesting things to see and taste you could easily spend a day. Definitely allow a full half day at least."
,,Great authentic Asian cusines.,4.0,,"Even thought the name ""China Town"" supposed to be Chinese, but I also saw some other Asian cuisines around the area.
We ate at the hawker center which is located in the heart of China Town. The food at hawker centers are much cheaper than restaurants and you don't have to pay ""food & services tax"". That's what we like."
,,Great for people watching.,4.0,,"This is a very good activity to shop, eat and get your gifts. Food not as cheap as you can find in other areas of Singapore but still ok. Happy hour beers $8.00 meals $12 -$16.00"
,,Nice to see part of local heritage,4.0,,Visited as part of a tour. Walked to and visited temples. Went to Buddha Tooth Relic museum which was interesting. Also walked by restaurants and town square. Good to visit to see part of Singapore culture.
,,"Great, cheap shopping and good food",4.0,,"My family and I really like the Singapore Chinatown. The shops on streets closed to traffic are always worth a look. We like eating at the restaurants or the Hawker stalls in the Chinatown complex (very traditional Singapore food) and Peoples Park (more Chinese to our thinking). The heritage tour is worthwhile if you have time, but you can also just wander through the streets and stop at temples - especially the Buddha Tooth Relic temple."
,,Very tourist friendly! and has a lot of malls and nice souvenirs.,5.0,,"This area is stunning with all the malls and shops. It is very easy to get to because of the MRT. There is a beautiful Buddhist temple, the heritage center, and the visitor center."
,,"Slighly boring, except food street",3.0,,"We visited several time, different times. Not so interesting for turists compared to other countries. Food street was good."
,,Worth to visit once,4.0,,I visited this area once. It looks like China and you can feel the Chinese atmosphere and culture. There are plenty of small shops with beautiful and attractive goods but the shopping center was awful. I think spending two hours is enough.
,,"Cheap souvenirs, irritating touts",1.0,,"The difference between Chinatown and Little India was quite enlightening. In Chinatown, the shopper tourist is never left alone. In Little India, one is free to roam without the irritating sales pitch of the everpresent tout."
,,Avoid the tourist food in Chinatown.,4.0,,"Hi folks. Well I’ve lived in Singapore on and off for 23 years, and I love Chinatown. However there are a couple of places to avoid, unless of course you are a typical tourist with big pockets.
One place to avoid for food is Smith Street, yes it’s nice and now totally under glass that spans over the shop houses on both sides, but it is a tourist trap for expensive food. Well maybe not expensive for you, but not that many locals eat there, the place thrives on tourists. So what to avoid, well for one it’s Chilli Crab, it’s meant to be a Singapore delicacy, but to be honest it’s just a crab covered in chilli sauce, very messy and very expensive. There is a Thai place in Smith Street and also a Vietnamese food place, neither very good or authentic, it’s tourist food, plain and simple.
The alternative is to go across the road to People’s Park and eat in the Hawker Centre. It is full of locals so that tells you something.
There are some nice little streets around Chinatown, go down Pagoda Street to the Chinese heritage centre, walk around inside one of the old shop houses to see how all the Chinese lived once they arrived in Singapore from their home country. One of my old Chinese friends was brought up in a room in a shop house, and he said it really was like that when he was a child, worth a trip.
Next to Sago Lane is the Buddha Tooth Relic Temple and Museum, worth a visit, very bright and ornate inside. Don’t worry if you are in shorts or a tee shirt ladies, they have clothes for you to cover up so you don’t offend anybody.

Across the road from there is Maxwell Food Court, lots of different foods to try and a very famous local Chicken Rice still, all at local prices, $5 will get you a good meal. $7.50 will get you a large bottle of beer.

Have a walk around the side streets, lots of little stalls selling gifts and bits, you can even get a suit or shirt made, but not the same day.

Hope you enjoy it, it is nice, just check the food prices before you order. Oh and don’t forget the restaurants costs are all plus plus, what you see add 10% service charge and then 7% GST.
It’s best to stick to the Hawker Centres and little coffee shops really."
,,"Culture, Good Food, Durians, Sightsee",5.0,,"Chinatown Singapore, things to do, sights to see, street and restaurant food, culture & heritage, jostling for space in a compact area. Smith Street (or Chinatown Food Street) as well as many street corners and up and down alleyways for food options. Durian stalls (king of fruits, some say), winebars, bak-kwa (Chinese salty-sweet dried meat, similar to jerky), dimsum/yumchar coffee shops or restaurants, Buddha Tooth Relic Temple, Sri Mariamman Hindu temple, many more sights & sounds. Too many to do; picked one or two each trip. I have gait/walking challenges (stroke), all sightseeing has to be well-researched and not overly taxing; I wear a legbrace. We used Chinatown MRT, close to everything, Lau Pasat foodcourt walkable; Maxwell Hawker Food Centre, Ann Siang Hill food street, and more. Souvenir hunting, exotic fruits; a must to visit."
,,chinatown,4.0,,shopping and eating. We ate some great seafood incl singapore chilli crabs. you can negotiate prices to some extent
,,weekend visit,3.0,,"Attended Chinatown on the weekend. From our experience would definitely avoid the weekends as it was wall to wall shoulder to shoulder people. It may be a personnel thing but this would not be on my priority list of things to do, Maybe a week day visit might have been the difference"
,,Cheap but quality food!,5.0,,"When in Singapore, Chinatown is worth a visit. It has a real vibe about it and the food variety is immense. Best of all you won't break the bank when eating there as Singapore is expensive."
,,A getaway from tourist but with tourist parts,4.0,,"The hawker centres here are overflowing with choice, usually not hard to find a table then be Daring and try something unusual. Eg ; Lor me. Yes u can do tourist to but the real enjoyment is mingling in genuine Singapore."
