id,uid,title,score,date,content
,,Paradise under cover,5.0,,"The architecture combined with the trees and greenery was a sight to behold. It was like another world, a world protected and apart from the city surrounding it. Precious."
,,the waterfall is Amazing,5.0,,This is one of the 2 domes found at the gardens by the bay. This dome has a amazing waterfall that is about 6 storey tall. So beautiful; must visit. The air inside smells very fresh.
,,Fantastic atmosphere,5.0,,"Water vapour in air Cool temperature and exotic plants and flowers Waterfall Interesting lighting at night, misty, out of this world feel Overlying vegetation : walk on steel walkways"
,,Beautiful!!,5.0,,You have to go is all I can say! The creativity for this place is amazing. It can be quite cool in there so a long sleeve jacket/cardigan may be useful.
,,A must see,5.0,,"This was truly brilliant, take your time and enjoy. There is a lot to see and take in, from the scupltures hidden away, to the unique gardens. Some areas can get a little congested, so be patient. This is well worth a visit."
,,Air conditioned forest with man made water fall,5.0,,Air conditioned forest in the mid of the town with a 30mtr high man made water fall. can spend at least half a day over there. Singapore as a city is really great in maintaining the greenery. Loved it.
,,Sustainability,4.0,,"Awesome gardens. Pity that the shops around don’t practise the sane sustainability. So much single use plastic and straws in use at the gardens, that it seems hypocritical to preach future sustainability inside the domes"
,,WOWWW,5.0,,"whe you enter the pace and see this huge moutain of green you really feel amazed, it s fun to ride along and see all the beautifull flowers and read all the informations"
,,A green oasis in the middle of Singapore,5.0,,"Waw, this place is just amazing, if you like nature, plants, flowers, trees, there is so much to see, that it is just difficult to put it into words. Just go!"
,,Amazing place,5.0,,Really loved this place. Its unique and acts as refreshment in hot and humid singapore weather. Would recommend anyone to visit within a time when you can visit the light show.
,,Visit to Garden by the Bay,4.0,,Nice to visit Cloud Forest but a family with a toddler and young kids will be having an issue with going up and down to the staircase. There are 2 lifts in this building but so crowded if you happen to travel on-peak hours and holidays and weekends as well.
,,Very Cool,5.0,,"This was probably my favorite thing we did in Singapore besides eat amazing food. We enjoyed this dome the most out of our time at Gardens by the Bay. The gardens are beautiful and well designed and it was not too crowded on a Sat early afternoon to be unenjoyable though I wouldn’t try not to go when it is very crowded. I loved the different levels to view the garden, the orchid smelling exhibit and the views outside the dome while enjoying the gardens."
,,Awesome experience but not for some,5.0,,This was a great thing to do - the cloud forest is a series of environments and experiences that are well worth visiting. If (like my wife) you have a problem with vertigo then this is a challenging environment. But if not it is a truly exceptional place to visit - both for the views of Singapore and the cloud forest itself (including stalagmites and tites).
,,Refreshing,5.0,,"All the Family walked in and Wow, Breathtaking, Refreshing. Husband ,Daughter,Son made the climb to the top."
,,Always come back.,4.0,,That's always amazing to come and show this lovely domes to visiting friends. Very great views into a refreshing rainforest. I love it that the themes in the flower dome are frequently changing.
,,Impressive experience,5.0,,I bought a combi ticket for around 20eur which provides access to both the Flower Dome and the Cloud Forest. No need to make an advanced reservation. The cloud forest is an indoor forest including high waterfalls and looks impressive. The variation of green used in the forest amazed me as well and are beautifully presented. A trail around the forest leads via awesome skywalks to the top of the waterfall. Highly recommend attraction and worth the money when in Singapore.
,,"Must Visit Place, Expect Crowds",5.0,,"This definitely is a must visit place. The ticket you buy also allows you into the flower garden next store. Very scenic inside. We ended up coming on a weekend and it was really crowded. About a 25 minute wait to take the elevator up. It’s best to time your visit so you can see the Super Grove Trees light show at 7:30pm shortly after (maybe dinner in between).

Like most attractions, it dumps you off in the gift shop at the end. Snack bar right outside of the gift shop."
,,Beautiful,5.0,,"The waterfall as you enter is magnificent. The walkway from the top to bottom is beautiful with the many plants and scenery of MBS building, Singapore flyer and the super trees. Being able to stand behind the large waterfall was lovely. Worth the money."
,,"""unforgettable experience""",5.0,,fantastic structure and once in a lifetime experience.. if you are in Singapore then must visit place. Its human made masterpiece.
,,Absolutely mind boggling,5.0,,"If you ever wanted to go into a deep forest but never wanted the trouble of getting there - this is your best bet. You will have to deal with the fact that it's air conditioned and quite cold on the inside and that there are no bugs. But the amount of time and thought invested into this project is brilliant. The first time I saw something like this was in Dubai. But this just takes it up a few notches. A massive waterfall (which you can walk behind), walk 7 flights up and slowly find your way down. This place isn't great if you have fear of heights or vertigo. But otherwise, it's magnificent."
,,A unique experience,5.0,,"Many others have described what is in the Cloud Dome and I agree with the comments - it is amazing whar the architects/designers have created here. There is so much to look at and experience especially in a cool enviroment. I particularly enjoyed trying to spot the different plants in the main structure and the orchid display proved interesting especially pointing out that some species have a smell which I didn't realise.

This attraction is great for all ages and along with the flower dome I can recommend a visit for all ages."
,,⭐️⭐️⭐️⭐️,4.0,,"We went to the cloud forest on two consecutive days- Friday night and Saturday afternoon. I personally appreciated it Friday night because of the lights, the cooler atmosphere and most esp because there were no lines and less people. Regardless, it was a beautiful place ❤️"
,,Amazing especially on a hot day.,5.0,,You must visit these gardens. You won't be disappointed. The designers have done a fantastic job in building the display and the structure itself is amazing.
,,Mesmerising Creation,5.0,,Very very creatively & artistically put together.......something different from the regular outdoor garden s ...... wooden carving z are 👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻..... Have have to c it to believe the wonderful creation.... it’s worth the money spent 🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️
,,Incredible,4.0,,I’ve seen nothing like it before it is truely incredible. An indoor waterfall and all! A bit pricey but if it’s your sort of thing than it’s worth it
,,Mesmerizing and very informative,5.0,,It is a beautiful structure and feels like a continuation of the flower dome. It is a sight to behold and it has beautifully crafted wooden animals. There is also a small video clip where it explains the effects of global warming and encourages people to think and be green.
,,Man made jungle,5.0,,"Unique architecture with man made water falls, it educates children about urban living. Visual educational aids available to children to see how global warming can affect the humans. Fantastic effort from Government"
,,Superb Experience,5.0,,"This was our third visit (over a number of years) and remains impressive. Remember a light jacket if you feel the cold, it is lovely and cool inside. The viewing platforms and walkways give a fabulous view overlooking the high waterfall and trees. There is a lot of fascinating information around the centre and the gardens are superbly maintained."
,,Beautiful Garden Display,5.0,,"I highly recommend visiting the cloud forest in Singapore. It was a very hot and humid day, but the cloud forest was an oasis from the heat. The garden is well presented and the aerial walkways give beautiful views of the various plants."
,,Stunning Botanical Property,5.0,,Great variety of plants and definitely worth visiting. The flower enclosure next door is equally stunning.
,,Loved it,5.0,,The displays here change regularly and when we went the focus was on orchids. Beautiful and well displayed
,,A must for gardeners,5.0,,"The Cloud Forest is definitely worth visiting. My expectations were not high but I was looking forward to a controlled and cooler 'climate'.The floral and garden displays are beautiful showcasing the diversity of colour and shape of plants. As you follow the path, inside the dome, there is another surprise around each corner. The signage is excellent and informative.The scented orchid area was very interesting."
,,Beautiful,5.0,,So the Cloud Forest is part of Gardens by the Bay but you pay separately so you don't have to go in but it would be silly not to. Another must see. Singapore has soo many amazing places.
,,Great experience,4.0,,"Loved seeing the waterfall from the top, 3rd largest in the world. Takes about an hour to get around. Easy to find next to the ticket office and the queues were minimal at 10.30am. You can get wet close to the waterfall at the bottom and I expect at misting times. Think it’s a bit cheaper to book on line rather than at the ticket office."
,,Misty Mountain adventure,5.0,,"Gardens by the Bay, Cloud Forest. Inside a monolithic greenhouse-like glass dome is a manmade-mountain. Towering, majestic waterfalls, perfect misty conditions – can get wet if you venture too close in getting the perfect selfie! I have gait/walking challenges (stroke), all sightseeing has to be well-researched and not overly taxing; I wear a legbrace. Start at the top, a steel-mesh walkway leading forwards to descend; look out from glass windows of the dome – silhouetted outside are impressive Marina Bay Sands hotel, Singapore Flyer, Supertree Grove. Many exotic trees, shrubs, rare plants in one place, jet-blasts of water-vapour at intervals - misty, tropical surroundings. Too many sights to do in GBTB; we picked 2 or 3, as we only had a short stopover. Train, bus, taxi, various ways to get there. Well worth it."
,,Great,5.0,,Cloud forest and its sibling flower dome are 2 really nice (air conditioned :-)) environmets showing off on natural beauty (although in an artificial environment).
,,"Spectacular, part of the Gardens by the Bay",5.0,,This is one of the highlights of Gardens By The Bay and really not to be missed. The running water makes it a wonderful experience and well worth the entrance cost.
,,Fresh cool mist,5.0,,"The 30 meter indoor waterfall with so much greenery from top to bottom creates a surreal misty cloud forest. From the moment you walk in, the cool cascading falls and air draws you to take deep breaths which is so refreshing! The mist does get you wet all over especially when taking photos nearer to the waterfall but that’s part of the fun Take your time to admire its entire purpose and the Treetop Walk is not to be missed!"
,,Fantastic,5.0,,Another must do while visiting Singapore. We spent a good two to three hours here and intend to revisit.
,,Must see,5.0,,A truly amazing place to see all the plants and trees from around the world as you walk the walk ways that tower above the greenery. A very unique building that can house this exceptional collection of flora
,,A stunning experience!,5.0,,"The thought of visiting an indoor rainforest seems crazy but this was such a beautiful experience I have returned to see it a number of times.
It is a very leisurely stroll through the dome but for those people who are afraid of heights you will be walking high in the canopy but it is very safe and you have no need for concern.
The views are breathtaking. My most enjoyable visit so far has been in the evening just before the dome closes. It was dark outside with rain cascading down the outside of the dome and there was a mist of water watering the plants. It was stunning!
Definitely consider buying a ticket that gives you access to a both of the domes and the new attraction Floral Fantasy and a shuttle bus ticket in between the atractions."
,,Just Brilliant,5.0,,Don’t miss this unique experience - really is superbly designed. Easily spent over an hour here. Perfectly complements other sites in the bay.
,,Too crowded,3.0,,We were unable to walk much and take good photos Because it's simply overcrowded... Beautiful waterfall but filled with people walking ahead and behind us.. Hardly any space to move
,,Fantastic,4.0,,"This large dome within the gardens, houses a massive 35 metre manmade waterfall and mountain upon which there is a planted tropical rainforest - certainly gives a good impression of one & the spray from the waterfall aids the whole atmosphere. Worth a visit whilst in the gardens."
