id,uid,title,score,date,content
,,Impressive even if there is no race,5.0,,"The street circuit in Singapore is open for public and runners even when there is no race. The race is in September, but the lights are already installed and you can take a walk in the pit lane and see the finish line. A must see for Formula 1 fans and much cheaper outside the racing weekend."
,,Night Race - Must See,5.0,,"One of the few night races at a great place! The lights, the city buzz makes it an unforgettable experience! Celebrating on the pit lane made it a wonderful experience!"
,,Lovely location near the Singapore Flyer !!,5.0,,"F1 Singapore grand prix track is right next to the Flyer. We walked by the track to see the place up close. The view of the harbor and the Marina Bay Sands hotel with Flyer in the background is awesome !!!

The Singapore Grand Prix motor race forms part of the Formula One World Championship. The event takes place on the Marina Bay Street Circuit and was the inaugural night race and 1st street circuit in Asia designed for Formula One races !

Spaniard Fernando Alonso won the first Formula One edition of the Grand Prix, driving for the Renault team amid so called controversial circumstances. The Singapore Grand Prix will remain on the F1 calendar until at least 2021."
,,What a BUZZ,5.0,,"Walking around the Pit Lane and the Start/Finish line of the Singapore F1 Street Circuit was tight up there. Now, I’m not so sure we should have been there but, no one came near to say we shouldn’t. Best part of an hour wandering around the Pit Lane. Standing at P1 on the grid was awesome and totally surreal. A goal has been to see the Singapore Grand Prix but with the announcement of the 2020 Hanoi circuit and my love for Vietnam then I’m thinking it wins."
,,Absolutely amazing,5.0,,The circuit is located near Marina Bay. The circuit is a street circuit with amazing corners and Straight drives.
,,Absolutely brillaint,5.0,,"We were lucky enough to get 3 day ticket for this years Singapore Grand Prix, prior to and after racing so much to see and do, with Live Bands/Acts playing in various areas, the racing itself, although not a major fan was breath taking and the noise of the cars made the hairs on the back of your necks stand on end, great atmosphere and superb way to spend 3 evenings in Singapore"
,,Best GP of the year - 2018,5.0,,"Night GP under the lights. We purchased 3 day tickets from Gootickets which were delivered to the UK in good time. Due to the late start it ,means that one can have a useful day in the city before going to late in the afternoon.

Great music entertainment in all sectors, easy access and good standing areas to be found if one does not have a seat. Best free area was rather hidden away for corner 1,2 &3, well worth trying to find those. ."
,,Bucket list - Check!,5.0,,"It was always a dream of mine to watch F1 live, especially during the time when Michael Schumacher was still racing with Ferrari, however, since it is now 2018, he has since retired and actually suffered a debilitating head injury so it was Sebastian Vettel and Kimi Raikkonen driving for Ferrari. Anyways, the Singapore GP was the reason why I went back to Singapore for the 2nd time this year. (First was in May with my family) I stayed with a friend who works there so I got away with free accommodations. Speaking of which, make sure to book way in advance to avoid the expensive rates especially during the race weekend. There are also tickets for the next year's race (2019) which you can buy now at a 30% discount. Make sure you familiarize yourself with Singapore's MRT as this will be your best friend going to places where the roads have been closed off due to the street circuit nature of the race. The concerts in the Padang Stadium before the race on Sunday was fun, this year (2018) Dua Lipa performed and it was a blast watching her live. (my daughter may have been jealous had she not switched to k-pop) One thing nice about the GP weekend, the air was festive, people were out in the streets up to the wee hours of the morning after the race, it was off to Clarkey for more drinks and food. And in all that, you never feel like you are in danger strolling the streets of Singapore. (Much safer than in my own country mind you) MRT and bus schedules have been extended to compensate for the influx of tourists to watch the GP (noticed that mostly were Australian? :) Rooting for their mate, Daniel Ricardo. I will most definitely go back again to watch them live, maybe when the son of Michael drives for Ferrari. :)"
,,Not the best race but thumb ups for entertainment,4.0,,"As street circuit with short straight and narrow street, not many exciting race action for F1 fan like me but since Malaysia GP dropped, Singapore now the only country in SEA offers F1 race. The ticket is quite above average but it includes world class concert and other actives like firework after race. Been purchased both walkabout and Bay Grandstand all were not so great. Bay grandstand offers magnificent view to Marina Bay and downtown and firework but very short straight. The public commentator was average, should have shown Sky F1 with Martin and Crofty. After first 10 laps will not be many action, we went down to get food. Thera were many eateries in the circuit. Tips of you get out from Padang stage, better exist via Jubille bridge."
,,Very entertaining event,5.0,,"I am not a big fans of F1 but I always excited and dream to attend F1 Singapore Night, because it will be the only night race in F1 series, so when it happen, I really really excited. I had seat in the Bay Grandstand which haven't had a lot to see, just a short straight line, but the whole experience was amaze me. Mostly how the arrange the event and of course the entertainment. It was really great. I hope I can come again."
