id,uid,title,score,date,content
,,Not My Seen,3.0,,Ok don’t no what the hype is about this fountain. Located out side tower 3 suntec city. You can view from top or find your way down stairs and walk around water. Not my seen.
,,A Sight to bee seen at Night,5.0,,This isn't a must do thing but if your in the area or visiting Suntec City you can stick around for the lights to come on. During the day it doesn't look very special but at night when the lights come on it does look very pretty. In Singapore this is the symbol for the wealth that flowes through the city state a lot people throw coins in the fountain hoping it will bring them some of that wealth. I recommend getting a pizza at ALT pizza at night and enjoying the beautiful Display of lights at the Fountain my kids enjoyed it a lot.
,,World’s Largest Fountain,3.0,,"Draws on the Hindu Mandala which means universe. It represents the blending of the many races, religions and cultures that make up the population of Singapore, and the harmony in which they live."
,,Something different in a shopping complex,4.0,,"The Fountain of Wealth is situated in Suntec City so if you are in the area, it is worth a visit. There are a lot of little water spouts coming up from the ground and you walk up a path to the actual fountain, walk around it 3 times with your hand in the water and wish.
Something different to do in Singapore."
,,Biggest fountain?,3.0,,Claims to be the biggest fountain but sure there was a larger one in Dubai! It’s a nice attraction & something you can’t help but pass when doing the city bus trip but not sure I’d go out of my way to visit it!
,,Best at night - lots of color,4.0,,"Pics from 31st floor in Conrad Centennial Hotel. Mesmerizing at night to appreciate the grandeur fountain.
Open to go inside the fountain during the day; check the times.
Can also eat at ground level view from Suntec City in their food court and restaurants surrounding the fountain!
Neat experience"
,,strange,3.0,,Left wondering why this is biggest fountain in the world – nothing to see and nothing to experience – quite a strange place and reviews… But on the way to marina bay you can stop for 1 minute…
,,Nice to look at.,4.0,,Nice to look at. Nothing to go out of your way to find. if you are in the area ok. I didn't even know it was the worlds biggest fountain until i read it here...
,,Air flow is so gooood,5.0,,It's located at the B or G floor infront of supermarket. Touch water and pray. The Laser show should be check and yu can upstair to sky garden (maybe 3rd floor of Suntec city build.1) so windy and good to stay here for a while. They provide Live chat when you lost your way
,,Crown on the Street,4.0,,"Fountain of Wealth •
Beautiful as ive seen it the first time
its like a Crown in the middle of Concrete jungle city of Singapore
declared as largest Fountain in the World year 1998 and still looking magnificent especially when water is cascading from the top and illuminated by lights.
Diners has a good glimpse of view from Suntec basement where foundation of structure stand."
,,SPECTACULAR FOUNTAIN,4.0,,"The Fountain of Wealth is at the centre of the Suntec Complex. It is an amazing design and since it`s completion, has aroused all sorts of ""superstitions"" and stories about generating personal wealth ! It is beautifully lit at night. Some research before you travel will enhance your visit."
,,Beautiful and one of largest man made fountain,5.0,,"Location: Awesome Perfect: For evening Surrounding: Shopping area excellent, meeting area and also City tour buses run from nearby. Lighting: Awesome especially around 6 pm. Cover: 4 building around it."
,,Day time visit,4.0,,"Went during the day and it’s no doubt more amazing at night with the light show, but enjoyed the visit and hoping the wealth comes our way!"
,,A bit disappointing,3.0,,You can only get a reasonable view from inside the mall. You can’t actually get to it from outside. I would not go out of my way to see it.
,,Probably best seen at night,4.0,,"We walked past the fountain and we viewed it from the top deck of the sightseeing bus on many occasions. It is an impressive fountain, standing 13.8m high with the circular ring supported on four columns. Its location is regarded as the Hub of Suntec City and represents the palm of the left hand with the surrounding tower blocks representing the thumb and four fingers. We did not get to see the laser displays at night, whenever we passed there were the inward flows from the ring, no large jet. Shame we did not see it in full flow with the lasers so that we could draw a comparison with the fountains in both Barcelona and Lima"
,,Big and colourful,5.0,,"I am staying at Conrad Centennial Hotel and my room overlooks the fountain of wealth. It is the largest fountain in the world according to the Guinness Book of records. It symbolises wealth and life.
I watch groups of people walking around the inner fountain when the main fountain is turned off. Apparently anyone who circles the fountain three times while touching the water will receive good luck and blessings. The bronze ring of the fountain is designed based on the Hindu Mandala, meaning universe and is a symbolic representation of the oneness in spirit and unity and further symbolises the equality and harmony of all races and religions in Singapore."
,,Enjoy the afternoon break,5.0,,"I liked to be there walking through the fountain. The energy from the water itself brought me.. comfort, relieve and relax during the day."
,,Worlds Largest Fountain,5.0,,This is the World's Largest Fountain. Located in the prime location of Suntec City Mall.Nice place to relax and take pics. Ppl also believe in good luck on throwing coins.
,,Wealth Fountain,3.0,,I am not too sure how this works but this Fountain of Wealth is supposed to be auspicious for you. There is nothing much to shout about but it is definitely a decent spot for photography and say that I have been here. One has to go into the centre of the fountain and make a wish and your wish will apparently come true....I hope so:)
,,Chasing wealth,2.0,,Frankly nothing much about it! Just a very modest fountain with a below average design but it may have a relation to chinese mythology as you should wait for the water to stop then enter inside the circle and enjoy being inside this circle of water.
,,A quaint installation.,4.0,,"The combination of the five towers in the shape of the fingers of the left hand with the fountain in the palm of the hand is supposed to symbolise wealth, as does the fountain itself with the inward flowing water jets. Go between 2 - 4 pm. to walk into the fountain and to go around the center jets to make a wish!"
,,Average Fountain,3.0,,"Average fountain, they used to do a light show which they have stopped so its kind of average now. Can stop for five minutes to enjoy the refreshing breeze."
,,Brave the traffic first,1.0,,"Just another fountain, a made up tourist attraction adjacent to a shopping centre selling expensive items. One need to brave the continual busy traffic flow before getting near this concrete monstrosity."
,,Just Another Fountain,3.0,,This fountain is right outside Suntec City Mall. Its more of a decorative piece and does not hold any historical significance. Good to have a look though. We mostly saw it in a non-function state and it was underwhelming.
,,place where I proposed to my Wife ten years ago,3.0,,Back to this fountain again and brought back fond memories. But it used to be better when there were laser shows and music. These days it’s just another fountain.
,,Just a landmark,3.0,,"Nothing remarkable, just only fountain and believe. You can visit here if you have nothing to do so."
,,"It is a fountain, that is all",1.0,,"What is thisvsupposed to be? Fountain of wealth, what sort of? Horrible in the extreme and if wealth meansconly money and technology we will soon bevruked bybrobots and zombies. A must tonavoid!"
,,What Fountain??,1.0,,I cant really comment as it was NEVER turned on. In the entire 6 days we stayed in Singapore we passed it daily if not bi daily and not o ce was it turned on!!!
,,Nice fengshui place,5.0,,Fountain of wealth is a fengshui Fountain. Thoroughly enjoyed it. It's in suntec city. Lovely food options in the food courts too.
,,"A MUST BE DONE ACTIVITY ONCE IN SINGAPORE, NOT TO HAVE REGRETS.",4.0,,"Foutain of wealth is a must be done activity once in Singapore. It is easy to find, easy to reach and do not take much of your time. You can go by day or by night, but better by day if you want to access the inner small fountain, which you should turn around 3x, touching the water with your right hand and make a wish on each turn.
Many people are coming to see this fountain and to make their wish. Whatever if it works or not, do not miss the chance to try it, in order no to have regrets.
I will soon add some photos to my review for you to see what I'm talking about.

otterboris"
,,Not an ordinary sight,3.0,,"Strolling trip for singapore, we have passed by this landmark where a structure or a work of art is alive. A big fountain between the big buildings of Singapore. Not an ordinary sight as it was made good and extraordinaire. We have seen this from above a “balcony” part of a mall."
