id,uid,title,score,date,content
,,Fun Area to Explore,5.0,,This was a fun little area to explore. Lots of shops and restaurants to go into. Leads right to the mosque.
,,Really interesting shops & so many photo opportunities!,4.0,,"Such a cool, vibrant vibe here, & photo opportunites at every turn! Lots of boutique type stores, & plenty of nice healthy places to eat or grab a drink."
,,A must do!,5.0,,"We visited recently a did a self tour which I included little India, haji lane, Arab st and China town.

Haji lane was so much fun! Recommend stopping by one of the coffee shops and people watching.

The boutique shops and comic stores were fun to explore.

This has to be on your list when visiting Singapore !"
,,Nice thoroughfare in Little Malay,4.0,,Came here as part of our city tour and enjoyed walking around in the little shops. A nice range of boutiques and authentic ethnic stores complement the few bars and cafes; one can have a nice 30 minutes or make an afternoon of the street. Recommended.
,,Cutest district,5.0,,"Nice street, with art, cute little coffee shops and bars. I loved the vibe. We went to Limaa for fresh juice and did little shopping in hygge store. I can highly recommend to visit this area"
,,Quirky,4.0,,"Haji Lane is a shopping area in Singapore dedicated to small boutiques and coffee shops / restaurants. It comprises of small lanes selling tourist nik naps to clothing and homeware in some quaint boutiques. What makes it different is the colourful street art that adornes the buildings and streets. I teresting and colourful and great for some dufferent photo opportunities. Wander, shop, drink, eat and take in the atmosphere and sounds. A popular area and well worth a visit for a morning or afternoon. There are several streets to browse including Arab street where there is a large Mosque you can visit."
,,Lots to see and eat!,4.0,,"Many shops and eateries. Great to wander! If you can’t find something here that suits your fancy, you should just go home."
,,"Eat, shop and play",5.0,,"This is were the cool cats eat, shop and play when in Singapore. A funky lane know for its bohemian culture and kick back vibes, reminds me a lot of Brunswick St, Fitzroy Melbourne ❤️. Filled with artisan shops, boutiques, independent clothing stores, cool bars, delicious eateries and much more. Highly recommend staying around this area, it’s has it all."
,,Must visit,5.0,,Definitely recommend visiting Haji Lane whilst in Singapore. So many unique little boutique shops and cafes. The street art is cool too.
,,Nice one,5.0,,One of my favorite areas in Singapore for Street Food. The best and cheapest street food we can find here.
,,Vibrant area with cool shops and bars,5.0,,Nice to stroll down Haji lane with various boutique shops. Good Mexican restaurant at one end and good prices bars to get a drink.
,,One of my favourite areas in Singapore,5.0,,Definitely a hipster area of Singapore. With lots of quirky shops and cafes. haji lane is well worth a visit.
,,Hipster,4.0,,"A street full of artsy shops & cafes. Very nicely decorated with lots of graffiti art. Perfect photo spot. The items sold in the shops are rather pricey, but they are quite unique & aesthetic pieces."
,,Vibrant colours,5.0,,Too many bars nearby here with many Turkish inspired items to purchase. Should I say perhaps a mini Istanbul or Dubai? Yes it was... tourist attraction and try to avoid the noon time due to hot sun. Evening should be the best time to have a date out. Try pedra it's well known here...
,,Vibrant,5.0,,"Taxi driver took us here on the recommendation of a local. Colourful street art, variety of stalls, all buzzing. Loved the vibe"
,,Not enouhg time!,3.0,,"This is a must if you are in the area. I visited this area at night, not so much throughout the day. The night life is great and is a must if you are looking for a good night of dancing and music."
,,Hipster Central,5.0,,Beautiful Street full of small Shop Houses with many Boutique shops and cafes hip bars and artisan souvenirs. There are many hostels here too so most of the crowd is young backpackers. There is beautiful graffiti which makes the place look bright and colorful not much for the kids to do here but it's definitely worth a visit.
,,Cute street with shops and restaurants,3.0,,"Probably I would not go out of my way to visit Haji Lane, but since we were in the area we did a walk through as well as to take a few snapshots of the graffiti covered wall at the junction between Beach Road and Ophir Road.

Haji Lane is kind of cute place to visit with some interesting stores and food places with lots of people taking selfies. We almost stopped at a restaurant called the Mad Sailors British Kitchen, but found it to be a bit grotty and when we went inside and sat down to look at the menu we were told that all the tables inside were reserved and that we'd either have to sit outside in the heat or sit at the bar by the window which we thought not too appropriate since we had young children with us. Since nobody else was sitting inside the place and the prices on the menu seemed a bit expensive, we decided to skip eating here.

Further down this small street were a couple of other eat places and shops selling this and that and we quickly arrived at the end of this street without finding much of interest. There was actually a place called Miao Cat Cafe just around the corner but it didn't look too interesting and was quite small inside so we skipped that too and moved on to Arab Street and other more interesting areas nearby."
,,Love the vibes,5.0,,Luckily this area was just below my hotel. Heaps of eateries to choose from. A lot of street music. I really loved wandering about and just taking it all in. I stopped for Mexican which was nice and fresh.
,,Small hip street,3.0,,Tiny lane similar to those in Europe where you can sit outside and enjoy the ambiance. It gets pretty hot sitting out there and the restaurants around are kind of mediocre. Still a cool vibe and some cool shops around though
,,Lovely colourful street,4.0,,I enjoyed Haji Lane. Very colourful and quaint. Some surprisingly good shops with great clothing. Well worth a wander down if you’re in the area.
,,Colorful neighborhood,4.0,,A nice hidden gem. Just a short walk filled with color and atmosphere. Restaurants and shops worth a visit.
,,Must see!,5.0,,"I HIGHLY recommend visiting Haji Lane during call to prayer. Listening to it is an unreal experience! Definitely visit nearby attractions like the Sultan’s Mosque and the Malay Museum! I was luckily able to visit Haji Lane during Ramadan and also got to experience the Ramadan bazaar that occurred nearby too. Haji Lane overall is a nice stop to visit on your way to Sultan’s Mosque and the Malay Museum. I’ve attached pictures of Haji Lane and the Sultan’s Mosque.

P.S. try to dress conservatively for the Mosque but they do have robes if you need it for free."
,,Hidden gem,5.0,,"We went to this place to fill in some time after seeing it mentioned in an Australian travel paper...what a gem. Very different to anything we had seen before. Not exactly Singapore culture as such, something very different but great fun to trawl the quaint shops and funky cafes. The next lane over is back to back fabric stores. Not sure how this would be in the rain though..we were there on a clear day."
,,Fascinating view of a different part of Singapore,4.0,,"A walk along Haji Lane provides a fascinating view of a part of Singapore that is probably more Bohemian and less well known even to locals. There are so many quaint shops to browse and buy from. Their wares are not the stuff you find in shops or departmental stores, but certainly you will find more than one souvenir to bring back with you, Its also another photogenic location, apart from Joo Chiat's peranakan houses. And the neighbouring area in Kampong Glam offers such a wide variety of food and drinks that it is a day well spent."
,,Vibrant street arts and shops,4.0,,"More of a tourist destination than for locals and filled with a spectrum of shops; from bars to desserts cafes to clothing shops.

Colourful artistic graffiti all around and beautiful decorations that make for many Instagram-worthy shots.

Recommend to go to Haji Lane on weekdays when it’s less crowded and to check the weather ahead of time. Haji Lane is mostly unsheltered hence it will be pretty hot outside. However, the shops are mostly air-conditioned which is a good respite from Singapore’s heat.

Many of the shops have narrow corridors and steep stairs hence may not be suitable for some. Though the main walkway is generally clear for ease of access, except for the small alleys.

One would be able to spend a couple of hours exploring the place if he/she/they chooses to."
,,"Quirky Street, great find",5.0,,"Haji Lane is a great area to shop around and get a nice lunch. There is interesting graffiti everywhere coupled with a hipster vibe that I really enjoyed. Be sure to do prior research for food ideas, because I ended up at a Turkish restaurant that took 90 minutes to serve our food."
,,"Haji Lane, Singapore",4.0,,A nostalgic past visit. Nicely rejuvenated to showcase the contribution of Arab traders to SIngapore's past. Nice little restaurants. Original fabric shops still there.
,,Welcome discovery,5.0,,The lady working on the shop when we visited on April 24 was so charming even though she was very busy. She kindly recommended a dress she thought would suit me and her expert eye was right! I bought the dress but could have spent even longer pottering about in the eclectic and creative shop. A welcome alternative to the high prices from Singapore shops. My husband also enjoyed browsing through the shop.
,,Fascinating street full of boutique shops,4.0,,"We read about this small street in an airline magazine and decided to see for ourselves. The street shops are very colorfully decorated. The shops are really boutique and are mostly clothing related. There are a number of pubs on one end of the street (only about two blocks long). It's worth a look-see for a good fifteen-minute walk (unless you see something you really ""have to have!"""
,,Colorful Life and Style,5.0,,"Good for photo shooting, fun walking and enjoy shopping but pls come a bit late afternoon as in the morning most of the shop closed but still lot of people come around and enjoy the modern and some old-fashion. But yes some small nice cafe open for some drink and breakfast. All the neighborhood is good to check-in also. Nice to see the combination of new and old. If you come in the evening you may meet all the bar and restaurants."
,,Lovely!,5.0,,This is a beautiful part of the city and well worth a visit. We went at night and at the restaurants were busy and lively. There was a music group singing outside one restaurant which added to the easygoing atmosphere. Lots to see.
,,Cute area,5.0,,Graffiti is not allowed in Singapore. The artwork is this area was really beautiful. Area is very quaint. I ended up in this area for at least 2 hours. A lot to see in this area.
,,Great place to check out trendy shops and restaurants,5.0,,"Located in the historic Kampong Glam sector of Singapore, easily accessible by MRT with Bugis station nearby, Haji Lane and the adjacent Arab Street are very worthy of your time. The very trendy boutique fashion, clever craft places, souvenir shops, cafes, restaurants and colourful painted buildings all add to the atmosphere of this place. It is popular destination with the nearby Sultan Mosque also worth a visit."
,,Culture everywhere,5.0,,"Went with a school study tour, a group of 70 families, lots to see, eat and wander around. Beautiful wall paintings and creative mastermind decorations are growing in this community everywhere, keep on going!!"
,,Cool place to visit,5.0,,When you’ve finished visiting the Mosque take a stroll down haji lane and check out the shops and cafes. Quite a hipster area.
,,For hipsters and alike!,4.0,,"Kinda an artsy and trendy place, lots of quaint shoppes and eateries, very colorful exteriors of buildings. Great for a quick bite or drink and to snap a few pics!"
