id,uid,title,score,date,content
,,Pedestrian bridge,3.0,,It is about 40 m from the ground & is highest pedestrian bridge in Singapore. Just enjoyed the eye catching views of the greenery & skyline.
,,Crowning Glory of the Southern Ridges,4.0,,The Henderson Waves bridge at 36 metres above ground is the highest pedestrian bridge in Singapore. The 274 metre bridge with its undulating wave shape is the crowning glory of the Southern Ridges
,,Great photo moment,5.0,,"Well, it is just a bridge, connecting two parks, so don't expect too much. But the design is beautiful. We had the bridge almost completely alone for the three of us, which was cool, as we took some very nice pics here."
,,Interesting design,4.0,,I would like to have seen this bridge from the road as I reckon it would be pretty speccy but could not face going downhill and then having to come back up to continue our walk! Still it was quite speccy while walking on it and the views from it are great.
,,Interesting View for Walking or Cycling,4.0,,Deserves no more than an hour especially if it's hot and sunny. Try visiting on an overcast day or early morning or late afternoon. Good views.
,,Roller Coaster Walk,4.0,,"Part of a series of connected parks, leading from Telok Blangah Park. A welcome relief for the eyes as you step onto the walkway and be greeted by a series of cascading wooden planks making up the walkway, with twists and narrow perspectives thrown up by the laid planks. Great for some photography moments as a group with the wooden background, or to catch the sunset in the later evening. Memorable, but it do get rather warm in the afternoon. Drink lots of water!"
,,A good walk away from the city,3.0,,We caught a bus out of the city and walked up the steps on the side of the road and followed the signs to the walk. The wave itself is probably 40m long but the walk extends further to a hilltop garden and to the cable car start point. A nice escape from the city.
,,Worth a look,4.0,,If you find yourself near Mount Faber and the cable car to Sentosa you should visit this bridge which is about a 5/8 minute walk from the cable car station. The views are very good and the bridge itself is like no other with its wooden wavy design.
,,Nice extwnded walk,3.0,,"The Bridge is interesting to look at from the ground and there are some good views to be had from on the bridge, however none of them are exceptional. The various resting areas on the bridge have a unique design that allows the correct seating heigh for all sizes of people,

\you might ask why have resting places? well that for me is the real beauty of this site. You can get off the MRT at Harbourfront and start following a trail that ends up in Kent Park. On the way, about 1/3 of the way is Henderson Waves. About 2/3 of the way is the ""Canopy walk"" - a short tree top walk. Also there is a horticultural park along the walk. If you start at one end and walk to the other end it is about 12KM according to my google pedometer. When I got to the end and walked down to the main road, I was surprised to find a single bus (number 10) that took me all the way back to the CBD. A great and enjoyable walk."
,,Amazing place for staying in peace,5.0,,"If you wanna go there, you should go to Vivo mall firstly. After that. Just open your gmap. Then see what no bus you should take. You will pass 2 bus station after turn right. Just stop on 3rd station. Then your journey will begin. Walk on many stairs. It's so tired if you never do it before. But you will feel peacefully after you go reach the bridge. Just sit or stand on see the view. Just feel the air. And it's amazing. I like to go there because it's so calmness for me. There are no many people there. So just enjoy your moments."
,,A bridge over a road,3.0,,"Whilst the bridge itself is a piece of art and there ARE views to the South of Singapore i felt its location was not as spectacular as i had expected. The bridge goes across a very busy road and whilst we were in the tree canopies suspended , all we could smell were car fumes. Worth a look if you are nearby or planning a hike anyway, but not otherwise."
,,"Great Views, amazing structure",5.0,,"Henderson Waves is Singapore’s highest pedestrian bridge; 274 meters long and 36m above Henderson Road. It connects Mt Faber to Telok Blangah Hill Park. One can take a leisurely stroll along this amazing engineering feature and observe the marvellous surrounding views. It is definitely worth a visit, is free and easy to access by public transportation (Red Hill MRT station then a 145 Bus)."
,,An enjoyable walk,5.0,,Well sign posted and information boards along the way. You can walk either way from here above the treetops
,,Afternoon break,3.0,,Wonderful architectural structure. Great sweating walk when you finished the whole stretch. Free parking.
,,Relaxing time with family,4.0,,"You can go there by Bus. I take a bus no. 131 from Viva city, about 5 stops and across the road then upstair to Handerson waves. or you can take Cable car from Sentosa to Mout Faber and walk to there too. I'm not recommend for whom who scared of heights."
,,Nice walk,3.0,,Nice long walk from Telok Blangah to Gillman heights. You should go during the early morning or later part of the afternoon / evening where it is not so hot. Nothing much to see along the way but it is worthwhile to go.
,,Beautiful!!!,5.0,,"Saw this in a Hindi movie the first time and visited it last week. Amazing piece of architecture. Crowded on weekends. Also for the elderly who have difficulty walking, could be an issue. A must see attraction otherwise."
,,Good walk,5.0,,From Kent Ridge Park through Telok Blangah Hill Park to Mount Faber Park and crossing the Henderson Waves bridge which you have beautiful views. Excellent for earlier or later walks. Amazing route to enjoy.
,,Interesting structure,4.0,,Walking along the Southern ridges is a pleasant change from the urban environment. Crossing the Henderson wave gives some good photo opportunities. Can get hot so take water. We caught the cable car from Sentosa to Faber Mountain and then walked around.
,,Great walking along the Southern ridges,4.0,,We walked over the 'wave' as we followed the southern ridge trail. Gives you a different perspective of Singapore. Enjoy
,,"Peaceful location, beautiful views and a calorie burner!",4.0,,"Walk your way up to the cable car (mt faber), via Henderson waves. I would totally reccommend walking this route .... you cannot experience singapore’s green beauty by cars. Walk at your pace from henderson waves , take in the lush greenery amidst the cityscapes and sweat it out while you climb to mount faber peak. It’s a fulfilling walk and fun when you have active kids willing to walk that extra steps before getting to cable car at mt faber"
