id,uid,title,score,date,content
,,Top class brands!,4.0,,"ION Orchard is located in a very prominent corner location near the top end of Orchard Road.
Whilst visiting Singapore again recently, we paid yet another visit to this “high end” shopping mall.
This mall certainly caters for the “well-healed” shoppers, being home to outlets for a variety of expensive fashion and jewellery brands. This probably explains why most of the people present during our visit were simply window-shopping rather than actually buying!
A visit to ION is certainly recommended for those who either enjoy shopping for top quality merchandise or for those who simply like to browse and dream!"
,,Try the free ION ORCHARD FOOD AND HERITAGE TRAIL,5.0,,"Book and email them in advance for reservation,.

Take advantage of this free tour. It’s about 60-90 minutes with a glimpse of the history of Orchard Road and the architecture of ION Orchard. Kudos to Nicholas, our tour guide, who provided great insights to us and was very willing to answer our questions

- After about a 30-minute overview of the history, architecture, and art exhibits in the mall, we went to the Food Hall where we were given FREE SAMPLES of Ya Kun Kaya Toast, Prawn Noodles, Hainanese Chicken Rice, Ginseng, sweet treats, and Ice Kachang for dessert.

- There’s also a free SGD5 voucher for each tourist—so we got SGD20 for us. We used it to buy our which consists of 1 set of Kaya Toast + Ala carte order (8 toasts in total), Large Hainanese Chicken Rice + extra rice, and drinks. FREE LUNCH for us!"
,,Ion review,4.0,,Huge mall and nicely renovated! Connected to many other shopping malls nearby. Huge variety of shops as well
,,ION = ICON mall,5.0,,"The facade is attractive and impressive. It connects to the Orchard MRT directly and is located in the prime road ""Orchid Road"" Very convenient and popular. Thus, very crowded as expected.

The brands sold here are high end.

There's food court ""Food Opera"" in the basement.

The best thing I like about this mall is that many brands I like can be found here eg Lim Chee Guan sliced pork, Bengawan Solo pandan cake etc. Definitely it's the iconic mall of Singapore in my heart."
,,Wow Mall,5.0,,One of the best malls I've been to. Most of the shops are luxurious and there are many pretty girls around.
,,Great location mall but very crowded,4.0,,"I think this was one of the malls that we most often visited during this trip, The mall is located at the junction between Orchard Road and Paterson Road and this is where Orchard MTR station is located,

This mall is very well positioned and underground it can directly access Wheelock Place where there is a large Marks & Spencer, Shaw House where Isetan is located, Tangs where there is a Marriott Hotel and Lucky Plaza beside it, and Wisma Atria.

Within ION Orchard there is an H&M, Uniqlo, a Post Office, a large food court, and so many great stores for shopping as well as so many mid end and luxury brands.

However, we found ION to be almost always incredibly crowded which somewhat detracted from a great shopping experience. But if you are happy with a crowded mall then ION Orchard is one of the best in Singapore."
,,Orchard road monument,4.0,,"ION stands out among many Orchard road malls by its sheer size. The MRT station connects internally and you can access several nearby malls too using the MRT subway. Although most brands here can be found in every decent Singapore mall, ION has a large JD Sports which I loved and shopped at. The food court is a long corridor with eateries on both sides."
,,Free ION Orchard Food & Heritage Trail,5.0,,"Very extensive introduction to Singaporean food and culture in the safe and air-conditioned comfort of the shopping mall. Highly recommended if you just have a few hours to spare (eg if you are on transit, or on a work trip) in Singapore and you don't have time to explore beyond the shopping district. If you hold a non-Singaporean passport, you'll get a $5 voucher too. Excellent option if you are on a tight budget."
,,Vast!,3.0,,Ok so it’s a shopping mall. It’s very large and there is a lot there if you want to shop. However in my opinion I find the layout very confusing and not that logical. There is a large food court so you can grab food or a coffee easily. I find getting a taxi afterwards quite challenging as there is often quite a bit of congestion and a queue at the taxi rank. MRT is probably quicker and better.
,,Iconic Building On Orchard Road,5.0,,If your visiting Orchard Road it's incomplete without visiting this Iconic Building. Connected to Orchard MRT and 3 or 4 other Malls if I'm not mistaken. This is the Mall that Houses All the Big Brands the latest in Fashion and Luxury. Amazing place very busy almost all day long we didn't do any shopping but it was fun to look at all the Beautiful Displays.
