id,uid,title,score,date,content
,,"Good hawker style food, great experience",4.0,,"Good food (by Singapore standards so great by international standards). Good experience to sit out side on a steer surrounded by sky scrapers. It’s like s street festival right in the centre of Manhattan.

Tip - go there after 7pm, that’s when they close the street and lay the tables outside"
,,Great cheap meals and atmosphere,4.0,,A great place to get all sorts of cheap meals. At night the street closes and everyone eating outside and cooking. Well worth visiting and great if on a budget.
,,Great Singapore Hawker center,5.0,,"Loads of options at this massive hawker center right in the heart of Singapore, everything on offer from the many satay offers on the side street, to Thai/Indian/Malay/Chinese and much much more inside the hawker center itself. A must try is the fried dumplings and beer ;)"
,,Terrific Flea Market,5.0,,What a great and fun place. There were lots of places to bargain for neat gift items. Everyone we met was more than welcoming. The only problem I encountered was the food vendors which resulted in my eating a ‘second’ lunch.
,,Great way to experience street food in Singapore,4.0,,"We were very lucky to come upon this market upon our arrival in the evening at our hotel (SO Sofitel) that happens to be next to the market! Upon going out to look at the area we just stepped out onto the satay market that was laid out onto the street with tables, chairs, a lot of people and noise, and the smells and food, unbelievable!
The street closes to traffic in the afternoon and the satay market is laid out and ready for the customers that come from all over town, on foot, by taxis. Inside the pavilion is a myriad of small kitchens offering all type of meals, inexpensive and very tasty, and one can also buy from another stall drinks, and beer. We had a meal there during the day and although we were confused by all that was on offer, eventually what we got was good and tasty. A great and inexpensive experience in Singapore, either day or night."
,,Local street food reference,3.0,,"Eventually went to Lau Pa Sat, which was recommended as an awesome street food scene.

I am a bit conflicted with the place I must say. It has a mix of locals and tourists, giving it a quite nice atmosphere.

Look for the stall with most customers around so you dont give wrong."
,,"Great atmosphere, satay under the stars",4.0,,"We came for dinner at this Hawker centre. It is on Boon Tat St which is right near the Singapore stock exchange and the street closes at night for dinner. The street is then transformed with tables and is full of satay stalls.

There are more stalls inside the historic structures with a large range of dishes as in any other hawker centre.

Some satay stalls had lots of reviews posted up and these seemed to be the ones attracting lots of tourists at one end of the street. Really you can’t go wrong trying other stalls which we did. Satay sticks started at 70c SGD each and we ordered sambal sting ray , roti and other delicious dishes.

Some stall holders are pushy in trying to get you to order seafood from them, just ignore them , though we were followed by one persistent fellow aiming to get our business, but he gave up when he saw we were only really interested in satay sticks and not seafood on this night.

It was fantastic to be eating under the stars with good friends. A real Singapore experience."
,,Best Hawker Market,5.0,,"This is by far my favourite hawker market. There are plenty of vendors to pick from, they have a whole outdoor section dedicated to satay dishes and plenty of tables inside so you can actually eat food the same time as your friends rather than someone sitting at a table. A must for Singapore!"
,,Hawker food,3.0,,"Lau Pa Sat is one of the more touristy hawker markets in Singapore due to its central location and heritage ambience. It has a large range of food options and like any touristy place, some options are better than others.

Locals also visit so it is a good idea to follow their lead and opt for stalls with large queues. Prices are generally quite cheap and you can eat well for $5-6. It gets very busy during the lunch rush 12-2pm so bear that in mind."
,,"SHIOK (meaning ""delicious"")",4.0,,"In Singapore, when I think of barbecue, there's only one place I know. Lau Pa Sat, also known as Telok Ayer Market, is a historical building located within the downtown core in the central area of Singapore. If you want to have a good and tasty barbecue, this is the place to be. As you enter the vicinity you can smell the aroma of the barbecue all over the place. The charcoal flavored and smokiness of the barbecue will make you hungry. We ordered peanut chicken satay and shrimp bbq. It's sweet, spicy, flavorful, slightly bitter, which I think is very essential. Smoky and savory in every bite. For the price and the taste, it's reasonable, enough for the palate to enjoy."
,,"Good selection, known for tourist",5.0,,"Its a great selection, lots of food selection.. The price not that expensive. Its open till late night.
Known as a tourist must visit culinary. Not really clean but not a big mess too. Easy to reach and easy to recognize..
A great hawker for first timer.."
,,Overrated,3.0,,"We went there on sunday afternoon and half of the corners werent open. Still lots of option for different cuisines. I tried indian food it was ok but not the best that i ate in Singapore. The place wasn’t clean at all and also prices were very high compared to quality of food.
For the ones who wants to see different types of asian food like lau pa sat , i highly recommend the food court of Marina Bay Sands.Prices were same with Lau Pa Sat but it is so much better and clean."
,,Good atmosphere,5.0,,Really enjoyed visiting and eating here during a recent trip to Singapore. The atmosphere is terrific and when I visited it was not overly crowded. You cane either eat in the building which is a lovely old restored building or outside in the street near the satay sellers who appear at night. And the best way to get here is catching the train to Raffles City MRT station. There are signs showing you where tio go so it is easy to find.
,,Best Hawker Center I’ve visited,5.0,,"Why?
- Open and airy, not dark and dingy
- Large number of seats per stall, so no struggle finding a place to sit
- Wide variety of stalls including Thai, Indian, Vietnamese, Japanese and even Italian offerings as well as lots of Chinese and Singaporean choices
- A large, friendly crowd of locals gave the place a bustling vibe, even on a Tuesday night.
- Satays.

Recommended."
,,Totally worth a visit,5.0,,A huge hawkers center with just the best food and really well priced. Sit outside and soak in the atmosphere and the smell of the Satays!! This in itself is an experience! A must is the veggie spring rolls that are made in front of you and of course the satay sticks. Loved it here!
,,60th birthday meal,5.0,,"Hawker food at its best. Having grown up in Singapore smart casual and western food was not what I wanted on my special birthday. Ate at 7/8 The Best Satay, and they certainly knocked adjacent Super Satay at 6 into the shade BUT amount of meat was down on when we came here 3 years ago so perhaps Best Satay 7/8 is getting complacent. I know they read TripAdvisor so I hope they take note"
,,Tourist bait,2.0,,Wasn't a fan. Too touristy for me. Overpriced and not as tasty. There's a better hawker closer by (5min walk) that feels more like singapore and has yummy food. Amoy food court or market st food court has food for around 3 to 4 dollars with authentic tastes
,,Good street food,4.0,,"Visited in the evening, the street is shut off from vehicles. It does get busy but lots of people coming and going, so tables not a problem, the satay is lovely and so cheap about 70 cents a stick, you can order from the vendors who come up to you with menus and others for Tiger beer. We ordered, rice and garlic nan as well. Not a restaurant but good to see and feel part of the local community."
,,Amazing street food.,5.0,,"Amazing street food for the best price/quality in Singapore. Can be very busy at lunch. Chinese, Japanese, Indian of the highest quality."
,,"Locals or tourist, Lau Pa Sat offers great city priced hawker fair",4.0,,"During the day time most of the stalls inside the Lau Pa Sat (meaning Old Market) are open and offer a wide variety of local foods such as Indian banana leaf curry, chicken rice, Vietnamese pho and fishball noodles (prices are between $5-10 per meal). It's not the cheapest hawker centre but not as expensive as the office aircond food courts either.
In the evenings (7pm onwards) the small street beside Lau Pa Sat, Boon Tat St, is closed off to make way for the satay stalls and outdoor seating. Most of the Satay stalls are pretty similar in terms of value and standard. You can get a combination of chicken, mutton, beef and seafood satay with an estimated cost of $10-20 per pax.
For tourist Lau Pa Sat is definitely worth a visit."
,,vegetarian food @ shree Ganga stall in Lau Pa Sat,5.0,,"It can sometimes be hard to find vegetarian options in hawker centres, but this is by far an outstanding place to eat if you are wanting great vegetarian street food at Lau Pa Sat, food is fresh, hot and tasty, I ate here twice and will gladly come back again and again ! Always busy so you will need to wait a little as food is cooked fresh to order, I had the butter paneer masala dosa and Adai dosa both amazing !!!

Thankyou Shree Ganga"
,,Close to Merlion,5.0,,"There are numerous bars and restaurants in the areas adjacent to the Merlion but a short walk to Lau Pa Sat for street food is my preferred choice for a quick meal.
Featured in one scene in the Crazy Rich Asians movie, it is one of the many hawker centers that Singapore is famous for. The selection is huge so I recommend going in a group and ordering and sharing several types of food. My personal favorites are Hokkien Mee and chicken satay washed down with Tiger beer!"
,,100% Asian Full Experience,5.0,,"I loved this place: is an ancient Victorian Building where you can find different stand, which, every of them is specialised in something.
Noodle, meet, fish, Indian food, Thai, Dumpling, Duck.. you can find whatever you want, and you and your friend can taste different things and share a table. Food is the National Sport in Singapore, locals will also highly recommend this place"
,,Satay Power Stall 6,5.0,,Been here alot of times the satay never dissapoint me . Their mutton satay and gravy is so delicious award winning satay
,,Satay Street,5.0,,"Best satay in the world, have tried Satay in many places since I first came here but nowhere comes close to the atmosphere, smell and taste"
,,Possibly THE best place for food,4.0,,"On a recent family visit to Singapore, it was decided of course we would visit the hakwer centres. What they offer is amazing Asian food at very affordable prices. They are simple but impressive. They also have a great atmosphere with tourists and locals mixing. La Pau Sat was the one closest located to where we were staying and it is incredible.

There is such an array of Asian food and delicacies, it is uip to you what you choose. We visited for dinner 3 times during our stay, such was the food. I had curry one evening, chilli chicken rice another and char sui pork finally. Superb.There are also plenty of bakeries and dessert places for a sweet treat. A MUST visit for food and just to sample Singapore life."
,,nice to chat and eat food !,5.0,,lovely place in the center. a lot of food choices to pick from. not to expensive also. i went here twice and it was never to crowded.
,,Full of office workers,2.0,,"The place is right in business district. If you are there during work day lunch hour, getting a table is a nightmare. The place will be full of people who work around the area."
,,Hawker Center,4.0,,"Had food 3 times - break fast, lunch and dinner there. Variety of food options, mainly Indian and Chinese. This caters to mainly the office workers of financial district. Took some pics there as this place was an old fish market built in Victorian architecture style now turned into hawker center/food court."
,,Unfriendly and got taken for...,1.0,,"Always heard main things to do in Singapore is go to thw Hawker stands... So looked so foward to visiting a few. Lao Pa Sat is always mention so came for lunch... Firat thing that gor me rhinking was it was located right in the middle of financial district in a new clean looking terminal /building. That was all that was good. Arrived at 11:30 so not busy at all yet. Firat counter got taken for. May ne my fault for acting like a tourist by asking how many can I choose, and thwn asking how much. Something for 4$at Maxwell was $8.50..Then at another stand lady acted like was bothering her by getting something.. Blurtwd out amount and just took money and turn around and left... Food was subpar also. Not good at all.

Maxwell is waaaaay better and so are all the food courts in the malls... So many places for food, my bad for going so far and acting like a tourist. Bad taste in my mouth on last day in Singapore..."
,,Great Hawker Centre,5.0,,I visited 4 Hawker centres. Tekka centre China town Maxwell and this one. This was by far the best. Much cleaner a lot more choice and much better quality than the others.
,,Ok...but Vivio City Hawkers Market is better.,3.0,,"Food was good, but we paid more than we were expecting for a Hawkers Market. $35 for 25 bite size satays. A fun way to eat though. Had a better night at the Vivio City Hawkers Market. Try the tapenyaki there. It was great, theatrical (they cook it on a big grill in front of you) & a really good price."
,,One of the highlights of our trip,5.0,,"We learned on the Hop On Hop Off that people from Singapore eat out sometimes three times a day. And I can understand why. This place had every type of cuisine you can think of - it was so hard to choose - we had to come back twice!

Very clean - I was kind of surprised by the lack of napkins - and I learned that's actually a thing - you are supposed to bring your own. Not sure I understand why but... bring your own."
,,Central Hawker!,4.0,,"We love hawker food and attended midday Monday. Very busy with workers given its CBD location. Plenty of choices, relatively clean, great prices."
,,Enjoying dinner,5.0,,"Singapore is well-known for its street food, and by far this is the best place to enjoy traditional food. Located in the heart of the business district of Telok Ayer, this National monument is a real gem. It's an old market with a nice little clock-tower and in the afternoon, the whole street becomes filled with tables and guests enjoying the famous Singapore satay. It's also highly recommended to try the giant crabs in brown chili sauce. A great place with great food in a great atmosphere."
