id,uid,title,score,date,content
,,"Nice atmosphere, good facilities",5.0,,"A lovely location to satisfy the needs of the large contingent of workers from the Philippines. While the majority of the eateries and shops cater for the migrant worker population, there is a good mix of Indian, Malaysian, Indonesian and Chinese eateries. Prices for the meals are generally a lot better value than those in the other shopping centres on Orchard Road. There is a reasonable mix of clothing, accessories and shoe shops here. Those seeking designer labels with the associated prices should visit the adjoining shopping centres instead."
,,Cheapest shopping in Orchard Road,4.0,,"6 floors of shops, all good prices. We found the best prices and quality at the front roadside. Lots of Phillipinas shop here, the weekend is a bit too crowded."
,,Never Gets Old,4.0,,"On a flight layover my husband, my daughter and myself went to see Lucky Plaza again to see if it had changed much in the 32 years since I had seen it last. It did not disappoint with the massive range of cheap souvenir, watches, electronics and other knick knack shops. The food court was very cheap and delicious local food. Great to see that sometimes things never change and there are cheaper options for families looking for a t-shirt or some trinkets to take home and remember Singapore."
,,Cheap chocolates and personal items,3.0,,"Lucky Plaza caters to the lower income bracket, compared to the other malls along Orchard Road. There are lots of stores that sell very cheap chocolate bars and personal items (soap, shampoo, deodorant, etc). There's a small corner restaurant called Lucky Chicken Rice that serves excellent chicken rice."
,,cheap items,2.0,,"Lucky plaza is for budget conscious shoppers. But if you're looking for branded legit items, then avoid this place. I've always heard horror stories on ""SG Perfumes"". So I bought one to test it myself (Versace Eros) – very nice packaging, serial number seems legit (recently manufactured when searched online), smells exactly the same, and very cheap! It’s costs like 1/3 of mall prices!

But how would you know it’s fake – sillage. It does not last long. My verdict is, it’s a repacked authentic perfume. Most likely a mixture of 80% perfume and 20% water.

They also have value dollar store though where you can find cheap chocolates."
,,For budget conscious shoppers in Singapore,4.0,,This shopping center in Singapore caters to the lower class bracket in Singapore standards. It is also a welcoming place for asians especially Filipinos and budget conscious tourists and shoppers.
,,Not Your Typical Orchard Mall,4.0,,"This is less like a mall and more like a service and goods building dominated by Philippinos. Many Money Exchangers, Travel agents and massage parlours almost all the shops are Philippines products. We went here to go to Jollibee which on the 6th floor. You can find many cheap products here but be aware of scammers."
,,Philippines of Singapore,5.0,,"You can find toiletries, canned food, sauces, cuisine etc., of the philippines right here. Busiest on Sundays as most Filipino workers in singapore are off this day of the week, remitting and sending cargo back or just hanging with friends.

Go up to the 6th floor for some 2nd hand clothes shopping. Real cheap. Jolibee is right there too.

3rd and 4th level have wonderful filipino cafes with aunthentic cuisine and desserts."
,,Nice service Apartment on 18th Floor,4.0,,"Stayed here on the 18th floor in a service apartment by Regina Hospitalities booked on Air B&B. The two Bedroom apartment was very good and centrally airconditioned with a Kitchenette, two Bathrooms and a washing mashine as well with Microwave and sufficient crockery and cutlery. It also had a two door large fridge. The apartment is so well located that you could not ask for a better place to stay 3 nights on business right in the middle of Orchard Road. The Lucky Plaza building it self is full of all types of shopping with the best bargains and prices. There is a bus stop right in front including a taxi stand. The MRT rail is just a five minutes walk away."
,,"Understand what this place is, please!",5.0,,"There is a large contingent of Filipinos that get visas to travel to Singapore, mainly to work as domestic helpers. There is such a large population of them, that a marketplace was created in order to fulfill their needs.

I'm American, but Filipino by descent. I was visiting SIN, and my friends that live there, who happen to have Filipino DHs, told us about LP, and that it was very Filipino. Wanting to understand better, my Mom and I visited.

99% of the people that are shopping there are on a work visa from the Philippines. 100% of the businesses cater to this clientele. You will have money remittance centers, beauty salons, clothing and souvenir stores, and restaurants.

Yes, it's on Orchard Road, and no, it's not upscale. It's not supposed to be. It's a functional offering for a valuable part of the Singaporean population. Take a break from the superlatives of Singapore, and visit to understand how some other people live."
,,Average,2.0,,"This building looks like its about to collapse with how old and rundown it is but its still cool to checkout the shops and visit, its usually packed too"
,,Watch out for scammers,3.0,,"This is a low end mall as compared to the rest of the malls on Orchard Road. You can find lots of electronic products on bargain here, but there are also many scammers here too. Do compare the prices at different shops before purchasing anything."
,,Old Shopping mall,3.0,,"Lucky plaza has many shops of tailors, money changers, electronic goods, readymade garments, souvenirs, massage centers, haircut etc. There are many small restaurants and eating places. Be careful about price and quality of goods while shopping."
,,"Do not trust CAMS Access Trading, 304 Orchard Road, Lucky Plaza, #01-37A",1.0,,"Stay clear of the electronics shops here, especially CAMS Access Trading. Wish I had researched this shop before I purchased. The guy came across as trustworthily but sold me a camera accessory at almost double the price. Don't shop here for any electronic goods."
,,Good place for cheap goods and services. Good food mall,4.0,,"Likes: plenty of cheap souvenir items and clothes. Services like haircuts, massages are very affordable. Good food court with plenty of variety (and Jollibee) Be careful though, a lot of electronics are cheap and unreliable."
,,Flea Party!,4.0,,"Did twice flea market one in Dec 18 on Sat and one on Sunday, Jan 19. Very expensive on Sunday $171 with parking $21.45 compare to Saturday $90 with parking $14 plus. Good place to clear your treasures but advisable not to sell more than $10 as your buyers basically are female domestic workers. Saturday is better since they came alone and are more committed to spend and rushing home before their employer come back and Sunday is basically their day off. They came to roam around with their boyfriends and if their boyfriends said not nice, they won’t buyand not planning to carry anything or buy a lot of stuff.
Your neighbours beside your booth can be annoying if they starts selling their items $1 each from 2 pm onwards(happy hour - so ridiculous ) eventhough flea market starts from 1-7 pm cause you can’t even cover your rental and parking charges and aggressively steal your customers away buy selling fake items to them while you are selling authentic stuff and your items will get mixed up with theirs .You can sell anything like microwave, tv and their own suitcases since they are not planning to bring it back, all must go!! Our neighbour sold (their luggage with their clothes that they suppose to sell but unsuccessful) to one of them without telling the code number and left. Poor lady came back with the suitcase and can’t even open again, such an irresponsibly seller!! The fan main switch was off by one of the sellers for no reason that we have to scream to them to switch it back on since it was hot like hell and luckily no one fainted! The place is very crowded and the tables were so near that you can’t even go out unless by going under the table. Great place to sell female stuff but not male stuff. Be prepared to stand on your feet continuously from 12-7 pm since you don’t have place and time to sit. Be observant they might walk away without paying and they will bargain as low as 3 for $1 just like other booth owners selling their items from 4 pm onwards, so ridiculous way of selling things at the flea market and yet they can’t even clear away their stuff!! Depending on the stuff that you are planning to sell. If you don’t have much things to sell it’s not worth to do it. If you are looking for a good bargain, a great place to spend if you don’t mind going to a crowded and hot room. If you are looking for skimpy clothes, fake stuff, shoes, ear rings , bags, shoes, belts, why not drop by to experience it yourself!!"
,,Low-end,2.0,,This has become one of the low end black sheep along orchard road. Amusing that it’s between tangs and paragon
,,"Quick, fast shopping solo",4.0,,"I had few hours for my flight & time yo kill. Orchard road decked up for Christmas holidays was a treat got the eye.

The Lucky plaza is a mall that doesn't hurt the pocket.
Trendy shoes, outfits, gold jewellery, bags etc. All at reasonable bargains. This place is crowded.
Had lots of fun going all over the place looking at quaint shops. Lots to do.
Wear comfortable foot wear. Place for non branded stuff. Not sure if perfumes were genuine. Watches were definitely not.
Good for knick knacks, souvenirs."
,,A great place to grab a bargin,4.0,,"Went to lucky plaza on orchard road about 6 stories tall of little shops to grab a bargin. People everywhere went on sunday and that is the busiest day to go. Very interestiing things they sell , It like a market with little stalls. I enjoyed the experience"
,,Window Shopping,4.0,,"Go Visit the basement of Lucky Plaza. There is a food court and Mcdonald Fast Food Restaurant. You will be surprised to find many shops selling souvenirs, shoes and clothes. Very reasonable and cheap. A surprise because it is in Orchard Road where most things are more pricey. Took some pics of this area for those who keen on shopping for souvenirs to be brought home. Try not to go on a Sunday. Can be very crowded. Usually by phillipinos domestic helps in their offday."
,,I layk ettt,5.0,,It`s very excellent! I'm very speechless about everything. I really commend this place. I bet you would like it too. So hesitate no moreeeeee
,,"""Lucky experience""",4.0,,"Definitely the Pinoy hub here in Singapore. It’s always vibrant, always loud, always...Pinoy. With undeniably Filipino establishments like Baleno, Western Union, PNB, Jollibee, and ukay-ukays, LP makes you feel at home while away from home."
,,"Do not trust EZ Advance Trading Enterprise, Lucky Plz Blok B81-70",1.0,,Wish I had researched this shop before I purchased. Silly me. The guy came across as trustworthily but sold me a phone at almost double the price. When I went back in 1 hour later requesting a refund his polite and trustworthy manner had definitely changed! Don't shop here. They cannot be trusted!
,,Best FOREX Rates!,4.0,,"If you're looking for the best forex rates in town, Luck Plaza is the way to go! We always change our money here to get the best value. Don't visit on Sundays, it gets way crowded and going around can be hassle."
,,Local Souvenir in shopping heaven,4.0,,"Convenient place to looking for souvenir from Singapore beside Bugis and China Town . From T-Shirt, keychange, bag, pouches. Located in Orchard Road which main shopping aeea in Singapore. Orchard MRT is the nearest."
,,Not so lucky,1.0,,Terrible run down plaza. I remember it being the best one (granted that was 20yrs ago). Dirty pubs at one end with call girls out front inviting men in....yuk
,,Relatively Inexpensive Items,3.0,,"Great for souvenir shopping, cheap clothes, or electronics. Also great place to change to Singapore dollar and get the best possible rates. Big difference between next door luxury Paragon, but still interesting to walk around. Food court has wide variety of dishes and reasonably priced. Check it out if you're in the area."
,,The Filipino Hub,3.0,,"They say on Sundays Filipino OFWs flock to this building to spend the day with their kababayans. Even on an ordinary day, there are Filipinos who frequent this building along Orchard Road. So it is not surprising that many stalls here carry Filipino products and many restaurants offer Filipino food. There is a Jollibee on the 6th floor."
,,Fantastic hardware store on the 3rd Floor,3.0,,"I don't find any of the stores very interesting in this mall, though if you are the classic souvenir shopper that is seeking cheap t-shirts, tchotchke or chocolates to give to family/friends back home, this mall is for you. If you are a local, the real winner in this mall is the hardware store on the third floor. The hardware store is owned by a family that knows their business! We can always find what we need here. I really love the hardware shop and am always so grateful for the knowledge and helpfulness of the store owners. Additionally, the restaurants on the way up to the hardware store via the escalator, smell divine. I have yet to stop in to any of them sadly, but do plan to visit. My teen and pre-teen do not love this mall. There is nothing at Lucky for them"
,,More Pinoy than Pinot,3.0,,"Like many malls developed by the Far East Group (eg. Far East Plaza on Scotts or Far East Shopping Centre on Orchard near Isetan), Lucky Plaza is among the oldest, least visually attractive, and most downmarket shopping malls in its neighbourhood. The mall is more functional than aspirational. No luxury shops here (except for some reason there are lots of jewellery stores), or premium eateries. But, unlike other malls on Orchard Road, you can find cheaper goods (eg. fake branded deodorants and fragrances, footwear, luggage, souvenir gifts), or unusual stores (eg. CPAP machines for sleep apnea, a tailor specialising on alterations for Shanghai Tang across the street). Lots of Filipina domestic helpers meet here on Sundays, so you’ll find stores doing remittances to the Phil, or Pinoy eateries."
,,An unique shopping plaza for the wrong reason,3.0,,You may like it or ignore it. This is how Lucky Plaza being remembered among local shoppers in Singapore. The most famous signature of the plaza has to be a gathering point by domestic helper so it's extremely crowded on Sunday. The plaza has been renovated many times but it cannot get rid of the old fashion character of the 60s or 70s because of the building structure and rigid layout. You may walk pass it many times during your visit to Orchard Road but never need to go in once. It's the type of shopping plaza catered for certain people.
,,Good shopping and environment,5.0,,"Not sure where to go when it is hot and want to shop and not sweat it? Well, Lucky Plaza is the place to be -- especially if you have children. Okay, time to get to the cool and prepare to shop."
,,Teen nightmare,4.0,,"If you are looking for a place for your children to go for a day or three, then Lucky Plaza in Orchard road is it.
My daughter is in her early teens and was attracted like a magnet to all of the shops selling cheap bags, clothes, electronics, watches and other small trinkets.
The one small problem was getting her out of the store! She didn't want to leave even as exhaustion set in for both parents. The next day when asked ""What should we do today?"" You can guess the rest! Lol
Be warned though, there are some shops prepared to sell things at ridiculously high prices! Check online any prices you think maybe high and then barter hard.
Also Sunday is a very busy day, it was packed with Asian ladies looking for bargains."
,,T2 Electronics,4.0,,"If you are after electronic gear, T2 (bottom floor) is a great place to haggle for a bargain. If the owner, Sam, is there get into a good old haggling contest with him. Great guy. I bought some gear and although it was not actually in stock, it was delivered within hours to my hotel, nicely gift-wrapped."
,,Little Philippines in Singapore,5.0,,"This place is where most Filipinos gather. There are several Filipino shops and of course every Filipino‘s favorite, Jollibee. Here is also a place where you can get almost everything cheaper like Amusement Park Tickets etc."
,,The place,4.0,,"Friendly people, Safe place, Best place to have your currency changed. Easy to go to...via by Bus or MRT."
,,Cheapest souvenirs,5.0,,"If you want to get the cheapest souvenirs in Singapore, go to lucky plaza! They have also a few thrift shops that are available and it’s the best place to actually go with your family!"
,,Everything you got,4.0,,"This place was soo great.Everything you need,you got it.Food,clothes,souvenir,everything.Strategis place"
