id,uid,title,score,date,content
,,Fantastic place with great views,4.0,,"It’s free and with great views. This is a great place to visit for kite-flying, cycling and strolling in an open space."
,,Scenic Place,4.0,,"This is a nice place to visit and sit around. From here, you can look out to the scenice beauty of Singapore's town area. Only down side is that there is no food choices at the barrage."
,,bichon club picnic,5.0,,"we had a bichon club picnic at this barrage and even though the guards say we cant place a picnic table there, we actually went ahead and they didnt chase us away. its a great place for picnics."
,,Nice view,4.0,,I used this bridge to pass through one side of the city to the other. I believe your taxi adds six dollars toll to your trip if you use this bridge
,,Recreational Engineering!,4.0,,The Marina Barrage is just a short walk from the Gardens by the Bay and is both a flood barrier and water supply facility for Singapore that is cleverly disguised as a park and recreational hub! Worth a detour from the Gardens if you have enough time!
,,Great views and a nice grassed area where locals fly kites,4.0,,We enjoyed the views from the Marina Barrage and got some great photos. We did a two hour mini segway tour around Marina Bay area but it would be great to walk around the area. We enjoyed seeing lots of locals flying kites from the grassed area over the Easter weekend.
,,Tremendous place ot see the skyline,5.0,,"Good viewing point for the city and some of the coastal bike rides start/end here. visited at night, suggest a tripod and good lens for best shots."
,,Night city view,4.0,,This is the place whereby it controls the reservior water level and a gallery to educate on previous of water. It also having a green roof for visitors to walk to the top to enjoy the city view.
,,😍😍😍😍😍😍,5.0,,It was really wonderful experience to see Marina bay sands from different places. It’s really a wonder how they managed to make great building.
,,Fantastic place - great views - hidden gem,5.0,,"What a great place !! It’s free and with great views.

Our Singaporean friends brought us here. What a gem - the place is full of locals having picnics , flying kits and it has a fantastic view of the city skyline, super trees, the Singapore flyer.

We came at night and it was just beautiful seeing couples with tea lights having picnics and lots of families spending time together.

There’s a lot of area for kid to cycle and a water play area as well.

This is not well known to tourists as not as easily accessible and our friends drove us here.

It’s a great feat of engineering as a wTer reservoir , but well designed so that locals can use it as a recreation area."
,,Great attraction that is free,4.0,,"This is a great place to visit for kite-flying, cycling and strolling in an open space. It is the only reservoir located in the city. Suitable for old and young and even those on wheelchair. Fantastic view of the CBD city skyline with Marina BaySands as the backdrop on one side and the sea view with the big ships on the other side. Other highlights include the 350 metres wide bridge that goes to Marina East and an air-conditioned Sustainable Gallery located on the 2nd floor which is also free entry. Booking to the gallery is advised in case of big crowd, which allows entry of 80 pax on hourly basis in the day, except Tuesday. Also available is a small water playground for kids. Within walking distance to the nearest food centre called 'Satay By the Bay'. The inconvenience is that there is only one bus service 400 which is within 5 mintues walk but not so if taking MRT (as the closest isn't ready - still under construction). Also no drinking vending machines or ATMs around, at least not that I could see. But with no entrance fees that needs to be paid, I can't complain much. Parking is available but this isn't free though."
,,Water with a difference,4.0,,This marine barrage was built to support Singapore’s needs and to help clean up its rivers. It now encloses a large mass of water providing water sports and good walking and running routes. There are clean facilities here too.
,,Kite flying!!,5.0,,"A great area to spend time with family and kids. Bought a kite to fly. Something I did after 20years. Had a short picnic while the kids played around. Spent time with wife experiencing the sunset. A great place to cycle, skate or just walk around with ur loved ones.."
,,Free attraction that's worth your time!,5.0,,"My family visit Marina Barrage about twice a month on average because it's basically a free attraction. My boys, aged 8 and 3 1/2 years old, love playing in the water (only ankle deep to shin deep). After that, we would walk up the slope to have a picnic on the grass. The view of the city skyline is magnificent and there are many kite flyers there too. We brought our kite on our latest visit too. If you don't fancy a picnic, you can walk to the food centre nearby, less than 5 mins away by foot, Satay By The Bay."
,,Excellent night time view of Singapore,5.0,,We walked here just for the view looking back at Singapore. The barrage was all lit up too. There is a large ramped walkway to the roof of the pump house or a lift or stairs.
,,Nice sunrise n sea view,3.0,,3rd visit to this place. Ample parking. Good view of sea m Eastern anchorage. Can be breezy but also has scorching sun if weather is not cloudy. Good place to walk around. Good view of CDB skyline. I going some renovations do restaurant not opened. Watch out for bikers - they don’t necessarily slow down. 1/2 day tour. Early mornings or evenings best timing to visit.
