id,uid,title,score,date,content
,,"Great food, low prices, must even with kids",5.0,,"Maxwells is great. Fresh food cooked while you wait. Kids loved the choices. Chicken rice and Mango Ice were real favourites. Great spot to grab food and drinks, different stalls open different nights so walk around and enjoy."
,,"Good Food, low prices",5.0,,"Maxwell food centre – fantastic food & reasonable-prices, ie. low! Very convenient location in Chinatown, been for breakfast most days on our visit, sometimes lunch and dinner, very busy at lunch time. At times we have shared a table with some local people. We had...More"
,,A few good stalls,5.0,,Maxwell Food Centre is a must go if you are around Chinatown area. The interesting thing about Food Centre is it has a wide variety of food. A few of my must try: 1. Maxwell Fuzhou Oyster Cake - Crispy on the outside yet soft...More
,,Poor hygiene,1.0,,"Was advised to go here as its an “iconic” hawkers to go to though was disappointed that every 3rd shop sold the same thing basically, they were pumping sewage out just metres from where tables were, and I pulled out the longest damn hair from...More"
,,We will dream of Tian Tian’s chicken rice for months,5.0,,"Yes, Singapore is full of many well-rated fine dining establishments but the food at the stands in the hawker markets is where it’s at! This is where you can find some of the best food that is local, delicious, and cheap. We visited Tian Tian...More"
,,Tian tian chicken rice,5.0,,"Came here for one reason - the tian tian chicken rice. Went after 5 was only trying my luck into getting one as was told that they would close if they were already sold out, so don’t risk if you really want to have a...More"
,,Incredibly good food at incredibly cheap prices. The best value on planet Earth.,5.0,,"If I lived anywhere near here, I'd weigh at least 200 kilos. I have travelled a lot and Maxwell Center has a huge variety of amazingly great food at ridiculously cheap prices that is unmatched. Although I have yet to visit every Singapore hawker center,...More"
,,Mango Ice,5.0,,This food centre is great fun. Be brave and do it. The Heng Heng Hainanese chicken rice is delicious. But save room for the mango ice from stall 48 opposite. So refreshing and fragrant. It was my favourite thing to eat on a hot and...More
,,Great food for a great price!,4.0,,"I would give them a five stars, but the seating is sparse for how busy they are. However, the food is delicious and reasonably priced! We got a variety, and were very pleased with it all. The line for the famous chicken rice was really...More"
,,Tong Xin Ju Special Shanghai Tim-Sum,5.0,,"Delicious, to-die-for dumplings worth queuing for! Reasonably priced and generous portions. Hot & Sour soup that lets u works out a sweat. Everything is cooked to order so it’s piping hot when served. They are located in Maxwell Food Centre, unit number #01-92."
,,This is an Eye Opener ‐ Do It!!,5.0,,"To get here you should take the underground and get off at China Town. Walk through China Town, cross the very very busy road to the food centre.

All they do is food!!

Lots and lots of shall good outlets with one central seating area. The food is so so cheap that you think they have charged you incorrectly but it is cooked fresh and the volume turnover of customers is high.

GIVE a tip to the table cleaners. Don't leave it for them give it to them. These older Singapore residents need every penny you can spare and they really deserve it. A pound to us is like £20 to them.

Enjoy the food and drink at Maxwell's. It's worth every penny and a great experience .

ENJOY!!!!"
,,Great chicken rice,4.0,,We had a good time here with a 5yr old. Clean and tidy. $5 for medium size chicken rice and $1.50 for sugarcane juice
,,Hawker fare,5.0,,"A must visit to good & cheap food; offering varieties of Singapore flavour of Hawker food. Near Chinatown area. Walk, walk ... see see .. U love it 😊"
,,Get the authentic food experience by visiting a Hawker Center!,4.0,,"Our tour guide brought us to this Hawker Center and said this is one of the better one's in Singapore. For your information, hawker centers are NOT street food. Street food is not allowed in Singapore. The hawker centers are controlled by the City for sanitary and health (per our tour guide). After hearing this we decided to give it a try. It was a wonderful, delicious and very inexpensive treat. Evidently the Chicken Rice is what you need to try and one of the booths in the center of the hawker centre was recommended and visited by Anthony Bourdain so our tour guide said this is the best place to eat chicken rice. Bourdain's picture appears in front of the booth. Go and enjoy the Singapore eating experience."
,,Cheap!,4.0,,"Maxwell is one of the few Hawker Centres open at lunch time. The centre has dozens and dozens of stalls spanning 3 or 4 double sided alleys which are filled with tables. We found the best approach was to walk up and down each alley to work out what we each wanted and then find two seats! Everyone is happy to share tables so once you find the desired number of seats pop something non-valuable on the table to reserve your spot and queue for your food! Singaporean’s are very polite and respectful of your reserved spot so it should be there when you get back with your food.

The popular food outlets can take 20-30 minutes to order whereas other queues are much shorter. Everything is so cheap. I had a large plate of fried rice with prawns for $4 and my partner had a plate of noodles and a generous serving of fried pork for $5!!! We also had large fresh mango juices for $3 each....

Maxwell is a very casual place and can get warm so where your summer clothes! It is very close to the MRT / Chinatown so easy to access. Alternatively a GRAB back to Orchard was about $10."
,,Authentic Singaporean Hawker Experience,5.0,,"As close to street food as you can get in Singapore... This bustling hawker centre smack in the middle of the business district is a genuine reflection of Singapore’s unique hawker culture, a mix of local hidden gems and the flashier “famous” stalls. A great experience! Beware the lunch crowd though."
,,Walk around before you Buy,4.0,,"This was our first food centre, and with two unsure teenage boys, we tried to settle in quickly. But I think the better idea is to look around and check out the different rows of stalls. Our mistake was getting some Hainanese Chicken (the staple dish of Singapore) without look at all the stalls. Had we just spent another 30 seconds to see the next row of stalls, we would have seen the famous Tian Tian chicken stall where there was a long line of foodies. Our Hainanese chicken (from another stall) was cold, and mediocre at best. We also got some Seafood Kway Teow, which was delicious.. and got some steamed dumplings. What I missed here was any INdian food.. which we went to Newton Centre for (it was expensive, but the BEST food we had since coming to Singapore).

Maxwell is decent, but take your time to find a place to sit and walk around before buying food."
,,Authentic cheap food,5.0,,If you want the best authentic food in Singapore then you must visit the Maxwell food centre. They have a range of cuisines from different countries and are the cheapest in town. I visited this place every day of our holiday and was never disappointed.
,,Must visit,4.0,,"Maxwell food center is a must visit while in Chinatown , good fresh and cheap food gets a bit crowded around lunch time, with the array of choices you bound to find something to like"
,,Incredible and fun place to eat,5.0,,"We went to Maxwell Food Center twice because it was SO good! There is an incredible selection of food to choose from. We went in search of chicken rice because it was highly recommended to us. It is obvious which food stands are more popular based on the lines seen while walking around. Best advice, try a little of everything as much as you can. We loved the fresh juices, dim sum, chicken rice, etc. Highly recommend."
,,Great place,5.0,,Love it here. Some of the food looks a bit scary for us Western people but it is definitely worth a try.
,,"Amazing plethora of dishes, all so good its hard to restrict oneself",5.0,,"Its not yet lunchtime and already a long snaking queue forms in the centre. The air is heady with the aroma of rice cooked with ginger& garlic and almost every seat in the house is reserved or ‘chopped’ as the locals say- with a packet of tissues or a business card. Singaporean delicacies crowd the tables- chilli crab, chook rice, deep-fried oyster fritters, Hokies mee, ‘carrot cake’( cubes of white radish fried in rice flour and served with egg) and Rojak... a legion of chopsticks carve the air."
,,Still affordable price and plenty of good food,4.0,,"The price is still affordable and the quality is good. A wide range of local food to choose from. There is this stall selling oyster "" fried cake"" (some veg, pork and oyster wrap in a layer of crispy batter) is a must eat----- Eat while it's hot."
,,Get amongst the hustle & bustle.,3.0,,"Conveniently located near the hustle and bustle of China towns main attractions. Many stalls were vacant or closed during the Sunday dinner we visited. Still, not a bad choice should you wish to have authentic local food at a cheap price around $3 to $5 per serve. The famous stalls are very busy with long lines, so be prepared to wait or get there early. We were too hungry to wait, so tried other stalls and were still happy. Not as clean as I thought it would be, but overall it was a great dinning experience."
,,Awesome hawker stand food,5.0,,"This is THE best place in Singapore for hawker style food. It’s close to Chinatown so you can go for a wander after your meal.
Dishes to definitely try - eggs with oyster and laksa
They have pretty good toilets too
Cash machines available but payment is generally in cash

Tip - the food here is better than Lau Pa Sat"
,,Great place to taste local food,5.0,,"The food is fresh, delicious and really cheap. Offers huge variety of chinese and indian authentic meals."
,,"A wide range of Chinese, Malay, Indian and Peranakan food",3.0,,"A large (outdoor) hawker centre with a variety of stalls offering a wide range of Chinese, Malay, Indian and Peranakan food — illustrating the diverse cultures of the country. It’s not air-conditioned (like an indoor food court) but does have fans throughout the area."
,,Fine and cheap local food,4.0,,"Some of the finest local food could be found her , like chicken rice , Teochew porridge and fried sweet dough . Nearby you could find Chinatown hawker centre and there are hundreds of food stalls and a few craft beer stalls to boot."
,,Dinner,4.0,,Had dinner maxwells tonight. Positives food was good Food was cheap Getting there is very easy Lots of tables so we could all sit down Negatives it does need a bit of a clean it did look a bit scuzzy
,,A cheap eat but so tasty,5.0,,You can eat easily for 200 $ a person in Singapore but at Maxwell you get the best and typical Asian dishes without spending more than 5$ for a whole dinner ... There are locals and tourists alike and its safe.
,,"Authentic vibe, fantastic food choices",5.0,,"Fantastic food choices at a great price point (super cheap)!
Must try the tian tian hainanese chicken rice made famous when featured by the late and great Anthony Bourdain (May he rest in peace)
They more than live up to their reputation.
As with all hawker centres you also have various food/drink & sweet stalls available to satisfy any craving so be sure to come with an empty stomach!
I actually prefer this centre over lau pa sat as it didn’t have the pushy vendors."
,,Singaporean Hawker Centre - lots of variety,5.0,,"We were staying across the road from Maxwell so we visited almost every day for 1 week!! Lots of variety, many choices, gets very busy during peak times - lunch and dinner. We realised in order to save a seat here while you go order your food - locals would put down a packet of tissues which means the seat is ""reserved""! good idea!
We ate dumplings, rice, noodles, chicken rice, and lots of yummy fruit juices. Must try a traditional hawker centre."
,,Looking for Good Food?,5.0,,"This is it, the Place for affordable Chinese food. The food stalls here are clean and serve you quickly. A lot of people flock in here and so it can get crowded but the food is well worth the effort.

I loved the hainanese chicken rice from here. For S$ 4.5, I had a plate of chicken rice and soup."
,,One of the best hawker centers,5.0,,"Low price for high quality. That is what you’ll find here. Tons of different stalls you can try out!

However, it can get a bit crowded and hot. Every table will be filled at times and sharing the table is a given. Being outside means you’ll feel the humidity and the fans don’t do much to help. It’s definitely different then you’re typical restaurant but that’s why it’s so unique!"
,,Singaporean hawker food at its finest,5.0,,"There were various hawker food stalls to choose from. Some of the best and most authentic tasting chicken rice can be found there. Get some popiah, wanton noodles, oyster cake, and carrot cake. Wash it all off with refreshing sugarcane juice, milk tea, iced coffee or milo dino. Everything was relatively cheap too."
,,Something For Everyone,5.0,,"Always love the food here. Lots of choices, lots to pick from. There is something for everyone. Fantastic Chicken Rice, Wanton noodle, Hokkien Fried Noodles, Fish Ball Soup, Char Kueh Teow, Carrot Cake and western style steak and BBQ - the list goes on. I could visit multiple times and still have not tried all. Yummy!"
,,Maxwell food center,4.0,,Quality of food is ok Prices are really low! Variety is wonderful Atmosphere is ... well junk food like
,,"Accessible, convenient and clean",5.0,,"One of the most tourist friendly hawker center. Good variety of food, well served and moderately priced. Easily accessible from Little India, close to the Buddha Tooth temple. Should give it a try!"
,,Fantastic handmade dumplings at Tim-Sum,5.0,,Visited maxwell around 8pm looking for some dumplings and were so lucky to find Special Shanghai Tim-Sum. The stall appeared to be run by a group of wonderful ladies and we could see them hand-making food in the back. 8 pieces of steam dumplings were absolutely delicious and reasonably priced at $4 SGD.
,,A lovely lunch,4.0,,"After visiting the Buddha Tooth Relic Temple my two daughters and I walked over to Maxwell Food Centre. It is a huge area with lots of little eateries to choose from. We went to Lad and Dad and had fish, chips and peas which was absolutely beautiful. We sat at little tables on a type of stool and the whole place was very busy. If we were staying closer, we would certainly go back."
,,Quieter at dinner time!,5.0,,Maxwell food centre made up the bulk of our meal times in Singapore. On our first night we tried Tian Tian chicken and rice which was great. We fell in love with the yellow fronted stall a few doors down that sold wanton Mee! The couple who own it are lovely. Alcohol is kind of pricey here compared to getting some from the 7/11 but one of the guys who sells it (around tian tian) is very charismatic albeit hectic! The place is clean thanks to the wonderful aunties and uncles who collect plates and there are toilets too (not sure about the condition as I didn’t use them). It’s fun going in with a $10 note and seeing how much you can get out of it!
,,Hawker -Maxwell Food Center close to Chinatown,4.0,,Good place to eat specially after visiting Chinatown. You can get all kinds of different Asian foods and desserts for less than $10
,,Great food selection but be prepared to queue,5.0,,"We ate twice in this food court and also popped in several times for a drink. A large beer costs 5-7 Singapore dollars which is much cheaper than bars or hotels. A Cola or Sprite can was 1 $ for a tin as opposed to 10 $ from our hotel minibar, Food was excellent although be prepared to queue at some of the more popular outlets at main meal times, such as the chicken rice outlet or the stall selling roasted meats, especially delicious roasted duck. Main course meals ranged from 3-8 $ depending on what you ordered and if you ordered a large serving to share. Sit where you like to eat your food - tables kept clean with vacated tables quickly cleared by the staff. You buy drinks from specific outlets rather than at the same stall where you buy your food. Put condiments on your food at the time of purchase as none available on the tables. Lots of locals buy food in cartons to take home or to the office to eat."
,,"Amazing range of food choices, cheap and good. A great hawker experience",5.0,,"Maxwell was recommended to us by regular visitors to Singapore from Malaysia and it didn't disappoint. There was a queue for the stall we wanted (Tien Tien Chicken Rice) so whilst one queued another went to get beer and the third grabbed a table. Whilst there is no table service the chap from the beer stall helped me with the beers and chilled glasses back to the table and the food arrived quickly too. The Chicken Rice was very good and fantastic value at about S$3.5 (£2) each, beer wasn't expensive either. It was a first hawker experience, and inspired us to ensure it wasn't our last. And the toilets were clean."
,,Amazing variety of Singaporean entrees,5.0,,"We departed Chinatown Food Street onto Bridge St. for a short walk to the Maxwell Food Centre, know as a Hawker Center. On the way you will pass the Buddha Tooth Relic Temple, reknowned for the tooth relic of Buddha. The Maxwell hawker food center is a hugh collection of Asian and Singaporian foods. It is like an airplane hanger food court. We tried a number of food entrees including the famous Hainanese chicken. It is hard to know what to recommend, the food was all so good and authentic. Prices were very reasonable and plenty of beer, including Singapore's Tiger beer. Plenty of souvenir shops as well."
,,Part of the Singapore Experince,4.0,,"It would be a real sin to visit Singapore and not try the food in at least one food court. The Maxwell Food Centre is a classic and despite some disruption with local road works is definitely worth including. Very simple format, have a look round the stalls, bagsy a table and then order what you fancy. Most food pretty good but queues tend to be a good sign!"
,,Perfect place when eating on a budget in Singapore.,5.0,,"It's difficult to choose from the variety of dishes from the different food stalls in this hawker market. Great quality at affordable prices. Ok, so table service is non existent, but where else can you eat such tasty dishes at these prices?
Look out for the queues of locals to find the best stalls."
