id,uid,title,score,date,content
,,Terrible customer service,1.0,,Everyone say Mustafa is a good place to shopping because of cheap rates. But it is NOT. And also the customer service is horrible. The cashiers are treating to customers like beggers. And also of you carefully compare the prices you will understand there is no anything for cheap. Specially luggages. If there is something for cheap double check the quality of the item.
,,Amazing Shopping Center opens 24 hrs,5.0,,"An amazing shopping mall that contains all type of goods at unbeatable prices. Shopping at this complex is an experience to buy many things at cheap prices, and it’s open 24 hours. We bought many brands perfumes at very good prices. Also, we enjoyed buying many household goods with unbeatable prices."
,,From A - Z,4.0,,"It is an hypermart where u can buy A-Z of what u need. Great thing is u get most of the items u need from gold to grocery. But what i feel is costly. When u compare prices in India, Mustafa is costlier."
,,everything you find is here,4.0,,"there are many goods, if you pay more than 100 dollar SG you can refund tax here. i bought the perfume it very cheap."
,,Nice India style shopping center,4.0,,Very crowded shopping center where you can find almost anything. Always open but very crowded during daytime so visit late nights or late evening for the best shopping experience.
,,If you want to feel like being in India,4.0,,"Anyone in India who's had relatives or friends in Singapore in the 90's and early 2000's has surely heard of this place. Frankly it's nothing more than a massive supermarket, without enough space to navigate. But if you always wanted to know what the hype was about, just drop in. You can exit any time empty handed."
,,Boxes with missing chocolates,1.0,,We bought a box 12 pcs Boom Bastic chocolate box and after opening it there were only 6 pieces it is saddening to know that such famous and popular market is not able to give proper service
,,Shopping mall,5.0,,It is opened 24 hours. This mall has many shops those providing varieties of items. Even budget shop is available
,,Overrated,1.0,,The market is dated and overcrowded. Inventories are jam-packed. Staff is always on the lookout for shop-lifters. I would not recommend this place at all. Maybe for locals on the hunt for a bargain during grocery shopping.....
,,Open all hours,4.0,,"We wandered in here after eating locally and it transported me back to memories of shopping with my parents when we visited India.
Floor after floor of clothes, shoes, electricals, health products, toys etc
Worth a visit for the atmosphere
My wife and daughter loved browsing the saree section
Money changers here offer very competitive rates and are legitimate"
,,Huge and Exclusive 24/7 shopping,4.0,,"This is the identity of the little India are now. Lot of things you can buy (especially Indian stuff). You can buy things such as souvenirs, dry fruits and chocolates."
,,Sherin Nafie,4.0,,"It is a center located in Little India & open 24/7. U can buy lots of things like toys, confectionery, perfumes, toiletries, groceries, electronics, household items, clothes, .... all under one roof at v. reasonable prices. It is v busy & congested with visitors."
,,Zero star if possible,1.0,,"The only place I absolutely hated in my trip to Singapore. The management thinks every visitor is a thief so horrible security measures. But what they don't understand is that it's the policy of the management to leave things scattered all over the place that makes it prone to theft and not the people. There may be thieves but that doesn't mean every one is a thief. Also the staff is super impolite except for a few. Direction signs are also very bad and many aren't visible easily. I got fed up with in a few minutes and exited the place.
If you want a good atmosphere to shop or if you want hassle free shopping never ever go there."
,,Bargain Hunting,3.0,,This is one of the most famous shopping centres in Singapore famous for its cheap prices. You can find almost anything under one roof but the place feels very congested and it's not fun going with kids at all. If your looking for cheap stuff definitely check it out.
,,Beetle dried apricot fruit,1.0,,"Last week (21/6/2019) i brought dried apricot fruit. Yesterday (26/6/2019) i like to open the package, suddenly i was shocked!!! Inside the package beetle... The package still not yet opened. I have the item purchased bill..... How come the dried food beetle...??!!!"
,,Over hyped,2.0,,Its nothing more than a super market. Quality not so good. Better options are available elsewhere. Disappointed
,,A huge supermarket,5.0,,Mustafa center is nothing more than a huge supermarket which caters to all your needs of shopping from clothes to household stuff to perfumes to medicines and what not. The prices are decent and there are so many payment centers to take care of the rush. Place is surrounded by several Indian restaurants to cater to the food need. Overall a good place to but your stuff.
