id,uid,title,score,date,content
,,Orchid love,5.0,,The National Orchid Garden is a feast for the eyes for those who love orchids in their many manifestations. A must to see when in Singapore.
,,Beautiful,5.0,,"Wow. So full of orchids of all shapes and sizes. With photo stops, a VIP area. Situated within the NBG, there is a fee for entering"
,,So beautiful,5.0,,"Must see, even if you are not a gardener or flower person, so much variety and colour. Well laid out displays and an easy walk."
,,Fabulous and lush greenery,5.0,,"Although its a garden mostly planted down for years by men it is still very natural as quite close to 30 yrs back, but with much improvement on the path, signboards and walkway too"
,,A Great Place to visit,5.0,,"Personally, its one of the great places to visit and spend time looking at Orchids, you may not be a flower or plant lover but once you have seen the the beauty of some of the orchids they grow there, you may have 2nd thoughts.. the paitence and the care to create the blooms is just out of this world."
,,A little icing on the cake,4.0,,While the botanical garden is a wonderful treat for nature lovers - a place to go for a nice stroll / walk/ run- the orchid garden tucked away in a corner is a real treat for the true flower lowers with a wonderful variety of orchids - alongwith a nice treasure for celebrity watchers of seeing orchids named after celebrities who planted them
,,Amazing,5.0,,Amazing place. Worth going. Great to refresh. Peaceful and it costs only 5 SDL per adult. Small price for what you'll see.
,,Family weekend outing,4.0,,"As our family seldom get together due to
indidual commitment,we decided to have outdoor outing at the orchid garden.
This is one of the beutiful place if you appreciate horticulture and quiet embience with beautiful flora.
I would encourage friends and relative to visit as the place is unique and far fom madding crowd."
,,Orchid heaven,5.0,,"Absolutely do not miss this corner of the Botanic Garden. If there is a guided tour available, then it is very worthwhile. The content and diversity here is just outstanding."
,,My Singapore Orchid Garden,4.0,,Lovely and unusual beautiful orchids in an amazing setting. Loved my walk in the garden! Every spot is a truly photographer's delight. Always enjoyed bringing my foreign friends to the place who is always impressed!
,,One of the best gardens I ever visited,5.0,,The National Orchid Garden is without doubt one of the best gardens I ever visited. It is beautiful and well maintained thanks to the hard work of the gardeners. It is really worth a visit with the wonderful orchids and plants you can see there.
,,Absolutely stunning,5.0,,This must be the greatest orchid collection in the world. Especially interesting are the varieties created for VIP visitors - heads of state and royalty. One wonders how closely the new varieties are crafted to reflect the characters or tastes of the visitors.
,,Absolutely phenomenal,5.0,,"A photographers dream, a short taxi ride from the centre and plenty of ways to return and plenty of taxis waiting. wnderful sculptures and lakes and joy to walk around"
,,Gorgeous gardens,5.0,,Cost $5 per adult to enter. The gardens are lovely with a beautiful aroma. Some lovely photo opportunities here. Very hot though so bring water with you.
,,Lovely!,5.0,,So much beauty that it overwhelms the brain! We loved walking through the orchid garden despite the incredible heat! Just lovely!
,,Inspiring,5.0,,"Located within the Botanical Gardens the National Orchid Garden has to be on every tourists list of places to visit while in Singapore.

I have never seen any collection of orchids anything like this, you are surrounded by amazing colour the whole way around which includes varieties of orchid you may be familiar with but certainly many that you may not be.

The sear numbers of flowers in places amazed me, literally thousands.

An Experience we will treasure for the rest of our lives."
,,Good tourist attraction. One of must do's,5.0,,"The orchid collection and the garden arrangement were simply stunning. Lots of designated photo spots. Huge variety of flowers.
Smth new is currently being built nearby - so lots of construction noise.
Try to go in the morning as it is less crowded and less hot."
,,Simply Stunning,5.0,,Depending on when you visit the National Orchid Garden the displays vary - but the orchids on display are wonderful. I would suggest that you take your time and sit on the benches available and marvel at the colours of the flowers on display at the time of your visit.
,,Fabulous collection,5.0,,It takes several hours to comprehend all the different varieties and to fathom the complexity and breadth of this orchid collection. Highly encouraged. Set aside a day for the entire garden.
,,Beautiful orchids,5.0,,"The layout of the gardens is beautiful with thousands of beautiful orchids and a house dedicated to orchids dedicated to VIPS ( ie Diana, Princess of Wales) . There is currently some work going on in parts of the garden but it had no impact on my visist. The gift shop close to the entrance is excellent."
,,Simply gorgeous,5.0,,The visit to the Orchard garden was included in a city tour and it really was worth it. The amount of different and very beautiful orchards that are presented here in a nice environment is overwhelming.
,,Best value attraction in Singapore,5.0,,Located within the Botanical Gardens this is a must see attraction if you love the many different types of Asian orchids. Small entrance charged reduced if you are over 60.
,,Awesome orchid experience,5.0,,Lovely casual atmosphere. Picturesque easy stroll. So much variety We enjoyed it a lot Price was sensational
,,Don’t miss this,5.0,,"I almost didn’t bother with this as I am not an orchid lover but we were in the botanical gardens and as the orchid
Is the national flower of Singapore I thought I ought to pop in! There was a very small charge to go in but it was so worth it! I have never seen so many orchids of such beautiful colours and the scent of some was incredible! It was a place of absolute beauty. Well set out, clean and tidy and obviously well tended.
My 15 year old daughter loved it so suitable for all.
I am very glad I didn’t miss it."
,,A place to go,5.0,,"I visited the botanic garden and the orchid garden during a Saturday morning. Half a day is enough.

The Orchid garden is impressive.

Orchid flowers of different kinds and colors.

You can walk & walk and discover the world of orchids reading many pannels that explains secrets of orchid ""production""."
