id,uid,title,score,date,content
,,Still worth a visit despite the renovation.,5.0,,"Raffles was still under renovation, but bits are opening up. The Long Bar is open but the queues were very long. The shops was much reduced but should be back to its full size now. The arcade of shops including Leica is well worth a visit and the whole place as it offers glimpses of its glory is worth going to as it slowly awakes."
,,Raffles a must,4.0,,A Singapore sling and a yard of ale. Plenty of monkey nuts to chew . Very quaint and a must for your visit
,,Very expensive... not terribly welcoming!,2.0,,"Sadly, we arrived at the main entrance, took some photos and were escorted to the main hotel by a staff member. We were then told we had to leave as we couldn’t just walk in! No signage or information anywhere. I felt like a second class citizen. Shame on Raffles for not treating people with greater respect or sensitivity. We then went to the Long Bar where the staff were lovely... not surprisingly with the prices they charge. Pressured in a pleasant way to continue drinking but we declined. Crunchy underfoot with the thousands of monkey nut shells strewn over the floor by patrons. Clearly an old (odd) tradition and a great way to keep punters thirsty! Wandered around the outer hallways of the building to the gift shop though it has a more highbrow name. Way too expensive to buy but interesting to read the history. Sadly, the place is overrun with interior design and furniture shops. I guess it has to make money somehow. Perhaps making it more accessible to ordinary folk might encourage them to stay for longer and spend more. I suddenly felt like a pauper! Would I return... probably not. Definitely worth a look at a beautiful colonial building. Sir Stamford Raffles was clearly an entrepreneur! Didn’t realise he considered the hoi polloi unworthy."
,,"Go for it, you know you have to!",5.0,,"You cannot go to Singapore without stopping off at Raffles for that iconic Singapore sling! Not to mention the peanuts, just didn't feel right throwing the shells on the floor...... September2017"
,,A bygone age when service was paramount,5.0,,"Raffles has been under refurbishment for some time, but the Long Bar had just opened again. How pleased was i? You may have to queue to get in, and if you do not want to sit at the bar, or share a table, that is fine. They will get you seated how you want. And then the magic starts. Order a Singapore Sling of course and work your way through the hessian bag of peanuts on your table, remembering to throw your shells onto the floor. Some guests found this unnatural and made a pile of shells on the table. As the waiter or waitress came past, they just brushed them onto the floor anyway. There is no rushing you out. You stay as long as you like. You can imagine that once you have finished, your elephant will be outside waiting to take you home. Do not miss out. Go and see this for yourself !"
,,iconic,5.0,,of course you have to come here!! Order the famous Singapore Sling and enjoy the sack of peanuts. its a mu.st for first time visitors to beautiful Singapore. Keep in mind the cocktail packs a punch. Service is excellent
,,A must in Singapore,5.0,,"This hotel is still having renovations done to it but the 'Long Bar, which is upstair to the right hand side has reopened having been refurbished. A short que to enter as so many people visiting, took about 25 minutes but well worth it. There is no standing room available so all that enter have to be seated. You can not go to Singapore and not of said you had been to Raffles or indeed sampled the original Singapore Sling. The drink comes with a hessian bag full of monkey nuts which when eaten the shells are thrown on the floor. Not the sort of think you would expect in such an expensive place. different to Sampled a few of these drink whilst in Singapore but none of them tasted like this one!. Another tick of the bucket list."
,,A must stop in Singapore!,4.0,,While the building is under construction the Long Bar is still open and the Singapore Slings are great along with the bags of peanuts still in the shell!
,,A GREAT WALK THROUGH THE SHOPPING ARCADE.,4.0,,"After alighting from the train at Raffles Station, we went for a walk through this arcade.
There are a lot of shops to see and the arcade is well set out.
We had a coffee and shopped for about an hour here.
Well worth looking at but to Australians the items being sold were mostly dearer than we pay back home.
Well worth walking around. Wonderful for photo shots for the photo minded.
Would go back again."
,,Under Construction,3.0,,"The entire exterior of the hotel is currently undergoing reconstruction so entrance is limited and the only place to get the famous Singapore Sling is in the ""Upstairs Bar"" which is beautiful but not the garden view bar where I would traditionally get one. Was disappointed because of the construction and it appears it will be continuing for the next few months."
,,"Hotel still under refurbishment, long bar still open.",4.0,,"A trip to Singapore wouldn’t be complete without a visit to Raffles for a Singapore Sling. However, the hotel itself is still under refurbishment so anyone hoping to get photos other than of the long bar will be disappointed."
,,Quick Drink in the Long Bar,4.0,,"Well....what cam I say, a trip to Singapore wouldn't be complete without a visit to Raffles Hotel. We headed for the Long Bar and Singapore Slings :) Nice relaxing atmosphere and great service. Recommended"
,,Closed until February 2019?,1.0,,Disappointed that the refurbishments are running behind. If it's on your list to visit check with the web site. Some companies were still running trips in December 2018
