id,uid,title,score,date,content
,,They can do better,2.0,,"There is potential for this part of the zoo to be a lot better than it is. My main concern is the way the animals are kept in the “ride” part of the safari, you have to pay extra to go on what is much like a theme park ride on a channel of water and I was very disappointed in seeing how small some of the enclosures were for the animals. They shouldn’t really keep some of these animals in these kind of conditions, they looked sad and depressed, it did not give me good feelings at all, they need to improve this part of the zoo."
,,Interesting place,4.0,,"Interesting river safari, a bit smelly, variety of animals and birds. Photo options provided are very expensive"
,,Disappointing,2.0,,This really should just be included as part of the zoo. It’s definitely not worth it as a seperate park. The amazon river ride - you wait so long for a few minute ride that’s not exciting at all. You see about five animals from far. Would not recommend.
,,A great half day out,5.0,,"We took our 2 sons (8 & 10) & had a lovely day out. They recommend you allow 3 hours, but it wasn't busy & we took our time and easily passed 5 hours. Lots of spaces to hide in the shade & indoors to keep cool. Lots of animals to see (Monkey Walk, Pandas, Red Pandas, lots of fish & reptiles). The free boat trip is a relaxing 15 mins (lots of info but not much to see) & it is worth paying for the extra safari boat trip as you do get to see quite a bit more. When we first visited the pandas they were all asleep so after out boat trip we wandered back & caught them all at feeding time & very active. It was well worth the walk back to see them a second time."
,,We loved it!,5.0,,"We visited the River Safari followed by the Night safari. We really enjoyed it. The animal show was great, the kids got to feed a Capybara which was exciting. We arrived around 3:30 on a Wednesday night and it wasn’t too crowded. We were done within 2 hours, but we didn’t do the boat ride as one child was already suffering from motion sickness."
,,Best for your kids!,5.0,,The location is the same area with Singapore zoo. If you looking for another experience than zoo this place is one of the best. They had a big aquarium also boat ride that you can enjoy animal through the glass. End of July is not too crowd so we finished all the park within 3-4hour. My suggestion is go early before 12PM.
,,"Go early, before the crowds",4.0,,"A nice walk through aquariums and a view of the pandas, before a short river ride. We went early to avoid the crowds, which was nice. The boat ride is really short though, just 15 minutes and we didn't see anything at all except for animals in the zoo, from the river."
,,Nice Place,5.0,,I love that place and it is a river themed park. It was a nice riding at Amazon Quest. You should visit to River Safari when you visit to Singapore Zoo.
,,See the pandas and walk with monkeys,5.0,,Great place to spend an afternoon in Singapore. Train ride and bus to get there but easy to navigate. Highlight for the kids were seeing the pandas and walking through an enclosure with a troop of monkeys. Could do the park in an hour if time limited. Plenty of shade/shelter for hot or rainy days. Boat ride tame but quick so have camera ready. Aquarium part also amazing. Highly recommend
,,One of the must go place in Singapore,5.0,,A lot of efforts spend to keep the natural reserve and taking care of the animals to make them as natural and as comfortable as possible. Great place for family to bring kids there for some fun too.
,,Loved the river cruise,5.0,,"I had a great few hours at river safari, I went on Friday afternoon so wasn’t too busy. I loved the animal show, it was great being able to feed the animals and have photos taken with them. The Panda was very cute, since it wasn’t busy when I went I didn’t have to wait. The amazon river quest was definitely worth the money, a relaxing boat ride and brilliant views of the animals. However, the other cruise (the free one) I didn’t get to see any animals so that was a waste of time. I definitely recommend river safari, there’s not enough to see there for a full day so maybe do river safari and then night safari."
,,Boat ride,4.0,,"Overall, we enjoy very much but the boat ride is closed for whole afternoon, the staff just ask us to try later, we go back 3 times but the service still suspend which waste our time and effort to go back and try."
,,Wonderful,4.0,,Only bad thing was hot & humid weather but A/C enclosures in between gave some relief. Good experience for children.
,,Definitely visit,5.0,,"Well worth a visit, won’t require all day - probably 3-4 hours max will cover it all off. Red Panda was a highlight. Skip the reservoir cruise, not much to that part of the zoo."
,,River Safari Singapore,1.0,,"We were quite disappointed - the safari was a semi educational trip. More suited to youngsters. Having been to the aquarium we didn’t need to see more fish. As for the ‘on water experience’- 15 mins on a reservoir, seeing the heads of two giraffes poking through foliage didn’t cut the mustard. However seeing the pandas was a joy."
,,Nothing to talk about!,3.0,,"Very average! The zoo was much better. U can finish this off in a hour or so. The zoo would take you atleast a full day to complete. Therefore, do the zoo & then finish off with the River Safari or the Night Safari, which was also very average!"
,,Good Family Time,4.0,,"I purchased the entrance and boat tickets on the official website. Very straightforward. Given e-tickets, so once you reach there, you will be able to enter without needing to queue for the physical tickets.
Walks in the park is nice. Well shaded. There were some interactions with the staffs for knowledge, for eg at the entrance, there was a small booth and the friendly staffs were there to explain the designs of some tools / toys for the birds. Which is quite an interesting topic i'd say.
Toilets are clean.
Easy to navigate. Plenty of rest areas.
Overall a really nice place for some relaxing and eye-opening experience for me.
The park isnt that huge, should be able to finish exploring within 2hrs or 3hrs depending on the speed and curiosity level of an individual. :)"
,,Great day out,5.0,,"Had a great time at River safari. Seeing the 2 pandas so active was amazing. We also loved the amazon river ride which you can go on twice for only one payment, and the river show was wonderful with beavers, pelicans, capabaras and more!
Would recommend."
,,Holiday with my baby,3.0,,Pros - Friendly to kids and elder. Nice place to visit especially Panda Cons - lack of choices for food in park.
,,Wonderful Experience,5.0,,"We had such a great time on our river safari and we loved seeing the sights from the river. It was peaceful, enjoying the breeze and nature all the way to the lake. It's a very good experience and a lot of fun, kids like it very much. We will definitely go again."
,,Unique view of the World Rivers.,4.0,,"Visited on a Friday, not so busy. Displays are of the animals & aquatic life in the major rivers of the world. The first being The Mississippi River, Congo, Nile, Gangee, Mary (Australia), Mekong & Yangtze. All the displays are set behind glass walls with full descriptions and pictures of the animals or fish shown. It is a gentle walk along the walkways that are sheltered from the weather and reasonably cool. They have a touch pool for children. After exiting from the Yangtze River display, you are then in the Red & Giant Panda area. You then cross the bridge to the boat plaza were you can take a 15min ride around the Reservoir and you may be lucky to see the Rhino's and Giraffe in the zoo. The Amazon River Quest boat ride is also located here. The animals on display are listed as you enter each section, but it is sometimes hard to spot some, especially the monkeys and the boat travels quite quickly for any photo opportunities. Would come back again."
,,Such a beautiful park,5.0,,"River safari is one of my favourite location to take people who come to visit me in Singapore. It’s very well done, covers the entire world of river fish and animals who normally live around rivers and they have pandas! But no matter how much I like pandas, I think my favourite attraction is still amazon river quest. It’s a 10 minute boat ride through amazonian jungle. Highly recommend you to get this

Don’t bother getting the other boat ride on the lake as there is nothing special to see"
,,I will never swim in a river again!,5.0,,Some of the most fascinating fish I never knew existed! A must see even for those of us who like to keep out of the water. This exhibition is worth every cent of the entry fee.
,,An amazing experience,5.0,,"The highlight of our two days in Singapore. It’s a bit difficult to get to by public transport so we taxied from the city and were glad we did. Our driver was chatty and very informative and our trip seemed to pass quickly and was reasonably priced at S$21 (our return trip was longer because of the road layout and was closer to S$30. The River Safari entrance was close to the taxi drop off and we were soon walking around the displays. It’s a mix of internal displays and external walks with displays such as glass walls of water tanks or recreations of different water habitats. Unlike big city aquariums this is a walk devoted to the big rivers of the world - the Amazon, the Nile, the Ganges , The Mekong and the Mississippi and it’s done fantastically. The specimens are unique and very interesting. The highlights for us were seeing piranhas, the Pandas (both of whom - Kai Kai and Jia Jia - were out and active as we arrived, and seeing the spider monkeys plus other animals up and close in the special enclosure. It took us about 2 hours to see the things of interest and we departed absolutely exhilarated. Well worth the 30 minute trip each way."
,,Learn about life in and around water,4.0,,"The place is mainly sheltered and air conditioned. Hence, there is little worry about the weather.

It is a great place to learn about life in and around great rivers of the world. It is also one of the few places to see pandas.

The free reservoir cruise is little more than a joy ride. There is little chance of seeing birds or animals during the cruise. We spotted some rhinos and giraffes from a distance and that was about it.

The optional Amazon River Quest was more interesting. It may not be easy to spot or take photos of animals or birds while the boat is moving. However, as long as you do not exit, you can go for repeated rides at no extra charge."
,,Nice place to visit,5.0,,"With the theme of rivers, it complements the visit to the zoo. Star attractions have to be Pandas and Manatees. There are also the Giant Otters, Catfish, Stingrays, Red Pandas etc. Have to go on the River Cruise and Amazon River Quest boat rides. Will go there again."
,,Must visit .,5.0,,Must visit. Good setup. Wheelchair friendly setup . Highly recommended . Very accessible . It was raining very heavily but all walkway are sheltered.
