id,uid,title,score,date,content
,,Excellent Museum. Worth a visit!,5.0,,Really good and interesting museum. It explains more about the history of Singapore but in an interactive way. All the digital experience is amazing! I loved the cinema! The building is nice and their staff is friendly. If visiting Singapore is definitely worth to visit.
,,A must see!,5.0,,"This is such a graceful building that has been tastefully restored to house a wonderful vollection of general and cultural.
This building was once the Singapore seat of rule and law and its historic past can be imagined on the lawns at the front.
If you like a gallery...you'll love a visit here. I spent a day wandering through both buildings and had a very restful time soaking up the art. Take a break with tea and tea and finnish off with a cocktails in the upper bar and breathe in the view before you."
,,"Not Open, No alternative location, Singapore is more into Working, Shopping",1.0,,"Not Open, No alternative location, Singapore is more into Working, Shopping, Culture Nature and Heritage (exception is when related to the rulers since 1965) is not displayed on a secondary Location yet. Missed opportunity."
,,Wide-ranging collection of contemporary Southeast Asian art,4.0,,"I wasn’t sure quite what to expect in contemporary art at the SAM (Singapore Art Museum). It encompasses many types of creative modern art, such as photography, painting, sculpture, video, interactive exhibits, and others produced from the mid-20th century onwards. I think it includes almost anything that people would look at and find to be artistic and made with the hope that some would find modern, distinctive, and interesting to look at. The collection is nice, but for me not amazingly beautiful. However, I’ll rate SAM as Very Good, as I did find many of the very unique creative pieces to be artistic."
,,Pretty average - but mostly closed,2.0,,"Visited but they are midway through a relocation it appears - and the work on display in the new site was limited in scale and quality.

The staff in several exhibition areas were quite invasive following you around the exhibition which it quite difficult to absorb/enjoy."
,,Great for young children,5.0,,"We spend around 3 hours here with 2 younger children, they loved it. So interactive, even as adults we loved it. Discount given with Singapore Airlines ticket a bonus. Definitely a great morning out. The building and views are amazing."
,,quiet and peaceful,4.0,,"I stayed nearby this place when I came to visit it. It was an excellent recomendation by the lady I met at Sentosa. I asked her which was the nearest and convenient museum to visit and she suggested this place. I am glad that she did. Because in here, I found tranquility. The infrastructure of this place gave the vibes I was looking for. It was not pricey and senior citizens gets a discount. I am happy. Unlike the musem I visited at sentosa, it was just noisy. And too overrated. I am glad I found this place."
,,Brilliant flight,5.0,,"We flew with Singapore Air all the way to Sydney from London. We had a short stop over in Singapore on the way out but flew all the way back with a 55 minute stop, the staff were very attentive, hot towels, food and drink all the way, we flew premium economy which gave us just a little more comfort and space, food choice and bigger screens with noise reduction headphones, we slept most of the way home so they were obviously comfortable, I would highly recommend Singapore Air and would definitely fly with them again."
,,Disappointing,2.0,,"We went there with high expectations but unfortunately most of it was closed and we went in anyways and saw basically three art designers with like a few work , maybe it was not the best time to visit it but we were disappointed"
,,Contemporary Art,5.0,,"President's Young Takents 2018 is on till end of the year before the museum closes for its revamp. Thought-evoking and fascinating art even for amateurs, they are for those who love to learn about the varied degree of affordable of different materials and methods for art. It's relaxing and inspiring. I hope the museum will consider to host more activities for the visitors to interact with the artists to understand the thought and processes in their art productions."
,,"Evaluation is related to frustration, not to SAM itself",1.0,,"After some walking under a hot sun, some doubts over the map, ....a guy at the main entrance informed the museum will be closed for a period o two years..."
,,Singapore Art Museum for Kids,4.0,,"We only went to the Future exhibit which is essentially all about the kids. There are 8 interactive displays which our kids loved. There Mare three displays where the projected display moves around this kids, ex a waterfall and if they stand it front of it it goes around them. There are 2 displays where you can color in various pictures such as cars and ships and then scan them. The picture is then displayed on the big wall. Kids got a kick out of seeing their picture up in the wall. A good way to pass 2 or 3 hours."
,,Old world charm building that was a mission school before.,5.0,,"Well lighted, clean, spacious and feels good. Good place for photography, an evening stroll and even an afternoon cuppa."
,,A good mixture of oldies n futuristic,3.0,,"Small muesum, well sectioned. Like level 1 the most particularly the painting of singapore map on the wall, specifically showing some prominent landmarks. Free admission to everyone on Friday, 6-9pm"
,,"Closed,we did not know",1.0,,"We wantend to visit the museum today but we were told at the entrance that it is closed for 3 years. Unfortunately we did not know, we had been walking from our hotel.. there is some exhibition in the national museum that we visited earlier.
There is a special exhibition for children that is still open."
,,I loved it so much,5.0,,"This place is awesome, i loved it so much the marvel museum. And this place attached to mal marina bay sands which is we are easy to find places to have lunch or dinner. We use public transportation to get here and it was bery easy, we take bus from garden by the bay only 15minutes."
,,An iconic building located near Orchard,5.0,,"You should come visit Singapore Art Museum if you are visiting Orchard Road. It’s located nearby at Bras Basah.

SAM is perfect for tourists visiting Singapore for the first time to learn more about Singapore’s history and heritage. It is situated at an iconic colonial building where it’s an experience for you to enter a preserved historic building in Singapore.

SAM is opened daily 10am-7pm with the exception on Friday which will operate from 10am-9pm. It costs $6 for Adults and $3 for Senior Citizen and Students. Free for children as well.

SAM also provide conplimentary guided tours in English, Mandarin and Japanese at selected timings and days."
,,Beautiful icon,4.0,,"You can visit here for study and sightseeing. Very cool, cozy, comfy. You can get knowledge here. Fit for backpacker also"
,,Main museum closed. Annex (Q8) waste of money,2.0,,"Unfortunately we found that the main museum is closed for renovation until 2021. The Q8 Annex is open, but costs the same as it would for the main museum even though it’s about a 10th of the size! Ok so it’s not a huge amount of money (6 SGD) but seems a ripoff to me!

The Q8 annex exhibitions are small and not very interesting in my opinion (not helped by the fact the place was overrun by small children running everywhere too!)

Personally I would save your money and put it towards the National Gallery or National Museum."
,,Excellent Exhibition,5.0,,"The SAM is conveniently located bear Bras Basah and within walking distance from Dhoby Ghaut. The building is colonial style and looks grand. There are also several eateries which are quite popular. If you are an art fan, you'll surely find something or the other art fair going on here."
,,Good exhibitions,4.0,,This is a big building and is a little confusing with it's layout. Pick up a map at the start and try to follow it ! There are some stunning interactive exhibitions on the ground floor and a good range of ancient and more modern art work. The cafe on the ground floor is clean and the food is OK. The bar on the top floor has good views over the local cricket ground and is a great place to sit on the balcony for a cocktail. It was a surprise to find such a bar in the gallery.
,,Art | History,5.0,,Worth a visit once you are in Singapore. Near to Orchard Street and well connected with MRT & buses as well.
,,Closed -- not obvious from web pages!,1.0,,"Sadly found this is closed -- with signs to an annex (Q8) that was supposed to be open...but was also closed until the next exhibition begins. Really odd not to have this information appear on the main web page, but it is not even clearly noted on the Visit web page either, which is very disappointing."
,,Architecture exhibition,3.0,,At moment there is only exhibition of architecture on as main museum will only reopen in a few weeks
,,Worth visiting !,5.0,,A great art museum and certainly worth going to see when in Singapore. Staff were friendly and helpful. Toilets spotless.
,,OK Museum,3.0,,"When I visited the main building was closed and it was just the Cinerama exhibition that was open. It’s an ok exhibition, but it feels more like visiting a small gallery than a major museum. Perhaps it will be more worth a visit once the main building and permanent exhibitions reopen after the refurbishment is complete."
,,Worth Visiting,5.0,,We were here in January and had the pleasure of seeing the Impressionist display. This is a lovely gallery. Plan on spending several hours to enjoy the full experience.
,,Exhibition: Cinerama,4.0,,"Unfortunately the main building wasn't open so my admission (S$6)was only for the exhibition Cinerama.

Rooms on different floors featured the different artists.
To my surprise, there wasn't very many visitors... but it was ok for me as I got to take my time in each area.

All that was featured was definitely unique.
AK-47 vs M16, the film was an incredibly powerful piece.

Can highly recommend a visit no matter what the main feature is for an exhibition, as there is also the main building housing many more works of art (which I will save for another rainy day)."
,,Great institution. Amazing show,5.0,,"I went to see the ""Cinerama"" exhibition featuring Singaporean Artist Ming Wong.

Excellent show.

This is a great first stop if you are exploring the art scene as this is a contemporary art gallery/museum dedicated to art and ideas. This proves a good remedy to the very commercial art stuff you see in the mall ""galleries"".

Staff are extremely friendly/chatty and happy to advise on other places to visit.

Entry is a few $Singapore for non-Singaporean visitors.

I would spend at least an hour here. I spent the afternoon as the then current show was video work and required more time."
