id,uid,title,score,date,content
,,wow.. lovly,5.0,,happy to travel by Cable Car. nice city view and relaxing. good price for raveling... I went with my friend and we will travel again..
,,Excellent service,5.0,,"very well managed and nice service. Visited Sentosa by taking cable care.
Sentosa is a tiny island and it's very beautiful."
,,Amazing,5.0,,"One word for this experience in cable car is Amazing. Must visit if you are in Singapore
You get a full view of City.

Well organized, mantained and managed.

Will be a good experience for kids"
,,Great!,5.0,,The cable car ride from Sentosa to mainland island Singapore is beautiful. We did both cable car rides - one short one in Sentosa and the longer one to mainland Singapore. It is a must.
,,Annoying booking,1.0,,We booked a ticket the das before we went there. And they didn't manage to send us the tickets early enough. By the way you have to que anyway. We needed to call the service and still waiting for the tickets.
,,great experience,3.0,,"the kids was so happy, everythings look good from the above and the cable car was convenience too.. good experince afterall."
,,Very hot inside,3.0,,"Singapore is always hot and worst of all, the cable car is not air conditioned and it is extremely stuffy and hot inside. Regret taking this cable car."
,,Excellent and Amazing,5.0,,"Ride is fantastic, wow, it gives amazing view of sentosa. Equivalent to the ride the cabin is clean & neatly designed. You should be informed well before taking the ride - to depart @ which station."
,,Better than I expected by far,5.0,,"This was such a cool experience. Taking a cable car to a man made island paradise is something you definitely can't do most places. It was run very efficiently, I had no wait. When you arrive on Sentosa (island) there's a surprisingly cool gift shop - reasonably priced unique trinkets. The way back is a little more complicated as you take two cars and that confused me - but to be fair I had spent the day at Universal, Hard Rock etc and I was exhausted and not 100% sober. The signage isn't unclear, it's just a longer walk than I thought."
,,Great Views,5.0,,"I'm terrified of heights but loved the cable car. It was daytime when we were on it & never much of a line up.
We got off at each of the stops between Sentosa Island & Faber Mountain, also did the cable car that goes across Sentosa Island to get a good view of everything there."
,,Good views,5.0,,The cable car offers a good way to get into Sentosa Island and offers good views as well. Buy tickets for both sets of cable cars
,,It is good to get the Faber Membership,4.0,,Price at $135 for a family is like buying a full trip tickets for all 4 to 5 of us and it allows us to travel unlimited time as a family to view the beautiful scenery. Only bad point is parking is very limited for weekend.
,,cable car ride,3.0,,you get a great view of singapore especially sentosa island. You see more than you would otherwise . its a good family thing to do. You get ideas of what to see next too.
,,Enjoyable experience,5.0,,"Pre-booked tickets. Staff very happy and helful. We did the round trip. Got the wrist stamped and were called ""power rangers"". A bit of fun was good."
,,Awesome Views,5.0,,We got on the Cable car at the HarbourFront tower and got off at Sentosa Island where we spent the day. It was a great relaxing ride across with some awesome views of Singapore.
,,Fantastic Views,5.0,,"I am so glad we decided to take the Cable Car across to Sentosa Island. A smooth, comfortable ride and the views are amazing"
,,The one and only one in Singapore,4.0,,My kids alway wanted me to bring them for a cable car ride but I find it expensive and to just go for a round trip. Brought them to the cable car station last week to see how cable car works. We had a long walk from the Mount Faber. By the time they make it to the top I think they are too tired to ask for a trip.
,,Enjoy..enjoy..,5.0,,Aerial link between mount Faber and Sentosa resort. Enjoy the Faber peak and Sentosa with cable car sky network
,,Worth the trip,4.0,,"We enjoyed our day riding the cable car and swimming at Siloso beach. Stopped in for coconut ice cream before our swim, then enjoyed each leg of the cable car ride. Highly recommended. Don't get caught out though - it is one price for natives and a higher price for tourists."
,,Only if your not too afraid of heights,4.0,,"I did both the cable cars from Santosa Island and was extremely impressed, both with the view and the way they are laid out. A little scary at the high spots but well worth the trip. You can also get off and back on at various intervals to explore further,"
,,Great views of Singapore,5.0,,"I read a blog prior which recommended catching the cable car from the harbour front up to mount Faber to have a look around and then go across to Sentosa Island. This worked really well so would definitely recommend this route.
Don't miss Faber peak views and the toilet with one of the best views in the world (in the cable car building). Once on Sentosa there is a further set of cable cars included in the ticket price. These give great views over the island."
,,Aerial view of Santosa by cable car,5.0,,"Cable car goes from Harbour front to Faber park to Santosa and back. It is a wonderful experience to aerially view and cover this entire area, Faber park, Harbour front and Santosa. Maintained very well. I liked it very much and recommend to the traveller to Singapore."
,,Soaring high!,5.0,,A fantastic way to see Singapore from above. The pods are spacious and well ventilated. We really enjoyed the trip.
