id,uid,title,score,date,content
,,"Efficient, cheap and clean way to get around Singapore...",5.0,,"SMRT is a great way to get around Singapore.

We purchased a Singapore Tourist Pass at the airport - for 30 Singapore Dollars it offers unlimited travel on the SMRT and buses for three days (shorter and cheaper options are available).

The SMRT is clean and user friendly - all of the signage and announcements are in English. The carriages are spacious, although seats can be at a premium during busy periods, and other users are very polite.

The SMRT network links to most of the main sights of the city. Strongly recommended..."
,,Lovely,5.0,,very easy to travel and good price than Taxi... I like this SMRT service. very very easy for anyone..
,,Convenient and easy,5.0,,"During our stay in Singapore, we always traveled by MRT which is convenient and easy once you get to know the system and attractions. Cheap, safe, clean and fast saves ample time. Highly recommend to anyone visiting Singapore."
,,Amazing and timely service.,5.0,,"Only hassle i faced was when i had to buy solo trip tickets while having big money notes. Rest, was a smooth ride."
,,Daily commute to work,5.0,,"One of the most reliable mode of transport is the MRT, as you can estimate your travel time to your destination, provided there is no breakdown. Use it daily to commute to work. Also good for tourist to go site seeing, when its above ground, theres wonderful and nice scenery to remember by.
Its been 30 years since the first MRT started rolling and have since improved and upgraded its services with more trains and routes. You can go almost anywhere on the train but first check your routes on where you want to go.
The best, fastest and easiest mode of transport. Travel during off peak, its less crowded. All you need is to purchase a stored value card at the ticketing office.
Train start rolling at 5.30am and last train at mid-night.
Enjoy the ride.."
,,Only travelled once,4.0,,Great MRT but we decided to only travel on it once as we liked taking taxis. MRT is a great way of getting around though
,,Best Way to Get Around,5.0,,"The MRT is easy, cost effective and used by many -- so recommend if here on holiday you travel outside the business times. Makes it very easy and cost effective to get around Singapore."
,,Superb metro train system,5.0,,"This is an amazing underground metro system that is safe, clean, fast, efficient and CHEAP. The system maps are easy to follow and you can get around Singapore easily using this system. We used Google maps to determine the best lines to take and station stops. We highly recommend it."
,,Best public transport in the world,5.0,,"The SMRT is the most efficient, simple, easy, quick and pleasant way to get around Singapore. While I was in Singapore for three days, I was able to get a pass for $S12. The Downtown Line was the only one I needed to use in order to get me to all the places that I wanted to go during my short time there so I didn't even need to change lines. The SMRT staff are very happy to help if you arrive as a stranger and don't quite know what to do. I so wish we had such fabulous public transport in Australia."
,,Fast and Reliable!,5.0,,One arrives every 5 minutes! Train schedule are easy to read and understand. Trains are fairly clean but the toilets connected to the stations are pretty feral!
,,Easy to use,5.0,,"So easy to use. Fast, clean and cheap. Very spacious. Cool too and you can recycle your tickets! All instructions are in English."
,,A fab way to travel,5.0,,"Buy a ticket at the kiosk & away you go. The MRT is fast, efficient & clean. The stations and routes are clearly marked with lifts, stairs and escalators.

The MRT are driverless & well designed. There’s no chance of falling on the tracks, safety always comes first in Singapore.

Don’t be afraid to use the underground system, the best way to travel around Singapore for very little money. We bought a 10$ ticket & went all over & after 6 days there was money still left on the cards."
,,Convenient,5.0,,"It is always easy to go by SMRT in Singapore. The trains are clean and comfortable, even it's often very cold in the waggons. The twins are mostly on time."
,,Only way to travel,5.0,,"So easy to master, ticket purchase by easy to follow vending machine, stations are clean and easy to follow directions make finding the correct platform and train easy. Carriages have stations and stops on easy to read displays."
,,super efficient,5.0,,"As super efficient as your would expect from Singapore! Beware that some of the stations are huge & you need to work out which exit is best for you to reach your desired final destination.
If buying the tourist pass be aware that it is valid by calendar days. We bought a 3 day pass at 6pm on day 1, but only got 54 hours use out of it before t expired at midnight on day 3."
,,Awesome rail network,5.0,,"The railway was one of the best thing I experienced in Singapore. They have some 6 rail network, each identified by different colours and route. You can get the map online and check which line to take or where to change the train to go to a particular place. Well connected to most of the important location in Singapore. Tourist friendly with proper indications given. You don't have to ask any one for directions, jus know which street you want to go and check it on indicators. Very clean, air conditioned and comfortable. Has hefty fine for drinking and eating inside station or train. Ticket vending Machine are available at entrance. You can also buy pass at the airport. They also have washroom and restaurants at most MRT stations."
,,efficient,5.0,,very easy to use and very efficient the best way to travel the city. also i like their policie about reusing your ticket
,,Best public transport system,5.0,,"This is definitely one of world's best public transport systems. It is superclean, efficient, cheap and the SMRT network has a very dense coverage. You get almost everywhere in the city within a 500m distance."
,,Efficient and clean,5.0,,"We visited Singapore in August 2019 and used the MRT during our entire stay, we got our younger daughter who is 4 a free card. Very clean, efficient and wide coverage."
,,So clean,5.0,,"The probably cleanest and safest way to travel in Singapore. On time and fast, although pretty cole...don't forget a jumper or scarf when being indoors in Singapore."
,,Great way to see the city,5.0,,The transit here is amazing. It comes every 5 minutes and its clean. When it hot and humid it's the perfect way to travel.
,,Efficient,5.0,,"I have used the SMRT each time I go to Singapore. It is fast, efficient and safe. The stations are located it good positions in relation to places of interest. The signage is clear and easy to follow."
