id,uid,title,score,date,content
,,Super,5.0,,I like the courteous and smiley faces of the staff. There are a lot of free info given in this centre. The counter staff is gd too.
,,"Staff are helpful, but",4.0,,The staff are all willing to help but I was surprised to find only a couple of maps and the Big Bus brochure on display. Compare this with TIC's in other countries where you can browse and then approach the staff for further information.
,,Fabulous service,5.0,,"Visiting the Singapore visitor Center at Orchard gateway was all I needed to get my trip to Singapore off to a great start. I was assisted by Joey, who gave me all the information I needed. I’d lived in Singapore many years ago and Joey was able to make me feel like I’d never left. Thank you, Joey!"
,,Very nice,5.0,,"Very fast and good service by Joey, she help us with hotel, bus to Malaysia and visa to Malaysia! Can highly recomend this place to you if you are stopping by!"
,,Very helpful,5.0,,"The staff were very knowledgeable and eager to help. We had many questions, all of which they were able to answer. They even phoned and made a reservation at a restaurant when we were finding it difficult."
,,Very Informative!,5.0,,"If you want to know further about place to visit in Singapore or you already have place in mind but you want to know alittle bit more about that place, then you should come to this place. The staffs are friendly, polite, very knowledgeable about singapore."
,,Calendar of events,4.0,,Florence was so kind and very helpful in giving me a few ideas of cultural events. The Centre had a planned event the next day for making dim sum and some Malay food. She gave me a few booklets and map which was helpful so I did not have to use cellphone data as often.
,,Thank you Florence!,5.0,,We dropped in because we wanted to know how to get around in the city. Florence explained everything very good and gave us super good advices (f.e. how to get to Sentosa without an entrance fee). We‘ve discovered finally Singapore by walk (40km/3 days in Flip Flops) and public bus (always have coins with you). We found some nice things to do without paying a lot. In the Gardens by the bay go all the way to the Marina Barrage. You will find a beautiful sunset with a super nice Skylineview for free. For food try Dublin/Killiney Rd. There is a very small food court at the corner serving buffet for low prices and good coffee for 1.6S$. At Cheers Supermarket we found a good offer for a cheap beer. Grab one and enjoy the Marina View sitting at the Esplanade Theatre. Almost every night you might join a cool Band playing nice songs. For free. Same as the waterfountains jumping up and down in different colors in front of the Hotel Sands by the bay. Shows at 7p.m. and 8p.m. Or just do the riverwalk....impressive views! Also the Artscience Museum at the Marina offers free things to see. Just check it out. Bye the way....I also liked very much that I could find a clean toilette everywhere for free!
,,Very helpful staff,5.0,,"Went into the Visitor centre and was helped by a lovely gentleman, he was very knowledgeable about what to do in Singapore. He was happy to give us maps and info."
,,Good information helpful staff,4.0,,"Brough a friend to the centre to obtain information to plan her 3 day visit in Singapore. There are a wide variety of information both in printed and digital form. Easily obtainable information about local attractions, shopping, eats and lodging. Knowledgeable and helpful staff rounds off a wonderful visit."
,,OK,4.0,,Not much too browse and assess for yourself and language barrier a little difficult.Overall helpful staff.
,,Great help and local sim available,5.0,,"Even though their fire alarm was going off we stopped in here a local sim $12 and 100 gb data !!
We got great advice on transport and an explanation of the shops - Will make our visit much easier
Very helpful staff and maps and guides available"
,,a very small office,1.0,,We took the mrt from our hotel hoping to get some advice for sightseeing. Very disappointed as it is a very small office we very few pamphlets.
,,Always very helpful,5.0,,The team are always insightful and understand the best ways to get the most out of your time in Singapore. Just ask and they will assist.
,,Very Helpful,4.0,,"Very helpful staff. Answered all my questions and gave some great advice on transport/getting around options. Its located on Orchard road, so pretty easy to find."
,,Outstanding,5.0,,"The staff in here were just so friendly and helpful. Made me feel very welcome and took me very seriously when I probably asked ridiculous questions. Use this place, they will love to see you"
,,Source of excellent info about Singapore,5.0,,"Joey at the Singapore Visitor Centre provided excellent and thorough information about Singapore. She patiently answered our many questions, and she took the initiative to suggest information that we had not thought to ask for. Without question, Joey provided information and insights that greatly enhanced our visit to Singapore. She also made us feel welcome to her city. I heartily recommend stopping by the Centre, and hope you will have the good fortune to talk with Joey or a colleague who is equally well-qualified and helpful."
,,First visit,5.0,,It was my first visit to this centre to get advise of places of interest recommendation for my long-distance relatives during the CNY. The staff who has provided the advise and services was very friendly and informative.
,,Informative Information,5.0,,The staff that run the Information Centre are awesome. They have so many hints and tips and nothing is too much for them. Although they are relocated across the road from their beautiful building - they still shine.
,,Friendly staff and free coffee,4.0,,"Situated in a beautifully restored Peranakan building on Orchard Rd , its a must visit if visiting Singapore for the 1st time.

The staff are very friendly and helpful and there is free Singapore style coffee to partake.

Upstairs is an interactive theaterette where you can choose to watch digital footage of different areas to visit.

Great place to gather information on activities, transport , maps so that you have a wonderful time in Singapore."
,,Under renovation,3.0,,The usual store is closed and a small kiosk is located in the opposite side of Orchard Road. Few pamphlets available and not the best help for ideas.
,,Very helpful,5.0,,Useful spot to find this and we left with lots of great information and suggestions. Helpful staff and good maps.
,,Very helpful,4.0,,"Very helpful and informative, helped us with transport SMRT and buses. Have all the big item things to do. Start your trip here"
,,a shame,2.0,,"We have traveled to Singapore for a few days looked up on the internet found a few interesting places and thought we would wait till we arrived to go to the Visitor center wrong.
they were not interested no help went back to the hotel they were a little more helpful but you are never sure they are sending you to place for you or the commission ?"
,,Come here first!!!,5.0,,"Visiting this center, before exploring Singapore, is a very wise choice. The staff are most knowledgeable, and will provide most useful advice (such as information about free guided tours). They will help you plan suitable activities, and save you both time, and money. Too bad that they don't have several such centers around the city."
,,Helpful Info.,4.0,,They were very helpful to provide you with any information you require regarding your visit to Singapore. There are various pamphlets to take.
,,Free coffee,5.0,,"this is situated in a promanent location and easy to find. once you are in there is a warm welcome and a choice of free coffee and toast. purchasing the tickets were easy for the hop on hop off bus. the staff took the time out to chat with you and made you feel welcome.

if you few with Singapore airline you will get a discount on your tickets, make sure you take your boarding pass with you."
,,Does what it says 'on the tin',4.0,,"Friendly and welcoming in dispensing information, guidance and tips. Easily found location. Well worth a visit"
,,Very informative and friendly!!,5.0,,"Located on the Orchard Road and central to the shopping area, this centre was a great place to find out about things to do in Singapore with maps and recommendations also provided. Joey was especially helpful providing a first hand view and information about Singapore (thank you)! Would recommend visiting this place as it provides invaluable information that isn’t necessarily found on the net!!!"
,,ALL OUR TRAVEL INFORMATION FOUND IN THE ONE PLACE.,5.0,,"When in Singapore we went to this information centre for touring advice. The staff are friendly and very knowledgeable. They answered all our questions including how to get to the tourist attractions by public transport.
Pamphlets on everything we asked about were there and each attraction was explained to us by the consultant.
HIGHLY RECOMMENDED PLACE TO VISIT."
