id,uid,title,score,date,content
,,Bird poop everywhere,2.0,,"It looks like they haven't really kept it up in awhile. The paint is highly faded to what you see in their profile pic. There were birds everywhere and their excrement was too. I felt dirty walking around without my shoes on... and I had socks. Not exactly what you want to feel when entering into a religious environment.

Despite this, it was a good look-see. A lot of places were closed to tourists, there were more things shrouded in cloth, some dude was there fixing wheels for a cart. I was in and out in 15 min."
,,Beautiful exterior,4.0,,"This Hindu temple is right by one of the entrances to Chinatown, and it is worth stopping by just to admire the exquisite and ornate exterior. Be sure to take a picture from across the street as well. We did not go inside, as I keep hearing the outside is what is most spectacular."
,,Beautiful architecture,4.0,,Iconic Indian temple smacked right in the middle of Chinatown. I’m sure that is a long history about this temple with the number of devotees visiting each day. I have never entered the temple but only admiring the architectural beauty from the outside.
,,One of the main attractions of Singapore,4.0,,"The Sri Mariamman Temple is the oldest hindu temple. The temple was built in the Dravidian style.
Sri Mariamman Temple was allegedly founded in the years 1819-20 through the efforts of Narain Pillai, 8 years after the British East India Company established a trade settlement in Singapore. Temple changed its location at least three times, until in 1823 it received the current location at South Bridge Road. The oldest fate of the brick construction of the temple dates back to 1843"
,,Indian Temple,4.0,,"Worth a visit near Chinatown. Dates back to 1827 see photo for history. Like all temples you need to take shoes off,can leave socks on. Quiet a bit of history."
,,Not such an interesting Hindu Temple,3.0,,"As far as Hindu temples go, this isn't the most exciting or attractive by far. As usual one leaves one's shoes (socks can be worn inside) outside the temple and then enter through the large wooden metal studded doors. The temple was fairly quiet and not so much to see compared to the Sri Veeramakaliamman Temple on Serangoon Road in Little India. There were a few people sitting around inside and a small number of tourists wandering around the grounds.

I did manage to find some colourful statues on the right side of the temple, but generally it wasn't as interesting as some other temples that I have visited in Singapore."
,,Hindu Temple,5.0,,The oldest and the biggest Hindu Temple in Singapore. Very interesting and unusual architecture. The entrance tower is magnificent. The temple is very close to Chinatown MRT station.
,,A good glimpse of south Indian temple,3.0,,Visit this place to experience south Indian Hindu religious place. The temple has many carvings. The door is distinctly south Indian.
,,"Disappointing, you can see the best bit from the street.",3.0,,"My first visit to a Hindu temple was disappointing, fortunately our trip took us to other Hindu temples and they were much more interesting. The facade of this one is fantastic to look at, best viewed from the other side of the street, but once you've removed your shoes and gone inside the temple compound my bet is you won't stay long, we didn't. It was all a bit scruffy inside with cardboard boxes scattered about with things in them, not much to see and very little information for visitors. If this is your only chance to see a Hindu temple it's worth a short visit but if you're going to Kuala Lumpur do the Batu Caves instead, or the temple also dedicated to Sri Mariamman in Penang."
,,Old important Hindu temple,4.0,,This temple the oldest Hindu temple is located in Chinatown. A visit worth with its colorful decoration and sculptures.
