id,uid,title,score,date,content
,,A must visit landmark in Singapore! Amazing interior decorations...,5.0,,"This is an iconic landmark in Singapore! You will be appreciating the unique architectural decoration of the main prayer hall. Exactly near to the mosque, there is also a beautiful pedestrian only street with many international Muslims' shops, cafe's and restaurants on both sides. Take photos and videos when you are walking on this street with the great Sultan Mosque as your backdrop!"
,,Beautiful!,4.0,,"Great visit if you are in nearby haji lane or Arab st. Beautiful mosque, nice to walk around and people watch in the area too."
,,Definitely visit if you're in Kampong Glam!,4.0,,"The largest mosque in Singapore, this building is located in the heart of Kampong Glam. The architecture is beautiful. Well worth a visit."
,,Beautiful Mosque,5.0,,"Must visit when in Singapore, for Muslims and non-Muslims alike. Architecture of this Mosque is beautiful and the surrounding area is full of Middle-eastern eateries and cafe's. Area also has a beautiful pedestrian only street with many shops, cafe's and restaurants on both sides. If you want to go inside the Mosque you have to have your leas covered, no skirts or shorts allowed."
,,wonderful surprise,5.0,,"I actually didn't plan to go to place but one night before my return flight i got a ping from a frn who asked me to visit this place. I had nothing much to do on this day so i thought of giving it a shot as it was just two stations away from my hotel. And i don't regret going over and spending the beautiful time at this place. I first went to Haji Lane which is filled with small, colorful and vibrant shops and cafes.So many shops stuffed with handmade things to offer. The next street to Haji Lane is Arab street which shows you the rich Arabian culture in terms of food and house decor luxury items. The architecture of shops and restaurant is Arabian and cuisine is paradise for non vegetarians. Arab street takes you to Sultan Mosque which is beautiful and majestic. It's the combination of religion and modernity."
,,Oldest mosque in Singapore,4.0,,An unique part of Singapore history including leading up to WWII Very tourist friendly with sarong and robe for visitors Information about Islam What an eye opener
,,MashaaAllah its a lovely mosque.,5.0,,During my stay in Singapore I offered my Friday prayer at this place. Its a stunning mosque in terms of architectural beauty and the way they have displayed LCD screens on every pillar with english translation of the Juma sermon which is delivered in the local language is very impressive. Appropriate place is there for women to offer their salah as well. Nestled in the Arab street its a very well maintained mosque and my congratulations to all the people who are responsible for the upkeep of the same.
,,Mashallah,5.0,,Mashallah. I of the best and oldest Mosque in Singapore. A well maintained and beautifully built Mosque it is.
,,Beautiful mosque,5.0,,We came here to offer Friday prayers and it was simply beautiful and clean as well. There is no air conditioning but they have plenty of fans going to keep you cool. Right outside the mosque there are lots of middle eastern restaurants but I would recommend Positano an Italian place.
,,Absolutely stunning mosque.,5.0,,"What an beautiful place. The mosque is an amazing building to view from outside but also the inside is stunning. There is lots of information on the mosque to read whilst in there but also lots view.
If you are not dressed appropriately you are given a loan outfit to cover up. So don’t worry if you turn up in shorts and vest. You can still access.
The mosque is situated in an area with lots of shops and stalls to browse so easy to pass a couple of hours in this area.
I would highly recommend a visit."
,,Best Muslim Place,5.0,,Mashallah Sultan Masjid what a peaceful place. True rehmat of Allah shower all the times. Very beautiful masjid. We prayed few salat there and enjoyed Allah blessings.
,,Hot,4.0,,Good place to bring your foreign friends if they want to check out the cultural side of Singapore. Do a bring a portable fan though
,,Beautiful golden-domed Mosque,4.0,,"The Sultan Mosque or Masjid Sultan is located near Arab Street in Singapore's Kampong Glam district, and is the most important mosque in Singapore. It has a large golden dome and a cemetery on the grounds and is quite spectacular in terms of it's architecture.

The main prayer hall is truly spectacular and the entire area completely covered in a beautiful Islamic motif carpet and looked extremely grand.

At the back of the mosque is Muscat Street where the main entrance is located. In this area can be found lots of Turkish restaurants and places selling Muslim and also other local foods."
,,Ok,3.0,,Its not bad or so its just its a bit of not much. The cemetery is just behind it and was a surprise to me. A lovely surprise I might add.
,,Majestic,5.0,,"The mosque is situated in Malay Heritage District and open for visitors, just respect true believers."
,,"Friendly reception, impressive building.",4.0,,"There are lots of visitors but we were warmly welcomed by friendly attendants. I thought I would be OK in by below knee shorts but they wanted me to cover up to the ankle; I was provided with a skirt to go over my shorts; they had a range of sizes and got one for me, no trouble (I'm a big chap, I thought I might be hard to fit.) The inside of the Mosque was interesting and impressive. Non-Muslims were asked not to go in the main prayer hall, but it could be clearly seen, we weren't hurried or hassled. Close to the entrance were several boards in English providing information on Islam and the mosque. Outside the architecture is very impressive. If you want to eat nearby 'Zam Zam' is very good (and inexpensive) with roadside tables with a view of the mosque."
,,Great Experience,5.0,,"The place is well run by very friendly mosque attendants. You must wear the freely available clothing if your dress style is a little revealing. Beautiful interior, peaceful, calm, and no rush or pressure to move out. Lots of tourists for the main photoshot, so get in line. Located on Arab Street, it is walking distance to Little India (10 minutes) or 5 minutes to Bugis MRT. Also walking distance to Cathedral in Bencoolen. It rains a lot in Singapore so bring an umbrella."
,,Very nice,5.0,,Walked by here late evening and the mosque does look amazing. There was a bit of construction taking place at the front of the mosque.
,,Feeling excited,4.0,,first time visiting here make me excited. take my opportunity to praying inside it. mosque area & toilet look clean & well maintained.
,,Interesting,3.0,,"We were only allowed in a small part of the mosque. Covered clothing is required, but they do have cloth there for you to borrow. An intricate design inside. We were lucky to view a wedding on our visit. Would not say it was a must see, but worth looking into if near by."
,,Absolutely Beautiful,4.0,,One of the most beautiful places to visit in Singapore. Not to mention all the amazing Mediterranean restaurants close to it. Would highly recommend!
,,Iconic,4.0,,The mosque is the icon of Arab street. Been there both during the day and night. Both presents different experience altogether but I do prefer the night with its lighting.
,,Sultan Mosque,4.0,,"Singapore's primary mosque is a landmark building in Kampong Glam Malay Heritage District. It is also called Masjid Sultan. The history of the mosque goes back to 1824 when a brick structure was erected in honour of the Sultan Hussein Shah, the first Sultan of Singapore. In the 1920s the mosque was rebuilt with designs by Denis Santry. The new mosque took on the Saracenic style with traditional domes.

It was great experience to be in this place to know more about the Architecture ,Islamic culture in Singaphore.The people were friendly and welcome."
,,Interesting visit,5.0,,"A great experience to be able to enter a mosque. Visitors are given various robes or attire to wear prior to entering the mosque. It was lovely that the gentleman doing this job had such a jovial and friendly personality. A beautiful building, check for opening times as it was closed for a while early afternoon."
,,Mosque,3.0,,Good to visit and see the different beliefs that Singapore has. Very different design and well kept. Friendly people
,,Interesting visit,4.0,,"We came here on our first day in Singapore as we were following a list of what to see! It’s a lovely mosque and architecturally impressive! You need to take your shoes off and I was a bit worried after some of the places I have been, but it was lovely and clean inside, with matting on the floor. There is history written up for people to read and it sheds a little light on the religion. Women are given a gown to wear over their clothes and men in shorts are given a skirt; very worthwhile visit!"
,,Amazing street,5.0,,The area outside the mosque is the Arab street. It throngs with visitors and diners in the evening. The background of the mosque provides a certain charm to the place. A good cultural experience for all.
,,Beautiful,5.0,,Unfortunately we arrived during prayer time so couldn't go inside. Even on the outside it is an amazing site.
,,One of the Top attraction in Singapore,5.0,,"Very nice place to visit. Visitors can go inside when its not time for prayer. Nice building, very clean. Not to miss."
,,Lovely area and mosque,5.0,,"We went to visit the mosque, and they had a women’s section upstairs. With a lift for easy too which was impressive!

Around the mosque are some lovely shops - great for souvenirs and places to eat too, which we found overpriced for what it was compared to the rest of Singapore. Anyway don’t think many other areas offer the same cuisine so we made the most of it.

This area is worth a stroll and spending a couple of hours if you’re already visiting the mosque. Remember to cover up out of respect and courtesy, this applies to men too if you’re wearing shorts."
,,Sultan mosque visit,5.0,,I visited the historic Sultan masjid on Muscat Street. It's an amazing place to see. You need to check the website for visiting hours as there is prayer times during the day that visiting hours are closed for. Please dress accordingly for a mosque visit.
,,Good Place to Learn Southeast-Asia Islamic Culture,5.0,,"It's located in Kampong Glam district and with walking distance from Bugis MRT station. Staffs are nice and friendly, and you can approach them for an introduction. Take note of the visiting hours if you want to go inside."
,,Worth a visit,4.0,,"This is a large mosque in the Arab area of Singapore. You are free to walk in and look around and take photos. There are some information display boards. For women, you will have to wear a supplied robe to cover your legs if wearing shorts."
,,Very nice mosque,5.0,,"Well designed and very comfortable mosque as it has an excellent water cycle and a big space , located at the center of arab street ."
,,Excellent,5.0,,"The mosque is excellent. The architecture is nice and well maintained. It is acceptable via metro, Bugis station. Inside the mosque is well decorated. The appointed Imam is a highly qualified Islamic scholar. Its an oasis of peace and tranquility."
