id,uid,title,score,date,content
,,To become amazing,3.0,,These will be amazing when they are fully covered by plants. At this stage they are only around a third covered. The light show each night is nice to see but not really worth going out of your way to catch them.
,,Fabulous super trees,5.0,,"It was amazing to be moving along the walkway up near the top of the Supertrees and what a great view of the Gardens by the Bay, The Marina Sands Skypark ""ship"" and the cityscape of Singapore."
,,Supertree Grove,5.0,,Went to the Supertree Grove during the day and the super trees were incredible. I later went back in the evening to see the light show and was more than impressed. A great show of technology and plants. There isn't a bad seat in the house!
,,Beautiful,5.0,,We visited around 7 and saw the light show. It was breathtaking. The music and light were perfectly choreographed. To go and walk the boardwalk between trees at night was stunning. A must see.
,,Toy Story 4 Night Show,5.0,,"The Grove was transformed into a miniature theme park dedicated to the new Toy Story 4 movie. They did a major investment in designing the rides (including a roller coaster) and detailing all the booths. Buzz, Woody and most of the characters were scattered throughout so lots of photo ops.

I came at night so I missed the Toy Story 4 rides and character visits. However I did get to enjoy the Toy Story 4 sound and light show. It was well done and entertaining, nicely integrated with the super trees.

Beyond the main group was a smaller Silver Grove which was quite educational with a good explanation of how the various sites interact together to form a sustainable ecosystem.

Exploring the area was easy with lots of walking pathways in and around the trees and along the water. Much less people were by the water front.

Next time I hope to get here earlier so I can take in the views from the elevated walkway."
,,Unique,5.0,,"Its an unique place, trees are unique, the light show is unique, the whole atmosphere is really nice. Visit after sunset to enjoy to the fullest."
,,Stunning light and sound show,5.0,,We were so impressed with the light and sound show and even with a big crowd we were still able to find a good place to view the specatacle. I can't recommend it enough but be early if you want to be able to sit down!
,,Impressive light show with music,5.0,,"This show was quiet impressive. Get there early to get a good viewing angle and seat on the steps.

If you are going to do the skywalk it might be a good idea to plan to walk when the light show is going on as the view from up top is quite magnificent."
,,Gardens by Night,5.0,,The Supertree Grove is the free highlight of the Gardens by Bay and the night show is the best experience. It is usually busy so don't be late and allow plenty of time for leaving as the paths are narrow and there are a lot of people.
,,Avatar Trees,5.0,,These trees were symbol of modern architectures. Fantastic to see how much effort the creators has put. Nigh time light show is a spectacular event to watch.
