id,uid,title,score,date,content
,,A giant department store with style!,5.0,,"Our most recent visit to Singapore, saw us once again spending a few hours shopping along Orchard Road. While there, we dropped into the Takashimaya department store to see if they had anything which we wanted to buy.
We had been to this department store several times before during previous visits to Singapore. Consequently, we were aware that they stocked quality products some of which were sold at good prices, if you happened to be there when there was a sale on. Unfortunately this visit did not coincide with a sale.
Anyway, we did enjoy spending some time in the store, exploring some of the clothing departments spread over a number of expansive floors of the department store. There was certainly plenty of quality merchandise on offer, including some departments which had a distinctly Japanese flavour.
A visit to this department store is recommended for tourists who enjoy shopping for and purchasing good quality products."
,,Loved the bookstore,5.0,,"Takashimaya is an upmarket, elegant department store with top fashion labels from all over the world (including an Asian favourite of mine, Shanghai Tang). What made it unique for us, though, during a recent stay in Singapore, was the book shop, Kinokuniya books. It is a wonderful, huge, with excellent selections of books in English and Mandarin, bookstore, where one can spend hours and hours browsing and exploring. For my boys, the biggest treasure were the shelves with Manga books (in English too!), where they found their favorite ones to purchase before they were made available in Europe. They were so happy! We spent many hours there. Highly recommended!"
,,Planning to shop but found a nice food court,4.0,,"Was there to shop but excitedly found the food court, very clean and some of great food selection, they even have a Japanese food only corner. Reasonable price and staff there quite accommodating. Will be back for sure."
,,Impressive,5.0,,"Located in Orchard Road, Takashimaya is a mall & Japanese department store. U can find all high end & street brands there, as well as a supermarket, discount area in the basement & an amazing food court & food hall. Worth a visit for some good shopping & lunch."
,,Unique,5.0,,It's not like all the other Malls on Orchard it's a Japanese owned building with a huge Japanese departmental store and many high end stores on top levels. There is always a sale on the lower levels you can find some really good bargains here.
,,Best Shopping Location In Singapore,5.0,,"Takashimaya Singapore is definitely our favorite shopping destination in Singapore.

For those that know Selfridges in London, this is similar but with an amazing Japanese tilt.

They have incredible sales at different times in the year including a massive toy sale in the basement.

My wife received incredible service from a lady called Molly in the ladies handbag department.
She remembered us from our previous trip to Singapore and was so incredible in terms of her product knowledge and customer service. A real sales lady as well. I don’t think they make people like her anymore. A big thank you from South Africa !

The food hall amazing with plenty of tasters and everything could possible want to eat.

Luggage is excellent, I bought an amazing Japanese wheely.

Bento box shopping was also fun this time. They have a great selection.

My only complaint is that they aren’t open till 12 pm every night ! They close normally at 21:30.

Can’t wait to be back."
,,One of the bigger malls along orchard road,4.0,,"This is a Japanese owned mega mall along the famous orchard road. Mega international brand names like Chanel and LV have their boutiques here. In terms of dining options, there is aplenty from your value meals at the food court to more upscale restaurants; all can be found here."
,,Lots of lovely shops,4.0,,"There's a large department store and lots of lovely shops in Takashimaya. On the higher end, but they had a sale going on when we went."
,,Great department store on Orchard Road,4.0,,"Takashimaya is a nice place to shop as the store is well laid out and very big and we can usually find whatever we are looking for.

We came here to buy toys for the children as the selection is pretty good. For children's clothing we were actually looking for a swimsuit or bikini for my daughter but found that they mostly had luxury branded ones or they were too expensive. Also I would say in general that the children's clothes selection was not very extensive. I will also mention that the store clerks in the clothing department were not particular helpful.

For myself I bought an RFID Signal Blocker Credit Card holder as Takashimaya were one of the stores that seemed to have a really good selection and held several brands. i had previously looked in Paragon and Tang's but didn't find what I was looking for. I eventually bought a leather branded one that holds 5 embossed credit or debit cards that neatly fits into my wallet for about S$33. We also bought a Bodum electric milk frother.

One of our favourite areas of this store is the basement food court which also has a fantastic bakery. There is also a Cold Storage supermarket here which is very convenient."
,,Average,3.0,,"Not unlike most other malls in Singapore, has a premium wing with all high end labels and a large Dept. Store. Had a look around but didn't shop much here, Paragon opposite it seemed much better.."
,,Amazing department store,5.0,,"The food section is really impressive. The bakeries, fruit department, sweets and ice cream are outstanding. I could spend the whole afternoon at Takashimaya and I would never get bored. It’s obviously pricy but it’s worth for the quality."
,,A place for everyone,5.0,,"SALES, Food AND PROMOTIONAL AREA on basement 2 and sometimes live shows for children. Wide range of food selection in a food court abd little stores. Takashimaya departmental store basement 1 offers promotional area at reasonable prices."
,,Lovely shopping mall!!!,4.0,,This is one of the old high end shopping malls in Singapore. They do have a very good cold storage as well. I will love strolling around Takashimaya. This time when I was there they had a sale at the basement. I got some branded makeup for very reasonable prices.
,,Disappointed this time.,1.0,,"Things changed.
This one was a one of our favourite department store, but not this time.

visited there on weekday to buy some stuff for Kitchen, it was not busy day.
There were many staff chatting not doing so much on that floor that day.
I ask for help to find a stock of the products but all I got was

""Over there.""

from two of staff from the section near by.

we understood that was not their section, so asked them to find somebody, but they did not even try to find right person who can help us.

we dropped everything we suppose to buy, gave up the shopping, cause we got impression they do not willing to sell anything there.

so moved to up stairs went to cafe instead, decided to have lunch so hopefully make us feel bit better.
but not...

The staff at the cafe entrance who was on the phone continuously, ignore us and never had eye contact with us, not even gave us a gesture ""wait for a moment, please"" or some kind of greetings.

we got tired at this stage, so just stood there like a lemon.

Few minutes later, finally the waitress came out from inside and guided us to the seat.
The menu looks fantastic, It was much more selection of the food than before.
I chose the one written ""NEW!"", and looking forward to try.

Then waiter came out and just said

""Can not order this."" ...
no why, or ""excuse me"", or ""sorry but we can not serve this today"".

He just said

""Can Not"".

so another one made us disappointed.

also maybe their cook left for home or rest or something, cause many customers waited unusually long time till get their food, even there wasn't busy at that time.

There were some ""tell tell sign"".
the first staff I asked for help at kitchen supplies floor, she had very lousy hair just like she never combed it before.
A sales person in Takashimaya...?

also that staff at the cafe entrance - she did not even look at us, on the phone continuously, totally ignore.

what's happened to Takashimaya?
The liveliness has clearly disappeared.
just brand name only like somebody wrote in their comment ..

we wish if Takashimaya written somewhere;

""we show our products but we do not sell to you here"",

then we did not have to waste our time to go there, instead go somewhere else to buy stuff.

pity."
,,店員全く売る気無し、高島屋,1.0,,"平日で店は空いていた。
キッチンまわりの商品を扱うフロアとなっている地下もガラガラで、店員は店員同士でおしゃべりしたり、お皿を拭いてるふり？程度。
コーヒーポットを買いたいが、スタッフがそのコーナーにはいなかったので、３メートルも離れていない場所で皿を見ていたスタッフに、「この商品のストックはありますか？　あそこにスタッフがいないので、誰か呼んでもらえますか？」と英語で聞いたら、
その店員に、
「それはここじゃない。あっち。」と指さされただけ。

「スタッフがいないからあなたに聞いたんだけど？」と言ったけど、再び
「あっち( ""Over there!"" ) 」　と言われた。

そちらの方向に一緒に歩いて行って誰かを探してくれるのかと思いきや、その気配全く見せず。
仕方ないので、キャッシャー方面に向かい、周辺でスタッフ同士で喋っていた店員に、同じ質問をした。ここでもまた、

「Over there! (あっちで聞いて）」と一言。

”売る気ゼロ店員”たちの対応が、あまりにバカらしく思えたので、買おうと思って手に持っていた他の商品達もその辺に置いて、そのフロアを出た。
高島屋デパートの商品が売り物で無いなら、最初からそう書いておいてくれれば、わざわざここに足を運ぶ無駄もなく、別の店で買い物する時間に充てられた筈。

買い物は諦め、憤慨した気持ちを切り変えて、同じ高島屋内にあるカフェで遅めのランチをしようと移動。
ところがここでも、入り口で出迎えを任されている店員が、私たちが来ても会釈もせず、携帯電話の相手と会話し続けた。
目を合わせようとも、「ちょっとお待ちください。」のゼスチャーもなく。
呆れてボーッと立っていたら、ようやく気付いたのか、店内から別のウェイトレスが出てきて対応。
以前より内容が更に充実したメニューに目を通し、「NEW!」（新メニュー）と書かれた一皿を楽しみに注文したら、しばらくしてから店員が戻ってきて、
「これは注文できません。」と言われ、変更を余儀なくされた。

？？！！

ヤル気なし。高島屋店内

そう言えば最初にストックのことで聞いた店員も、髪がえらいボサボサだった。
一流デパートだと思っていたが、まともな人材不足なのか。
それ以外にも店内にはフラフラしてる手持ち無沙汰の店員がたくさんいた。
これだけの人員のお給料払うの大変だろうに。
儲け過ぎていて売る必要がもう無いのか、それとも近いうちに倒産でもしちゃうのか？
誰も気にしてない状況が、変な印象を残した。

何回も使ってきたが、今までにない酷い体験。
貴重な時間を無駄にされたので、本当は一つのポイント評価も付けたく無い。

Do not waste your time in this place.
In the Kitchen stuff floor, there are many staff but I got impression that they are not friendly, not willing to sell the products, not help to find a stock or find the right person for you. (they did not even try)
it's a big pity they wasted my time."
,,Brand names only,3.0,,This is a really fancy mall filled with a lot of designer brands...not much offerings for those seeking not to break the bank buying things. Also a bit confusing to navigate...or maybe I just didn't explore it enough?
,,good Mall,5.0,,"Takashimaya Shopping Centre offers the ultimate shopping experience on Orchard Road, with over 110 specialty stores spanning across 6 levels of shopping .I Enjoyed shopping in this mall it for everyone. The toliet was clean and not crowded."
,,Stores Galore,5.0,,"Our hotel on Orchard Road was very close to here so we shopped here a few times and yes we did get a few bargains.
There are stores galore with quite a few restaurants and cafes too.
There is no smoking inside or out the front of the stores which is always good if you are a non smoker.
Toilet facilities are kept in a clean condition."
