id,uid,title,score,date,content
,,Changi WW II Tour,4.0,,Carol our guide was very passionate and knowledgeable about the subject matter. Unfortunately the museum is closed for renovations but the addition of Kranji war cemetery was excellent. Would recommend. The start at Pasir Ris and the finish at Kranji meant a long trip back to the airport. All in all though a learning experience and thoroughly enjoyed.
,,Interesting place to visit,5.0,,"A little difficult to get to from the city train and local bus but worth the time, very moving and educational"
,,Unfortunately all closed for renovation,4.0,,"But nonetheless this gets a 'very good' rating because the security guard behind the locked gate was exceptionally helpful and knowledgeable (no surprise really: before he retired he was one of the managers there). So, whilst not being able to walk around the place, we learnt a lot about Changi prison and the whole area. However, the restaurant next doors was open and we had a nice afternoon tea there."
,,Changi Museum under restoration,4.0,,"I'm sure this will be wonderful when completed, however in the meantime, only the Chapel is open to the public. This too will be closed for restoration as from January 2019 and the whole site will re-open in 2020."
,,Must see for a visit to Singapore,4.0,,Remember the atrocities of Japanese occupation and the treatment of the prisoners. Least we forget what occurred here. After can get a meal at the restaurant next door.
,,Unforgettable experience,5.0,,"Everyone whilst in Singapore should visit the Changi Museum which is housed in a replicated construction of the chapel which was in the Changi Prison. The personal stories of the suffering endured by some of the inmates under the Japanese occupation are quite poignant and brought tears to my eyes.
The primitive drawings provide a sketchy illustration of life in the prison and the artefacts and utensils crafted by the inmates demonstrate the ingenuity of the inmates as they struggle to survive against the terrible conditions they had to endure."
,,our afternoon on the Changi WW11 War trail coach tour,5.0,,"What a moving and informative tour with Carol Dragon as our guide. Polite and friendly and telling us the story of the occupation and war in Singapore during WW2. Carol knew the history and delivered is so well that we really didn't want to finish our day with her. She gave a personal perspective and could answer the many and varied questions that were asked of her.

I had an Uncle who was a POW in Changi so this tour was one I wanted to get the most out of and it certainly didn't disappoint.

Unfortunately the museum will not be complete until 202 so a return trip will on the wish list.
would highly recommend this tour and would like to thank Carol for her time and insight on our tour."
,,Excellent museum,4.0,,A very moving experience with comprehensive information about the Japanese occupation. Also an excellent gift shop selling some really interesting books.
,,First time we have visited Changi museum,4.0,,Very interesting but for me an upsetting experience I found it very emotional pleased I did it as it is part of history very well portrayed.
,,No Australian should miss this experience.,5.0,,It's not that big as I would have thought. It's not that imposing either. But go inside and definitely have a guide with you. The tour will over power you. Any one who has visited there is profoundly moved by the stories. It's a must for any Aussie.
,,Wonderful place to visit,5.0,,"This si simply a wonderful place to visit, with a timeless sense of just whta those of us wih family that suffered during the second world war either as civilians or solidiers went through simply to survive. A true testament to human endurance and cruelty and a reminder just how evil our species can be."
,,A personal pilgrimage,4.0,,"We have visited this museum on two separate occasions, and it was due to our desire to see it that we first made the long journey from the U.K.

My father in law was in the RAF during World War 2 and was captured by the Japanese and sent to Changi. He took part in the building of the infamous Burma Railway and suffered greatly at the hands of his captors. He survived and actually lived until he was over 90. He was a brave man and spoke little of the traumas he experienced, but he saw dozens of his comrades succumb to malnutrition, sickness and the inhuman treatment meted out to these young men. He, himself, suffered from innumerable bouts of malaria, including the very dangerous cerebral form, and was saved by the dropping of antibiotics by the American forces as they liberated the various camps in the jungle.

He was a survivor and we are so proud of the way he adapted to his brutal imprisonment.

So it had always been a dream of mine to visit the museum with my husband, his son.

We found the visit very moving, so much so that we were in tears in places. We had no idea of the variety of people who were imprisoned and tortured. It’s fascinating to see the artefacts, especially the amazing patchwork made by the women in prison, with hidden meanings.

The museum itself is in poor condition, and these wonderful artefacts are not displayed to their best advantage. It’s worrying to see them so unprotected and poorly displayed.
But the story these artefacts tell is amazing. Such bravery, such heartbreak, but such stories of great humanity - despite all the fear and the terrible conditions people supported each other, and shared their meagre rations, and performed in concerts, and tried to keep spirits up.

The chapel is very moving. We lit a candle for him and my husband left a message. Our 4 children flew out to join us for this moving pilgrimage.

We are pleased to hear the museum is being refurbished and we hope to be able to visit it again before too long."
,,A vist to a WW2 commemorative museum,4.0,,A first class extremely detailed museum of life in Singapore under the Japanese occupation 1942 - 1945. Some interesting relics including replica murals and a cell door from the old Changi Gaol.
,,A must visit place to reflect,3.0,,"A small and unassuming museum on the grounds of Changi Prison has lots of photos and stories about the internment of Australian, New Zealand, Indian, English and local's following the Japanese invasion during WWII. Eye opening stuff."
,,HISTORY AND SADNESS,4.0,,"You have to grit your teeth and remember with this one....heartbreaking, made me cry tot think about it all.....but would not have missed it......They ;live in my memory...."
,,Worth the travel to get there,5.0,,"If you are genuinely interested in the historical aspects or have family reason for visiting here then it is well worth the hour no.2 bus ride from China Town, it only costs $2,50 per person. Entrance is free.
We visited here because the wife had a relative imprisoned here for a while and wanted to leave something in his memory.
Even without this reason we would still have visited here because of its historical importance. The museum and chapel are both very poignant and moving and I think it would be impossible not to be touched by either.
The staff here are very friendly and helpful. There is also a reference library for anyone to use should they wish to.
Pleasant gardens and even a nice bar restaurant on the site."
,,Paying tribute to Dad,5.0,,"We travelled by coach to Changi Beach with our excellant guide Weina. She knew what she was talking about & explained a lot of new information to me. We then went to Changi Museum & a brilliant display of the torrid times in World War 2. The Chapel was very emotional & moving. As I wanted information on my Father who was interned there,I along with 5 other couples was taken into a separate area & shown some records in which we were able to find our loved ones. Such an emotional day & so much respect for the museum."
,,Very Moving,4.0,,"Spent a few hours here reading about and taking in the displays of the Singaporean & POW experiences of the Second World War

Being British & living in Australia with an Australian son and an uncle who was a prisoner of the Japanese at Changi I found the experience moving

My Son and I also spent some time looking through the registers of ex-pows and found three family namesakes two Australians & one British who died whilst in Captivity at the hands of the Japanese

A place for reflection to spend sometime to remember those that suffered and died so that we can live the life’s we do today"
,,Very moving,5.0,,"My godfather was a prisoner-of-war in Changi prison during WW2 so this was a very emotional experience for me seeing the museum. But even if you didn't have any personal connection with the prison or the war, this is a deeply moving story."
,,War trail tour,5.0,,Sha was a wonderfully passionate and friendly guide. He had so much to share and added a personal touch yet kept the sobriety of the subject matter. Took us right around the island which in itself added to the tour.
,,Wasted trip,1.0,,After spending 1 hour traveling on Singapore MRT arrived to be told closed for renovation. Reopening 2020. Maybe tourist authorities should have signs indicating the closure
,,Interesting,5.0,,Changi Musuem is quite small but so interesting. Everyone is so helpful in Singapore! You can also take a headset tour.
,,Fascinating experience!,5.0,,"As a child growing up in Malaysia, I often heard stories from my dad about the Japanese occupation of Malaya & Singapore during WW11 but little did I realised how much emotions that this visit to the old Changi Prison and War Memorial had evoked. The stories suddenly became a reminder of how much sufferings there was during the war. Sadly, though till this day, some of the older folks are still struggling to come to terms. The experience was fascinating and brought tears to my eyes. Much compliment to our guide who was very informative and made it a wonderful day."
,,Closed until 2020,1.0,,"Unfortunately the attraction closed for refurbishment the day before we visited. MRT, 20 mins on the bus only find that it would be closed until 2020. Other visitors arrived after us only be disappointed as well."
,,CLOSED UNTIL 2020!!!!!,1.0,,Do NOT lug all the way out to this museum - you will surely be disappointed that it is closed until some time in 2020! Extremely frustrating to discover after the loooong ride it here... with irritable teenager.
,,Lucky to visit as closing for a rebuild,5.0,,Part of the tour of the WW2 Japanese invasion of Singapore and I learned a lot more about what happened.
