id,uid,title,score,date,content
,,Excellent and beautiful trail,5.0,,"I started the trail at Kensington Ridge SMRT station. Via Singapore Science Park I entered Kent Ridge Park which has the canopy walk as its main attraction. The next adjacent park is Hort Park with its beautiful little gardens. The uniquely shaped Alexandra Arch pedestrian bridge connects Hort Park with Telok Blangah Hill Park. The latter park is crossed via amazing elevated skywalks until the amazing Henderson Waves pedestrian bridge. The trail is continued via Mount Faber Park, Faber Peak and then via the Marang trail ending at Harbourfront SMRT station. Total length is ca 7 km and provides awesome far views of the city, harbour, Sentosa island, unique design bridges and beautiful nature. Highly recommended!"
,,Close to Nature,4.0,,Enjoy the greenery and the connecting bridges. 3 parks are connected to each other.one of the best spot to enjoy the panoramic view of the city
,,Beautiful !,5.0,,"This is a great place to escape to if the city has got too much – it’s wonderfully relaxing and it’s hard to believe you’re still so close to the city. As with everything in Singapore, it’s clean and well maintained – but it gets extremely hot, so make sure you wear loose/light clothes!"
,,A nice walk near to the city,3.0,,"The Southern Ridge is a relatively easy walk. It is a nice experience if you want to mix in a bit of nature during your holiday. It was a nice experience with the mixture of trails, bridges and walkways (treetop walk). There wasn't a wow factor for me, but I enjoyed the peace and quiet.

Start near Harbourfront MRT Station, this is the easiest walk as you start with a 10 minute climb and the rest is either level or descending. There are plenty of places to stop along the way. I recommend you do this early though as it starts to get pretty hot in the afternoon.

Completed in 2 hours at a slow pace."
,,Beautiful,5.0,,Very pretty. A nyc experience to walk among the tree tops . It’s just a walk among the trees but very enjoyable. Not to mention it’s free . It’s was a better experience than little India and China town . It was different and beautiful
,,Great outdoor activity,5.0,,"Facing the exit of the MRT station is the beginning of this wonderful trail. One has to be mindful that the first 15 minutes of the walk is the equivalent of walking up 24 storeys to reach to the top. There is also a cable car ride in place of the semi energetic start of the trail. The whole trail is well signposted. Rest rooms and cold drinks vending machines are strategically located. The look and sound of nature is obvious as one walk, jog or run along the trail. The Henderson Wave and Hilltop walks were interesting."
,,An amazing walk!,5.0,,"My partner and I recently walked the Southern Ridges from Hort Park to Harbourfront and loved every minute! Most of the guidebooks recommend walking the route from Harbourfront (which is harder as it’s steeper!) but we loved that when we finished the walk at Harbourfront we could continue walking around Marina Bay (where Harbourfront is the closest MRT). The scenery along the walk is fabulous - green, lush ‘bush’ with the occasional skyscraper in the background! Whilst we loved being in the city during our stay it was great to get out into nature... we highly recommend this walk to all (ages and fitness levels - it’s pretty easy, apart from the heat!!)."
,,A true Singapore experience - but come prepared for the weather,5.0,,"The Southern Ridges walk is an excellent Singapore experience, offering some special moments, as well as being a great way to get some exercise. All up the track is about 10 km in length, starting from the Harbour Front MRT station and ending at the Kent Ridge station, although there are one or two spots along the way you can bail out if you so desire. Our highlights were the superb views from Mt Faber, the wonderful forest trail through the rainforest canopy and Henderson Waves bridge, seeming to tower (36 m) over the busy highway below. Hort Park was also interesting, and proved very useful place to shelter from the torrential downpour we encountered. Of course, Singapore is hot and humid so don some sunscreen, wear a hat and bring an umbrella - we had a couple of drenching downpours with not much shelter nearby. Bring water too, though there are a few drinking water fountains (as well as public toilets) along the way, as well as drink vending machines. Despite all the signs about wild monkeys along the trail (and not to feed them etc) we were a bit disappointed we didn't see any."
,,"Best place for runner, nature lover and photographer",5.0,,"My favorite for morning running and jogging! Love the nature, cleanness, and runner friendly! Start stairs climbing from Mt. Faber, Henderson Waves, and Forrest Walk. Continue to Labrador Park when still have energy.

Transportation: Taxi, MRT : Harbour Front (Mt. faber), Labrador Park, or Public Bus.

Come early around 6-7 am to see sun rise from Henderson Waves.

During weekend, would be more crowded with runners but will motivate you to run further.

Bring water, hat, and use proper running shoes. Toilet and water could be found at Mt. Faber. Make sure your stamina is good."
,,Get away from the crowds!,5.0,,"When you need a break from the hype of Sentosa or the bustle of Chinatown , definitely give this walking track a try. Get off the MRT at Habour Front and take the underpass to come up at Marang Trail. There are a whole heap of stairs ahead but getting them out of the way early is best and then the rest of the trail is mostly downhill. The track is very well maintained - you could do this in stilettos if ankles could cope! Taking water is a must, although there are vending machines at various points that sell bottled water and other snacks. I did Marang Trail to Mount Faber, the Henderson Wave to Alexandra Rd and stopped and started to take in the views and photos over about a 2.5 period which was a leisurely pace. Definitely worth doing early as I looked like I'd been thrown in the bay by the end (which was then good excuse to come back to my accom for a swim and a Singapore Sling). There were further trails to explore but I know my limits.

From Alexandra Rd, I walked another 15 minutes back to the MRT, but there are also plenty of buses on this route if you've had enough sweating for one day.

Fair warning...although the track was fairly quiet and I was happy to gently nod good morning to the few passers by, it was mid week. There were still lots of buses taking big crowds of tourists to the top of Mount Faber, so this bit was a little overwhelming if you're trying to avoid the hoards."
