,Spot_id,Spot_name,City_id,Country_id,Open_times,Close_times,Ticket,Est_duration,Score,Postal,Gourmet,Cultural,Downtown,Resort,Bustle,Family,Shopping,Parks,Museums,Observation_deck,Gardens,Zoo,Themeparks,Neighbourhoods,Religious_Sites,Landmarks,Historical_Sites,Island,Shopping_Malls,Bridges,Activities,Beaches
0,0,Arab_Street,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,90,4.134,199745,0.084,0.231,0.028,0.079,0.075,0.021,0.482,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,1,ArtScience_Museum_at_Marina_Bay_Sands,0,0,"10:00,10:00,10:00,10:00,10:00,10:00,10:00","19:00,19:00,19:00,19:00,19:00,19:00,19:00",12,90,4.11,18956,0.004,0.476,0.012,0.044,0.054,0.356,0.053,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,2,Asian_Civilisations_Museum,0,0,"0:00,10:00,10:00,10:00,10:00,10:00,10:00","0:00,19:00,19:00,19:00,19:00,21:00,19:00",11,120,4.417,179555,0.006,0.857,0.006,0.029,0.021,0.062,0.019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,3,Battlebox,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,90,4.811,179622,0.01,0.729,0.067,0.026,0.031,0.109,0.028,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,4,Buddha_Tooth_Relic_Temple_and_Museum,0,0,"7:00,7:00,7:00,7:00,7:00,7:00,7:00","19:00,19:00,19:00,19:00,19:00,19:00,19:00",0,60,4.454,58840,0.012,0.6,0.039,0.147,0.128,0.028,0.046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,5,Chijmes,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,90,4.136,187996,0.107,0.358,0.06,0.2,0.109,0.064,0.101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,6,Chinatown,0,0,"8:00,8:00,8:00,8:00,8:00,8:00,8:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,60,4.212,59207,0.111,0.221,0.068,0.044,0.166,0.024,0.365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,7,Chinese_and_Japanese_Gardens,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,90,4.262,619795,0.006,0.285,0.042,0.418,0.123,0.095,0.031,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,8,Clarke_Quay,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,180,4.286,179019,0.103,0.208,0.036,0.17,0.245,0.072,0.166,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,9,East_Coast_Park,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,60,4.275,455486,0.025,0.043,0.113,0.276,0.141,0.314,0.088,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11,10,Fort_Canning_Park,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,90,4.215,179038,0.007,0.463,0.085,0.294,0.068,0.048,0.035,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,12,Gardens_by_the_Bay,0,0,"5:00,5:00,5:00,5:00,5:00,5:00,5:00","2:00,2:00,2:00,2:00,2:00,2:00,2:00",23,180,4.71,108953,0.015,0.107,0.032,0.245,0.271,0.282,0.049,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,13,Haji_Lane,0,0,"11:00,11:00,11:00,11:00,11:00,11:00,11:00","20:00,20:00,20:00,20:00,20:00,20:00,20:00",0,120,4.243,189214,0.037,0.128,0.013,0.085,0.068,0.012,0.656,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,14,Haw_Par_Villa,0,0,"9:00,9:00,9:00,9:00,9:00,9:00,9:00","22:00,22:00,22:00,22:00,22:00,22:00,22:00",0,60,3.976,118628,0.008,0.324,0.026,0.122,0.123,0.349,0.048,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,15,Henderson_Waves,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,60,4.323,159557,0.003,0.196,0.024,0.476,0.112,0.115,0.073,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
16,16,Jewel,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,90,4.69,819666,0.308,0.077,0,0,0.231,0,0.385,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
17,17,Jurong_Bird_Park,0,0,"8:30,8:30,8:30,8:30,8:30,8:30,8:30","18:00,18:00,18:00,18:00,18:00,18:00,18:00",21,120,4.375,628925,0.007,0.046,0.048,0.141,0.115,0.603,0.04,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,18,Kampong_Glam,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,60,4.236,198833,0.097,0.785,0.007,0.003,0.09,0,0.017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,20,Lau_Pa_Sat_Festival_Pavilion,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,60,3.99,48582,0.267,0.205,0.207,0.054,0.206,0.03,0.031,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,21,Lee_Kong_Chian_Natural_History_Museum,0,0,"0:00,10:00,10:00,10:00,10:00,10:00,10:00","0:00,19:00,19:00,19:00,19:00,19:00,19:00",98,90,4.545,117377,0,0.8,0,0,0,0.2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,22,Little_India,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",180,60,3.789,217981,0.133,0.231,0.094,0.055,0.12,0.018,0.349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
