attrictions,type,reviews,html
Gardens by the Bay,Gardens,56069,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2149128-Reviews-Gardens_by_the_Bay-Singapore.html
Singapore Mass Rapid Transit (SMRT),Mass Transportation Systems,22229,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8016698-Reviews-Singapore_Mass_Rapid_Transit_SMRT-Singapore.html
Singapore Zoo,Zoos,21561,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324542-Reviews-Singapore_Zoo-Singapore.html
Singapore Botanic Gardens,Gardens,18838,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d310900-Reviews-Singapore_Botanic_Gardens-Singapore.html
Singapore Flyer,Observation Decks & Towers,16956,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d678639-Reviews-Singapore_Flyer-Singapore.html
Marina Bay Sands Skypark,Points of Interest & Landmarks,16175,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1837767-Reviews-Marina_Bay_Sands_Skypark-Singapore.html
Cloud Forest,Gardens,13984,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4400781-Reviews-Cloud_Forest-Singapore.html
Chinatown,Neighbourhoods,13605,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317415-Reviews-Chinatown-Singapore.html
National Orchid Garden,Gardens,13240,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317453-Reviews-National_Orchid_Garden-Singapore.html
Orchard Road,Points of Interest & Landmarks,12987,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317454-Reviews-Orchard_Road-Singapore.html
Marina Bay,Marinas,12288,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1177497-Reviews-Marina_Bay-Singapore.html
Night Safari,Nature & Wildlife Areas,11771,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324761-Reviews-Night_Safari-Singapore.html
Merlion Park,Monuments & Statues,9144,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d644919-Reviews-Merlion_Park-Singapore.html
Buddha Tooth Relic Temple and Museum,Sacred & Religious Sites,6237,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1438273-Reviews-Buddha_Tooth_Relic_Temple_and_Museum-Singapore.html
Flower Dome,Points of Interest & Landmarks,6187,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4400784-Reviews-Flower_Dome-Singapore.html
Supertree Grove,Points of Interest & Landmarks,5417,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8634325-Reviews-Supertree_Grove-Singapore.html
Jurong Bird Park,Nature & Wildlife Areas,5015,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315466-Reviews-Jurong_Bird_Park-Singapore.html
Waterfront Promenade,Scenic Walking Areas,4209,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1888876-Reviews-Waterfront_Promenade-Singapore.html
Singapore Cable Car,Tramways,3987,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315470-Reviews-Singapore_Cable_Car-Singapore.html
Little India,Neighbourhoods,3900,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324541-Reviews-Little_India-Singapore.html
Clarke Quay,Shopping Malls,3231,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324756-Reviews-Clarke_Quay-Singapore.html
Maxwell Food Centre,Flea & Street Markets,3138,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d13078277-Reviews-Maxwell_Food_Centre-Singapore.html
Mustafa Centre,Shopping Malls,2901,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139541-Reviews-Mustafa_Centre-Singapore.html
River Safari,Theme Parks,2859,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4089881-Reviews-River_Safari-Singapore.html
The Helix Bridge,Bridges,2776,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2138898-Reviews-The_Helix_Bridge-Singapore.html
National Museum of Singapore,Speciality Museums,2645,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324550-Reviews-National_Museum_of_Singapore-Singapore.html
Arab Street,Neighbourhoods,2208,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324757-Reviews-Arab_Street-Singapore.html
Asian Civilisations Museum,History Museums,2109,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d310896-Reviews-Asian_Civilisations_Museum-Singapore.html
The Shoppes at Marina Bay Sands,Shopping Malls,2105,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2138910-Reviews-The_Shoppes_at_Marina_Bay_Sands-Singapore.html
Battlebox,Historic Sites,2049,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d9859121-Reviews-Battlebox-Singapore.html
The Changi Museum,History Museums,2049,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324543-Reviews-The_Changi_Museum-Singapore.html
Singapore River,Nature & Wildlife Areas,1995,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4283466-Reviews-Singapore_River-Singapore.html
MacRitchie Nature Trail,Nature & Wildlife Areas,1779,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d386880-Reviews-MacRitchie_Nature_Trail-Singapore.html
Raffles Hotel Arcade,Points of Interest & Landmarks,1696,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1492403-Reviews-Raffles_Hotel_Arcade-Singapore.html
Lau Pa Sat Festival Pavilion,Historic Sites,1539,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d386879-Reviews-Lau_Pa_Sat_Festival_Pavilion-Singapore.html
ArtScience Museum at Marina Bay Sands,Speciality Museums,1526,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2138895-Reviews-ArtScience_Museum_at_Marina_Bay_Sands-Singapore.html
VivoCity,Shopping Malls,1384,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d634131-Reviews-VivoCity-Singapore.html
Marina Bay Sands Casino,Casinos,1262,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1062119-Reviews-Marina_Bay_Sands_Casino-Singapore.html
Peranakan Museum,Speciality Museums,1232,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1491151-Reviews-Peranakan_Museum-Singapore.html
Boat Quay,Piers & Boardwalks,1210,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317397-Reviews-Boat_Quay-Singapore.html
National Gallery Singapore,Children's Museums,1172,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8077179-Reviews-National_Gallery_Singapore-Singapore.html
East Coast Park,Beaches,1158,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317426-Reviews-East_Coast_Park-Singapore.html
The Southern Ridges,Scenic Walking Areas,1109,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1523862-Reviews-The_Southern_Ridges-Singapore.html
Chinatown Heritage Centre,Speciality Museums,1012,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324540-Reviews-Chinatown_Heritage_Centre-Singapore.html
Sultan Mosque,Sacred & Religious Sites,1005,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317468-Reviews-Sultan_Mosque-Singapore.html
Sri Mariamman Temple,Sacred & Religious Sites,987,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324753-Reviews-Sri_Mariamman_Temple-Singapore.html
Fort Canning Park,Parks,976,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324755-Reviews-Fort_Canning_Park-Singapore.html
ION Orchard,Observatories & Planetariums,975,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139448-Reviews-ION_Orchard-Singapore.html
Kranji War Memorial,Bodies of Water,973,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d386877-Reviews-Kranji_War_Memorial-Singapore.html
Haji Lane,Neighbourhoods,941,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3512383-Reviews-Haji_Lane-Singapore.html
MacRitchie Reservoir,Bodies of Water,813,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1527627-Reviews-MacRitchie_Reservoir-Singapore.html
Haw Par Villa,Historic Sites,813,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324758-Reviews-Haw_Par_Villa-Singapore.html
Science Centre Singapore,Science Museums,745,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d446423-Reviews-Science_Centre_Singapore-Singapore.html
Chinese and Japanese Gardens,Gardens,730,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d379346-Reviews-Chinese_and_Japanese_Gardens-Singapore.html
Chijmes,Historic Sites,694,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d338376-Reviews-Chijmes-Singapore.html
Takashimaya Singapore,Neighbourhoods,692,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1640638-Reviews-Takashimaya_Singapore-Singapore.html
Marina Barrage,Marinas,658,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1823698-Reviews-Marina_Barrage-Singapore.html
Lucky Plaza,Flea & Street Markets,639,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317458-Reviews-Lucky_Plaza-Singapore.html
Fountain of Wealth,Fountains,623,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317428-Reviews-Fountain_of_Wealth-Singapore.html
Singapore Visitor Centre,Sacred & Religious Sites,621,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8572446-Reviews-Singapore_Visitor_Centre-Singapore.html
Henderson Waves,Bridges,591,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3561693-Reviews-Henderson_Waves-Singapore.html
Suntec City,Shopping Malls,587,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317398-Reviews-Suntec_City-Singapore.html
National Library of Singapore,Libraries,556,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1994786-Reviews-National_Library_of_Singapore-Singapore.html
F1 - Singapore Grand Prix,Sporting Events,550,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8820216-Reviews-F1_Singapore_Grand_Prix-Singapore.html
The Intan,Speciality Museums,524,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d7791180-Reviews-The_Intan-Singapore.html
Singapore Art Museum,Art Museums,516,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d310899-Reviews-Singapore_Art_Museum-Singapore.html
Sri Veeramakaliamman Temple,Shopping Malls,504,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317472-Reviews-Sri_Veeramakaliamman_Temple-Singapore.html
Sungei Buloh Wetland Reserve,Nature & Wildlife Areas,501,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315468-Reviews-Sungei_Buloh_Wetland_Reserve-Singapore.html
Raffles City,Shopping Malls,492,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139569-Reviews-Raffles_City-Singapore.html
