id,uid,title,score,date,content
158895350,M25****4707,,5,2019-05-21 13:07,龟屿是新加坡仅次于圣淘沙岛的度假胜地。在“巨龟”的头部有一座大伯公庙，该庙依岩而建，红墙绿瓦，三面临水。大伯公庙附近还有一座马来达图公庙。每年的10-11月，众多的善男信女会前往该岛的这两座庙宇朝拜。
158137562,馨馨宁宁,,3,2019-03-17 20:15,龟屿岛的面积很小，可以在很短的时间内逛完，去圣约翰岛的时候会在这里短暂停留，岛上有寺庙和很多乌龟，有许多信徒每年都会从马来西亚来这里欺负，据说非常灵验。
156759805,M25****4240,,4,2018-09-27 22:41,岛上的景色很自然，有不同风格的庙宇，环境很原生态，没有什么餐厅之类的，基本要自己准备一些吃的还有喝的，不过整体来说很不错
155006075,Mary_Kiky_Zhu,,5,2018-05-25 16:22,龟屿岛上拥有大伯公庙等多处宗教场所，每年都会在此举行龟屿进香，每年都会有很多人前来进香朝拜。
152408129,_ceai****5795,,4,2018-01-02 15:19,岛上有中国传统寺庙，马来风格寺庙。
152337979,Ivan,,5,2017-12-29 09:36,在新加坡南部的外海，距离新加坡主岛大约5.6公里，总面积约为8.5公顷。龟屿拥有多处宗教场所，岛上有一座修建于1923年的“大伯公庙”，每年农历九月的“龟屿进香”都在此举行。
141435174,Mary_Kiky_Zhu,,5,2017-10-27 13:42,龟屿岛上有一座大伯公庙，在庙的前面是一个小池，池内养有许多被放生的乌龟，池的中央是一个亭子，亭内有一个许愿井，小岛在经过开发后，自然景观几乎是荡然无存了。
141264067,coldwar,,4,2017-10-17 13:39,龟屿岛是一个在海滩上休息的好地方。从南码头乘渡船，最早的一班是上午十点钟，渡轮先去圣&amp;#183;约翰岛，然后再到库苏岛。龟屿岛上面的蚊子非常多，建议带好防蚊水、这里有一些猴子，海岸边的石头很多。
116999056,卡利亚诺李春,,5,2017-07-28 23:43,龟屿岛介绍：面积8.5公顷，岛上有大伯公庙和马来神殿。大伯公庙位于山脚，以中国传统式的红砖绿瓦建造，其内供奉着能赐财、治病、镇海与消灾解难的大伯公与送子观音，据说十分灵验。山顶上的三间马来神庙则极具马来风味，供奉的是生于19世纪的虔诚回教徒与他的母亲和妹妹，是信徒祈求财富、姻缘、健康与家和万事兴的地方。
109912766,wangjue888,,4,2017-06-16 23:52,khusu&#x20;island还是比较有意思的了，环境看起来很不错，没有sentosa&#x20;island那么吵闹，而且风景也很漂亮了
108384854,jessica,,4,2017-05-27 15:31,是一个充满神话色彩的岛屿，池内养有许多被放生的乌龟，一个许愿井。
107090150,Ivan,,5,2017-05-14 16:08,位于新加坡南部5.6公里外海的岛屿，面积约8.5公顷。岛上目前仅有一间华人庙宇和一间马来圣迹，每年农历九月吸引大批进香客。岛上没有公路，遍布羊肠小径，设有两个码头来往滨海南渡轮中心及圣约翰岛
100556940,紫色的毛衣,,5,2017-04-11 22:44,新加坡龟屿岛，在这里可以呼吸到新鲜的空气，来这边的交通还是比较方便的，这里的风景也非常的漂亮，这是一个非常不错的景点非常值得推荐
93081542,维克多一只耳,,4,2016-12-09 07:26,龟屿岛是新加坡仅次于圣淘沙的度假胜地，在“巨龟”的头部有一座大伯公庙，该庙依岩而建，红墙绿瓦，三面临水，大伯公庙附近还有一座马来达图公庙，每一年的9月和10月，众多的善男信女会到该岛的这两座庙宇朝拜，该岛也是一个野餐的好地方！
90972473,愤怒的喵喵,,5,2016-11-01 14:37,运气比较好，遇见好天气，还看到了美丽的日出！上午人不是很多，孩子玩的很开心！
90962925,yifulan,,4,2016-10-31 18:38,运气比较好，遇见好天气，还看到了美丽的日出！人都会心舒身松的感觉。交通也不麻烦
90081515,鹄立头,,5,2016-10-25 19:55,海鲜挺多的，也做得挺好吃的，夕阳景色挺不错，海鲜很便宜，加工费十块钱一斤不管烹饪方式
89937127,tai****000,,5,2016-10-16 15:13,新加坡除了久负盛名的圣淘沙岛以外，另一个很有名的地方就是龟屿岛，这个岛的外形像一个海龟，岛上拥有很多著名的人文景点，大都是寺庙，有很多的游客都会到这里参观。
