id,uid,title,score,date,content
160006125,Boye1,,4,2019-07-30 12:22,新加坡比较乱的地点，都是印度人，不过有很多印度人的超市，价格比外面的便宜很多，就是环境有点差，空间都很小，想买点印度的香，没找到。
159980101,M44****533,,5,2019-07-29 02:30,顾名思义，印度人聚集的地区，到处都是印度餐厅、商铺等，想体验印度文化的可以来感受一下。
159945345,M44****533,,5,2019-07-27 04:15,对于没去过印度的我来说，这个地方体验一下印度风情还是不错的。大致有几个街区是印度人的聚居区，商店、餐馆、寺庙都是印度风格的，还有一条市场比较热闹，摊位都在卖鲜花串和水果。&#x20;另外，这个地区的物价比较便宜，同样的冰箱贴，比我们在马来人聚居区看到的要便宜不少。
159834999,风的坡道,,5,2019-07-20 18:37,印度一条街，很有印度夜色，新加坡印度人很多，成为一道很有特色的景区。
159821683,健康美丽的芳芳,,4,2019-07-19 22:34,新加坡的公共交通还是比较方便的，我们是乘坐地铁来到小印度的，到了小印度这一站，地铁旁边贴有美丽的印度美女的宣传照片，非常的养眼。小印度还真的像印度的一个缩影，沿路到处有印度餐厅，买印度的一些工艺品，香料等等，甚者连空气中时不时的会飘来一阵阵咖喱的香气。
159756834,兰夏的果实,,5,2019-07-15 19:19,小印度是新加坡的印度人聚集区，这里有很多彩色的房子，都很漂亮，挺适合逛街的地方，能够感受到异域风情，有时间的话可以去逛逛。
159645009,沐沐汎,,5,2019-07-08 17:35,小印度是新加坡的印度族群的聚集地，坐落在新加坡中南部的实龙岗路
159500154,轻快的行走脚步,,5,2019-06-29 22:14,新加坡是个多元文化聚集地，小印度是新加坡最大的印度人聚集地，这里的建筑充满了印度风格，五颜六色的，从印度服饰到印度美食，应有尽有！
159445536,轻快的行走脚步,,4,2019-06-25 21:53,印度人在新加坡的聚集地，这里的街道色彩斑斓，建筑很有印度特色，这里的印度手工艺品，美食等齐全，物价也不高，总体来说是体验异域风情的好地方！
159288442,龙神皇陛下,,5,2019-06-14 08:13,浓郁的印度风情和美食使其得名小印度，特色比较鲜明，不过要注意卫生。
159285330,juki235,,5,2019-06-13 21:03,一路小印度就感觉有印度风情了，好多金器店，纱丽店，画手臂画的也好多，但是相对的环境卫生比其他地方差一点点。这里的人也好多由于雨下个不停我们也带着，很多手信几乎在小印度地区没有过多停留就离开了。不过这里的建筑真的是五颜六色，非常的花式。
159285225,爱旅游的背包客,,4,2019-06-13 20:44,小印度是印度人聚集区，是吃印度菜的地方。色彩斑斓，可以假想到了印度。
159225799,满天星宝宝,,4,2019-06-09 10:31,南亚人喜配饰喜金是众所周知的一件事，所以在小印度的中心街Serangoon的一侧几乎全部是首饰店，绝大多数是金店
159227342,随风而去蒲公英,,4,2019-06-09 10:27,该地区的中高档餐厅集中在赛马场路上，由于印度人习俗，如果在这些餐厅中看见有人直接用手吃饭也千万不要感到惊讶
159227146,望天树宝贝,,4,2019-06-09 10:25,在穆斯塔法商场门口我还看到了防贼提示，进入该商场需要寄存包，门口还设有防盗报警器，这些措施都是我在新加坡仨月所仅见的。
159228121,蒲公英宝贝,,4,2019-06-09 10:22,小印度地区的宗教建筑主要是兴都庙、基督教堂以及佛寺，但前两者建筑基本上都不像是开门广迎旅客的样子，尤其是该地区非常重要的维拉玛卡里亚曼兴都庙看起来像是一直不对外开放的样子
159226374,企鹅宝贝2017,,4,2019-06-09 10:21,该地区边缘的两座佛寺千灯寺和龙山寺虽然盛名在外，但占地小，且只有一层，对于游客而言没什么特色。
159225710,仙人掌海滩,,4,2019-06-09 10:20,文化中心外便是小印度中心了，一个袖珍却富有特色的小商品市场
159203243,齐步走123,,5,2019-06-07 18:20,小印度最出名的是我一座印度神庙，其漂亮程度绝对比福建闽南还有台湾的妈祖庙要漂亮许多的，而且这边的房子外墙都是大红大紫相当的醒目的。
159137521,M515shunyi1618,,5,2019-06-02 19:34,新加坡的印度人的聚居地，可以买到很多印度特色的小商品。
159025275,安顺富贵花,,4,2019-05-30 21:50,小印度是新加坡的印度族群的聚集地，坐落在新加坡中南部的实龙岗路。1819年，莱佛士爵士的船航行到了新加坡，在随行的队伍中有很多印度的助手以及士兵等等。他们就成了新加坡的土地上第一批的印度移民。再加上后来的移民以及繁殖等等，就成了这样小聚居地。这里似印度的缩影，特别是在一些节日的时候来临，印度风情更加的显著，所以被称为是小印度
159035571,啊宝兔,,0,2019-05-28 19:30,色彩斑斓的神话世界小印度&#x20;&#x20;到达小印度放下行李后就迫不及待的去街上溜达，这里的街道上的建筑五颜六色的很是新奇。街上有弄浓浓的辣椒气味，但是街道很干净，没有凌乱集市的那种感觉。&#x20;&#x20;打卡必达&#x20;哈芝街的墙面上有很多涂鸦，这里的涂鸦不像电影里的那样杂乱无章，每一面墙基本上都是一副完整的画，来这里拍照再合适不过了。从小印度地铁站出来以后找到一条叫Kerbou&#x20;Rd的路，走到路的尽头你就会看到一栋彩色的房子，这里是来到这里的人基本上都会去的地方。彩色房子在蓝天白云下显得格外好看，你可以在这里尽情的凹造型，尽情的享受拍照的乐趣。&#x20;&#x20;穆斯塔法中心&#x20;小印度的商店会有一些铜器银器和民族珠宝等的物品，而其中要数穆斯塔法中心的商品物美价廉，拍完照片后我们就来到穆斯塔法中心。这里24小时营业，不仅物美价廉而且商品种类繁多，适合小姐妹一起逛逛。
158935285,安顺富贵花,,5,2019-05-24 21:29,好像这里周末人会很多，所以选平日早上去，人不会太多，里面的涂鸦很多，那里的房子都是彩色的，很漂亮，还有特色。这里印度人真的很多。
159062523,畅游游的生活家,,0,2019-05-23 10:42,新加坡，一个充满色彩的城市&#x20;&#x20;新加坡到处都是五彩斑斓的，尤其小印度，这里虽然是新加坡，可是能体验印度风情。&#x20;&#x20;新加坡的小印度，从出了地铁就闻到满满的咖喱味道。突然想到孙燕姿的那首神奇。在这里行走，仿佛已经忘记了，自己身在新加坡。像是印度的街头，到处都是印度风情。白色的房子配上超蓝的天气，像是打翻了调色盘。&#x20;&#x20;拍照攻略：小印度色彩丰富，拍照可以穿同样色彩丰富的裙子。可以买鲜椰子作为拍照道具。&#x20;&#x20;Tips：印度人吃饭用右手，不能用左手的&#x20;&#x20;地址：石龙岗路附近街区&#x20;交通信息：小印度地铁站，任何出口都可到达小印度。
159106698,Alex  Yang,,0,2019-05-19 04:04,【随拍镜头下的新加坡印度裔生活区】&#x20;&#x20;一头久居在狮城的摄影狮&#x20;望少一些文字多一些互动&#x20;也希望能帮助大家更好地了解狮城新加坡&#x20;欢迎咨询留言必复喔
158790216,白豆腐,,4,2019-05-13 08:51,很有意思的建筑，往前走还有一条物价很便宜购物街，看到很多本地人！！印度庙旁边是观音庙，这种文华的融合真的感觉很奇妙！！印度庙的不会忽悠你进去参拜，观音庙的会使劲忽悠你进去，两相对比说不出的怪异！
158748604,M25****4707,,5,2019-05-09 17:04,小印度位于新加坡中心区的东北部，居住着印度、斯里兰卡、孟加拉、巴基斯坦等南亚诸国移民，以印度裔居民最多，所以取名小印度。这里是一个印度的缩影，特别是在一些节日，这里都被装点成金碧辉煌的神话世界。
158716867,Rknn,,5,2019-05-06 23:40,小印度是新加坡的印度人集中居住的区域，这个区域早就成为一个著名的旅游景点，交通非常的方便，有地铁直接到小印度的藏走出来就可以看到一排排印度风情的房子，五颜六色，非常的有特色。小印度这边呢？主要有几个，一个是吃印度咖喱，其次的话就是卖那个印度的金器
158685425,SISISIY,,5,2019-05-05 00:58,富有特色的印度庙，街道上到处都是美丽的鲜花和sali，还有印度最出名的咖喱和拉茶哦……如果有时间也可以去画一下纹身的哦&#x0A;【趣味】还好&#x0A;【性价比】不错
158555097,dinlh,,5,2019-04-27 12:30,从小印度的地铁站出来一眼就看到一幅牛的壁画，好多好多的印度人，一开始还有点不安，街边的房子很漂亮，五彩缤纷，童话世界，各种服饰首饰鲜花非常具有印度风情，还有一个典型的印度寺庙。这里真的是印度的一个缩影。
