id,uid,title,score,date,content
160104160,sj****xg,,4,2019-08-04 19:37,夜景真的好美，就是天台太小，无边泳池也过不去
160082013,悠菲,,5,2019-08-03 17:02,我认为还是值得去看夜景的，大白天的就不推荐了！
160077437,凭海临风,,3,2019-08-03 11:33,又一处高地俯瞰处，不是太推荐去。
160074520,凭海临风,,3,2019-08-03 11:33,又一处高地俯瞰处，不是太推荐去。
160025936,W麦芽糖,,1,2019-07-31 13:30,没有什么好看的，太热，一点都不值得
159979415,M22****975,,5,2019-07-29 00:58,超棒！！！！晚上去哦！！！！还能看到滨海湾花园的灯光秀&#x20;哈哈哈
159960577,so****zxh,,5,2019-07-27 22:06,晚上去的，可以看见超级树和摩天轮，夜景不错，但看不见无边泳池。旁边有个露天酒吧，人特别多，但好像也只对住客开放。
159948545,albertning,,5,2019-07-27 11:00,值得上来观景，基本上沿岸全景都看得到，市区风貌也很不错的。有时间可以坐下休息一阵子。
159888841,我叫阿荣,,5,2019-07-23 20:08,买了这个票，很方便，向进口那里显示电子条码，一扫就可以进去了！然后价格比现场买便宜十块八块吧，现场买也很方便，不多人的前提下，里面有几台自助机给售票的！
159877518,M17****612,,4,2019-07-23 11:03,不需要换票，扫描邮件里的二维码就可以进去，比较方便。空中花园的视野很开阔，值得一去。最好是4点左右上去，待到6点，可以看到白天、日落、夜晚的风景。
159873130,_ceai****1103,,4,2019-07-22 20:30,景色不错，但浏览区域较小，性价比一般
159767319,m19****672,,4,2019-07-16 16:34,金沙观景台不是很大，就是可以环视下狮城美景。56层电梯转眼就到，很快。就是下楼时需要排队，因为我们是晚上去的，看了下灯光秀，下来排队人很多了。但是也没等太久。服务还是不错的。
159763112,320****235,,4,2019-07-16 12:00,不太推荐，不能去无边游泳池的，不如去座摩天轮，新加坡就这点地方从高看下去就一样了。金沙酒值得一去，要么住一晚&#x20;，就能去游泳池
159760121,亮亮,,4,2019-07-15 22:44,高空观赏这座空中花园，站在高空欣赏这座城市，景色秀丽。天空中有些云朵，但是明显感觉天空是乌云的颜色，整个天空和城市还是很清澈的。
159751523,gey****25,,4,2019-07-15 13:42,携程买票很方便。但上面一般般，上面可以一览风景但是没有花园。
159743781,亮亮,,4,2019-07-14 23:29,这真的就是一座空中花园，无论是白天来这里参观还是来参观夜景，景色都是那么的迷人。喷泉⛲️的效果特别震撼，到处都是欢呼与尖叫声。
159727332,兰夏的果实,,5,2019-07-13 21:42,滨海湾金沙空中花园是新加坡非常值得去的地方，楼顶有无边泳池，很多网红都会去打卡，下面还有商场，可以逛街买东西，去新加坡一定要去。
159725975,dfkajkajkj,,5,2019-07-13 21:02,最高点，就是只能逛三分之一的屋顶，泳池过不去，还有就是太晒了
159721094,西希腊法正,,2,2019-07-13 16:55,买错票了，以为是滨海湾花园，原来是金沙的楼顶而已，唉没什么可看的，还走了那么久，不值得去啊......
159697316,153****1056,,5,2019-07-12 00:22,非常漂亮，孩子们玩得都很尽兴，如果住金沙酒店就好了，可以享受无边泳池，还可以随便玩，吃吃喝喝都免费了！下次来一定住金沙酒店！
159643393,lovepeaceworld,,5,2019-07-08 16:09,买票方便，即买即用&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;&#x20;
159554869,唐镇程仔,,5,2019-07-03 21:21,风景真的很好，但是我不喜欢晚上。人太多，而且看不清远方。
159527353,M22****6343,,5,2019-07-01 22:10,新加坡的夜景真的很棒，特别是从空中花园欣赏，订票方便快捷，好评。
159503003,素素77,,4,2019-06-30 11:07,滨海花园的天空树灵感来自阿凡达，傍晚时分前来这里散步最惬意不过，典型的热带植物园风光。可以远眺新加坡飞行者摩天轮，在落日的余晖之下，别有一番味道。
159505128,申申爱熊猫,,5,2019-06-30 11:06,空中花园很漂亮，从金沙酒店可以直接通到空中花园。
159503935,_M18****0049,,4,2019-06-30 09:12,感觉性价比一般，只能上到56层平台去看一圈，白天太晒了，没有遮阴的和休息座椅，建议晚上上去看夜景，可能凉快些。
159488366,meijie1995,,5,2019-06-29 01:34,站的高看得远，下面风景很好，特别是夜景。
159410455,E22****218,,4,2019-06-23 11:05,说是花园其实是观景台，非住客只有很小一片区域可以活动，可以俯瞰整个滨海湾。如果不是特别想去金沙的话ladies可以考虑周三晚上去raffles的1-altitude看夜景，不用付费。
159392057,M28****1664,,2,2019-06-21 20:44,就是个56层楼的屋顶，根本不是整个船，就是个船头，能有二三百平米
159360718,望天树宝贝,,4,2019-06-19 20:04,上面人比较多，要找个好位置有点难，景色不错
159349993,_M13****8663,,5,2019-06-18 22:20,携程出票快！在金沙空中花园极目眺望无敌海景和新加坡城市景观以及日落月升是人生中应该有的体验！约上三五好友去看看吧！
159296547,若梦浮生如梦,,5,2019-06-14 17:56,物超所值，推荐不住金沙的可以买票去参观。最好是5点到5点半左右上去，拍拍看看，7点过一点是日落。如果在顶楼酒吧用餐，还可以顺便把花园那边的灯光秀跟夜景一网打尽。
159237928,M56****303,,5,2019-06-09 22:38,高大上！！！高级感！！！值得去！！！
159233969,AlinaZhang,,5,2019-06-09 19:37,非常值得！新加坡地标性建筑！即便没有入住不能去无边泳池，在携程买个空中花园的门票去看看夜景也能分分钟惊艳到！
159209169,juki235,,5,2019-06-08 08:52,滨海湾金沙空中花园，位于金沙大酒店顶层，无边游泳池的边上。他将陆地上巨大的棕榈树搬到了屋顶，还有许多热带植物。营造出一种空中的森林感觉，不过楼顶的风比较大，树叶被吹的沙沙作响，和陆地上的感觉有些不同。
159207782,_WeCh****943351,,5,2019-06-08 04:37,好极了，虽然游泳池只允许住客使用，不过买这个票能上上面看一看就很值了，因为那个地方住一晚要500多新币
159203251,齐步走123,,5,2019-06-07 18:35,金沙可以说很多人去新加坡都想入住的酒店的，当然价格是比较的贵的，不过你可以过来这里吃吃自助餐什么的也是不错的，空中花园景色确定很好。
159078537,菊花茶叶包,,0,2019-05-28 19:25,半空中的滨海湾金沙空中花园&#x20;&#x20;在空中花园的照片引起了很多朋友的好奇，今天就跟大家好好聊聊位于新加坡的滨海湾金沙空中花园。&#x20;&#x20;关于滨海湾金沙空中花园&#x20;为了去看空中我们入住了金沙酒店，金沙空中花园就在金沙酒店的最上方，远远的看上去金沙空中花园就像是一艘船搭在三栋金沙酒店上，十分的壮观。令人郁闷的是原来不用入住酒店也可以买票去空中花园观光，只需20新币。不过入住金沙酒店有一点好处就是可以在无边泳池游泳，这让我这个游泳爱好者很是满意。&#x20;&#x20;花穹&#x20;空中花园上有个花穹，里面像大棚一样，只是把大棚里面的气候模拟成地中海的气候，这样里面的植物才能存活。这里有来自世界各地的珍稀花卉植物，色彩缤纷是个不错的拍照圣地。&#x20;&#x20;天空树&#x20;天空树是来到空中花园必须要去打卡的地方，而且必须是晚上去才能看到效果，夜幕降临以后天空树的灯光亮起来，很像阿凡达里面潘多拉星球的画面。而且天空树上方还有不错的餐厅，很适合情侣们去用餐，吃着美食看着美景说着情话，不要太完美。
158944134,sy要帅帅的,,4,2019-05-25 15:19,这次去了金沙酒店去新加坡最有名的酒店打卡，晚上建议提早上去，人很多要排队的，晚上夜景还是挺赞的，在上面吹吹风很休闲。
158883878,summer319s,,5,2019-05-20 16:16,携程是官方合作，预定门票超级方便，几乎一分钟就可以确认发送短信和邮件。经过我每一轮比价和确认，携程几乎是最优价格。
158880414,summer319s,,5,2019-05-20 12:25,真的超级美的地方，在顶楼的bar喝一杯也是很舒服。这个地标是值得去的。我每次都会事先确认携程是官方合作，订票超级方便，秒成功。
158819666,yn****fcn,,5,2019-05-15 15:52,金沙的无边泳池最最出名，但是房间价格也是辣辣贵。所以退而求其次，去了他们的sky&#x20;park，人很多，景观很好，可以看到360度夜景，18棵树的灯光秀和每天的激光秀都可以看到
158789467,多_闲趣,,5,2019-05-12 23:09,一览无余，美不胜收，凭海临风，心旷神怡。
158779212,_CFT****237,,4,2019-05-12 09:52,上去吧太晒，不上去吧后悔，可以上去买雪糕
158749512,M25****4707,,5,2019-05-09 17:06,新加坡空中花园如同一个巨型的冲浪板横跨在三座酒店的顶部。这座耗资1亿多美元建造的空中花园，占地1.24万平方米，距离地面200多米高，种植了250多棵树木和650多株植物，可同时容纳3900人参观游览。
158676618,yeeywy,,3,2019-05-04 18:01,可以活动范围比较有限，景观还算不错。买票后，携程订单上就有链接入场电子码，比其他还要收短信订单号(鸭子船)在现场换票，或去其他地点没有任何标示不好找的商店(云雾林+OCDC树顶步道)换票，还是好多了。
158663665,koowang,,5,2019-05-04 01:14,买了20选3的票，玩了2天。影城内变形金刚馆的巨幕4D体验厅非常震撼，犹如置身变形金刚大电影中，有种身临其境的感觉。海洋馆和大多数的国内海洋馆差不多。缆车票可以来回坐2条线路，空中的景色和视野更美。
158659685,Jason_日月星辰,,5,2019-05-03 22:03,住金沙建议选择在57层spago吃早餐，边吃早餐边欣赏风景，非常的享受，早餐之后再去花园散步，真爽啊
158643795,harry8,,5,2019-05-03 11:27,很漂亮。值得一去。俯瞰整个新加坡。也能看到繁忙的港口和码头。
158631378,cyfu86,,5,2019-05-02 19:52,值得参观！风景很不错！！！！！
158619454,138****7586,,5,2019-05-02 10:01,非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好
158618984,133****8632,,4,2019-05-02 09:26,可参观的地方不大，很小一部分，游泳池也去不了，只能远处眺望。
158591429,135****7190,,5,2019-04-30 11:55,价格比外面买便宜，取票也很方便，出行的首选方式，强烈推荐买。
158591248,135****7190,,5,2019-04-30 11:54,价格比外面买便宜，取票也很方便，出行的首选方式，强烈推荐买。
158590887,135****7190,,5,2019-04-30 11:54,价格比外面买便宜，取票也很方便，出行的首选方式，强烈推荐买。
158514231,施煦,,5,2019-04-23 18:16,很值得去&#x20;景观很美&#x20;建议大家去
158505148,yi****214,,5,2019-04-22 23:47,没有住宿的人上楼顶后，可以在泳池旁的餐厅酒吧里享受登高夜景，进入泳池区域则需要刷房卡。新加坡此处的夜景还是很美的，美过维多利亚港。
158502996,320****987,,5,2019-04-22 23:40,值得去看一下，风景真的很棒，夜景也很美。不过泳池真的只是用来拍照的，人很多，根本没有地方游泳。&#x0A;酒店就一般吧，硬件，软件设备都没有5星的标准。感觉就是稍微高档一点的商务酒店。
158490108,M31****5916,,5,2019-04-21 22:28,早晨我起了大早，在那里看了日出，其实看日出是要在游泳池的另一侧，泡温泉那一侧，海湾那一边，真美，无边游泳池这边其实是面向城市的景观的，下次去要好好享受下。
158492630,M31****4522,,5,2019-04-21 22:19,晚上活动：57层无边泳池。水上灯光秀20或者21点半，最佳观赏地点是金沙楼下商场的门口，LV的旁边，时长15分钟。从金沙商场prada的那个门口出来。超级树的灯光秀，最佳观赏位置是金沙6楼的人行桥上。时间晚上7点45和8点45各一场。
158490867,M51****565,,5,2019-04-21 22:14,景色不错，但其实没有太大的意思，因为无边泳池也看不到，景色的话在摩天轮上看也是一样的，或者说是更好吧。不过这边看skyway更清楚一点。上面的水巨贵，所以不在上面喝水，只是拍拍照的话，估计游览10分钟就够了，所以觉得不太值得。
158489387,M30****1190,,5,2019-04-21 19:45,空中花园其实就是横亘在酒店最高处像船体的那部分，一部分被改造成了观景平台供游客参观；而最著名的空中泳池则在另外一端而且只有住店的人才能进入，所以只能有机会再去体验一番了！
158473769,素素77,,5,2019-04-20 15:34,滨海湾空中花园是滨海湾花园中一个收费的室内公园，滨海湾花园本身是免费公园，空中花园独具特色，外观也比较醒目。里面比较冷，还有个大瀑布。记得多穿衣服。很值得一去。
158360145,happy young,,5,2019-04-10 19:01,风景优美植物丰富，有几个亚洲国家展示区，还有一条河河几个喷泉，即便不去收费馆也足够了
158348871,139****3096,,4,2019-04-09 19:41,预定以及取票方便，但是景观一般。从上面也可以看到斜上方的无边泳池，人很多。感觉这个高处的景色一般，没有在摩天轮上看到的好看。
158334467,洞拐洞拐洞洞拐,,5,2019-04-08 16:33,新加坡的环境很好&#x20;空中花园挺漂亮的
158328656,didierlolo,,3,2019-04-08 09:56,出票挺方便&#x20;就是上去啥也没有。五分钟保证能下来
158324754,189****5286,,5,2019-04-07 22:36,看夜景很漂亮，新加坡的打卡地。
158263211,laura-dong,,5,2019-04-03 15:05,风景很好，新加坡全景一览无余，微风吹拂，让人心旷神怡，观景平台的酒吧很不错，可以一边享受美食一边享受风景.....
159045909,刘鲸鱼,,0,2019-03-26 22:04,金沙空中花园的夜，在新加坡最高空感受繁华夜生活&#x20;新加坡是一个资源非常匮乏，空间又极其有限的国家。于是他们用光、电等立体空间和科技之美装点着景观。夜晚前往金沙空中花园，可以看到不一样的新加坡。作为新加坡夜晚观景的榜首地点，每晚的金沙空中花园都熙熙攘攘。这里既是最高的酒吧，更是最美的观景台。&#x20;也有很多游客会选择预订无边泳池或者入住套房，但空中花园相对性价比较高。&#x20;在这里，可以看到一个神秘与现代化结合的产物，品味这个世界国家所带来的美丽的景象。夜游新加坡相信能让您体会到另一番新加坡！当然夜晚来临之后，即便不住在这座奢华酒店内，也可以隔海相望酒店的绝美灯光表演。光束从金沙的屋顶洒向整个滨海湾，建筑、科技、光电有机结合，与夜空、大海和美酒作用出最美妙的夜。
158138825,_WeCh****658477,,5,2019-03-17 21:54,建議約六點前往排隊上樓，欣賞傍晚夕陽落下、光影變換的美景，吹著微風休息等候，19：45超級樹炫目燈光秀和20：00制高點碼頭水舞，下樓後可再次親臨觀賞21：00碼頭水舞，享受四重感官饗宴。
158138424,Princesstt,,4,2019-03-17 21:01,很后悔我们不是晚上过来的，后面才听说其实过来看夜景会更漂亮。不过这个空中花园也确实很有创意，也是充分利用了空间把。上面看看也是心情愉悦
158098122,大海老牛,,5,2019-03-12 07:09,夜幕下的新加坡真的很美，傍晚登金沙，感受这座大都市的迷人灯光渐渐亮起。。。。。。
158090908,plant,,3,2019-03-11 00:52,只能在观景台一小部分区域观看，其它空中花园，无边泳池看不到，隔开了。买票的注意了。不过去了观景台没必要坐摩天轮了，看到的风景应该差不多
158089161,暮秋子,,5,2019-03-10 19:59,在滨海湾金沙空中花园观景台俯瞰绚丽璀璨的新加坡城市夜景，让人流连忘返啊！非常值得来一趟。
158076118,94664934962464,,5,2019-03-08 23:44,冲着对无边泳池的向往，必须住一晚金沙感受下！这里只有住客可以使用，但即使这样也是人多到下饺子！晚上在无边泳池能俯瞰新加坡夜景，第二天清晨想去无边泳池看日出，然而那几天新加坡的天气真是一塌糊涂，真是中奖了，不过早晨人确实少很多，体验感比较好！
158066000,天shuang河白,,5,2019-03-07 23:31,还不错，我们只买了观景台的门票，没有区中间和后面，景色很好，一眼看尽新加坡
158047021,M23****3570,,5,2019-03-04 13:10,可以看到滨海湾全景，漂亮。值得去看看。
158046677,M23****3570,,5,2019-03-04 13:09,可以看到滨海湾全景，漂亮。值得去看看。
158046606,M23****3570,,5,2019-03-04 13:08,可以看到滨海湾全景，漂亮。值得去看看。
158038492,redb****fly,,4,2019-03-03 10:56,观景平台而已，比摩天轮高一些。
157988044,_m13****6354,,4,2019-02-23 21:55,可逛的地方其实不大，但在上面俯视滨海湾的感觉还携程买的票比现场买便宜大概20来块，而且电子票发货很快，很方便。非金沙住户只能去到56层，可逛的区域不大，但从这边俯视整个滨海湾的感觉是很不错的，如果是晚上上来可以看到滨海湾花园的夜景应该更漂亮一些吧。总体感觉值得一看，但票价略贵吧
157971211,M30****3276,,5,2019-02-21 18:02,从空中看滨海湾，视野好得不用说，白天人不是很多，晚上人比较多，风景真的是赞，一边是无边泳池可以鸟瞰整个新加坡的景色，一边是若干个温泉池，可以看到无敌海景。只有金沙的住客刷房卡才能上去的一个地方。
157971534,M30****6151,,5,2019-02-21 17:55,金沙酒店的Sky&amp;#160;Park，看夜景非常棒，晚上也会有灯光秀，能看到城市夜景以及滨海湾花园夜景。Sky&amp;#160;Park和金沙酒店著名的无边泳池是分开的，只有持金沙酒店房卡的人，才可以进入无边泳池区域。
157971171,M30****5430,,5,2019-02-21 17:15,金沙酒店顶楼的露天无边际泳池已经成为了金沙酒店最具特色的地方，夜景无与伦比，而且顶楼也有小吧可以坐下喝一些饮料稍作歇息。
157966684,M30****5864,,5,2019-02-21 03:00,并没有在金沙住，但金沙似乎已经成为了新加坡的一个必到景点了。乘坐地铁可以抵达，地铁直达金沙的商场，走出来是滨海花园，建筑确实很震撼，夜景也很漂亮。建议提前看好日落时间。这个空中花园天亮的时候发现不了什么特别，夜幕降临才好看。
157966682,M30****2342,,5,2019-02-21 02:46,不住金沙的可以买一张金沙空中花园的票子，就可以到最高处去俯瞰整个坡国。票子大概100多，总比住金沙划算啦。住金沙的话就免费随便去咯。
157966669,M30****6779,,5,2019-02-21 01:40,夜景太美了，人们都或坐或站的看着下面美丽的灯光，吹着夜风、海风，晚上的新加坡还是非常舒适的。两个贝壳状的是滨海湾花园的两个场馆。
157961369,M17****230,,5,2019-02-20 14:01,非常非常开心快乐的一次旅行！！！
157952089,135****2768,,5,2019-02-19 10:59,很好很好真的很好*******
157951794,_jeanine_,,4,2019-02-19 10:38,在滨海湾金沙全景环绕中小酌，欣赏世界一流的都市风光、滨海湾花园中充满科幻气息的美丽超级树（Supertree&#x20;Grove）以及五彩斑斓、生机勃勃的滨海湾花园胜景。举目远眺，从滨海南码头沿路至新加坡海峡，一条条船运航线熙熙攘攘，铸就了新加坡丰富多彩的多文化历史。在静谧夜空下捕捉恢宏壮观&#x20;Spectra&#x20;水幕灯光秀的盛景，高空观景台都是提升您摄影技术的最佳景点。
157931199,117****560,,5,2019-02-17 00:36,值得看，能俯视新加坡全景，携程购票方便，不过建议值得观看，购票后联系携程客服，二维码发送邮箱，短信链接有时候也会出错！
157923611,小妍妍,,5,2019-02-16 20:25,比較前台購票便宜，位置观景不錯
157929324,小妍妍,,5,2019-02-16 20:25,比較前台購票便宜，位置观景不錯
157914927,dragon0415,,4,2019-02-15 14:52,我个人呢，去了之后的感受就是&#x20;也可以不去。&#x0A;顶层天台不大，因为主要的部分&#x20;都被我们不能进去的无边泳池占据了。&#x0A;其中一边能看到滨海湾花园&#x20;，另一边能看到&#x20;晚上&#x20;8点的一场灯光秀和烟花。其他的真的觉得没什么。&#x0A;我的建议是，不要上这个观景台——7:45和8:45&#x20;在sky&#x20;tree&#x20;那里有两场&#x20;灯光秀，就老老实实的等在sky&#x20;tree&#x20;下面，一躺，感觉好极了，不需要登那个观景台。
157900897,20****023,,5,2019-02-14 11:55,很满意很满意******************************************************************************************************************
157891620,qia****ndi,,5,2019-02-13 19:19,推荐，夜景很震撼，春节期间还可以在这么高的地方看烟花演出，更加震撼！
157885813,203****155,,1,2019-02-13 14:55,在楼下鼓捣门票半小时，二维码系统有些问题！
157856730,m10****748,,4,2019-02-11 14:39,从金沙tower&#x20;3一层最北边的门出去，左手下去看到售票处，在携程上买票比现场买便宜。到入口时要出示邮件，与其它景点不一样。称为空中观景台更恰当。安排在行程最后一天更好些，从空中看到自己游览过的各个景点，感觉亲切兴奋，对滨海湾周边及花园也有了个整体的认识。向各个方向观望一下，用不了多少时间。
157851675,101****836,,5,2019-02-11 09:07,在金沙55层俯瞰整个城市&#x20;view还是很不错的
157851853,101****836,,5,2019-02-11 09:06,在金沙55层俯瞰整个城市&#x20;view还是很不错的
157851573,101****836,,5,2019-02-11 09:05,在金沙55层俯瞰整个城市&#x20;view还是很不错的
157837501,睿智大帝,,4,2019-02-10 10:36,弹丸之地，只能通过人造景观吸引眼球
157837405,睿智大帝,,4,2019-02-10 10:35,人太多，排队时间长，这类景观在国内连3线城市都很常见了
