id,uid,title,score,date,content
159962768,M49****970,,5,2019-07-28 02:02,苏丹清真寺建于18世纪初期，是新加坡最重要的清真寺之一。1975年3月14日被列为新加坡国家古迹。可以在巴梭拉街的尽头观察它，堪称最佳角度，而这条街已成为众多咖啡馆、古董商店、传统服饰店的聚集地。
159753904,潜龙勿用,,5,2019-07-15 18:08,苏丹回教堂始建于1824年、重建于1932年，是新加坡最著名的回教堂之一。&#x0A;耀眼的金黄色圆顶、高耸的宣礼塔和尖顶，从各个角度看都很华丽壮观。以蓝天白云和椰树绿林为背景，充满异域风情超好拍。&#x0A;苏丹回教堂所在的甘榜格南区，历史悠久又时尚新潮。原来的苏丹王宫被改建成马来传统文化馆，多走几步就到了拥有五彩斑斓壁画的哈芝巷和无数特色店铺餐厅，很好逛。&#x0A;3&#x20;Muscat&#x20;Street(近Bugis&#x20;MRT)
159647222,沐沐汎,,5,2019-07-08 17:39,位于新加坡甘榜格南区的马斯喀特街与桥北路，是新加坡最重要的清真寺之一。
159351033,西芹辣吵小百合,,4,2019-06-18 20:26,第一次走进清真寺内部参观，由于新加坡的地理位置比较特殊，所以是一个多宗教并存的一个国度，有佛教、伊斯兰教、印度教、基督教的教堂遍布。这个清真寺和这里的基督教教堂类似，建筑风格非常明显，但是建筑装饰比较粗糙。进入清真寺有着装要求，还要脱鞋。
159309657,JC爱旅行,,5,2019-06-15 17:24,武吉士是我最喜欢的地区没有之一，宁静、舒服。这个地方我都来刷过三波了。依然是一看见那个黄金大圆顶就兴奋，就绕着它拍了一个下午，腿上都晒出了一条痕。我是有多爱阿拉伯穆斯林的建筑风格。
159180643,juki235,,5,2019-06-05 21:25,苏丹回教清真寺是新加坡最大最古老的伊斯兰寺院，远远就能见到他那金色的圆顶，整体建筑庄严而华丽，吸引着来往游客前来参观。教堂的每一个圆顶底座都是有一圈玻璃瓶底，这些都是由贫困的回教徒在重建回教堂时捐赠的。这是为了确保所有回教徒，无论贫穷富贵都可以为重建回教堂出一份力，回教堂内每天有5次礼拜，每周五中午的礼拜最为盛大，游客在人少时可以进入教堂参观，但一定要脱鞋，如果穿着短裙短裤，需要租借长袍围住才可以入内。
158953909,好玩的贪吃鬼,,5,2019-05-26 15:28,做为一个多元种族，多元宗国家的新加坡，信奉伊斯兰教的人，约占新加坡人口的15[%]，其中信奉者以马来族居多，其次是印度族和少数华族与其他种族。&#x0A;&#x0A;在新加坡，伊斯兰教也称为回教，穆斯林也称为回教徒，而清真寺就自然以回教堂称之。&#x0A;&#x0A;在新加坡众多的回教堂之中，苏丹回教堂和另外五座回教堂也因历史悠久而被列为新加坡国家古迹。&#x0A;&#x0A;在1824年，当时淡马锡（前新加坡）原统治者、苏丹胡先向当年与苏丹签署条约并获得淡马锡主权的英国东印度公司提出在甘榜格南的苏丹王宫（现为马来传统文化馆）旁建造一座面积足以让当时的穆斯林人口前来祈祷的回教堂，提议得到新加坡开埠者史丹福莱佛士爵士承诺英国东印度公司将捐赠3000元的建筑费用协助建造一栋一层楼的砖房回教堂，回教堂两年后落成，取名苏丹回教堂。&#x0A;&#x0A;在一个世纪后的1932年，旧苏丹回教堂因常年失修而重建，也就是今天我们看到的华丽壮观，拥有金色圆顶，能容纳五千名教徒祈祷的宽敞大厅，顶端都有象征伊斯兰教的一弯新月与一颗星的苏丹回教堂。&#x0A;&#x0A;苏丹回教堂开放参观时间为：星期一至四，星期六与星期日，上午10时至中午12时（10：00&#x20;&#x20;-&#x20;&#x20;12：00），下午2时至4时（14：00&#x20;&#x20;-&#x20;&#x20;16：00）。&#x0A;&#x0A;由于每个星期五是信徒上回教堂祷告的日子，因此只于下午2时30分至4时（14：30&#x20;&#x20;-&#x20;&#x20;16：00）开放给游客参观。
158791275,M25****4707,,5,2019-05-13 08:27,苏丹清真寺是为彰显苏丹国王功绩，由史丹福&amp;#183;莱佛士爵士拨款兴建，著名画家DenisSantry设计建造，于1928年落成竣工，拥有金色的圆顶和巨大的祈祷堂，是新加坡最大的清真寺。
158685269,Changzhi-,,5,2019-05-05 06:10,作为旅游者我们只是渴望出去能够开开心心的赏美景，吃大餐，观人文，增长见闻，是脚步是丈量脚下的每一寸土地。而不是和导游斗智斗勇，辗转波折，甚至于大打出手。出来玩就是花钱的，只要价格合理，安排妥当，也会支持。
158591635,豪豪张,,4,2019-04-30 12:15,新加坡有三大特色街区:印度人聚集的小印度，穆斯林聚集区的小阿拉伯，以及华人聚集区的牛车水。之前分享了小印度和小阿拉伯上篇，今天分享一下位于小阿拉伯区域的苏丹回教堂。&#x0A;&#x0A;这座拥有金色圆顶和巨大的祈祷堂的清真寺是新加坡最大的清真寺，男子在一层大厅祷告，女子在二层大厅。游客也可以入内参观，一般需着长裤。上半身着短袖或无袖没有关系，可以入内。若没有带长裤，清真寺门口提供绿色长袍可供穿着（如图2），男士若着短裤的话，也可以穿提供的半裙。在门口处，需脱鞋入内，袜子可穿。二楼不允许游客参观，一楼也只能在祷告堂外参观，所以可走动的地方并不大。清真寺免费开放，无需预约，中午12点到下午2点左右不开放，因此，最好上午或者是吃完午饭再来参观。&#x0A;&#x0A;清真寺附近有许多小餐馆，中东菜、印度菜、中国菜，各式各样的餐馆都很齐全，不远处就是有名的涂鸦一条街哈芝巷，可以说是一个非常不错的地方。
