id,uid,title,score,date,content
160096545,兔大王23,,5,2019-08-04 12:27,环球影城，圣淘沙，到新加坡必须去的地方！
160051701,带着檬宝去旅行,,4,2019-08-01 22:39,岛上玩的东西很多，新加坡环球影城，它是世界上著名的主题公园，它坐落在圣淘沙名胜世界里，新加坡海底世界，他是世界上最大的热带生态气息水族馆，坐落在圣淘沙岛中部。圣淘沙人造冲浪区，这是全球上第五个人造的冲浪区。
160040611,大卫的微笑,,5,2019-08-01 13:10,整座小岛就是一个度假区。你在里面玩几天都不会觉得够，现代的自然的，海滩，动植物都让你流连忘返。最满意还是打卡了亚洲最南端离赤道最近的地方。
160030679,M47****473,,4,2019-07-31 18:29,很干净，也很漂亮，可以带家人一起旅行。
160019287,乘乘227,,5,2019-07-31 05:42,有了宝宝之后各种想要带他出去玩，看看这个世界。新加坡还是很适合亲子游的，到新加坡一定要去圣淘沙岛，这里是亲子乐园，还可以到巴拉望沙滩的吊桥上也就是亚洲最南端拍照留念。&#x0A;圣淘沙岛上有斜坡滑车、环球影城、海洋馆、水上乐园，不愿意泡沙滩的小伙伴可以去打卡。看见沙滩和大海就走不动的言哥哥特别开心，只不过这回去新加坡走了不少景点，言哥哥大概玩的不是很尽兴，我们也感觉有点累，下次还是不逛景点直接趴在沙滩上吧这次去新加坡，还不到三岁的言哥哥坐了过山车，玩了斜坡滑车，简直太大胆&#x20;☺️
159983801,mputss,,5,2019-07-29 10:47,非常好&#x20;使用很方便&#x20;兑换了两个鱼尾狮的小糕点&#x20;冰淇淋没有找到&#x20;&#x20;&#x20;
159983258,_WeCh****60937,,5,2019-07-29 08:42,圣淘沙名胜世界非常非常值得去一趟，而且至少要住上三天才能玩够，酒店离玩的地方也特别近，特别适合旅游的小岛
159981697,Boye1,,4,2019-07-29 07:40,入岛有很多种方式，我选择免费的步行入岛，vivo&#x20;city进去跟着牌子走，一点点路就到了，而且路上的风景也很不错，也不会很热。
159968543,小桃C_C,,5,2019-07-28 13:30,很美的岛，非常美，很好玩。值得去啊
159917277,chilam80,,5,2019-07-25 16:55,环境很不错，非常好玩，非常好啊
159880977,Pacino Chen,,5,2019-07-23 13:28,住在新加坡这么多年，每次去都有度假的感觉！酒店风格各具特色，玩乐项目繁多适合不同年龄段，美食也是丰俭由己！唯一的问题就是太热了，容易中暑！
159865915,zhanghongmay,,5,2019-07-22 16:19,圣淘沙岛就是个专门的娱乐岛，可以从新加坡市区做专门的上岛快线到达，一天即可往返，快线很多班次。岛上有酒店，建议可以住一晚，游玩更充分。岛上可以看的风景，玩的设施也很多，也可以购物，非常好的游乐体验。
159864094,素素77,,5,2019-07-22 13:54,圣淘沙岛是新加坡最著名的小岛，人气极旺，游客永远人满为患，旅行团也比较多，很多国内团喜欢到名胜世界来购物。而我最喜欢的是南部的海滩，丹绒海滩静谧安详，最漂亮。
