content,date,id,score,title,uid
非常合适带小朋友玩，环境设计一流。,2019-07-28 20:20,159975506,5,,BB牛
暑假带上小朋友去玩，真是不错的选择，但是一定要购买快捷票，不然要排很久的队！,2019-07-28 14:51,159970838,5,,135****0678
游人很多，快捷票非常有用，进门处换取手环,2019-07-28 12:26,159966111,5,,233****413
环球影城还是比较小，逛了一圈也没多少时间，人很多，显得很拥挤，不过秩序还是很好的。洗手间的卫生要跟上了，冲水系统有点坏了。,2019-07-28 10:16,159966253,5,,M12****202
新加坡环球影城还是不错的，我买了提早入园的门票，可以早点玩到了变形金刚，还可以在没有人的园区里尽情拍照。,2019-07-28 10:12,159966536,5,,M12****202
有没有都差不多&#x20;有的还**非要打印,2019-07-28 08:58,159964666,3,,小Z_
直接刷票入园十分方便，变形金刚非常好玩,2019-07-28 06:03,159962895,4,,_WeCh****94558
非常糟糕的体验！携程误导性！输入环球影城门票直接跳出来这个就购买了！以为是门票！结果是什么提前通道票！携程多年用户表示极度不满，以后再也不会用携程！！！,2019-07-28 02:28,159963361,1,,203****672
我们买的单次快捷，基本都用上了，星期一去的,2019-07-27 23:05,159962521,5,,U44658****049084
我们单次快捷，基本大半天全部完了一遍，除了本人不敢玩的。,2019-07-27 23:04,159961862,5,,U44658****049084
新加坡必游项目之一，非常值得。携程订票快捷方便，扫码入园，特别好！我们还订了其他项目门票，都比现场买要便宜，很好哦！,2019-07-27 22:56,159959913,5,,eagie3024
非常好，提前入园至少可以三个项目不用排长队方便快捷，还有和马达加斯加卡通人物拍照,2019-07-27 22:56,159962143,5,,M29****894
预定快，直接刷二维码进园，超级方便！,2019-07-27 22:38,159960676,5,,_spb40****8911595
赶上人多，好些项目没玩上，有点可惜。,2019-07-27 22:12,159962029,5,,so****zxh
好@@@@@@@@@@@@@@@@,2019-07-27 21:55,159961544,5,,300****339
和大阪环球相比没那么大，但去的人不少，没买直通票，孩子排的很耐心，变动金刚和侏罗纪漂流排队时间长，但确实好玩，因为预约了模拟飞行，所以玩到6点多，孩子还想玩。环球就不说那么多了，玩就是了。确实下午4点以后人少，新加坡环球就周五周六和新加坡的节假日会到晚上10点，所以要是住圣淘沙，又是周五周六去玩，可以下午晚点多玩会。,2019-07-27 21:45,159961424,5,,一一爱月牙
直接手机扫码就进去了，很方便。环球城里面不大，感觉比香港迪士尼要小，有一点很好的是排队几乎都是室内的，有风扇、空调，还是比较凉快。没有买快捷票，早上十点开门进的，8点钟闭馆，几乎大多数项目玩完了。,2019-07-27 20:08,159958969,5,,186****6323
想进园玩的爽，建议买VIP通票，否则处处排大队。携程的票价不算最便宜的。后来在**----**上，便宜了好多，是个人的真实感受。进园安检不能带颜色的果汁，保安不让带入。,2019-07-27 16:51,159953881,2,,Boye Lee
环球影城一定要要工作日过来，不然人太多了，里面的演出场面小一点点，变形金刚不错，工作日四点钟左右基本上没什么人了，红蓝双规不错，刺激。,2019-07-27 16:30,159955623,5,,Boye1
地方其实还蛮小的&#x20;不过人挺多的&#x20;花在排队上的时间太多了&#x20;其实很多项目都没来得及玩&#x20;变形金刚那个超级好玩&#x20;强烈推荐&#x20;本来还打算走之前二刷&#x20;结果不知为什么不让进去了&#x20;,2019-07-27 14:32,159950987,5,,M15****735
地方其实还蛮小的&#x20;不过人挺多的&#x20;花在排队上的时间太多了&#x20;其实很多项目都没来得及玩&#x20;变形金刚那个超级好玩&#x20;强烈推荐&#x20;本来还打算走之前二刷&#x20;结果不知为什么不让进去了&#x20;,2019-07-27 14:31,159951962,5,,M15****735
值得购买！把全部项目都玩了一遍,2019-07-27 14:30,159951463,5,,200****212
值得去，项目都很刺激，一定要买贵宾票，虽然贵，但省去了许多排队时间，最终是物超所值的，从变形金刚开始玩起,2019-07-27 14:28,159951061,5,,盼盼猪宝贝
心想狮城&#x0A;FP在手，天下无敌双轨过山车太刺激了~[跳跳][跳跳][跳跳],2019-07-27 13:50,159950958,5,,虹小虹1218
很值得门票。不用早去，早去也排队。还不如下午慢悠悠过去，基本上所有项目都能参加，排队时间还很短。晚上甚至不用排队。,2019-07-27 11:03,159948360,5,,albertning
很爽&#x20;建议还是买快捷票&#x20;人太多&#x20;排队等候时间太长&#x20;&#x20;先玩变形金刚区&#x20;记得,2019-07-27 10:37,159950225,5,,_WeCh****503409
去的那天太热了，人好多，所以没完几个项目，但是体验的感觉很好，特别是变形金刚值得推荐，即使是曲折的排队也是有趣的，建议购买快捷票,2019-07-27 10:13,159947893,5,,M40****005
携程买了提前入园券，可以提前入园，一进去就把变形金刚玩好，很值！玩好变形金刚之后走到木乃伊，也不用排队，因为大部队还没进来，不过因为害怕没有玩，提前入选券值得购买，妥妥的给我省了一张快捷票。,2019-07-27 09:14,159946495,5,,Jasonwang0723
去新加坡环球影城必须打卡！可以逆时针一路玩，买了早鸟票先刷了变形金刚、靴子猫。水世界的表演很精彩，不容错过。,2019-07-27 09:01,159947934,5,,E17****02
在去之前犹豫要不要买快捷通道票，最后没买，早上10点到的，排了15分钟入园，到晚上十点离开，中间出去看了次仙鹤芭蕾，园内项目基本都玩到了,2019-07-27 08:51,159947559,5,,yiheng0204
暑假期间，还是快捷票很好，虽然贵点，但是节省时间，天气那么热，排队太累了，有了多次快捷，感兴趣的可以多刷,2019-07-27 08:38,159945987,5,,挂线木偶
新加坡环球影城面积很大，里面有很多游乐设施。,2019-07-27 02:08,159945826,5,,Jennifer
以好莱坞电影为主题的乐园，去的是位于新加坡圣淘沙岛的环球影城，个人觉得很不错，通过精彩的游乐项目，在惊险刺激的同时，了解电影工艺！,2019-07-26 22:47,159944078,5,,轻快的行走脚步
好厉害！好好玩！适合带4岁以上，18岁以下小朋友亲子游！呵呵呵呵！啦啦啦…,2019-07-26 19:01,159939732,5,,bigson
取票很方便，扫码入园。非常好玩，好多经典的电影场景,2019-07-26 16:10,159932503,5,,288****766
扫码入园，很快捷。逆时针游玩，走单人通道，减少排队时间，6点后，人少很多,2019-07-26 14:04,159930508,5,,M22****5061
没有买快捷票，一天项目全部完成了，我买的是提前入园和含有5新币午饭的套餐，很坑人，提前入园只是在马达加斯加照相，5新币代金券不是所有餐厅都能用，再购票的时候要问好,2019-07-26 12:03,159929705,5,,M20****764
去过欧洲乐园，巴黎迪士尼，和环球影城。对比而言，环球影城性价比十分高，项目多，节目也多，服务也好，超级值得去，喜欢过山车的朋友，千万别错过。,2019-07-26 03:57,159926835,5,,M44****533
新加坡最好玩的地方，很值得去！！,2019-07-25 23:43,159925343,5,,明乐L
值得去玩的，里面还有演出哦，推荐的,2019-07-25 23:11,159924841,5,,yayi0608
单次快捷票需要打印出来才可以用，因为每个项目坐完之后都需要标记，提前不知道，比较麻烦。不过确实方便。还有项目是没有快捷票的，一般要排队很久。,2019-07-25 22:23,159922911,4,,ADADAIXIN
携程买票的确很方便，扫码就可以进园。环球影城不是很大，类似迪士尼。,2019-07-25 22:21,159923379,4,,ADADAIXIN
两大两小，庆幸买了快速票，一上午全部搞定,2019-07-25 21:53,159922387,5,,fayer
能与迪士尼乐园相当的亲子游乐场，设计有特色，环境好，项目惊险刺激，体验上佳。,2019-07-25 21:41,159921980,5,,龙神皇陛下
超级好用，提前半小时从专属入口入园，拍照没人挡，还可以提前玩变形金刚。10点40就玩了4个大热项目，还没有排队。比快捷票性价比高啊,2019-07-25 19:39,159921247,5,,心爱apple
感觉很一般，游玩设施需要维保了，我们赶上两个项目都出现了故障，白白等了两个多小时～过山车很刺激，玩了其中一个，老婆很害怕，不敢要第二个！,2019-07-25 18:43,159920082,3,,Changzhi-
好玩好玩&#x20;好好玩&#x20;很刺激&#x20;很开心&#x20;超级棒,2019-07-25 18:19,159918191,5,,_zfb20****0836394
新加坡最好玩的地方之一里边真的是太神奇了，各种主题影城，不过一些玩的东西都非常新颖，而且里边建设的真的也像一个花园一样，超级美呆了！,2019-07-25 16:15,159916857,4,,趴在墙头
挺好玩的，去新加坡必定玩的项目，只不过相比日本的环球影城少逊色些,2019-07-25 14:15,159914573,4,,tjshx
去环球影城一定要买快捷票要不然真的是会排队排到死，买快检票的时候一定要把它打印出来，因为这样子会比较方便，这回我们就是因为没有打印出来来来回回跑了好几趟。,2019-07-25 13:37,159913008,5,,堍堍宝贝
快捷票需要打印出来。园区很贴心，可以在服务中心帮助打印。,2019-07-25 10:21,159912239,5,,霹雳小花猫
快捷票是要打印出来的，园区很贴心，可以在服务中心帮助打印!门票无需打印,2019-07-25 10:20,159911663,5,,霹雳小花猫
玩得很开心，比上海迪士尼有趣。,2019-07-25 00:48,159907778,5,,胡定宇
环球影城的老人票真的很划算，关键是我们家的老人很能玩，红蓝过山车木乃伊变形金刚一个也不落地玩了，感觉超值啊！,2019-07-24 22:27,159906471,5,,eagie3024
新加坡环球影城是新加坡必去的景点，园区内各项目都很有趣，孩子很喜欢。另外，携程订票非常方便，都不用取票，扫码入园，特别好！,2019-07-24 22:23,159906467,5,,eagie3024
新加坡必去景点了吧&#x0A;&#x20;&#x20;&#x20;&#x20;趁暑假带小朋友去玩了一把，影城不大赶不上上海迪士尼，但是项目设置不错，浪上一天绝对绰绰有余，最有环球特色的莫过于2场电影特效展示吧，尤其是坠机的那场绝对值了。&#x0A;&#x20;&#x20;&#x20;&#x20;要说些许失望的，游客太多了，也许是暑假的关系吧，墙裂建议购买无限pass!,2019-07-24 20:34,159903403,5,,elwaywong
VIP中文版，一路跟着领队不用排队，超级爽，整个环球影城项目偏向于刺激，有太多的过山车类的项目，做的头晕，想吐。儿童过山车、成人两种过山车，还有室内过山车，飞翔类过山车，哎。。。。。太过于单一了,2019-07-24 19:19,159903366,2,,110****582
VIP中文版，一路跟着领队不用排队，超级爽，整个环球影城项目偏向于刺激，有太多的过山车类的项目，做的头晕，想吐。儿童过山车、成人两种过山车，还有室内过山车，飞翔类过山车，哎。。。。。太过于单一了,2019-07-24 19:18,159904236,5,,110****582
"好玩是好玩，就是去的时候太热了，有几个不敢玩，影像最深的是变形金刚的4d,虽然害怕但是很刺激，因为太喜欢变形金刚乐哈哈哈哈",2019-07-24 18:33,159902973,5,,M23****9376
比现场门票便宜很多，提前订可以先打印出来，入场直接刷电子码即可。,2019-07-24 18:29,159901983,5,,320****327
早就种草环球影城了，尤其是变形金刚既视感很强。,2019-07-24 14:59,159898570,5,,m15****026
很不错，推荐，向导带着我们把所有的项目玩了一遍，不用等待很爽！因为向导熟悉各个表演时间，所以行程非常顺利，推荐！,2019-07-24 12:26,159896268,5,,qz****f
感觉比较一般，主要是安排在行程最后一天，大家都累了，排队排好久才轮到，只玩那么一小会儿，真的觉得浪费时间！,2019-07-24 10:06,159894664,4,,M33****9482
木乃伊炒鸡刺激，大黄蜂4D也很真实，身临其境，比国内几个园子做的都要强很多，但是，一定一定要买快速票！人真的超级多！,2019-07-24 09:01,159894638,5,,Mandy
去新加坡环球影城&#x0A;&#x0A;記得买张VIP哦&#x0A;&#x0A;俩小时就能搞定&#x0A;&#x0A;&#x20;the&#x20;best&#x20;way&#x20;to&#x20;have&#x20;fun&#x20;with&#x20;family&#x20;together&#x20;in&#x20;Singapore.,2019-07-24 08:40,159893475,5,,Tomozi
这么小的新加坡，环球影城是必须打卡的景点之一，规模不大，和迪士尼、乐高乐园差不多，我只买了大门票，如果买快捷的话应该所以的项目都能玩遍，如果时间早的话在圣淘沙沙滩上转一转也是不错的，唯一缺点就是太晒了。另外携程服务非常好，前一天晚上订的，没有任何问题。,2019-07-24 08:33,159893867,5,,克莱格孟尝君
与洛杉矶的环球影城相比，这个总体算小巧精致，双轨过山车和埃及区还很大气的。未来水世界的特技表演与洛杉矶一样精彩，不容错过！漂流也不错。剧场里的芝麻街舞台歌舞对中国小朋友的带入感略差（不及熊大熊二有吸引力了！）纽约区大食店的“土豆牛肉饭&quot;味道好，15元新币！错过高峰期去吃！另外新加坡雨多，还好纽约区加了天棚！,2019-07-24 08:17,159893066,5,,115****078
值得一玩。但人有点多，天气又热,2019-07-23 22:31,159891243,5,,孤独的叛逆者
那当然要买快捷票哦！还好是提前在网上买的更便宜，等到现场再买，单次快捷就要110新币，500多人民币了！未来水世界与洛杉矶的非常相似，女儿看了1点和4点两场！确实精彩…特别是小飞机闯进场！,2019-07-23 22:28,159889688,5,,115****078
订这个票比较方便，提供邮箱地址就可以接收电子票，然后打开PDF格式的电子票给扫描就可以进去了！我们9点多点就到了，这个时候已经有人在排队了，9点半开始成队形很多人了！里面不是很大，先去变形金刚，然后再去玩其他！整个园区一天都可以玩完了！建议带雨伞，水，面包！,2019-07-23 20:05,159887969,5,,我叫阿荣
值得去！但是夏天暑假人特别多，建议购买快速票，排队的时候汗流浃背，多喝水。喜欢他们的哈利波特，这一点比较难忘！&#x0A;【趣味】,2019-07-23 17:47,159886633,5,,118****555
推荐提前入园的，可以玩几个项目，不用排队，到后面人多了，好玩的项目也差不多玩了，不用怎么排队，入园更不用排队了,2019-07-23 16:59,159884564,5,,_cft01****0333270
虽然面积不大，但是环境和服务很好！,2019-07-23 16:51,159884194,5,,拉姆斯宾塞
工作人员明知只是排队费就是不向消费者明说，用“专用通道、直接入园”的口号模糊了该产品是不可以入园这个事实真相。为什么你们不明摆“排队费99元”去标示这个产品？“聪明啊携程、聪明啊携程的工作人员”，有你们这样令这个**灰暗、人人都提心吊胆，谁还会付出真情。,2019-07-23 15:15,159881588,1,,136****3616
携程工作人员的确向我明示这个产品是“门票”，这点我要求你们退款。,2019-07-23 15:13,159882968,1,,136****3616
去环球影城不买快捷票真的是不行。每一个项目都排队人特别多，快捷票就特别的方便，带着小朋友去的话，建议还是大家都把快捷票买着。,2019-07-23 14:32,159882646,5,,堍堍宝贝
带娃来环球影城一定要买快捷票啊，一定要买，一定要买。不然排队真的要排超久，有些项目连express都要排队15-20分钟，更何况没有快捷票。,2019-07-23 12:57,159881146,5,,135****8705
带孩子玩的画，一定要买优先票，太值得了,2019-07-23 12:12,159880944,5,,_M13****0825
挺好的，可以提高游玩效率，节约很多时间，推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐,2019-07-23 12:09,159879398,5,,狮子慢步
