Spot_name,introduction
Arab_Street,"Arab Street was the name of a road and neighbourhood in Singapore. There are two explanations behind the name. The first one is that the area was owned by an Arab merchant, Syed Ali bin Mohamed Al Junied and that it was the site of an Arab kampong, hence the name Arab Street.[1] The Chinese referred the street as jiau a koi Javanese, in the view of the Javanese who used to be the majority inhabitants of the area. Spices, textiles, basketry items and songkoks are sold along this row of shophouses with five-foot way at Arab Street. In Tamil, Arab Street is known as pukadai sadkku (flower shops street), because of shops selling homegrown flowers, lime and other goods sold by Javanese women. In 1889, a huge fire occurred.
<br>"
ArtScience_Museum_at_Marina_Bay_Sands,"Although it has a permanent exhibition, ArtScience Gallery, the ArtScience Museum mainly hosts touring exhibitions curated by other museums.
<br>"
Asian_Civilisations_Museum,"The Asian Civilisations Museum (ACM) is an institution which forms a part of the four museums in Singapore, the other three being the Peranakan Museum at Old Tao Nan School, the National Museum of Singapore and the Singapore Art Museum.
<br>"
Battlebox,"The Battle Box is the popular name of the Fort Canning Bunker, formerly known as Headquarters Malaya Command Operations Bunker, constructed under Fort Canning Hill, Singapore, as an emergency, bomb-proof command centre during the Malayan Campaign and the Battle of Singapore. The Battle Box is currently a museum and tourist attraction.
<br>"
Buddha_Tooth_Relic_Temple_and_Museum,"""The temple is based on the Tang dynasty architectural style and built to house the tooth relic of the historical Buddha. The ground breaking ceremony was conducted on 13 March 2005. Costing S$62 million and 2 years later, a soft launch was held to coincide with the 2007 Vesak Day celebration.""[2] It is claimed that the relic of Buddha from which it gains its name was found in 1980 in a collapsed stupa in Myanmar.[3] The relic can be viewed by the public at the 4th floor of the temple.
<br>"
Chijmes,"CHIJMES (pronounced ""chimes"", acronym definition: Convent of the Holy Infant Jesus Middle Education School) is a historic building complex in Singapore, which began life as a Catholic convent known as the Convent of the Holy Infant Jesus (CHIJ). The complex is located at Victoria Street in the Downtown Core, within the Central Area, Singapore's central business district.
<br>"
Chinatown,"Chinatown is a subzone and ethnic enclave located within the Outram district in the Central Area of Singapore. Featuring distinctly Chinese cultural elements, Chinatown has had a historically concentrated ethnic Chinese population.
<br>"
Chinese_and_Japanese_Gardens,"It is built on an artificial island in Jurong Lake and is connected to the adjacent Chinese Garden island by bridge named the Bridge of Double Beauty.[3] Along with the aforementioned Chinese Garden, the two gardens are collectively known as the Jurong Gardens.
<br>"
Clarke_Quay,"Clarke Quay is a historical riverside quay in Singapore, located within the Singapore River Planning Area. The quay is situated upstream from the mouth of the Singapore River and Boat Quay.
<br>"
East_Coast_Park,"The 185 hectare East Coast Park is the largest park in Singapore, and is built entirely on reclaimed land with a man-made beach, where swimming is possible. The beach is protected by breakwaters.
<br>"
Fort_Canning_Park,"Fort Canning Hill, formerly Government Hill, Singapore Hill and Bukit Larangan (Forbidden Hill in Malay), is a small hill about 48 metres (157?ft) high in the southeast portion of the island city-state of Singapore, within the Central Area that forms Singapore's central business district. Although small in physical size, it has a long history intertwined with that of the city-state due to its location as the highest elevation within walking distance to the city's civic district within the Downtown Core. It is also a popular venue for music shows and concerts.
<br>"
Gardens_by_the_Bay,"Gardens by the Bay is a nature park spanning 101 hectares (250 acres) of reclaimed land[2] in the Central Region of Singapore, adjacent to the Marina Reservoir. The park consists of three waterfront gardens: Bay South Garden (in Marina South), Bay East Garden (in Marina East) and Bay Central Garden (in Downtown Core and Kallang).[3] The largest of the gardens is Bay South Garden at 54 hectares (130 acres) designed by Grant Associates. Its Flower Dome is the largest glass greenhouse in the world.[4]
<br>"
Haji_Lane,"Haji Lane got its name because of the businesses here. There were many Arab pilgrim-brokers who would arrange the haj for Muslims in Singapore and from the nearby islands such as Java.
<br>"
Haw_Par_Villa,"Haw Par Villa is a theme park located along Pasir Panjang Road in Singapore. The park contains over 1,000 statues and 150 giant dioramas depicting scenes from Chinese mythology, folklore, legends, history, and illustrations of various aspects of Confucianism. During the 1970s and 1980s, the park was a major local attraction; it is estimated that the park then welcomed at least 1 million annual visitors,[1] and is considered as part of Singapore's cultural heritage.[2] As of 2018, under the park operator Journeys, efforts to revitalise the park are ongoing with the holding of themed events[3] and the planning and construction of ancillary museums.[4]
<br>"
