id,uid,title,score,date,content
,,Historic Complex,4.0,,"Located in Central are of Singapore. Now the area includes dining , entertainment , shopping centres and function hall for theatrical performances and wedding"
,,Charming Place,4.0,,Former convent now transformed into a whole variety of differing dining locations. Cusine to suits all tastes and a variety of differing sized establishments. The interior courtyard is still there to sit in quiet contempalation - easily located and only the bus route just before Raffles Hotel
,,A beautiful atmosphere & place to visit.,4.0,,"Chijmes was a must visit after watching the movie on the flight to Singapore! The style of the church, surrounding buildings & gardens was absolutely beautiful. It was pretty quiet in the morning when we were there - but still very enjoyable & very peaceful. The restaurants looked lovely to come back to the evening (but we didn't have time)."
,,Photo spot,5.0,,"This whole area is full of beautiful trees and amazing old architectures so I highly recommend to take lots of pictures here. Also there are many restaurants and coffee shops is the arcade. Although I visited only one cafe, they all look good from outside so we felt hard to choose which one to visit :)"
,,Chijmes Charm,3.0,,"Charming environment. Mid to up market eateries. Attended a wedding with my internally certified service dog - made prior arrangements to inform security, but was still harassed by the night shift. Not a good experience at all in terms of access for the disabled. Chjimes management you need to step up in this area. Persons with Disability do wish to go out too!"
,,Mao Tiki at Chijmes - good option for a group of nine,4.0,,"After a celebration drink at the Long Bar in Raffles, this was a great dinner stop for our party of nine. Not sure quite what to expect, it was lovely to walk into the area surrounding the Convent of the Holy Infant Jesus. It was wonderful watching the lights come on as the sun set.

There are a lot of restaurant options and, to accommodate everyone’s dietary requirements , we selected Mao Tiki. All the menu choices were good and accompanied by beer, wine or cocktails made a good end to our day."
,,Weekday lunch,3.0,,Chijmes was a convent in 1852 and then a girls’ school from 1933. In 1996 it was convered to a restaurant and events area. Mostly popular for screening sports games outdoors in the evenings
,,Spur of the moment,4.0,,We were drawn to the Chijmes by some reviews in our hotel which was close by. We had a wander around and were somewhat taken aback by both the number and variety of restaurants and food outlets. There is something here for everyone if you look hard enough.
,,Visit at night,4.0,,"Visit this place at night. Not what I expected heaps to see restaurants and bars. Shops I thought it was a church, nope. Check it out."
,,Wine and dine in a beautiful historic building!,5.0,,"Although we have been to Singapore numerous times, this is the first time we've been to Chijmes. The historical building is the backdrop for a wide range of restaurants and bars selling food from many different countries. There is also a huge garden/lawn area in the middle of the courtyard with lots of comfy chairs and beanbags for a relaxed, casual experience. Highly recommended."
,,Worth a walk through even if not stopping,4.0,,"A beautiful building with a host of restaurants surrounding it. History boards outside describe what happened in the war when it was the convent. If not stopping for drinks/ food, it provides a good photo opportunity if nothing else."
,,Lovely ambience and memories,5.0,,Visited about 20 years ago when a few units were still vacant. Revisited last month on the way to Australia. Lovely...lovely...lovely. Evening fairy lights...lots of eating places... very welcoming...near Raffles x
,,Winery Tapas bar,5.0,,Great place for food and drinks and special effort was made for Mother's Day.Food was very enjoyable and it has great wine list.
,,Planning ?,2.0,,"Revisiting Chijmes after a year or so and OMG what have they done
B1 used to be the place and now its overbuilt and has little atmosphere
Upstairs is far better though the attitude of some of the places requires repositioning if they want to succeed
Have a good walk around before settling on a place as many options around every corner!"
,,"Cosy, nice lights and chill drinks",5.0,,Great for a chill night out of drinks and chatting with friends. Lovely ambience. The colonial architecture and church vibes make a quaint finish.
,,A must see in Singapore,5.0,,"Definitely worth coming to see this beautifully restored church/school. The atmosphere is lively and there is a fantastic selection of restaurants, bars and cafes to choose from. This is a place to come to for food and drinks - so much to choose from at reasonable prices....your hardest decision will be what type of cuisine you settle on..."
