id,uid,title,score,date,content
,,Good visit,5.0,,Loved the experience of this visit the culture & heretage.. A good experience & recommended to all as a good learning centre of the culture of this country.
,,Excellent detail,5.0,,"The Chinatown Heritage Centre in Singapore is a fantastic interactive museum, one of the most detailed, comprehensive and accessible museums I've been to. Definitely worth the entry fee, this centre is engaging with rooms dedicated to following the life of a family and tenants who lived in the shop there in the 1950s. This personalisation of history was highly engaging, as were the still life exhibits. If anything, there's so much detail and information that by the end of it you may leave feeling overwhelmed. You could easily spend two hours or more here, and it's worth visiting just to get out of the Singaporean humidity. The audio guide was very informative, otherwise wander at your own pace. I'd recommend to anyone wanting to learn a little bit about life in post-war Singapore."
,,Real life displays of olden days,3.0,,"Everything here is done to replicate the olden days & I must say they did a a good job. If they can use technology to make this visit more interactive, it will be even better. Oh, did I say the admission fee is rather high? Try to look for a discount coupon if you can."
,,Authentic and engaging,5.0,,"A few members of my family, my girlfriend, and I were taken on a tour of the exhibit by a guide by the name of Guan. The members of my family with us were children living in Singapore during the time period the exhibit is showcasing. It was fascinating to see the time period in which they grew up and how different it was to the time period I grew up in. I immediately knew it was authentic when my aunt began to freak out when we entered the first room.

Guan really made the tour fun, unique, informative, and engaging. He would involve both the younger and older members of our group by making jokes and asking us to make guesses about what certain rooms and objects were meant for.

In summary, this tour was unexpected in its quality in the best of ways and I would recommend it to any of my friends heading to Singapore."
,,This place is a dad joke,1.0,,"It is outrageous that this center charges 16 Singapore dollars to see a run-down so-called museum with cheap costumes, ornaments, and photos. The informational content is close to zero. This is not worth your time even if it were free. Go to the National Gallery or the Asian Civilizations Museum instead. These are first-rate. The people running this “cultural center”. should be ashamed of themselves."
,,A dive into a bleak and foreign existence.,5.0,,"Situated in the heart of Chinatown and thoughtfully displayed over three storeys. The often brutally short lives of early chinese migrants, abductees as well as political and economic refugees, unfolds via an audiovisual presentation set against a backdrop of props true to the periods covered.
One gains an insight into the lives and struggles of the people instrumental in building Singapore into the grand city that we now cherish and enjoy.
Enjoyable despite the gravity of the subject matter.
Allow yourself at least a couple of hours for the full experience."
,,Excellent Audio Guide to an Amazing Museum!,5.0,,"This museum is a clock stopped in time! We spent over two hours inside with an excellent audio guide that explained everything very well. It is quite eye-opening to see what the Chinese experienced, and some of it not so long ago.

The authorities did the right thing preserving this one shop house to explain how people used to live and to bring home some of the problems that the first Chinese immigrants faced. Some of that history is quite harrowing and it shows how much we take for granted in our comfortable lives today."
,,Great museum,5.0,,Great museum to undertand the history of Chinese people in Singapore. Very good audio/video guide. Very interesting for kids as well. Must do in Chinatown.
,,""" Great History""",5.0,,"This was a great experience to see how the people lived. It only costs $15 singapore to go in, you will need about 3+ hours to take your time in there. It is about 100 metres to the MRT Station China Town, or buses,taxis. in the cost when you come out you can get free dumplings and a drink at some outlets when you show your ticket.It,s Good Value."
,,Chinatown Heritage Centre Singapore China town,5.0,,"Great place to visit in the heart of Chinatown, near the food street and local markets. My kids 6 and 12 y.o. both were so interested ...they were very quite and involved. Audio guide provides detailed explanations, real life stories. Museum rooms have lots of interesting historic details. The place is full of photo zones. Very informative and authentic! highly recommended!"
,,A Walk Through Time,4.0,,"As a former resident in Singapore (during the 1970's), much of what is displayed here provoked many memories of conditions and practices then still in existence. So, for us, it was a trip down memory lane. However, while no longer a reflection of today, it does provide visitors, enhanced through audio-visual displays, an exceptional impression of life in Chinatown during the 20th century."
,,Amazing Museum,5.0,,"This museum not only showcases in depth life for migrants in historic Singapore, but it really highlights the life of most overseas Chinese. The migrant experience showcased is reflected all over the world and not necessarily those of the Chinese in Singapore. The curators really took time to tell the lives and stories of these people who built Singapore and there is a lot of love and pride in this museum. Love the audio/visual guide and how well thought out the whole experience was.

I loved my free egg tart afterwards too!"
,,Amazing,5.0,,"This was one of the highlights of our 9 days in Singapore with two of our grand daughters. They absolutely loved the 'real world displays"" of how people lived in the early days of the city state's existence. The staff were very helpful and the audio/visual units available were the best we have encountered anywhere."
,,Eye-opening and quite moving,5.0,,"Visiting this museum, housed in old shop-houses in Chinatown, was fascinating but also sobering at the same time. To learn that people lived in such cramped conditions with minimal, if any, comforts, in order to make a way from themselves and their families in a new country was eye-opening."
,,In-depth history about the Chinese,5.0,,We decided to stop in and check it out and glad we did. Fantastic in-depth information given through a talking service as well as models and items of history. It was excellent good value for money.
,,super interesting!,5.0,,"i think it’s a must stop! you will get to know more about singapore. personally i thought this museum iwas better than the indian heritage center. if going to chinatown, dont miss it. you need at least an hour for the visit though"
,,Fantastic place- not to be missed,5.0,,It was worth the time and money to visit the Centre! I love places that recreate a place so that you can feel what it was like. The multimedia guide was full of interesting information about the Chinese who came to Singapore. It even had an interview with one of the former tenants who lived there as a child. We spent over two hours there. The bonus was free egg tart with each ticket at a bakery that was part of the exhibit.
,,With guests,4.0,,my guests loved the entire atmosphere as they took their time to enjoy all the little cultural heritage of singapore.
,,Very interesting place,5.0,,We visited here to get a bit of history about the area and we weren't disappointed. Your entry price gets you an audio guide as well and this was really handy. Loads and loads of information about the chinese migrants and how they helped build Singapore into what it is today. Only one slightly negative comment is that the audio description could be quite lengthy at times and we felt ourselves skipping it sometimes.
,,Superb museum; don't miss it!,5.0,,"An excellent multi-story museum that tells the many stories of Chinese immigrants to Singapore. The building was previously the site of a tailor's shop on the ground floor, and various living quarters above. The visit is supported by a small multi-media device (images, sounds) that provided heaps of information - perhaps even at times, too much information, as it was hard to concentrate on the device as well as the stimuli around me via my other senses. If you are interested in how Chinese Singapore came about, there simply isn't a better place to find out about it. Various family living quarters are explained in detail, as are various circumstances of the era (mid-19th to mid-20th century, roughly). A fascinating couple of hours, that could well have been even longer than that. Very highly recommended."
,,See how people lived in Chinatown in the 1950's,5.0,,"The Chinatown Heritage Centre is actually a museum that offers visitors the opportunity to experience life as it was for tenants living in Chinatown in the 1950's with a handheld multimedia device that shows photos, videos and sound. Located in a large old shophouse that has been converted into this large museum in Pagoda Street it is right in the heart of Chinatown.

The cost for adults is S$18 with the multimedia guide and S$25 for a guided tour and S$14 and S$20 for children respectively. Senior citizens can access free if accompanied by a paying visitor with an additional charge of S$3 for the multimedia guide. Inside the museum you can see a tailor's shop, rooms belonging to people practicing different trades in olden days. Other parts of the museum give you the feeling that you are actually in old Chinatown. You will see how cooks, shoemakers and other tradesmen lived, and there is even an old kitchen.

The museum is fully air-conditioned and very well laid out. With the multimedia guide I found that the visit took around an hour to complete.

I thoroughly enjoyed my visit and would highly recommend coming here especially if you'd like to get a feel of how people in Chinatown lived 50 or 60 years ago."
,,If you have time...just wander...,5.0,,This is so interesting to learn about the history of the Chinese immigrants. I love China Town and love the people there. It is definatly worth a visit ...but take your time...
,,An extraordinary place and Singapore not that long ago.,5.0,,"This is a remarkable museum, which gives you an insight into life in Singapore not that long ago: the 1950s. That really made me appreciate how far Singapore has come so quickly. Well worth a visit."
,,Worth a visit,5.0,,We visited the Hertiage centre and learnt so much about China town's history. Quite a few steps to climb. Well worth a visit.
,,Well worth a visit,4.0,,"What an interesting journey learning about the history of Chinese immigrants in the establishment of Singapore. Our group of 5 (one in a wheelchair) thoroughly enjoyed the time spent here, don;t rush it though as there is quite a lot to see & do. Allow 23 hours to cover the interesting displays & facts presented in various forms so it isn't boring in the least. The Staff were very friendly & helpful to ensure that our disabled friend could also access all areas of the centre."
,,Rude staff,1.0,,"Went there at evening time while passing by. So my friend and me decided to have a visit. However we did not realize it is closed with lights on and some visitors walking around around the entrance area. While we were planned to buy tickets,one of the staff just told us in a very rude way: we are closed if you realized. Well, if we know that, we will never stepped in. Very unpleasant experience with this place even though we have not went in."
,,A taste of early Singapore,4.0,,"In the bustling streets of current Singapore, there are many things forgotten of the olden days. But you can still have a glimpse of the early immigrants' lives in Singapore at Chinatown Heritage Centre. It's a little gallery that is housed in 3 shophouses, depicting lives of our forefathers...it's not to be missed when you are in Chinatown.."
,,Must visit,5.0,,We spent more than 2 hours in this place that offers a very interesting and interactive visit to learn more about the history of Chinese people who moved to Singapore. Really well done.
,,Outstanding Experience at Heritage Centre,5.0,,"We went to the Chinatown Heritage Centre yesterday and participated in a 2 hour tour with tour-guide Karen. The building itself is huge and amazing, with so much history, but the tour absolutely brought the whole history of Chinatown and the old shop-house to life! Karen was such a brilliant guide, balancing the history and stories with the wonderful displays throughout the centre. She was so fascinating, with so much knowledge of Chinatown, and with a great sense of humour as well. She was also incredibly considerate of my 70-something mother-in-law and made sure she could take the elevator or sit as needed. We were so glad we went and I will certainly bring visitors here when they come to Singapore in the future."
,,Another great activity if it is raining,5.0,,"Get out of the rain and enjoy this immersive experience with the audio commentary. If you're short of time, skip levels 1 and 2 and concentrate on everything on level 3. Would imagine it would take at least 2 hours to do the whole thing comprehensively but very well done and very informative. Really about Chinatown life from 1950's onwards."
,,History,4.0,,You get a feel of the history of Singapore & being able to physically see it made it much more interesting
,,Allow at least two hours for your visit,5.0,,"We really enjoyed our visit to the Heritage Centre and learned so much about life in the early days when up to a hundred people might share a property with very basic living amenities. From the front of the building, we thought it might be a half hour visit but there were so many rooms and so much to read about that we stayed for two hours. Well worth the 6$ entrance fee for adults.Great to hear about how the area developed with Sir Stanley Raffles re-locating different ethnic groups to different areas of Singapore and how Chinatown grew & developed over many decades."
