id,uid,title,score,date,content
,,Closed,2.0,,Japanese & Chinese gardens are closed until 2021 . Not really information for the tourist . We went to the garden and very des appointed to see the gardens ( both.....) closed till 2021 .
,,Closed until the end of 2021,3.0,,"We arrived there in the beginning of June and there was a warning about the Chinese and Japanese gardens being closed for the next two years. If you're planning to visiting the rest of the park, please use the Lakeside MRT station. The Chinese Gardens station leads to a dead end."
,,Good morning visit,5.0,,The Chinese and Japanese Gardens were lovely to walk round. Climb to the top of the pagoda for stunning views over the gardens. We were lucky to see a large lizard swimming in one of the lakes.
,,Very different from the SG botanical gardens,5.0,,"Really pretty, lots of exercise for walking the large and spread out gardens. It opens at 6 am and it’s free. I noticed a small sign that said much of it will close for renovations from end of May 2019 to 2021. Check to see which parts are still open before the trek out there."
,,New Jurong Lake Garden,4.0,,"A newly redevelop garden for all to enjoy their morning or evening walks. There is a children’s playground too if one is coming as a family. It’s a place for all occasions. Bird watching, exercise, barbecue, site seeing, etc. Definitely worth a trip with friends and family."
,,Away from the hustle and bustle,5.0,,"Well worth the 25 minutes or so MRT journey away from the centre of Singapore. The tranquility is a welcome change in this dynamic city. Very easy to get to, just exit the East-West line at the appropriately named Chinese Garden stop. It is very easy to spend several hours wandering around. The Bonsai area is both interesting and beautiful. Make sure you take plenty of water, the heat and humidity can be sapping."
,,Idyll in Singapore’s western heartland,4.0,,"These two themed gardens are located on two separate islands in Jurong Lake. They provide a leisure and recreational location in the west of Singapore.
In the latter half of 2019 these gardens upon completion of Jurong Lake Gardens these two gardens will become smaller themed gardens within the greater Jurong Lake Gardens that encompasses the Chinese Garden and Japanese Garden."
,,One of a kind in Singapore!,5.0,,"Very nice place to have a walk and take photos, maybe the only place in Singapore with such beautiful buildings and structures inside like the stone boat, twin pagoda, bonsai garden and the Japanese bridge. Have easy access to toilets in the garden. Highly recommended for anyone who would like a half-day out!"
,,Calm and healing,5.0,,the place is huge with super calming ambience where we can breath a fresh -clean air.. The pagoda were great.. everything were just lovely and gorgeous.. oh! and we found a super big Lizards! awesome! super quiet and maybe even good for meditation ❤
,,Tranquil,4.0,,"Don’t go here when they have a happening going on. Instead go here on a normal day when it is free.

The spot is a perfect getaway from the chaos in Singapore. It is mostly deserted so you can basically have it for yourself. Take in the atmosphere for a few hours and then move on.

Don’t bother trying to eat here you will only be disappointed."
,,Enjoy this tranquil place,5.0,,"This was our second visit here. This time we were here on a Saturday morning and there was some sort of event with lots of children around, so it was not as peaceful as our first visit! But we still enjoy this place. Very picturesque with lots of photo opportunities. The Chinese Garden is more extensive and interesting than the Japanese Garden."
