id,uid,title,score,date,content
,,Picturesque waterside restaurants,5.0,,"This place is another one to add in your Singapore to-do list. It's famous for its chic bars & clubs, beautiful riverside restaurants and little bit of flea shopping.
They have an impressive line up of various cuisines and I don't have to say much about Singapore food; they are delicious!!

Great place to visit with family and friends. One can grab a drink from one of the many bars or try some of the signature dishes. Or just take a stroll around to just absorb the energetic mood around."
,,Party time all evening and night,4.0,,"Clarke Quay has a buzz about it constantly. A bit quieter in the day it takes off as people head to riverside bars and restaurants. There is much aplenty, river cruises and every type of cuisine imaginable."
,,Always lively in the evening!,5.0,,"Our most recent short stay in Singapore saw us visit Clarke Quay on two separate occasions.
When we visited in the early evening, it was full of people out to enjoy themselves with a drink, snacks or a meal. There were also many people shopping in the shopping mall located adjacent to the quay. We had been to Clarke Quay a number of times in the evening during previous visits to Singapore and each time the area has been teeming with people out to enjoy themselves.
Our second visit to Clarke Quay during our most recent stay in Singapore, occurred late on a Monday afternoon. This experience was a complete contrast to our evening visit. There had just been a brief tropical downpour and not surprisingly, the area was almost deserted. There were also a large number of bars, cafes and restaurants which had not yet opened for business. Consequently, there was a completely different feel to the area.
The recommendation then is that to experience the true vibe of Clarke Quay, it is best to visit during the evening hours – quite possibility the later, the better!"
,,Expensive so look around,4.0,,"This place is beautiful but utterly expensive and beers are around $17AUD after happy hour. A bottle of Water is $6AUD and most restaurants sell or dont serve any water at all which I think is terrible. I guess they just want you drink alcohol. So BYO water.

So here's a little guide to help. There are bars like tipsy gypsy near the Clarke quay mrt that have 3 Heineken for $12. There is a 7/11 in boat quay which is just a short walk down from a bar called skinnys lounge that serves tap tiger beer for $5 which is the cheapest I saw. Outside is a seating area where you can sit next to the river drinking it too. There is a nice place called SQUE which is a long outdoor dining area at riverside (across bridge from Clarke quay) which has 1 for 1 drink specials all day up to 11pm i think. I picked up two tigers for $12 one night and my sister 2 cocktails for $18. That's cheap in this area believe me.
Food is also ridiculous at Clarke quay so if want a cheaper option go to Liang court. They have asian dishes between $5 - $15 and is right next to Clarke quay. I would also suggest visiting satay by the bay in gardens by the bay which was lovely and pretty cheap. Of course there is the food inside shopping malls too and this includes marina bay sands. Food court on lower floor.is large and cheap.

If you want to go there I noticed Boat quay seems like a bit of red light district with a few girly bars. There are many working girls at Clarke quay too especially at a bar called highlander which has an age limit for men (no men under 28 and now I know why :) Music was good but Beer here is about $17. Clarke quay is nice but so expensive and I have been to.tokyo and it's far worse than that. Good for a beer or two or a meal or two but wouldn't spend all my time there unless you are rich :)"
,,Good time on the River,4.0,,Night time is great with all the buildings lighted up and the boats playing the River. Can also catch live music especially on weekends. The building facades on one side is retained from when Quay was used as cargo dock. Plenty of restaurants.
,,"Great fun, senses overload!",4.0,,"This was an awesome place to go for dinner! It was great fun, wonderful lights, colours, smells and a fantastic atmosphere. Lots of cafes & restaurants to choose from. A definite must visit - even watching the world go by on the river was fun. The only thing which could have improved our experience was the volume - we were there for a meal with friends, early evening, not to dance - & the music was so loud we could barely hold a conversation across the table. That being said, if we ever return to Singapore - we'll definitely go back for another meal!"
,,Very good,4.0,,A nice collection of bars and restaurants with good prices. You can also enjoy a walk along the river and enjoy the scenery.
,,Fun evening on the water,3.0,,Clarke Quay is a nice place to spend the evening and get some more upscale food that doesn’t break the bank. The mood was fun and there was something for everyone.
,,Great dining area,4.0,,Clarke Quay is a great area for either lunch or a night out. Lots of restaurants and bars in a pedestrianised area alongside the Singapore River
,,Very stylish,5.0,,"Clarke Quay is a myst see if you are going to Singapore.

It was created initially as a group of 1950s chop houses but now it is colourful and cosmopolitan and us a dream to see from a boat during the evening.

You can walk around the shop front with say and night stopping for a drink or something to eat. There is something for everyone.

At 8pm you will see the fountain abd light show in the water ..... don't miss it. It's free and is set to music. Put it on your bucket list."
,,Great entertainment district,5.0,,"Something for everyone. Restaurants, bars, music......people watch or just walk along the water enjoying the lights on the buildings."
,,"Sherin Nafie Cairo, Egypt",4.0,,Clarke Quay is an amazing place that comes to life in the evening. Lots of restaurants & bars serving international food. I enjoyed tte lobster salad at TCC (The Connoisseur Concerto). Great place to take a stroll in the evening & enjoy live music. We took the river cruise from there & all of us (adults & teenagers greatly enjoyed it.
,,Fun place,5.0,,We visited to have a look around and decided to go on a night cruise. After the cruise we went to a bar and got a cocktail as it was happy hour
,,Do not miss a visit here,5.0,,This area of Singapore is sublime . There is so much to keep you busy from great river trips to eating places old places to view and new. great both in the day and night .
,,CLARKE QUAY,4.0,,"This is a great area to wander around in the evenings with a vast choice of restaurants - many of them on the river. The visual night delights of lights, boats etc add to the atmosphere. Beware though when ordering meals - what sounds reasonable can quickly become over priced as the rates quoted on the menus do not include the 24% tax."
,,Nightlife at its best,4.0,,"If you like music, pubbing and don't mind crowd then this is the place.. Choose your music and place.. Recommend Crazy elephant if you've crossed the dancing phase of your life and prefer your drink, live band and some good rock."
,,Ambiance,5.0,,So many bars and restaurants to check out. Give yourself lots of time to explore and stroll the different venues. Food from all over the world. Live music is everywhere.
,,So mamy SUAT BUT !,5.0,,Clarke QUAY is the best to relax in Singapore Variety of Foods almost all international kitchens in the presence of people from different cities of the WORLD
,,Comes alive in the eveni,4.0,,"Very quiet during the day - struggle to find a bar or restaurant open , but in the evening / night it comes alive and is really worth a visit"
,,Go there at night!,4.0,,"The few nights I was in Singapore we always went to Clarke Quay to drink at one of the many many bars. There's really something for every taste, food and drinks wise. Either you can sit outside one of the relaxed pubs half the night and drink your beer, or you hit one of the clubs and dance the night away with locals which are welcome like they knew you 10 years already. If you wanna get to know Singapore's night-life in a excited but safe environment this is the place to go."
,,Must Do,4.0,,Another part of Singapore that is on the must visit list is Clark Quay full of bars and eateries and colourful buildings set on the river either visit during the day (not as crowded) or at night when the area is s lot more livler
,,Lovely Area for the evening.,5.0,,"Absolute fun for the evening after spending a day at the Zoo or somewhere else. Great walk by the water and lights. There are tons of restos, amazing lights and laser and music playing around the places. Nice to walk around the area. You will see many eateries, the turkish ice cream man. Most places are sea food eateries so there might be less option if you are vegetarian or vegan. But you can manage. The river cruise is absolutely a must to do. Really great place for the evening."
,,Great spot,4.0,,"Great spot to walk thru and get happy hour drinks. They say happy hour but it’s an all day happy hour price. Some places are reasonably priced, other places are ridiculous. Food can be very pricy so do your homework. Get off the main drag for cheaper food. The seafood is charged by the weight so be careful."
,,Great place to spend and evening!,5.0,,"This place is buzzing with great restaurants, bars, boat trips, view points and, in the early evenings, really nice lighting. There are also fun fair rides and a giant bungee pod.

This is a good place to relax at the end of a hard working week."
,,Night life hub,5.0,,"Clarke quay is a night life hub in Singapore.
You will find pubs and bars here.
Pub/bar hopping is the best thing you can do here.
Loud music, lights, food, drinks and friends.. perfect evening.
It's filled with tourist and locals.
Enjoy the cool breeze and a chilled beer.
Loved the vibes here."
,,Great nightlife,5.0,,"We went out to Clarke Quay on a Thursday night and weren't sure what to expect, but it was absolutely packed. The bars were all heaving and the atmosphere was great. We particularly liked the Scottish bar which was free to enter and showed live music then had a DJ later on."
,,A great place to be.,4.0,,We were staying at Clarke Quay at the Park Regis hotel. Clarke Quay is great for bars and restaurants. So much choice. What ever your tastes Clarke Quay can accomodate you fully. It is a pricier place to visit as it is so popular with people. There is always a vibrant buzz especially in the evening and can get very busy at weekends. Very colourful at night. Worth taking a boat trip along the the river with a camera. Well worth visiting.
,,Great place to catch a cruise!,4.0,,"We were here during the day so it was rather tame, but is surely hopping at night. We caught a Singapore River Cruise from here. The downside of Clarke Quay was that we were hassled by touts there more than anywhere else in Singapore."
,,Fabulous vibe!!!,5.0,,There are many restaurants and bars on the Quay for you to select from or can do a bit of a bar hopping which we did one evening. It is also lovely to just walk along the Quay and enjoy the vibe... There are little bridges and quiet areas to sit and enjoy an ice cream!! There is an ice cream vendor - a Turkish Ice cream cart - worth watching his display!! It is quite an entertaining the way he serves his ice creams!!!
,,Great Night life!,5.0,,This place is a thing of beauty with all lights on! A must visit while you are in Singapore to enjoy the night life and vibrant nature of the city.
,,Must visit,4.0,,"A must visit heaps of bars and restaurants. Can catch a bum boat from this location. Wear some comfy shoes. If you are more adventurous has a reverse bungee jump,good luck."
,,Great for nightlife,5.0,,"So many things going on here. From the giant bungee swing thing, to river roar cruises, bars, restaurants and nightlife. Clarke Quay is the place to head in Singapore for some nightlife."
,,Come for the nightlife,5.0,,"This place is pumping at night!
You have plenty of bars & restaurants to choose from and it’s easy to get to via the MRT!
We came here a few times during our singapore trip as it was so close to our hotel and were never disappointed.
We drank, we ate and we even got to enjoy the live bands and cuban dancers!
Definitely recommend adding this to your list if you ever in singapore!"
,,nightlife,5.0,,everything you would want is here eating clubs happy hours live entertainment a very vibrant place to people watch have a few beers or just watch the boats going up and down the river but be warned this is a very expensive city so work out how much you think you will need and double it
,,Lots of options,4.0,,"Clark Quay is a good place to visit on the weekends, as there are a lot of places to eat and drink.

It is a bit expensive and a worthwhile place to visit, as it has a great atmosphere/vibe -not for those who prefer a bit of peace and quiet (visit during the day as it not as hectic).

Have a meal near the water and enjoy."
,,Best place to be seen on a Friday night.,4.0,,The number of bars and establishments that offer nocturnal entertainment makes this area the best place to spend a Friday night with friends and fellow visitors to Singapore. Be sure to enjoy Tiger Beer in the area as there are promos or freebies being given to lucky patrons.
,,Many options,4.0,,Nice place with several excellent options of food. You can have a nice steak or a chili crab! Also Brazilian churrascaria and Spanish Tapas are options available. Beside the river is nice.
,,More Than O Quay,4.0,,This is a great place to go for food and entertainment. The quay is loaded with places to eat with indoor and outdoor dining. Plenty of pubs so you can watch a game on TV. Several places also had live music to listen to. Most of the area is covered from the rain and sun. You can also get a boat ride on the river if you like or your kids can play with the water fountain. At night there are also several clubs to go to.
,,Gone downhill by going upmarket!,2.0,,"This place used to be so good to visit with many hawker stalls, lots of sateh, market stalls, even an Indian Elvis! Now all that has gone and there is just a group of overpriced noisy restaurants."
,,SO Lively,5.0,,Yes...its so lively and food lovers gathered beside the river and had their foods and gossiping.Must visit to there.
,,Amazing place amazing food,5.0,,This place has a nice and cozy ambiance and the food was served in big portions. The Chinese cuisines here are awesome!
,,Great for sightseeing,3.0,,"The last I was here was probably 15 years ago! Clarke Quay is mostly about two things, strolling along the river and food. My favourite thing to do at this place is of coz strolling along the river and sitting along the river. The nearby shopping mall are Clarke Quay Central and Liang Court. Eventhough they have a lot of restaurant and cafe along the river, there aren't many restaurant that cater for muslim (halal food), so its quiet difficult for a muslim to dine in at this area. Clarke Quay offer a river cruise along the river. Eventhough its quiet expensive, its worthed to try."
,,It's party time,5.0,,"People who love to party... This is it. Has a huge list of restraunts and pubs, live music, you will be never thrown out for choices, this place can give you what you want. You can hop restraunt and party till 1 am on a weekday. This place has a very positive vibe."
,,Not an afternoon spot,4.0,,"We went in the afternoon and while it is a nice area, not much going on in the day. Would need to go back in the evening. Close to MRT, so easy to get to. Also walking distance to Chinatown."
,,Great choice,5.0,,Could not wish for a better choice of restaurants and bars in or one place. Clean safe and easily accessed. Highly recommend..
,,Great place for meals and entertaiment,4.0,,"If you're wanting to experience modern Singapore, then Clarke Quay is the place to be. Do not come here if you want to see historical singapore. The quay has many restaurants and bars to enjoy a good night out. I cycled here on a saturday morning, and it was fantastic. Came back in the wee hours and the place was well and alive. Prices, as expected, for a night out is on the dearer side."
,,Awesome location,5.0,,"Spent 6 nights staying here. The location is awesome. So close to restaurants, bars and public transport. Well worth the stay."
,,Dining and entertainment spot,4.0,,"Another historic wharf turned into a dining and entertainment spot. There is a lot more going on here than at Boat Quay, with much nicer restaurant and shopping options."
,,Tourist trap,3.0,,"Clarke Quay is your typical waterfront tourist trap with none of the charm of a place such as San Antonio. The brightly painted colorful buildings evoke images of Malay/Indian areas like Hajj Street and Bo-Kaap in Cape Town, but have none of the authentic charm.

There's a slew of bars, restaurants and clubs that cater to wealthy tourists, expats and those of their ilk with prices and options to match that clientele. I might have liked this 15 years ago, but it did very little for me."
,,Singapore’s Soho!,4.0,,"Clarke Quay is the best place in Singapore for a night out! Sort of the Soho of Singapore! With loads of restaurants and bars this place is colourful, vibrant and full of life!"
,,Fun and fiesty,4.0,,Lots of fun bats and restaurants to visit here. Afternoon into night as the sun is setting to get a seat and have a few sundowners.
,,Very good place for a night out by riverside,4.0,,Nice place to do pub hopping. This place is very lively in the evening with spectacular light displays. You can enjoy your dinner in one of the riverside restaurants. One of the starting point for River cruise is Clarke Quay. You will find live music in plenty.
,,Awesome place,5.0,,This is a great place for an afternoon or evening drink. Loads to do and see with some fantastic photo opportunities .
,,Lovely ambiance,4.0,,We went this place one night on our stay in Singapore. The night lights are so beautiful. There was music and dance all over. We really had a nice time. A must see at night.
,,lovely place to spend an evening,4.0,,"Situated on the side of the river Clark Quay is packed with bars and restaurants , so may places to eat and drink you can come back every night for something different , just a great place to relax and take in the atmosphere, we also took a river cruise one night which was very good"
,,My favourite place in Singapore,5.0,,"I love Clarke quay!
It has everything - shopping amazing restaurants , great bars atmosphere and pretty lights !
We came here our first night and brought friends back the second night - we lived it so much !!
Many choices for food , fabulous atmosphere and set on the beautiful water
Just stunning !!"
,,A must-visit for live music and nightlife,5.0,,"We were blown away with how many great bars with live music there were at Clarke Quay and will certainly be back again next time we’re in Singapore. There’s something for everyone in a great setting along the canal/river which is still compact enough that you can wander past just about all of the dozens of bars before settling on your favourite. Alternatively, spend the entire night doing a bar crawl and checking out the music!

The area draws a really eclectic mix of people of all ages and with different interests. You can go proper clubbing or you can just as easily sit at an Irish pub and listen to some classic pub tunes.

Most places are open until the early hours of the morning, so visiting Clarke Quay is something you can do without any trouble if you’ve got a dinner reservation elsewhere in the city.

It’s highly recommended for anyone visiting Singapore!"
,,So many food options,5.0,,"Personally I think a great choice of location for dinner out. Super easy to get to from the MRT station and so much variety.

Can choose something with a view over the water or inside the covered area for people watching.

Was here during one of the football matches and they had a large screen playing this for those who don’t want to miss out."
,,Wonderful for a night out,5.0,,"Great bars, fantastic vibe, live music, good food. Seems to attract a younger crowd. It gets really busy so come early to book a spot at your favorite place."
