id,uid,title,score,date,content
,,Full of activities and food,4.0,,"A place where you can get fresh air, cool breeze, lots of sun, greens, sands, long beach and very clean. You can jog, run, skate, cycle, flying kite, canoe, cable skiing, picnic, barbecue etc at this place. That is how huge and long the whole East Coast Park. You can spend the whole day here. There are many cafes, restaurants and fast food. If you are on budget or want to try the true blue local cuisine, dine at the East Coast food centre. Over there, food is cheaper, more varieties and delicious too. It sells all kinds of local cuisine. And the stalls open day and night. One reminder for tourists --- if you want to buy BBQ seafood at the stalls, ask and confirm for the price first before ordering."
,,Rent a bike and take a ride!,5.0,,"As other reviewers have said, the park is huge and has lots of things to see and do.

We rented bikes for 3 hours from the rental house in area B then rode all the way up to F and back. made stops at the hawker center to grab a snack and a beer, stopped to watch the wakeboarders in the lagoon, and later the skateboarders and scooter riders at the skatepark. on the way back hit the McDonalds for ice cream and stopped at playground next door to keep the kids happy.

Overall a great way to spend the afternoon and see a different, more relaxed, and breezier side of Singapore."
,,Beach park...fun...,5.0,,"Along the 15 km stretch of beach , you will find cyclists enjoying sea breeze. Cable skiing and water sports are for fun"
,,The City Beach!,5.0,,"City beach. The city’s most popular beach always is full with activities at all kinds – BBQ, overnight in a tent, and other sports. In total a wide spectrum of sporting events that you can see and/or participate, like the Singapore Marathon, just today the Singapore Triathlon and other Xtreme Championship."
,,GET COOL AND FRESH AIR,4.0,,"An open air space for Morning Walk, Jogging, Evening Walk, Cycling, Roller Skating and all sorts of fun activities. We visit quite often, last being on 18th July 2019. The sea-breeze is really refreshing"
,,Sea view,5.0,,Nice and beautiful view and air It was first time visiting here I really liked this place Can running and cycling and walking around I enjoy love to visit again
,,What to do ! This is all what we have !,5.0,,"cycle to the end of the TOP of East Coast and hit the beaches where the pine trees are ... bring your own trash bag and clear whatever spot
That you are sitting around .. with such hot weather in July and August
This is the best place to chill .. try to teach your kids to stay quiet .. the upper beaches are more for the tranquil sorts ... hush
Though I was astounded last week when I saw the grass cutter chopping up the styrofoam white boxes that were left by the fishing enthusiasts or whatever that was left ashore and gotten blown towards the green areas .. I manage to hail a nice lady who works for N Parks who promise me the park squeaky for National Day .. the other beaches are best reached by boat .. sisters island and by car Tanjung Rhu .. Singapore beaches have improved tremendously though I must say as a child it was more natural where Singapore’s airport is now located we had the most incredible beach in the old days .... gone gone gone .. by the way I love the beach on Sentosa .. go hunt Tanjung Rhu on Sentosa island
The waters are not as nice and clear especially high tide as the upper reaches of the East Coast where the pine trees are grown and if you see the grass cutter chopping up these styrofoam boxes on the grass please tell him not to ! # national Parks of Singapore please take note"
,,my favourite park in singapore,5.0,,"East Coast has always been my favourite place to cycle in Singapore.

Love the fact it's not on a road and you can go all the way from Marina Barrage to Changi Village and back

Nice atmosphere here too with lots of restaurants and bars here

Just a great place to visit."
,,East coast food centre,5.0,,I frequent east coast food centre weekly. Enjoy good and reasonably price local food. Free sitting open air facing the sea. Good range of good price beers
,,Nice park,4.0,,Nice relaxing park with restaurants and shops near by. I enjoyed my time here and found it relaxing.
,,My Kids Loved it,5.0,,"This place is not a priority for a lot of tourists but if you have Children and have some time to spare this is a low budget Paradise for families. Unfortunately there is no MRT station nearby so you have to take the bus from one the MRT stops nearby or a taxi. There is no entrance fee this is a huge public park situated along the shore with beautiful clean beaches. We were lucky the day we went was cloudy so we spent the whole day here. Marine Cove Playground was the highlight for the kids which is a huge open play space with slides and small obstacle for the kids. The beaches here are so peaceful we went on a weekday so it wasn't busy at all the kids loved playing and running free on the beach. A lot of locals come here for Barbeques and Camping. There are running tracks and cycling tracks you can rent bikes ride around. There are many places to eat there's a Hawker Centre some very Famous Seafood Restaurants and also fast food places. The park is Beautiful, Clean and just unique definitely worth a trip with kids."
,,Fantastic oasis in this busy city,5.0,,"ECP was not the sort of attraction we would have covered as mere tourists. But we were lucky to have local friends with inside knowledge who took us first thing to ECP on our 8 day trip to Singapore. The park has a bit of everything, a pristine stretch of beach, walking and cycling tracks, open air bar-be-ques and restaurants. We hired cycles and traversed up and down the length of this park, tiring but mighty fun. There is a hawker center, a pub and stand alone sea-food restaurants scattered in various parts."
,,Great park!,4.0,,"Visited the seafood centre and there were many restaurants to visit. Ended up eating at the Jumbo restaurant. Took a walk after our dinner, there were local folks having a picnic near the sea overlooking the ships and its lights. There was a local hawker stall food centre nearby offering many local dishes such as noodles and satay. There are toilets located all around too, although there are not the cleanest."
,,Locals dinner,3.0,,As our friends live in Singapore they took us here for dinner. We went to the hawker section so much choice and prices very competitive. I lost count of all that we ate it was all very tasty . Please go and enjoy get a table first then go and explore. Afterwards we walked to the end of the jetty good way to finish .
,,Beach Park,5.0,,"Park has chalets , food centres and amenities for various activities. People can do fishing here. Cycling track also available."
,,Nice area and there's a parkrun on Saturday mornings,4.0,,"Nice area for a walk, run or bike ride. There's good flat shared paths and if you're registered with Parkrun there is a parkrun here every Saturday at 7.30am. Make sure to take water as there are no water drinking facilities, hence 4 stars instead of 5"
,,Pleasant area,4.0,,Thought we would check out the beach in Singapore so took public transport from our hotel near Little India. Fairly easy to navigate once we got the hang of the buses. Popular spot with hiring of bikes available. Great to see the diversity of people using the space and the view of shops was interesting.
,,Lovely place specially for jogging,4.0,,"Lovely Long beach and offer multiple options .. eating, running, Cycling, Swimming etc Nice food options"
,,Beach at Night,4.0,,"Fantastic long stretch of beach for strolling, jogging and enjoying seabreeze. Popular area for couples, friends and families enjoying picnics, bbq, glamping. Sometimes u see outdoor movie screen put up too. Safe at night. Lots of outlets to buy food and drinks (may not be cheap but enough options like hawker centre, food and bicycle kiosks, cafes, fastfood, restaurants) but where else can you stroll at 9pm on Saturday night safely in the world, especially along a beach. Not encouraging swimming, not that kind of beach facilities."
,,Lovely afternoon,4.0,,"We visited on a week day and there were very few people about. The place was peaceful and relaxing. Hot on the beach, but lots of shade under the trees behind. Amazing to see so many ships at sea. Only a few food places open mid week. Imagine it is crowded at the weekend. A walking and cycle path along the coast."
,,Great Park,5.0,,"Just spent a lovely day at East Coast Park. So much to see and do. You can’t visit without trying out the Hawkers food. There weren’t a lot open at lunchtime, but the food we found and has freshly cooked was scrummy. Great value too. Take a walk along the beach or grassed areas or hire a bike. Our children enjoyed wake boarding while the adults chilled with a drink at a bar. The only challenge to the day was getting a taxi back to the hotel. Hardly any around in the day. Great day though."
,,Some chill out therapy,4.0,,"We had a bit of time on our hands and decided to go to East Coast Park on the advice of a friend. We took a cab (they are so cheap in Singapore) .. it's on the road to Changi Airport.

The cabbie took us to where there were some hawker food stalls and heaps of places to sit. There are undercover tables and chairs all over the place.

First things first, we ordered a bucket full of ice and bottles of beer and then, one by one (there were four of us) we would each go to a food stall and come back with a plate of heaven ... there are different cuisines, Malaysian, Cantonese, Singaporean .. pork, steak, noodles, seafood ... you name it, they had it.

As we were eating and drinking, we were taking in the surrounds and the people .. so relaxing .. there was a Chinese guy, he would have been at least 80, bald on top with the hair on the sides of his head reaching his shoulders, 8 inch beard ... and he was in full Lycra riding a cool road bike ... this is a favourite place for cyclist going by the number there.

The view from the beach was a bit industrial with countless tankers and container ships moored offshore but the water looked nice and relaxing.

There was a tow skiing place just down the beach and a bit of a fun park with restaurants and other amenities.

Overall we enjoyed our day in the park and will certainly go back the next time we are in Singapore .. so find a cab and go there and just veg out for a day."
,,5 stars if you wanna cycle,5.0,,"I love cycling on this route, it's so windy, roads are wide enough for cyclists! Such a relaxing spot. I cycled numerous times from Marina Bay Sands all the way to ECP and onwards to Changi Village for nasi lemak. Roads are well connected and safe. Very memorable ride indeed."
,,Natural Sanctuary amidst a bustling city,5.0,,"ECP is a place that can mean different for different people. It is a haven for cyclists, runners, skate boarders and also a leisure resort for families to enjoy food and beach and can also be an unique destination for photographers"
,,Usual Park,3.0,,"This place is Ok for a walk or bike ride. The food village is fine. Personnally a bit dissappointed by the place, as I thought it would be something a bit more special, but it's just a usual park."
,,Wonderful place to chill out,5.0,,"To be precise, this is not a spot in itself but is a stretch along the east coast of Singapore.

If you have the time, you should explore running, walking or cycling along this stretch along the beach. Be rest assured that you are not alone as many locals and foreigners enjoy coming here for the sun, sand and sea.

If you are wondering where to start, then I would suggest that you begin your day of outdoor fun where the McDonald's is located.

Around that area, you will be able to rent bicycles, roller blades, and even canoes. If you feel like having a BBQ, you can also rent a pit along the beach. Do note that prevailing or pits is required and you can do so through the Singapore National Parks website.

Make sure you come in comfortable gear to enjoy this wonderful outdoor place."
,,Singapore's largest park- and one can swim or camp!!,4.0,,"This Park has a very interesting background, inasmuch as it is very large and built completely on ""reclaimed land and beaches (where one can swim)"". The Park also has a 15 kilometre long cycling and ""in line skating"" track (where bicycles and skates can be rented). The track also connects to several other very enjoyable Parks! For those who love camping--- there are facilities provided (and one must buy a permit). The park also features wonderful Singaporean ""Street Food"" located in a Food Court. There are also many scenic places for picnicking! TripAdvisor has awarded it the ""Certificate of Excellence"". This a most interesting and memorable place to visit--- and it offers another perspective/ side to Singapore's many excellent attractions.

I hope that this Review has been helpful."
,,Fantastic area to walk,5.0,,"This is a very long stretch of beach which extends from the Barrage almost to Changi. A beautiful green strip with playgrounds, grass, jogging and walking tracks that is not particularly easy to get to unless you have a car. Access to bus/MRT is not particularly easy. However it is rarely crowded during the week, a peaceful place to relax. There are numerous places to eat and drink along the way. The beach is surprisingly clean and the water is calm so there is no issue for swimming with kids. I don't think many tourists come here, as most of the people we saw were locals, and some school groups. Definitely worth spending some time here if you love nature."
