id,uid,title,score,date,content
,,Quirky and colourful,5.0,,"I particularly enjoyed the Flower Dome for it's quirkiness and colour. The cacti and succulent section was also particularly interesting for me as it reminded me of an alien environment, other-worldly."
,,loved this place,5.0,,"its a great place, do search for the hidden alice in wonderland can take photo with them. really enjoyed the place"
,,Incredible,5.0,,"Awarded the largest glass greenhouse in the world, I loved this spectacular dome. The temperature is nice and cool, air ... fresh. The vast flowers and plants species are incredibly healthy and beautiful, each name tagged which is great for botanical enthusiasts. And the whole dome sets a beautiful backdrop for photos both day or night."
,,An outstanding attraction,5.0,,"We were amazed by the actual dome structure for a start - an engineering marvel - but the range and variety and magnificence of the trees, shrubs and flowers ( especially the orchids in myriad colours and forms) in the dome were breathtaking. We spent hours there and would have liked to return. It was one of the best flower displays we have ever seen- at least rivalling the Chelsea Flower Show.
It was also excellent to be able to have lunch in a cafe inside the structure as well."
,,DO NOT MISS THE ORCHIDS,5.0,,This was our second visit to the Flower Dome. We found new array of flowers than those we saw last time. Really magnificent. The orchids on display were best liked by my family members.
,,Nice but not so impressive as the Cloud Forest,3.0,,"I bought a combi ticket for around 20eur which provides access to both the Flower Dome and the Cloud Forest. No need to make an advanced reservation. The Flower Dome is nice for a short stroll, but is not so impressive as the Cloud Forest. I had a combi ticket, but if you would have to make a choice in between one of the two domes, go for the Cloud Forest."
,,Lovely display of Roses,5.0,,"We visited the Flower Dome during the Rose Romance display and it was well presented - it was near the end of the event so some flowers were a little passed their best. There are a lot of other permanent displays and many other special events during the year. The building which houses the Flower Dome along with that of the Cloud DOme are impressive in themselves and a great addition to Gardens by the Bay.

On a hot sticky Singapore Day it is well worth a visit as there is interest for everyone to enjoy."
,,"Impressive Orchids, International Plants and Garden Displays",5.0,,"The orchid display was on during this visit and was really stunning and informative. As always the various gardens from around the world, including Australia, Africa, and South America are well maintained and impressive. I noticed visitors of all ages including many schoolchildren and everyone seemed to be enjoying their visit. As well as facts for gardeners there are displays directed at families and children, and an interesting Alice in Wonderland garden. I have been before and would go again."
,,Beautiful Gardens,4.0,,The visit to the flower dome was lovely with spectacular gardens representing various regions on Earth. Well worth the visit if you enjoy plants and gardens.
,,Beautiful - Gardens by the Bay dome,5.0,,"One of the two domes in Gardens by the Bay. The displays are absolutely beautiful, beautiful plants and flowers with sculptures, wood carvings and lots of other little artistic surprises. Not to be missed, well worth the entrance fee."
