id,uid,title,score,date,content
,,An oasis of peace in a busy city.,5.0,,"This park is conveniently located and is well served by public transport. If you have trouble walking, it may be better to catch a taxi to the Fort Canning Hotel and wend your way down on the many paths that take you to the various attractions.
The park is on an historic hill which was the site of the 14th century kings, Raffles house and the army command centre where the decision to surrender Singapore was made in WW2.
So much history.
There are nine gardens including Raffles Garden and the Spice Garden. Sang Nila Utama Garden is a must see with its flowers, ponds and statuettes.
Winding paths and steep steps help you navigate through this magnificent park. Expansive lawns, brilliant flowers and impressive trees - something for everyone."
,,A must see in Singapore,5.0,,"The world media has covered Singapore's efforts to go green very well. There are vertical gardens along building surfaces, old trees line up major arteries, etc. However, there are also beautiful parks in the midst of the city. Fort Canning is one of them, with historic value to boot. It's a must see in Singapore, with its beautiful gardens, well-tended lanes and elegant trees."
,,Bicentenial singapore,5.0,,"Excellent exhibition n acts to share how singapore arrives till now. Book tickets now, ending in september. Great!!"
,,Singapore Bicentennial Celebration,5.0,,"It was a steamy afternoon in the park as I walked around looking at the hotel, the original entrance gate to the old fort and the outdoor Keramat for the last ruler of Singapore.

Thus I was quite happy to have stumbled across Singapore’s Bicentennial Celebration being held in the main building in Fort Canning and get some needed AC. As luck would have it tickets had to be reserved in advance but I put my name on the waiting list anyway. They said it could be awhile but I was called within five minutes! For free admission, well worth it!

The celebration show was a great production combining both live acting with innovative stages and great sound and video. The show progressed from Singapore’s original settlement, its first ruler, WWII and then all the way to the present. It was a celebration not only of the country but its diverse population.

After the show I wandered through some of the open air exhibits in very unique structures. Books, maps and other items were showcased.

The other parts of the park to enjoy was behind the Centre with its large open lawn great for picnics or just hanging out, beautiful gardens, the overlook with canons and and the out of place headstone and monument remains of an old Jesuit cemetery."
,,Short cut but most informative,5.0,,Took a shortcut from Clarke Quay to Dohby Gourt Station. Thought it would be gust a walk in the park but turned out to be an excursion all of it own. Follow the signs from the bridge at Clarke Quey walk past the Mica Building which was apparently the first Singapore police station and later used as an interrogation centre by the Japanese in WW11. Clime the steps up to Raffles House and the lighthouse. The walk takes you past the old Fort with its WW11 Bunkers. If you are feeling flush you can have high tea at Hotel Fort Canning before dropping down to Orchard Road.
,,Jogging in the middle of Singapore City,4.0,,"Just near Orchard Road and City Hall MRT Station, Fort Canning offers a relief to those wanting some view of nature in their morning run. Quite a historic site. A round could take about less than 2km"
,,Country’s one of historical landmarks,4.0,,"The park, a 18-hectare space is chock full of attractions—from ancient artefacts for history buffs to outdoor lawns for concerts, and of course, greenery for nature lovers. The charming boutique Hotel Fort Canning, also lies here.
It’s a great place to unwind and become in sync with nature. Moreover there are also a number of trails the park offers."
,,Historic walks,5.0,,A must walk in Singapore as we celebrate The Bicentennial of Sir Stamford Raffles in Singapore 🌻🙏💐
,,An adventure discovery afternoon,4.0,,Walk around the Fort Canning Park and you will discover many interesting historical stuff that will definitely broaden our knowledge and increase our knowledge on the history of Singapore in the early days.
,,Lovely park on a gentle slope,5.0,,"A clean, well sign posted public park with a lot of history. Remnants of cannons, a lighthouse, a flag mast and an empty house are shown from the early days when Singapore was a British colony. There are loads of named plants and trees along the paths. There are also a number of themed areas that are beautifully put together."
