id,uid,title,score,date,content,,
,,"Unique experience, beautiful gardens.",5,,"I really enjoyed a long stroll through the Singapore Gardens by the Bay. Gardens is an understatement, it鈥檚 gardens, monuments, unique trees, rein forest under a dome and much more. The artificial flower towers are amazing. I really enjoyed the huge Rain Forest and Flower Dome museums. Not sure if museum is the right word to describe them. The Cloud (rain) forest is a real rain forest under a huge dome. Inside, 6 or more floors high, you enjoy a walk thru a huge variety of rain forest vegetation including amazing flowers, trees, greens and moss. The orchid garden is amazing and orchids and a variety of other unique and beautiful flowers are everywhere. In the flower dome, one can see every type of cactus and baobab tree imaginable and flower and greens gardens from every corner of the world. I really enjoyed the cactus and baobab collections. Never seen anything like this in any botanical garden around the world.",,
,,Re discovering Singapore la !,5,,"My husband and I visited Singapore after 18 years... .that s quite a while . So truly it was an exciting 3 days discovering the new spots in this city state . Gardens by the Bay with the sound and light show is spectacular And I am being master of the art of understatement when I say this !! .The show had us all reverted .

There are lots of cafes and restaurants around .There is a great touristy buzz around the area A must visit in Singapore
An artistic tech show .",,
,,Interesting light show,4,,"Interesting light show , worth seeing, but lots of people, go early , see in daytime and wait for show",,
,,Beautiful and free (price-wise)!!!!,4,,"Take a camera, you won't be disappointed. The walk back to Bayfront MRT station is a lengthy one so take some water.",,
,,A must place to Visit in SG,4,,"This is the place where i keep on coming everytime i go to singapore. However you may want to check the ""current"" season in The flower dome before you decided to purchase the ticket.. So far I've Enjoyed Tulips the most.
Suggest that you come later in the evening when the weather is not so hot as the flower dome can be a bit too hot under the blazing sun (its a glass house afterall :P).

Once you've completed touring The flower dome and the cloud forest, you may purchace the skybridge ticket nearing sunset time and enjoy the sunset view of marina bay sands and the SupertreeGrove.",,
,,Light Show,5,,This place is amazing to go at least once and check out the flowers and please do not miss the light show at the end. It definitely worth it.,,
,,Our family loved it,5,,Beautiful place. We brought tickets for the both domes. All I can say is you will thoroughly enjoy both domes. Plants from all over the world and they are so celebrating Christmas. The cloud dome has an amazing waterfall in It. We saw the gardeners abseiling down to plant plants and do weeding. Orchids were beautiful and so well kept.,,
,,Gardens by the Bay in Christmas mood,5,,Amazing light performance during Christmas season with a Christmas market full of dining options and a surprise at the end of the show!,,
,,Don't need half a day here,4,,"Great experience and glad we visited. definitely spectacular!
Very cold inside so be prepared. Didnt need half a day here as most people told us. We went through at a casual pace taking lots of photos in about 2 hours.
We went onto the cloud gardens after and that was another an hour at least.
No good coffee places here for lactose intolerant folk like myself. Disappointing after i needed a coffee after walking around for hours and freezing cold hahaha Oh well. minor complaint. Worth a visit overall and good value considering the maintenance costs they would have on such a place.",,
,,Amazing Garden Rhapsody Show,5,,"This is a must go spot if you are in Singapore! I highly recommend to go in the later afternoon to visit the Flower Dome and Cloud Forest (both are amazing with different features) and then in the evening, stay to catch Garden Light show at the Super Trees area!",,
,,Great and educational,5,,Perfect to visit while in Singapore. Many different varieties from around the world. A don't miss activity.,,
,,Amazing place,5,,Beautifully managed and cared for. Massive area to view and a good half day visit to see the main attractions.,,
,,Fantastic must see place,5,,"This is a wonderful place. The gardens are spectacular and the indoor gardens and the giant waterfall are incredible. Just visit it, you will not be disappointed",,
,,A must see in Singapore,5,,"We have been staying a couple of nights in Singapore before we board my husbands 50th Cruise to Bali and then Sydney.
We spent half a day exploring this amazing place yesterday.
It is a must see it is hard to believe that it is man made!
The Cloud Forrest was my favourite as we could have spent all day in there.
Tip - If you feel the cold take a jacket as the temp is quiet cold inside due to the air conditioning and waterfalls etc.

Earths new man made Garden of Eden!!

:)",,
,,Amazing experience,5,,A must see experience. The light show was great. We went on a tour to the gardens and Mariner Sands hotel.,,
,,A must visit site especially in the evening for the light show,5,,"A fantastic place to visit, fantastic evening light and music show at the cloud gardens, lovely park and really good indoor gardens that are well worth a visit",,
,,Amazing Experience,5,,"Visited both domes & the sky walk, the variety of species was amazing & all were clearly named & described.Definitely a not to be missed experience when in Singapoer",,
,,Must visit,5,,"Caught a bus to the gates from the hotel, rail may have been cooler, the day was hot and humid with rain forecast. As the two ""main"" areas were inside the rain wasn't an issue, however, if you have a head for heights don't miss the aerial walkway between the artificial trees. The path is very stable so if you can handle the height but not the swaying, you should be good with this. There is an additional cost for this but it is well worth the small expense. The Cloud Forest was my pick of the two indoor areas purely because of the waterfall; I am not saying either display was better than the other, I just like waterfalls. Outside you have larger and more robust (?) specimens, just as much colour, birds, bugs and lizards as an added bonus. We exited across the walkway to the Marina Sands having a birdseye view of the lakes and fountains.
Expect your camera to fog up so take the necessary wipes and pack your macro lens !!!",,
