id,uid,title,score,date,content
,,"Review by Dr H C Matthew Sim. Tourists should Visit. Free Entry. However, very Hot.",4.0,,"Review by Dr H C Matthew Sim. Tourists Should Visit. Free Entry. However, very Hot. Bring your own bottle of water. Wear a hat. Wear walking shoes. Parking cost me S$5 per entry. You can take the MRT train. Very gory exhibits. Some weird statues. For example rats fighting rabbits. Elephant carrying rifle. One visit is enough. The last time I went there was about nearly 50 years ago. I went there with friends from US who wanted to visit the place. See my youtube invest channel Dr H C Matthew Sim. Regards Dr H C Matthew Sim"
,,Very unique,5.0,,"It's a very unique place to visit in Singapore. Lots of photo ops. Located just beside the Haw Par Villa MRT station. Lots of statues about Chinese Folklore. The ""10 Courts of Hell"" was really a different experience. It depicts the Chinese mythology about the various crimes and the punishments you get for those crimes in your after life. Overall it is very well maintained. I went there early morning at 9:30 so it was not crowded at all. Definitely worth a visit."
,,Return trip after many years,5.0,,"I first went to this site in 1962 and thought it a good site to visit
I revisited it in 2009 when it had all the 'modern' attractions (ie Water slides and theatres)
This year I visited it with my wife and son again and was very pleased to see that some repainting had been done and it had reverted back to what the original Theme park was like - just the way that the 'Tiger Balm Brothers' had designed it. No water slide or Theatres
This is an original theme park based on Chinese Mythology and very interesting - no computer controlled displays -just static tableaux
Admission is FREE as the Aw Boon Brothers original conditions
The site is easy to get to as it is close to the MRT station
I would well recommend a visit to see the historical aspect of Chinese Mythology and how a Theme Park from years ago was made"
,,Garish but interesting,4.0,,"Haw Par Villa or the Tiger Balm Gardens are an easy MRT commute- the station is less than 100m from the Gardens.
Go early or later in the day when it is cool. The park is beautifully maintained and the “courts of hell” gruesome but fascinating. It’s great to get out of the city a little way and see this long standing local attraction.
It’s a pleasant place to wander and enjoy."
,,Tribute to Buddhist statues,4.0,,"Aw Boon Haw, the entrepreneur who marketed Tiger Balm, was wealthy and built a villa in Singapore upon his return from Yangon after WWII. This was turned over to an exhibit which primarily honors Buddhism. You can find out more by going inside the Jade House Visitor's Center. This park is open to the public from 0900 to 2130 daily. There is no charge for entering, but there is a charge of $10 for a guided tour. Be prepared to do lots of walking, since you start climbing the hill on a slope right away. There is some car parking inside, although the main lot is at the bottom of the hill. The park is easily accessible via SMRT and MRT stops right outside of it. The main ""attraction"" is the Courts of Hell Museum and Exhibit. It certainly details the Buddhist concept of life after death and the punishment for sin (be prepared for some pretty gory stuff!). No sin goes unpunished. Yet at the end of the 10 courts, the dead are reincarnated via samsara after being made to forget all that has gone before. It is quite sad, actually, and forces one to soberly examine one's own life. The remainder of the park is dedicated to various statues/exhibits outlining Buddhist teaching and with a statue dedicated to him in the center of the park. It is worth spending the time here to see the various exhibits. There are benches along the way to sit down. There are also toilets available. It is a real cultural eye-opener!"
,,Got to visit,4.0,,Amazing photo opportunities not found anywhere else in Singapore. Right next to the MRT and it is free. I only wished that we could have seen and bought Tiger Balm at factory prices.
,,"Quirky, interesting, and unique!",3.0,,"Not really a go-to place in my opinion. But it is one of the most unusual places you can visit in Singapore. Not for the squeamish or the deeply religious. The place is clean and well-kept, but there are multiple terrain levels which might be unsuitable for very young kids."
,,Best. Find. Ever.,5.0,,"We found this funny little park on atlas obscura as we quite like odd or unusual activities we thought it was worth checking out, since it’s next to a MTR station it’s easy to get to.

From the moment i saw the first statues and heard the nostalgic 1930s music wafting from the speakers, I loved it.

The statues are unlike anything I have ever seen! The ten courts of hell section was very educational I learnt things about reincarnation I didn’t know and the scenes depicted were great.

We took our time going around all the statues and reading the plaques, each one giving us something to talk about and we had so much fun taking photos.

The museum is a real gem, I had no idea the history of the park and the family it belonged to was as colourful as the statues. So intriguing!

This park was a highlight of our trip, and amazing that it’s free, we would easily have paid at least a little something for the experience. Unfortunately parks like this are a dying breed, but I hope the owners continue to keep it and more people get as much joy from it as we did."
,,An Unusual outing,3.0,,"A great day out. Parking is $5 per entry. Entry is free. A lot of things to see. There are some renovations going on. Enjoyed the depiction of the Chinese culture.
I assume Restoration is being done and. Continued to restore it to its former glory.
An interesting insight to the Haw Par story."
,,Full of chinese stories,4.0,,A large free park to walk around and see different decorations for chinese stories. This is an old styled park which was a famous park in parents age. But I think is worth to see if you are interested in chinese stories
,,bringing guests for a scare,5.0,,i took some taiwanese friends for a visit to this awesome place and they were scared out of their wits especially when we walked through 'HELL'.
,,Historical!,5.0,,"It was a visit with my family.. Such a good place to be educated about this chinese folklore.. Formerly known as the Tiger Balm Gardens, but renamed as Haw Par Villa Dragon World by the Singapore Tourism board. The Haw Par in the park's name is based on the Aw brothers' personal names, Haw & Par, which means ""tiger"" & ""leopard"".. Very educational!"
,,A weird and wonderful story,4.0,,"My main recommendation is to make the effort and arrive early for the daily tour at 10am. It's early in the day but there's only one tour per day so until they change the timing of the tour, you need to make the effort. You'll get so much more out of the visit if you take the tour though (worth every penny of the $10 asking price). I went on a Monday and I was the only person on the tour. It was a like a private tour really. Fascinating history and mythology behind each of the sculptures which gave me loads of context to then explore the park by myself for another hour or so.

As long as you're not easily offended, go check out the Ten Courts of Hell on your way out. Shocking, gruesome, and somewhat funny to boot.

Overall, one of the best things to do in Singapore. It's so weird and wonderful that you're unlikely to discover much else like it in the world.

My only recommendation for the Haw Par Villas would be to organise daily tours that include visits to the restricted areas of the grounds where the former theme park from the 1990s now lies in ruins and overgrown. That would be intriguing and enlightening."
