id,uid,title,score,date,content
,,Fascinating,5.0,,"A large, spacious area commemorating so many deceased from WW2. If you have a relative buried there, the directories are in a cupboard at the entrance. Brings home the tragedy of WW2 in SIngapore."
,,Landmark,4.0,,"Beautifully built & well maintained. Dedicated to people who died defending Singapore during 2nd World War. It includes war graves , memorial & military graves"
,,Best taken as a guided tour,4.0,,"We visited as part of a WW2 battlefield tour by Tours with Locals tour guide and the guide was able to point out things and people of interest, ie why where there 5 graves placed close together, and the significance of the shape of the war memorial."
,,They gave their todays,5.0,,"They gave their todays for our tomorrows. Thousands of sailors, soldiers and airmen from several Commonwealth Countries came to the aid of Singapore during WW2. We must never forget their ultimate sacrifice. The memorial is on an elevation, very tranquil, very quiet and very peaceful. There are catalogues available detailing the names, rank, units they belong to, country of origin and other details to assist visitors in locating the final resting place of their loved ones. An essential destination to visit to say a great Thank You."
,,A TIMELY REMINDER,5.0,,A most interesting and powerful look into the past to realise what actually happened in those times and the total sacrifice that occurred and how the Singaporians have presented their respect of this past event.
,,Remember our Past,5.0,,"A very solemn place. So many life’s cut short from so many countries, very sad. We took the MTR to Kranji station then it’s a 15 walk. This is a must see if you are an Australian. Very well maintained."
,,Very moving place,5.0,,"Our guide gave us a great and moving talk on this memorial, i am sure my Dad [ medical orderly 13th AGH ]has mates and patients here [ all he ever after he came back to Australia said about his captors was that they were ' mongrels ' may he and his mates RIP"
,,ANZAC Day 2019,5.0,,While we didn't attend the Dawn Service here we had a mid morning walk. A very sad place but given the competition for space in Singapore it is testament to the esteem these men and women are held in that this place has been quarantined from development. Access is not easy but we parked across the road in the turf club car park. Its about a 10 min walk from there.
,,A Piece of History,5.0,,"Brought a Malaysian Friend to this place and it wowed him. Solemn, quiet, and reflective. This is the resting place of many who sacrificed their lives during WWII. Not a big place but great if you take time to just sit and reflect. Probably about an hour or two will do to appreciate the place."
,,Beautifully and respectfully maintained.,5.0,,This memorial cemetery is beautifully kept and maintained and is cared for with respect by those who work there as are all Commonwealth War Cemeteries. There is a book containing names of those buried there in the niche at the entrance in alphabetical order.
,,Worth a Visit to Reflect,5.0,,"Visited the cemetery due to relatives that served in Singapore during WW2. The cemetery is located north of the island. Can get there by the MRT from Singapore city. Use the Red Line MRT and get off at Kranji Station. The cemetery is only a 5 - 10 minute walk from train station. If you walk when you turn left out of the train station and you will walk to the first intersection, make sure you go straight across the intersection as the entrance is only about 200 metres on the left of Woodlands Drive. Certainly worth a visit. There are food stalls at Kranji station, plus you can stock up on bottled water as well. On our return we had the $2.50 Chicken Rice in the very small Food stall. recommended. Opposite are other food stalls."
,,A Sober Moment,4.0,,This impressive Memorial is just across the road from the famous Singapore Cricket Club and commemorates the victims of the dark WW2 period of occupation. Worth a moments reflection when passing.
,,Worth visiting,4.0,,"A well kept area, used today to invest army reservists (possibly others, but not sure if that). A serene space with a great deal of information. A distance from the city."
