id,uid,title,score,date,content
,,"Great food, fun streets",4.0,,Nice place for some original Indian food and bring home some Indian spices and snacks. Also the architecture nearby is very beautiful.
,,Everything Indian in one street,4.0,,"one stop venue to get anything and everything Indian. A must visit for everyone craving for real indian delicacies, jewellery and provisions"
,,Dirty and scary,1.0,,"Came here around 9 PM, because we lived nearby (Bugis), and had to do some laundry.

While rest of Singapore seems both clean and safe, Little India is the exact opposite. We had numerous encounters with groups of men just sitting or standing in the streets, while staring at people passing by. At times it felt really intimidating, especially since a few of these men seemed either drunk or mentally ill.

Despite the general reputation of Singapore being the cleanest country in the world, Little India failed to live up to this. Trash was everywhere, and this was the first place we saw both rats and cockroaches.

There's really nothing to see or experience here."
,,Truly Indian,5.0,,"Its truly south Indian, especially Tamilnadu. u can find exactly all the major brands in south india there, from food to jewellery, textiles etc., Everything costly"
,,Exquisite!,5.0,,"Love wandering the streets around Little India. So rich with sights, sounds and great food. Loads os Instagramable shots on offer."
,,"Great food, great prices",5.0,,A place that felt like home away from home. Little India reminded me of so many places back in SA. The food was delicious with several halal options available
,,A must visit,4.0,,"We did a self walk tour around little India, Arab st and China town.

I think these areas are a must visit when coming to Singapore.

I would recommend visiting a restaurant I. Each area and trying their specialty. It can be as small as a coffee and pastry but take the time to take the area in rather then quickly walking through it.

Little India had beautiful landmarks, beautiful murals and some delicious food!

Loved our morning in little India!"
,,Dirty,1.0,,Stayed at little india in Singapore for a 1 night stay. I thought singapore is the cleanest city in the world to I came upon this grass area full of litter here is a picture.
,,Old Singapore,3.0,,Only covers a couple of city blocks but an authentically Indian market area with some well-preserved houses. You can pick up your spice supplies cheaply here too as well as eating good Indian food at one of the many restaurants Don't miss the colourful Sri Veeramakaliamman Temple.
,,Couldn’t handle this place...,2.0,,"After spending a few days in the rest of Singapore, I really struggled in Little India. Singapore in general is spotlessly clean and just beautiful, Little India is quite the opposite. I could not get away quickly enough."
,,Don't Expect Too Much,2.0,,"This is not a smart area of Singapore by any means in fact its quite scruffy in comparison.

Men lounge about outside their shops on chairs waiting for someone to buy their vegetables. There are empty boxes lying around in the street.

Go ..... Just to say you have been the walk right on through it to Arab Street for a special treat.

I'm saying no more......"
,,A taste of south India,3.0,,"This section of Singapore is home to many immigrants from south India. You see the signs in Tamil throughout, although many are in English as well. Not as many tea houses as you might expect, but plenty of restaurants serving biryani. Parking available on the street so that you can walk through the district. There is a Hindu flavor to most of the places. Shopkeepers are eager to help and point you to where you want to go or find what you want to find. There are banks that advertise being about to ship money back to India. Seemed like a poorer version of Chinatown."
,,LITTLE (SOUTH) INDIA,3.0,,"You will never miss India when are in Little India, Singapore. You will find all familiar Indian Names on Signboards, find Indian People manning the Shops, and all Indian stuff particularly Masala available in the Shops.

We went there a number of times, last being on 12th July 2019

Needless to say that Indian here primarily mean 'South Indian'"
,,So many choices,5.0,,"We love indian food, there are so many choices here! Little India is a lot cleaner and tidier than is used to be, recommended while visiting Singapore."
,,Really ....,2.0,,"Ordinary streets , nothing much yo see except a bunch of shops and a temple . Way over rated as a place to visit. U don’t travel half way across the world to see this ."
,,Very lived in,4.0,,"This was part of our city tour and I have to say it was easily the most authentic. This is a living breathing neighborhood, with real food, real temples, and real people. It wasn't the most scenic by far, but if you want to see the hub of Indian life in Singapore this is it. Worth a visit; not for the two hours we spent but definitely an hour."
,,Totally different than other areas,5.0,,"Little India takes you into a totally different culture in Singapore. The structures, religion and food is all representative of India, unique and beautiful."
