id,uid,title,score,date,content
,,An extraordinary Forest Hiking must have,5.0,,While you visiting Singapore .. done miss forest hiking in “MacRitchie Reservoir” it’s such a breathtaking place for hiking or jogging .. highly recommend
,,Lovely park but trails don't allow dogs,3.0,,A shame you cannot take your dog with you on a stroll through the trails. Nonetheless a great park and urban oasis.
,,Rainforest walks,5.0,,Considering this is literally 10 mins out of the city you really feel you’re in the middle of the rainforest. There are quite a few trails to choose from but we went with the blue one which took us to the tree too walk. It was incredibly humid and was a long trail but we thoroughly enjoyed it! Great for a break from the hustle and bustle of the city. We even got caught in a monsoon like downpour at the end of our trip!
,,One of the oldest reservoir,4.0,,Main attraction here is treetop walk. Lesser known attraction is jelutong tower & it also offers stunning views
,,Great Trail,5.0,,The trail is a total worth. Great escape from the hectic city life and closer to nature. The most enjoyable is the tree top walk (hanging bridge). Totally mesmerizing! But things to take note is beware of monkeys for those who are bring bags.
,,Monkey situation at Macritchie Reservoir is bad,3.0,,"Used to be able have picnics in peace there. Now if you go there for a picnic and lay out the picnic mat laden with food, get ready to pack in a frenzy later."
,,Rude Singaporeans!!,3.0,,"Great trail, but rude Singaporeans ruin the hiking experience by blasting loud music from portable speakers and never giving way to faster runners, hikers or walkers on the trail."
,,walking trail with my dog,3.0,,be careful of snakes and monkeys. do not feed the monkeys. the place is a bit dirty for my dog and in the end we just carried her and walked the rest of the way back to our car.
,,Worth it!,5.0,,"We had an amazing experience on the tree top walk! It is worth the trek and the views are awesome! A must visit spot if you are visiting Singapore. The greenery, the views, the hanging bridge are all worth it!"
,,Peaceful!!,4.0,,The trails were very much enjoyable and I manage to spot different flora and fauna. The TreeTop walk was the highlight of my trip there and it is a must go!
,,Worth the Trek!,5.0,,"This was an amazing day - took the bus from Orchard straight there and then walked round the reservoir including the skywalk. All completely free for you to wander around - although you have to stick to the trails. This gives you a real taste of the jungle albeit very close to the city. Extremely well controlled and natural - so there are no vendors selling fast food - which is the way it should be. You can stop off at the ranger's huts to fill up on water and use the loo but otherwise that's it. We saw terrapins in the reservoir, some bird life and macaques but on the whole this is more of a nature walk with useful signage occasionally to tell you about the plants and their purposes, there are even Durian trees there. The skywalk is well worth a visit, again completely free it is amazing to walk at treetop level. This can involve a lot of walking and climbing steps up and down which in the heat is exhausting however still worth it. Also - not very busy which makes a lovely change. Lovely location."
,,out of city to find the peaceful and green day in singapore,5.0,,"It is not far from Orchard Road, take bus 167 and let bus driver know where you want to get off. Bus stop is close to the entrance of Reservoir, it is natural attraction. 3.8 km to ranger station and about 5.8 km to the Treetop Walk, which is you must go there and try really fun!

There are two ways coming back to city, depend on you choice and following the direction. Our journey is about 5 hours.

Choose a nice day to go there, the raining day would make you feel nasty and muddy, but would have a different feelings.

It is cooler alongside the reservoir. It is free to enter the area. Bus fee is about 2 Singapore dollars one way each people, depends on where you get on."
,,Escape the concrete jungle,5.0,,"Pleasant for walks in the morning, afternoon and evening. Watch monitor lizards, toads, frogs, monkeys and birds. A great place to escape the concrete jungle of CBD."
,,Tree top walk,4.0,,Did the tree top walk to see some monkeys. There were a few around. The walk itself is very nice. Just like walking through a jungles. Plenty of places to stop for a rest as the walk is quite steep in areas with lots of steps.
,,Lovely spot for a picnic,4.0,,"The reservoir is a lovely spot when quiet - you may even spot an otter which unfortunately we did not. A number of short walks, plus the longer walks to the treetop walk or even Bukit Timah Nature reserve."
,,"Beautiful reservoir, great walks!",3.0,,"What a joy to have a mature green Reservoir so close to the city, beautifully landscaped, with boardwalks constructed all around for your walking pleasure. Beware of the many families of monkeys who may be lurking near the sides of the boardwalks hoping for food from walkers. Do not feed them! Car parks are plentiful and there are central toilet facilities and a little cafe canteen. Here at the reservoir, you can choose the length and difficulty of your walks. Canoeing facilities are available too. Most appreciated are the great nature views from most angles."
,,Clean and well run trail for us!,5.0,,"I visited together with my Malaysian friend who hasn't been to Macritchie. Her first impression was there wasn't any mosquitos! Well done for that!

We aimed to conquer the Tree top and managed the yellow route (11km). Terrain was manageable, fairly flat. I was more impressed by the new pathways and it seems friendly for wheelchair users till some extent (not the whole yellow route)."
,,Always an adventure,5.0,,"The MacRitchie reservoir never disappoints, you discover something new every single visit. Absolutely recommend."
