id,uid,title,score,date,content
,,Singapore stopover,5.0,,"Beautiful architecture and surrounds, plenty of activities, food and wine and a fantastic nightly light show."
,,Fantastic,5.0,,"When we travel, we love to go out to a bar/restaurant with the best views we could find. This perhaps wasnt the highest Bar in Singapore but met out expectations. Will be a definite revisit."
,,Just stunning!,5.0,,A must when you visit Singapore! Must see during day and night. The light show is a must. If you can do a river cruise around there it is also a must.
,,Great visit without spending anything,5.0,,"If you can avoid the high end retail shops and restaurants this is still a good place to visit. Wander around and window shop, marvel at the internal river with boats and the view the water swirling down the clear vortex. Great view of Singapore City and even better at night. Again, easily accessible by MRT"
,,chill,5.0,,"a great place to walk and chill either at night or during the day, lot of things to see like the merlion or the water shor from the baysand casino"
,,Beautiful,5.0,,"Take a boat ride around the Marina especially as evening draws in, we were lucky enough to have fireworks going off during our trip. The sights and sounds were lovely"
,,Incredible night view,5.0,,"Love the modernity and cleanliness of this place. You can shop, watch theatre, ging to casino or hunting for food."
,,NICE PLACE TO ENJOY,5.0,,"A beautiful place to relax, enjoy and unwind. There is joy everywhere and you feel that you are in some other world."
,,Perfect if you are the ambling kinds,5.0,,"If you enjoy just strolling around with no real intent and of course people watching - this is Central. You can walk and walk and walk and never get bored. Keep staring at the views or just sit and watch the world go by. Not to forget, there are tonnes of eating options and of course there is the famed Merlion that you should get a photo with."
,,Brilliant views,5.0,,Another place you must visit. Views of the Marina Bay Sands Hotel and round about were very good. A must
,,Must visit both by morning and evening,5.0,,"U can see the merlion at morning & at evening u can see the spectacular light show / fire works. We saw spectacular fireworks show at marina bay which lasted for 15 minutes. Vow, once in a lifetime. Also the place is great for picturesque. Get going your camera shutters roll on here. Amazing singapore skyline with the all the world famous banks at background."
,,My Home When in Singapore,5.0,,"I really love this area, many this to do and see, stroll around after dinner, walk around the bay for exercise, eat, drink see a concert. Just get lost exploring. Walk through the Sands Complex. See parts of Formula One race circuit. Learn to get around walking via malls and underground passages. Almost manufacturered beauty.
Seems like over last decade it is always changing"
,,Great walk around the bay,5.0,,Great opportunity to have a walk around the the bay ending at Marina Bay Hotel. Start at the Bridge over the River at Clarke Quey and start walking past River walk gallaria. The wal takes you past some very nice eateries and bars with many having hapy hours and beer much cheaper than the main Clarke Quay area. If you continue you will soon see the Marina Bay Hotel dominating the skyline with older and newer buildings to each side. Stop at the Chinese ice cream man and buy an old style waffer for $1.50 continue and cross the road by the Concert Hall Bridge and Fullerton Hotel you will then have uninterrupted views of the Merlion and Bay with the Marina Bay Hotel dominating the skyline.
,,Must-visit,5.0,,A must visit in Singapore. We got a wonderful time here and enjoy a dinner on the bay. Really worth a visit.
,,Spectacular veiws,5.0,,A visit day or night would provide you with spectacular views of the surrounding area. Some nights there is a light and water show which is really good and lasts about 15 mins.
,,as a place is nice,5.0,,"Marina bay as a place is nice but a bit expenssive for everyone, but it is a nice place to enjoy and taking pictures of high buildings"
,,Beautiful By Night,5.0,,Walked around the Marina Bay Area after travelling on the Singapore Flyer - lots of activities going on loads of people & places to eat & drink - great ambience - boats rides just watching the lights & laser show - no shortage of places to eat & drink - definitely a thing to do - day or night - we thought the evening was superb just added a bit of something else
,,Take trip on one of the boats.,5.0,,"Really enjoyed the view around the bay as it gives a different perspective from the water, passed the merlion, impressive."
,,Music show,4.0,,"Is a great place to be. Spectacular sights. We enjoyed a music show and saw some amazing fireworks. We were told it was kind of preparatory for the Independence Day. It's just refreshing to stroll around this place even without the subsidiaries. If you can be there at night, it's even more."
,,Must be visited,5.0,,"Marina Bay is in a wonderful place with lots of things to do, see and visit. You should visit the Marina Bay Sands hotel (book also a stay there to swim in the Infinity pool), the Gardens by the Bay. You should see the shopping center there and enjoy the fountain light and Music show in the evening. There is also an evening light show in the Gardens by the Bay."
,,Proposed here...,5.0,,Been here many times and loved to be a singaporean by having such places to visit. Nice ambience and great place for relaxation party and night out. Everything is just well placed here. Proud moments. Got proposed here too
,,"Blown away by how amazing Marina Bay Sands is, first time seeing it in person",5.0,,"Marina Bay is in a beautiful location with lots to do other than marvelling at the amazing size and architecture of Marina Bay Sands, there's the Marina Gardens by the Bay with the ridiculously tall Super Trees, as well as two greenhouses containing diverse species of plants and trees there too. Views from the top of Marina Bay Sands affords panoramic views of the city and bay itself. There is also the Art and Science Museum and Louis Vuitton Island Maison among many other attractions."
,,Very good,5.0,,It's best to go for a walk in this area where the main architectural buildings of singapore will be around you. Suitable for taking pictures or grabbing a drink in the many available bars or restaurants.
,,great morning or night out,5.0,,we had a great day and night time out there been there many times before great shops and restaurants
,,See it at night,5.0,,"It is really beautiful at night due to the lights. There is a light show, a boardwalk-like-thing, places for boat tours, and you can see the main attractive buildings."
,,"Great place, highly recommended",5.0,,"We enjoyed walking around the area, visiting the mall and discovering so many amazing thing in a short walking distance in this area. Highly recommended."
,,Beautiful area to spend time.,5.0,,"Buzzing, vibrant experience with boat trips, light displays, museums and fabulous gardens. Best to visit at night! The Singapore Flyer is in the area giving wonderful vantage points. Easy to travel by MRT to Bayfront Station."
,,Take a bumboat,4.0,,Marina Bay is at the heart of Singapore overlooked by skyscrapers and the Marina Bay hotel. 0laces to see include the Helix bridge and the art / science museum both architectural delights. Great photo opportunities. Best way to experience it is via a Bumboat ride. Start from Clarke Quay. One way trip to the Museum / shopping mall for $18 or do a round trip for a little more. About a 20 minute it's ride to the mall and you see the sights the city has to offer ending up in Marina Bay. Well worth it. There is a light / sound show in the evening around the bay or you can stroll around. The Marina links the access to the Gardens by the bay via the Marina Sands hotel / mall.
,,Leisure Spots,5.0,,"A visit to Marina Bay is guaranteed to bombard your senses. Marina Bay represents all things modern and super stylish, from trendy dining destinations to exciting leisure spots. A collection of architectural icons that dot the impressive skyline."
,,Stunning,5.0,,"If you do nothing else in Singapore, get up before dawn and walk round Marina Bay and catch the sunrise. Photo opportunities are round every corner - you will not be disappointed."
,,Selfie Time,5.0,,"Theres a lot to behold here. Some wonderfully designed buildings, a lovely area to walk & the prime place for selfies."
,,Great place at night,5.0,,Lovely to walk around Marina Bay. Lots of Bars & Restaurants to sit down at. The Fullerton side is best to watch the Water and Laser show. 8.00 pm every night and completely free. Great evening entertainment.
,,Beautiful walk,5.0,,"This is a beautiful place to walk by day or night. Singapore always has lots to offer where ever you are, and this is no exception. I only went at night but would’ve enjoyed it by daylight as well."
,,Very Good view,4.0,,We went twice to this place once in the day time and once in the evening for the light and sound show. Its a huge place and in the day time there is enough space to relax by the bay side.
,,Beautiful Bay,5.0,,A lovely bay with wonderful architecture nestled around it & the reflection of coloured lights adding an extra dimension come evening.
,,Worth a visit,5.0,,The view of Singapore from the top was splendid! The architecture was stunning.We took two of our granddaughters (who were on their first overseas trip) and they were blown away - being a Saturday it was very busy but we coped and found some quiet niches to absorb the wonders.
,,Great area,5.0,,"Very walkable , lots of interesting buildings , and sights. A view from the water at night even better"
,,A great place to see,4.0,,Marina bay is a fantastic place to visit. The shopping is amazing along with the views around the gardens. A must see
,,"A must go to, but a little underwhelming",3.0,,"Very, very busy. Underwhelming because although it is indeed a spectacular building with great views, there are much, much better roof top bars in Singapore."
,,Great free light show at night over the Bay - bring the kids!,4.0,,"This is a Las Vegas type light show over the bay. This should not be confused with the Supertree Grove Light Show in Gardens by the Bay on the front side of the Marina Bay Sands Hotel.
Suggestion: We had a wonderful meal at Justins Flavors of Asia that is on the ground level facing the Bay (right outside the Shoppe Mall). Plan on eating and then viewing the light show which I I think begins at 8PM."
,,Amazing laser display,5.0,,Wow! Watched the display and it truely was amazing. The whole marina bar area is wonderful. Lots of bars and restaurants in the vicinity.
,,Marina Bay,4.0,,Nice to wander around but we decided against going up to Marina Bay Sands in principal as we thought the prices being charged to merely go up on a small platform were outrateous and this did not even include being permitted to go to the restaurant up the top. Why not?? If you allowed people there they would spend money in the restaurant. Very disappointing and Singapore has got this wrong.
,,Date,4.0,,"Been there a few times for night cycling, the scenary is good for insta pictures. Alternatively, can go shopping too:)"
,,A worthwhile walk,4.0,,"The place has an energy of its own.. Even if you just walk the area, you cannot get bored.. There is plenty to eat n drink.."
,,Come see the fireworks and water laser light show,4.0,,"Get yourself along to this free gem of fireworks followed by a laser light show on water. It’s a quick 15 mins but worth seeing. Kids will love it, geriatrics will love it. Make sure you bring a drink with your."
,,Best View,4.0,,"Marina bay on the Fullerton side is the best place to see the laser light show from Marina Bay Sands, lovely during the day and even better a night"
,,Huge & Beautiful park in the Garden City!,5.0,,"The park is free for all, only the 2 domes are chargeable entries (Cloud Forest and Flower). Expansive and well manicured green space in the city, ponds with fountains, interesting modern sculptures, plants and landscaping, children play area, and lawn.

Also, special events (e.g. Children's Arts Festivals, Christmas Wonderland, etc.) are held throughout the year, offering refreshing fun activities to look forward to.
Great place to spend outdoors time with the family on a fine weather day. Dotted with some cafes along the fringes for easy meal options, or toilet breaks - clean, air-conditioned and reasonably priced. Fantastic place for photo taking too.

Reasonable car parking rates."
,,Specatcular views,5.0,,"This area is nice at daytime and nighttime as well.There are light showa in the evening and at both times the bumboat cruises are an event. You cruise through the historical district, highrises, Clark Quay and along Fullerton Hotel. you have a great view of Marina Bay Sands Hotel which is visible from every angle. Our favorite place to stroll and hand out."
,,Awesome,5.0,,the hotel is amazing and the expensive amazing and shopping mall has very food stores and restaurants
,,Holiday,5.0,,Marina bay remains a beautiful place to stroll after dinner when it is less hot. Beautiful especially at night. The MRT line to take you into marina bay sands is downtown line - Bayfront whereas the marina bay is shopping area
,,Beautiful Marina Bay,5.0,,Visit Marina bay on a free bus tour from Changi Airport if you desire takes about 3 hrs in total and great views where you can take photos or selfies
,,"A beautiful venue, especially pretty at night",5.0,,"I love walking around the boardwalk at night and enjoying the light shows and ambience. There are lots of amazing restaurants, bars and places to stop to relax and enjoy the view."
,,Beautiful,5.0,,"What a nice place to walk around. It is a combination of a huge mall, casino and a great view point of the bay. What was great was the light and sound show in the evening. A true laser gem."
,,Spectacular,5.0,,"We were spell bound by Marina Bay from the moment we saw it. There are so many things to look at & do along the water front. It really is worth seeing from many angles (by boat, walking, & up high on Marina Bay Sands), as well as both day & night. The absolute highlight of any trip to Singapore"
,,Buzzing precinct,4.0,,"Marina Bay, from where cruise ships sail, is a modern, clean and buzzing precinct on the Singapore harbour. Even if not cruising there is a lot to see and do in the precinct."
,,Definitely worth a visit and here's a tip,4.0,,"The views are amazing. If you go up to the bar at the 'boat overhang' end of the building you have to pay S$22 each, however, this can be put towards a drink/food purchase (this is obviously to stop people taking advantage of free views). We inadvertently went to the bar/restaurant at the other end.....which has no charge (views still awesome). We bought our S$22 beers here anyway."
,,Very pretty and fun architecture,3.0,,"It is a treat to walk around the Marina to visit the stores and buildings. We visited the Marina Bay Sands Observation Deck which was nice. I would not recommend it , however. It does not reflect anything other than consumerism in Singapore."
,,Great area to walk around,4.0,,A great place to wander around in the day but also in the evening. See all the night lights and the light show in front of marina bay sands shops at 8 or 9 pm.
,,Brilliant!!,4.0,,If you hav the time you must come here in the evening just amazing wonderful photo opportunities just great to spend time here
,,Awesome!!!,5.0,,"It was a hot awesome day when I was walking forward to see this beautiful building. We went there on the tour and only stopped by there for a short while before continuing to Sentosa Island. Even it was super hot day, but we did enjoy our hot moment there Unfortunately, Merlion was under construction. We couldn’t take a memorable photo with it. Good though, then we will go back for that"
,,Thumbs Up !!!,5.0,,"Marina Bay is the most happening place of Singapore. its a must visit place with Gardens by the Bay, MBS, Flyer and many other attaractions around."
,,Superb,5.0,,"Simply awesome You can see many things, and the lights fo the city and take a lot of awesome pictures."
,,A night on the Town,4.0,,"Experiencing the night life, while sailing the river and observing the beautiful designs of buildings and the array of lights in the night sky was a wonderful experience"
