id,uid,title,score,date,content
,,Good place to offload some big money.,4.0,,"Enjoyed our visit. But not really my kind of thing. I see people sitting there for hours betting really big money. I never expect to win, so if you keep that in mind it’s fun to just play a little.
Some people are expert gamblers on machines or roulette or cards."
,,Won,5.0,,"Yup. I won.
Roulette. Probably my lucky game cos I win always, even though in not big quantity. Just enough to fly me to Bangkok for a weekend vacay, including expenses.
Tricky to decide 3zero or 2zero roulette. But honestly, it's all the same cos the ball and your fate will decide if you win or lose. No hankypanky at all.

Play smart within your bankroll budget and never go the extreme. Cut loss is better than lose all.
But if you're on a winning streak, stay. Don't leave when you're winning. Catch the wind and aim for the sky."
,,A typical casino,5.0,,I just wanted a chip for a marker when playing golf ($5 min). You need your passport to get in but there is no hassle. The robotic drink cart is cool. I'm not a gambler but collect collect chips from cities I visit and so this was cool and they make great golf markers (doesn't help the golf though!!!).
,,"Nothing exciting, it’s just a casino",3.0,,"First thing for a foreign visitor, you need a passport to enter and leave the casino. High stake tables, poker machines are typical, feed money in, press buttons, lose money.
We did have some lovely food though, and watched some people play the high stakes tables."
,,Give it a miss,3.0,,"Big casino with lots of options but terrible service and high limits.
Show passport on the way in is normal but show passport on the way out also? Last time I looked this was not an immigration checkpoint which I’d already cleared the previous day. I like to be welcomed with open arms to a place where I’m likely to lose my money not be made to feel like an unsavoury character."
,,Quick gamble at marina bay casino,3.0,,"Average casino in my oppinion tho offers your standard pokies of diffeent limits and ypur table cashgames against the house..baccarat,blackjack,pontoon etc:there is no poker where you play against other players! But offers your carribean stud and hold em etc:against the house still if ypu want to play poker(texas holdem) you will have to goto resorts world in sentosa to play
Has a smoking and non smoking floor.
Tourists will have to present passport to get inside and it will cost nothing to enter except if your a singapore local where as they do have to pay to enter."
,,Boring...,2.0,,"Can't say this Casino offered any wow factor. The highlight for us was the robot drink cart. Beyond that, the place just has a smoke haze from all the cigarettes and no alcohol on offer. The slots are not that new or fun and there really wasn't much else on offer."
,,Good casino for slot games,5.0,,Very large casino with plenty of space especially for slot games. Entry is free for foreigners and beverages are also free. They also have a good restaurant inside
,,"Been there, done that",3.0,,"This was our first exposure to an Asian Casino. First, you need to show your passport which was not a surprise.

There are minimum bets; again, not a surprise.

It was smoky, like most casinos we have been in.

Glade we saw it, but would not spend a lot of time, or money, there."
,,"Winner Winner, Chicken dinner !!",5.0,,"Winner Winner, Chicken dinner !! Got to be here if you want to try your luck while in Singapore. Big, huge and beautiful. If you are a professional or a amateur or just want to try your hand, this is it."
,,Cool Casino but lacking,4.0,,Great hotel with a lot of great free beverages. But the slot selections were quite lacking. Kind of the same slots over and over but nice facility otherwise.
,,Good if you want to kill some time/relaxed dress code,3.0,,Great to visit the casino if you want to kill sometime in Singapore. Good looking casino however foreigners will find the table and slot limits quite high. And all the males should not worry about the dress code you can wear shorts like we did nd were not turned away. People were even wearing Sandler as well so you will be ok.
