id,uid,title,score,date,content
,,Marina Sands Skypark,5.0,,We had an awesome sunset experience here and could view the whole city ! We went up to the Ce La Vie to have a singapore sling and snacks and werent dissapointed !
,,Love the Marina Bay Sands SkyPark!,5.0,,Love the Marina Bay Sands SkyPark! Be sure to dine at Wolfgang Puck's delicious rooftop restaurant while on the roof of the Marina Bay Sands and enjoy the beautiful rooftop infinity pool! Especially beautiful at sunrise!!!
,,No swimming,4.0,,Earlier they used to let people swim in the infinity pool but not anymore but still its a place to visit and worthy of spending 1 hour easily.
,,"Great views, fancy prices",3.0,,The Sands complex rooftop has greart views and some nice but expensive opportunities. The developers have tried to cram too much in and whichever outlet you attend may be a bit of a disappointment as they are not connected and prices are steep.
,,Luxury at its best.,5.0,,"Marina Bay Sands is a must visit architecture in Singapore. Something you can’t miss.

It’s massive, it’s beautiful and its luxurious. The changing lights at night makes it look awesome. Lovely dining areas, cafes, shopping options leaves you with lots to expect. You can spend your entire day admiring its beauty.

The sparkling lights on crystals with fishes at the bottom is a latest attraction inside the mall area. Ideally located with direct entry to gardens by the bay.

It has an observation deck on the top floor. Expensive but worth it."
,,Stunning views.,5.0,,"After seeing the gardens by night, this stunning cult building had great views all around to view over the whole of Singapore. It was beautiful. Inside was amazing shop bars a different experiences. Well worth a visit"
,,The crowds make it less enjoyable,4.0,,"The rooftop had obviously great views but they didn’t provide a single chair which is shocking because it doesn’t come with a cheap price.

The crowds are really making it hard to just enjoy the whole thing. A lot of screams and people standing forever.

It’s one of the best things to do in Singapore though but rethink about it if you’re on a budget."
,,A fantastic view,5.0,,"Sit in the bar have a Singapore sling and enjoy the fantastic view, especially at night.If you go to the bar area it's free."
,,Nice view,3.0,,"We paid more than twenty dollars just to take a lift to this roof top. The view is very beautiful but i think this view is too expensive, we only spend less than 10 minutes up there."
,,Great view but that’s all you get,3.0,,"It’s a great view but there is nothing else to do up there. At all. Look, take pictures and head down. Quite pricey but it’s expected."
,,Over priced and over rated,2.0,,You don’t get to see anything but the view which you can see from elsewhere in singapore. Seems the hotel only want extra money
,,Great view for that price,5.0,,"We bought a ticket to go to the ""ce la vie"" - bar on top of the building. From here you can see over the city an the pool of the hotel.
The price is not that cheap but you get a voucher to buy a cocktail or sth in the bar."
,,Rooms were average and small,3.0,,"For such an expensive hotel, you'd think the rooms would at least wow you. They did 'wow' me, just not in the positive way.. I was disappointed with the room. It was small, it wasn't decorated in any special way, and it just felt like any other hotel room. The only good thing about this hotel is obviously the infinity pool at the top of MBS, as seen by the numerous tourists on the first floor buying access passes to the skypark (they cannot access the pool though, it is for guests only).

The pool was great, but it wasn't like 'OMG!!!!!' great either, but maybe I set my expectations too high to begin with. It did have a nice view and food/drinks were expensive, but unless you're in the adults only pool, you won't get much peace. The other pools are filled with kids with floaties and their parents taking photos of everything.

I'd recommend just purchasing the skypark access ticket instead of staying at MBS. There are higher rated infinity pools than MBS."
,,Don't bother!,1.0,,"Absolutely disgusting! £55 for a family of 4 to get up to the sky deck to find no restaurants or bars that we were allowed in to as we weren't staying at the hotel, deck far too crowded to see very much followed by a ridiculous queue to try to get back down ... massive downer at the end of an otherwise great trip to Singapore!"
