id,uid,title,score,date,content
,,"Well worth a visit, great for kids!",5.0,,"Beautiful building housing a great gallery. Admission price differs, depending on the exhibitions that are on at the time, so check the website. Great for kids, there is a kids section on level one (free entry), and there are often additional exhibitions that are suitable for kids. Allow enough time to explore all of the levels and both wings, and make sure you head up to the rooftop garden for a great view.

Have had bad experiences with the retail shop on level 1, but that's nothing to do with the gallery itself."
,,Beautiful works of Southeast Asian Modern and Contemporary Art,5.0,,"It is important to know that the National Gallery Singapore doesn't sell itself as a mediocre art gallery, but shows the finest works of Southeast Asian Modern and Contemporary Art. I honestly spent more time in the UOB Southeast Asian Galleries as it presents a holistic development of the rich history of Southeast Asian art throughout the ages. This is much better than seeing Disneyland! I ended visiting the museum three times before I had to leave back for Manila. Will definitely return soon!"
,,Colonial building,5.0,,It was a merger of 2 colonial buildings namely the supreme court and the city hall. The building is now home to beautiful art pieces. Nice place to spend an afternoon
,,Beautiful place,5.0,,The national gallery in Singapore is anexample how to wisely use old buildings and transform them into modern architectural master pieces. There are free tours available . Beautiful art pieces.
,,Excellent collection,5.0,,"The collection of paintings here is particularly good in illuminating the history of Singapore, its colonial past, and republican present as well as its connections to other parts of the globe"
,,Supporting local artists,4.0,,"Turning the old Supreme Court and the city hall into this national gallery, the building itself is already an art piece witnessing the history of the country.
Came here because of the awakening of Asia arts between 1960-1990.
There’s also a roof garden on 6/F.
Entrance was for free since it was an open day (lucky!)"
,,Museum,4.0,,More than 8000 artistic works of South Asian art is present here. Beautiful architectural building. Gallery includes city hall & former supreme Court of Singapore
,,Beautiful,5.0,,The national gallery in Singapore is a fine example how to wisely use old buildings and transform and merge them into modern architectural master pieces. Free tours. Cinema inside. Cafe. Kind staff. Art at its best
,,For of the gallery,5.0,,Beautifully restored parliament house and supreme Court buildings from the British colonial days of Singapore. Fine local paintings from south East Asia adorn the spacious halls. Its best to have a free guide to show you around.
,,Supreme Court,5.0,,"This is where the Singaporean hosts it Supreme Court. It was interesting to have such a building so open to the public and tourists. I found the galleries well kept and the exhibits modeled well for review. If you are a lover of art and like to take awhile to review a piece, I recommend at least 3 hours to view it all. I did it in two because I was rushed and got to see 3 out of the 6 floors.

It is worth the price as the architecture in the buildings is almost as enjoyable as the art in the exhibits."
,,Singapore History With Dessert,4.0,,"Museum has a very impressive display outlining Singapore's history, focusing largely upon political movements prior to the Japanese invasion, and the invasion itself, which cannot help but raise questions about how the British failed to protect one of its own colonies. Much of what Lee Kuan Yew, who became Singapore's Prime Minister following the Japanese surrender, said did echoes very much Singapore's post incursion and determination to create a nation of independence. What is displayed in this museum provides very clear evidence of this history.
An absolutely delightful added attraction in the museum is a gallery (open only at certain times), which features an emphasis on forest conservation. The display also includes an unquestionably beautiful sensory experience within the ""Glass Rotunda""."
,,Must visited destination,5.0,,"At the first place, I thought I could not make it but then 12 hours before my flight I still came here and spent nearly 2 hours here to know more about singaporean art"
,,Loved the watercolours,4.0,,Good mix of traditional and modern material to please all tastes. We were fortunate to see an excellent collection of watercolour paintings.
,,Wonderful adaptive reuse of two stately colonial buildings,5.0,,A beautiful space and impressive array of exhibitions. You will need at least half a day here to see everything.
,,Sarah the star !,5.0,,We decided upon a new guided tour around the Awakenings exhibition. Our guide was Sarah and she was fabulous !! So much info at her fingertips and delivered in a really engaging way. The best hour plus we’ve spent at the gallery. We went on a Wednesday at 1pm and only 5 in our group. Great.
