id,uid,title,score,date,content
,,"Central located, quiet and comfy place to read or borrow books",4.0,,enjoy going there to read and get some work time as there are lots of work stations at the library but always packed with students.
,,borrowed some cookery books,5.0,,they have a good range of cookery books on loan and the librarian i met was indeed very helpful and tried all ways to find for me a particular cookbook which i had wanted to borrow.
,,Not worth it,2.0,,Don’t bother not much to see. A couple of exhibitions that’s about it. Normal library. Was expecting a lot more. Very little to say a bit disappointed.
,,Most conducive library in Singapore,5.0,,"It is imo one of the quietest library in Singapore. I frequent here during exams period for a good conducive studying session without any distractions. Huge space, loads of seats and charging ports."
,,A good stop in the city,4.0,,"Wonderful air-conditioning, cafes nearby and numerous books available across the different floors of the place. They even have exhibitions every now and then! Wifi and seats available but can get crowded during exam season."
,,Nice place to stop,4.0,,"Beautiful building downtown. Good place to cool off and relax. We were unable to get on their wifi without a Singapore phone number, dissapointing. Nice cafe outside too."
,,"SPEND TIME HERE, KNOWLEDGE IS POWER",5.0,,"If one loves books, then this is a must-visit place in Singapore. We could not realise that there can be such a large, varied and rich collection of books in the city/state of Singapore. We spent around 4 hours here but that was not at all enough. Wish we had some more time at hand"
,,Pleasant visit!,5.0,,NLB is extremely resourceful with their wide variety of resources. This multi story library provides sufficient space for everyone to study or work at. The seamless design of the building is also highly aesthetic.
,,Treasure of knowledge,5.0,,You can spend hours in the library and not get bored. The huge collection entertain readers from infant to the elderly.
,,"Book worms yes yes yes, Its free and amazing collection",4.0,,"Like I said book worms you will love this place, books from all around the globe, quite, and informative, there are some sort of seminars all the time, so you can just join into any one of them, pass your ideas talk about it or just listen to all.. YES must visit the place"
,,Study lounge,1.0,,"My friend and I came to the national library to study in the study lounge. However, when we got there most seats were taken with peoples bags and books but no actual person there. We waited around for half an hour thinking that some people would come to claim there belongings but to our disappointment no one came."
,,Great place for leisure read,4.0,,"With Singapore hot weather, it is a cooling and cosy place to browse through the large collection of books and definitely you can find a book or two which is to your liking."
,,Still one of our favourite places to go to,5.0,,"The National Library of Singapore is good for so many reasons:
1. One of the largest libraries in Asia, 7 (or more) floors of books which are hard to find elsewhere.
2. Central location is great for meeting up with friends.
3. It has a mini-theatre space called the Black Box, a great space to support local arts and performances.
4. It also has unique exhibitions sometimes, most are free.
5. Study room is perfect for students, it has vending machines available for those study hunger pangs and...
6. Right outside the study room there is an outdoor rooftop garden! Great for catching some fresh air in between study blocks.

and now that we have kids...

7. The children's library at the basement is definitely one of the prettiest and most awesome, with a treehouse made up upcycled materials set up for the little readers, and a plethora of books to choose from, and in so many languages too, and literally books for all ages (from age zero!). Plenty of space and the clean carpets meant the little ones can enjoy reading at any corner of this children's library."
,,"VERY GREEN, VERY CLEAN, VERY NICE.",4.0,,"Singaporean are Sincerely Friendly, Hospitable, and helpful. Real Local Singaporean Foods are found in Numerous Hawker Centers. Foods are mainly Chinese, Malaysian , and Baralakan in Origins.....Fusion with Indonesian, and nearby countries. Excellent ...Inexpensive ....Fantastic Varieties....EAT till you drop....."
,,Perfect library!,5.0,,"You can't use camera inside and you don't need. Just free your mind to explore and enjoy the place to the fullest. So many books for lots of fields, stunning view to sit and read book next to, an exhibition for Sing student to showcase their invention. Clean and modern and bright and spacious and friendly venue!"
,,Biggest library in singapore,4.0,,The biggest library in Singapore. Has a lot of books and tables for people to read and study. Many students like to come here.
,,Interesting place to visit,4.0,,"Right in the heart of the CBD this attractive building has a number of interesting of exhibitions on Singapore, its history and culture. Makes an unusual visit. And it is free and the staff are very friendly."
,,Kids Fest,3.0,,"I came here to see a show, I found it to be very expensive for 1 hour. I would reconsider and take the kids somewhere else."
,,One the best public library in the world,5.0,,The library is open to the public and you are able to just read any books on the shelves. You can sit comfortably in the well lighted and air-conditioned area.
,,Conducive,5.0,,NLB is a place to go to for students who are looking for a conducive environment to prepare for their exams. Just remember to come slightly earlier to get a seat.
,,Good place to read but...,4.0,,"I come here often to read and while I really like this library for its vast collection, central location and cleanliness, some aspects can be improved - there are many seats around but despite signs informing patrons not to use the library as a napping place, many patrons especially senior folks seem to use the library as a nap spot with free A/C, depriving those who come to the library and really want to read/research of space and seats. The last time I came, a whole row of armchairs had been removed, meaning even lesser seats...
I hope something can be done so that those who really use the library to read can find seats/spaces :)
1 highlight about this library is the Book exchange at the basement. Well done and thank you for this! Would be great if other libraries had this feature too."
,,Library,4.0,,"Very convenient and accessible by different public transport. The library is bright, friendly, aspirational spaces as overall ambient is good ."
,,Modern,5.0,,One of the best place to go to; so many updates you can learn about the area. Digital format has been utilized.
