id,uid,title,score,date,content
,,Singapore history,4.0,,"It has been more than 10 years since I last visited the National Museum and was amazed with its new look. Of interest were the four gallaries spanning the past 100 years: Modern Colony, Surviving Syonan, Growing up and Voices of Singapore where snapshorts of everyday life throughout the different eras of Singapore history were displayed.
The other interesting areas were: Singapore History Gallery; Singapore, very old tree; Goh Seng Choo Gallery: Magic & Menance; Story of the Forest."
,,Imrpessive for whole family,5.0,,Yesterday I visited national museum with family - each of us discovered interesting and pleasantly presented information & history.
,,History,5.0,,So interesting to visit the History exhibit with a guided tour. Allow an hour at least to cover all the photographs and read about the sequence of events to fully understand it all.
,,Essential to understand the history of Singapore,5.0,,"This grand, neo-colonial building is wonderfully set up to deliver an clever summary of the history of Singapore covering the key stages in its development. It mixed the history of politics, culture, society and of course colonisation and war in a very deft and intelligent manner. You could easily spend a day here. S good cafe available."
,,Educational,4.0,,"You'll spend at least 3 hours here if you take in the exhibits in the museum, especially the video presentations that littered throughout the museum that range from documentaries to personal interviews. Very educational place to visit."
,,More geared toward the neophyte,4.0,,"Clearly, the National Museum of Singapore aims to educate the young of the island in the varied history of the republic. There is less here for a more advanced connoisseur of history."
,,A very good introduction to Singapore history,5.0,,Friendly staff and so much history to learn. The display and layout provides a very good introduction to Singapore history. The cafe is also very good for when you want to take a break.
,,Informative and comfortable,5.0,,"Popped in here on a whim, actually turned out to be a very well-constructed museum with good information on the history of Singapore"
,,Repository of History,4.0,,Best place to explore the history & culture of Singapore. Visualize the architecture. Building looks like a fusion of old & new
,,Discover Singapore's history,5.0,,"The building is interesting as is the permanent exhibition about Singapore's history. From the very beginnings to the actual times, a good way to understand the City's diversity and foundation."
,,historical,5.0,,"a very nice place to see all the oldest things in Singapore, the staffs are very helpful tol guide u inside the place"
,,Fascinating,5.0,,"There were a few things that really attracted me. The video interviews with Lee Quan Yew were incredible, as were the small items found from the very early populations that used to live here. The Japanese occupation story was well told but I did feel that some of the atrocities were a bit glossed over. A beautiful building with very helpful staff."
,,Singapore Histoy,5.0,,I think this is a must visit if you care about history or world events. It describes the founding of Singapore and how the city was planned out. I was especially interested in the building of the museum as well. They have books provided to where you can read about these things.
,,Great place to gain an understanding of Singapore and its people,5.0,,"In the renovated/ restored National Library meeting, the extension is harmonious with the old (Burra charter). The exhibition about its past well curated"
