id,uid,title,score,date,content
,,Nice experience,3.0,,"Nice experience You can see deers and antilopes eating in one meter distance Also lions, African elephants, rhinos and hippos About 30 minutes Could be much better anyway"
,,Night Safari - Singapore Zoo,5.0,,"It was a amazing experience. without walking on a Tram ride you get to see the animals. The services provided by them is great. I have my disabled dad with us, they took good care of him, one person was with full time and assisted us with the wheelchair and we were given first chance. ."
,,Excellent zoo,5.0,,"Very long day and night at the zoo so many things to do and so many things to see, but the night safari was expensive but nice to see the food and the workers were very helpful as it is a very large zoo"
,,Amazing,5.0,,"We opted to do the night safari tour with dinner. We booked through a Tour service and if you don’t want to be stuck for hours waiting in line to board one of the trains at the zoo, you need to do this as tour participants get priority. The views of the animals on the safari was up close and amazing. After wards you can also walk around to view more animals or see one of the shows. Dress lightly as it is even more humid at the zoo than other areas of Singapore. A terrific experience."
,,Amazing Experience,5.0,,We were amazed by the experience we got through the visit. The walkabout really brings us close to the animals followed by the tram ride and the animal show was amazing. We had fun and my little ones keeps talking about their experience at the safari until today! We will surely come again in future!
,,OMG!!,1.0,,Clearly overbooked. We waited 40 minutes to hop on one of the trams. Trams were leaving with empty seats while I kid you not hundreds of people were waiting. Not very well organised. The show before the tram ride left a lot to be desired... Wouldn’t do this again.
,,NOT WORTH IT,1.0,,we were looking forward to doing this but we waiting for an hour just to get on the tram ride. couldn’t see the animals and the children kept screaming in your ears while people were doing flash photography when it clearly said to be quiet and no flash. For the amount of money paid for a 15 minute tram ride... definitely wanted a refund after it ended
,,"Nice well-maintained zoo, very poor queue management",3.0,,"I want to give this place a higher rating but they definitely need to improve their queue management. We bought tickets via Klook but it took us almost an hour to enter after they've opened the gates - the queue was very long (our tickets were for the 8:15 PM entry). We were supposed to line up for the tram but after being in line for several minutes and seeing how long the queue was, my husband decided that we should just do the walking trail. This turned out to be a good decision. This allowed us to go around the park and see the animals up close. The zoo seems well maintained and has a good selection of animals - very enjoyable particularly for young kids. We brought a stroller for our 5 year old son, so we were able to move him around quickly when he would tire from walking. While we enjoyed the walking trail, I was also concerned during this time if we will be able to catch the tram and see the show before the night was over. After going around for almost an hour to complete the walking trail, we were able to line up fairly quickly for the tram ride. At this time though, we had already missed the creatures of the night show (930 PM show) and the park was nearing closing time (already past 10 PM). From our experience, if you enter at 815 PM, you will not be able to see all the attractions - in our case, we just did the walking trail and tram but missed the show. The zoo needs to manage their queues better, maybe limit the tickets sold so their guests can still get a good solid experience and not feel like they need to be rushing to cover the entire place and enjoy all the attractions. Or maybe they can also adjust the timings so the park closes at a slightly later time and people can enjoy the place better. In terms of customer service, I didn't find the attendants very friendly, some were unsmiling or curt when you ask them questions. Suggest better training for them as well - they are part of the experience."
,,Night zoo priority ticket,5.0,,We took advice and booked a tour with the priority tram ticket and pickup from our hotel. It was great to not to have to wait. The queues were long! We enjoyed the commentary and the ease of getting there and back. Our guide was fun. Would recommend paying extra if you can.
,,Great Experience !,5.0,,"After hearing so much about the night safari in Singapore, I finally have the chance to visit (with friends), and will definitely come back and visit again with my (teens) children.

A night experience that indeed show you a lot about the wildlife, and what they do at night. Taking the tour bus (included) was great seeing all the (nocturnal) animals. We also walked all the trails and got closer look at the animals.

Remember to get there early, as the queues are always long. Do online booking if possible & you can go straight to the gate.

Highly recommended to families."
,,Good place to visit,4.0,,I told myself that I should not expect a real wildlife in this small island. But the night safari made me impressed. Very nice place for educating children.
