id,uid,title,score,date,content
,,So much variety and window shopping galore,5.0,,"Even if you're not a big shopper, Orchard Road is very entertaining. There's a fantastic mix of stores, places to eat and interesting things to look at. Venture off the main drag and explore some of the basement malls and back streets to find even more interesting things."
,,Worth spending the day on Orchard Road.,5.0,,"This was a great day exploring the shopping and food outlets, we found a lot of great food places and even better shopping places."
,,"Shop, shop, shop",4.0,,One store after another...that is Orchard Road. If you like shopping then this is the place for you!!!!
,,Good for shopping but expensive,4.0,,"A lovely and busy street to shopping. Even some things are expensive, there are items that are worth the price"
,,A busy street like it has always been,4.0,,Spending two dasy shopping and not leaving Orchard Road speaks for itself. Such a range of goods and services!
,,Shop Eat Shop coffee break Shop,5.0,,"This is a mega shopping district of shopping malls. A agglomate of high end labels eg Rolex and family friendly stores eg Uniclo.
all can be found in this stretch of road. The limiting factors as a shopper are time and stamina. Plan the trip well if you wish to shop at various malls. Some malls are conveniently connected underground eg. Tangs, Lido, Ion, Wheelock place , Wisma atria and Takashimaya. There are plenty cafes, coffee, restaurants and food court in each mall to feed your hunger and thrist."
,,Shopping street,4.0,,There are brandname shops all around. (MRT NS22 Orchard red Line)or else start from MRT somerset for start shopping though.
,,Have money will Shop,5.0,,its a shopper's paradise but for the rich and wealthy. A lot of options are there but all are on the costliest side.
,,Wander along as far as you can,5.0,,"It is of course rather hot in Singapore but it is really worth wandering along Orchard Rd as far as you can manage in the heat. There are of course many places to stop and cool off and so many of the ""big name"" stores to visit if you wish. It's a lovely atmosphere despite being busy but do expect lots of other tourists."
,,The most popular street in Singapore,5.0,,"Coming to this area your eyes will be happy to see the malls, the interiors and the brand outlets. You do not have to shop and just do a window shopping or just sit and watch people passing by young and old you will be happy.
With wide pedestrian and big trees along the street.
Almost all the malls here provide free wife for the visitors.
A must visit street in Singapore."
,,Great shopping road,4.0,,"This is one of Singapore's main road full of shops and malls. My Top-3 Orchard Road of shopping malls is: 1) ION Orchard Mall, 2) Plaza Singapura and 3) Orchard Central. Orchard Road is nice for strolling around, but for shopping my favourites are the malls Shoppes at Marina Bay Sands and Suntec City."
,,Heart of Singapore,3.0,,This is the heart of Singapore..Surrounded by shopping malls and plenty of eateries places there. You may buy all traded items even though all are expensive ..
,,Shop city.,4.0,,"The original Orchard Rd shopping Mecca of the 70s and 80s, which was why you visited Singapore, is gone but you can still find all the name brands as you would in all the other great shopping towns of the world. Just don't expect a bargain like you did back in the day. Still there are way to many Galleries,Malls, arcades and strips to visit without coming away with something."
,,Shop til you drop,5.0,,"A walk down Orchard road is a must. I think the only thing you can't do on this road is buy a car, but I didn't try, so don't know. All the brands are here, from $ to $$$$. If you need retail therapy, this is the spot. By exploring all the centres, you are guaranteed you will find what you're looking for! Hence, if you want to see variety and options, this is the one stop area. Prices are not hugely discounted, unless you get lucky with special season offerings. There are other places in Singapore where you'll get factory prices etc. This road is about variety and no shortage anything from clothing to electronics. Also, you wont get hungry either."
,,Shoppers paradise,4.0,,"A very well laid out shopping area with almost every possible designer store and high street fashion store worldwide. Trees shade the Main Street and there are 3 MRT stations one can alight at to reach the shops - Orchard, Somerset ( located in the middle of Orchard Road ) or Dhoby Ghaut. Many malls are connected underground to avoid the heat. Do try the local ice cream in various flavours, sandwiches between 2 wafer biscuits or sweet coloured bread for $1. Music and activities over the weekends gives it a festive vibe. Smokers are only allowed to use designated smoking ‘box zones’ so great for non smokers."
,,You can spend a day here,5.0,,"Apart from the big malls, there are plenty of small vendors selling lots of good products at good prices. You need to explore the malls - there are so many hidden gems of cafes and restaurants as well as sales on regularly. A must see for shopping!"
,,Recommend Ion Mall,5.0,,"Recommend visiting Ion Orchard Mall. Interesting architecture. Top brands in higher floors, more affordable lower floors. Our teen girls loved the shopping."
,,Overpriced & Chaotic,3.0,,"Did not enjoy the part of Orchard Road that we saw.
The shopping centres were huge, very overpriced & so freezing in the airconditioning.
Took us about half hour to work out how to get across the street, only way was to find the right underground tunnel to walk through!"
,,Shopping was great!,5.0,,"So many big malls along the same area, can't finish within a day and you need at least 3 days to complete..."
,,Shopping for all,5.0,,"Although the visual emphasis is on Armani and Tiffany, there's clearly enough variety here to keep shoppers of all pocketbooks engaged. Wonderful restaurants, too."
,,Well could not find much there,3.0,,Orchard Road is regarded as the top shopping destination in Singapore. We'll on the day we went it must have been shut. If you want to deposit you silver or gold bullion we'll this is the place as for shopping in general there is not much there for the average shopper. Much better shopping in Bangkok Iconsiam and cheaper. If you are into Singapore culture and heritage visit some of the old streets by Orchard Gateway.
,,Used to be better,3.0,,Orchard Road was the place to be like a decade or two ago... Now it is much less attractive because there are other places with bigger malls and attractions
,,It's Orchard Road,4.0,,"High end shopping with all marquee brands present. Wide walkways and can easily spend money and time in shopping. Must go, but prices tend to be steep."
,,An opportunity to shop until you drop!,4.0,,"We have visited Singapore on a number of occasions and at some stage during each visit, we have found ourselves in Orchard Road.
Our most recent visit to the island state was no different. We were on a Hop on, Hop off bus and when it reached one of the bus stops near the top end of Orchard Road, we hopped off to do a bit of shopping.
One immediate difference noted in contrast to previous visits to Orchard Road was the fact that smoking is now banned along the length of the road. There are large signs advising of this painted on the footpaths. Apparently the ban has been in place since earlier this year. This ban no doubt makes non-smokers happy and smokers unhappy!
As with our previous visits, we managed to visit a number of different shopping centres located along the road. We also popped into several department stores and numerous specialty shops.
Because Singapore is considered to have one of the most expensive cities in the world in which to live, we didn’t find too many bargains but as always, it was fun to search for them.
Orchard Road is certainly worth a visit by anyone holidaying in Singapore."
,,Fashion!,5.0,,"The place to go for shopping. Many malls and all major brand, from Gucci to Prada and others. At the end Orchard Towers is the place where go-go girls are. You can go or avoid."
,,WONDERFUL SHOPPING AREA,5.0,,"If you love shopping this is your heaven. Shops are clean, efficient and huge. Staff at the departmental stores were just so helpful and polite !"
,,nice place,5.0,,the orchard place is a nice place to do chopping while everythinf very sheap than usual . go there and see how cheaper it is
,,High Class Shopper's Paradise,3.0,,"I visited this road just to see what it has to offer but i was disappointed. Malls in row with high class brands is all i could spot on. If you have money and you are brandholic then this place is for you. But as a tourist i didn't find anything great on this so would not recommend visiting this place at all if you aren't staying near by. If you want some souvenir's and are on this road, you can go to Lucky Plaza which had budget china shops to offer you magnets, chocolates and vivid lights."
,,Central area.. Singapore,4.0,,"This is a major shopping destination & we loved this place. Office of President is here. Shopping centres includes centre point , design orchard , lucky plaza etc"
,,Not normally a city fan but,4.0,,"Found Singapore so interesting lots of places to visit you need a week at least to get around. All very clean and great places to eat. Good hotels all budgets. Great greenery everywhere, trees, flowers and lovely parks etc."
,,If you’re after high end clothes without limit,4.0,,Lots of high end stores for people who want known brands where a piece of clothes costs half of your monthly pay
,,Disappointing,3.0,,Was expecting much more having really enjoyed a visit made 10 years ago but disappointed to find mainly high end really expensive shops and those that were more affordable were not that special. We found the large Malls such as Suntec City have more varied and affordable shops than those of Orchard road.
,,Prepare your wallets for crazy shopping,5.0,,A seemingly endless row of shops and restaurants. You can spend a whole day here getting fat and wallet getting slimmer. Restrooms are clean. Streets are clean. Shops are well-stocked. But prices are high.
,,Oechard,5.0,,"In orchard , there are so many high buildings and appartements. And for the clothes it ia very cheap"
,,"High end at street level, cool stuff in the lower levels",4.0,,"Tiffany, Cartier, Hermes - advertisements for the high-end stores are at street level. go down 1-2 levels (ION, Tangs) and you can find all kinds of cool stuff at reasonable prices."
,,Branded shops,4.0,,It is good place to roam around and to shop. All branded shops are located here and very expensive as well.
,,Singapore’s main shopping street,5.0,,In this street you find an overload of shopping malls and luxury brand stores. I suggest to plan in advance as it is impossible to visit all stores in one day. Walking is comfortable and safe.
,,Always good for a stroll.,4.0,,"Orchard road still has everything for everyone. You have good bargains in Lucky Plaza next to the exquisite shopping like in Tang’s. Of course, plenty of dining available as well, but in general pricey and we found better deals - quality, quantity and price wise - off Orchard road. Besides that, we always love to come back to Orchard road, and out of convenience even get some food there.
For visitors a must, especially to experience the gathering of the bird in the trees there in the evening. But don’t necessarily sit under them for a rest."
,,Shopping,5.0,,Walked up and down Orchard Road at least once each day for 8 days. Plenty of shopping road side as well as in several large shopping malls. I thinh ION is the largest.
,,"Shop, shop and shop",4.0,,"2.5kms of shopping malls where you will find everything from Chanel to $1 shops. Can't find a shop then you haven't been to Orchard Road. Make sure you leave your credit card at home, lol."
,,Singapore's Champs Elysees,4.0,,"Something for everyone here - from the hideously expensive luxury brands to cheap noodle bars or five-star hotels. While this is probably the busiest street in Singapore pavements are wide and not uncomfortably crowded - and because its Singapore, very clean. Well worth chilling out here. This is the street connecting the Botanic Gardens areas with the modern downtown section of town."
,,Overpriced and Overrated,3.0,,The stores here are what you would see in any nice shopping area around the world. Everything is severely overpriced. Everything meaning even the coffee at Starbucks.
,,Great shopping,5.0,,"Orchard road is very central and an ideal base in Singapore. Lots of great shopping malls, restaurants and other activities. Easy and cheap to travel to anywhere within the city, either by taxi, train or bus."
,,Crazy by night,5.0,,"I have experienced some Chinese fusion food here and it tasted much better than I expected, also with this season there might be some discount with these international brands"
,,Went mad with shopping,5.0,,"If you love shopping, that is a place you need to go to. Very good deals. Quality is good Value for money!"
,,What a great place for walk,5.0,,"One of the most favorite place for shopping, walking and sightseeing. With a hundreds of shops and restaurants, orchard road Aingapore has become the most iconic place since long time ago. On weekdays, it’s little bit quite though not as crowd as on the weekend."
,,Sherin Nafie,4.0,,"It is the heart of Singapore city center. A one way street stretching approx 2 km & lined with stores, hotels & mostly shopping malls with food courts in their basements. U can buy designer or street wise brands, stay at a hotel or enjoy a meal. I liked Takashimaya, ION, Paragon & Tanglin malls."
,,Lives up to its REPUTATION,5.0,,"This time we took two of our granddaughters (who were on their first overseas trip) and they were blown away - that it was the GSS [Great Singapore Sale week]] made it even better. The shopping was excellent though you had to dig deep to find the bargains. On this trip we discvered the Din Tain Fung dumpling restaurants which our grandkids just adored - the food was freshly made, served beautifully, in immaculately clean premises and was great value. We know where we will eat on our next visit to Singapore"
,,A shoppers paradise,2.0,,"A shoppers paradise, but don't bother venturing this way if you are not that way inclined. It's a full strip of shopping malls from designer brands in the ION mall to the more affordable as you walk back down the strip. The tree lined road was nice, but wouldn't return."
,,Shopping,3.0,,Good place to do your shopping have plenty shopping malls in a row have h and m and other shopping malls
,,Still a lot of great shopping - but pretty badly over-developed,3.0,,"It had been 17 years since I last visited Orchard Road, and it has most certainly changed. Some of the malls are still there (Paragon, Plaza Singapura, etc.), but it's really been overdeveloped, and feels more like an expensive tourist trap. It's still easily accessible via bus and MRT - and makes for a very nice stroll."
