id,uid,title,score,date,content
,,Pricey for what it has,3.0,,"We were four ( 2 adults +2 kids 5& 7 yes old). Paid SGD 48 for 7 days pass ( you can come & visit the science centre till the last 7th date). It had Science+Butterfly+omni theatre+Dino quest+Laser Maze. With our ticket you can repeat only science. It's pricey for the given contents. Actually we believed that the science should have been free especially for kids and students. I mean having seen gardens by bay and marina bay for free this ought have been as it is educational.

If you try to read & understand the whole thing in the science it'll be tiresome. If some were illustrated either through voice or computerized it would be entertaining and understandable more.

The omni theatre is great but the film we saw was the origin of life so it was beyond the scope of the understanding of my kids, but was cool though.

The butterfly was great but if you already went to the Singapore Zoo, it's by far small area and will not meet your expectations.

The rest are v.good I.e dino quest & laser maze.

If you plan to go there with kids do plan to carry their swimming outfits. There is a mini water park for kids. They'll enjoy it."
,,Plenty to do and see,4.0,,Science center filled with experiments that kids and dads can try together. Very fun. We spend a happy couple hours in there.
,,Take note of the occasional cheap afternoon,4.0,,"Do take note of the occasional cheap afternoon, otherwise this is really expensive. It is really quite aged, and does not give enough focus or attention to the big issues of our time, but is still fun with all those dusty and dated ""science"" projects.

The highlight is the mirror-maze, but seriously, can one of the minions get in there and wipe the nasty fingerprints off the mirrors. It would be many times better if those were clean.

I thoroughly enjoyed watching the eggs hatching. Such a simple and cheap pleasure. Others seemed to feel the same way.

I also learnt that Razer (gaming company) comes from Singapore, as does the usb-flashdrive, although that seems to be contentious, as per wiki. Israeli and Chinese companies also lay claims to the patent.

THE PLOT THICKENS."
,,It’s alright,3.0,,I wanted to go to the dinosaur exhibition but there was too Long a queue so just opt for their standard one instead. It’s not too big. Some exhibits fancinates but many others were not working.
,,Great place for kids,4.0,,"Although the site is a little aged, there is a lot of content that will keeps the kids occupied for hours. Content good till early secondary school or early teens. Lots of interactive exhibits. Water playground seems fun! Annual membership is good if you plan to go more than 2 times, which is quite doable. Live events every few hours are pretty cool even if you see it 2x in the year."
,,Very interactive...,5.0,,"Our little one (4 years old) had an absolute ball at the Centre. It focus is on providing interactive play for the children, and the big children!

Of note was the Tesla talk and show and the 8k movie! Those in its self is worth the visit.

We spent 4 hours there and all but had to drag our little one out kicking and crying! Yes crying!!

Tip 1: take your children’s swimmers, the water area is a good way to end the day!

Tip 2: if you have been to the butterfly enclosure at the airport it probably worth giving this exhibit a miss...it was not inspiring at all.

Really easy to get there and only a 10 min walk from the train station."
,,Not very impressive.,3.0,,"We arrived at the centre by bus number 335. We took MRT to Jurong East, walked toward the bus interchange. We could take either 335 or 66. Alighted at the 4th bus stop (including the interchange’s as first).

It was a shame that the Laser Maze was under maintenance. We paid for $33 per pax for entry to 5 stations, also included Dino Quest to see the new exhibits (excluding Snow City). We were told to return within 7 days for the Maze, if not, they could give us some souvenirs from the Info Counter. We didn’t plan to return so we collected some pin-badges.

My kids enjoyed the Mirror Maze & the Science of Fear very much. They visited them repeatedly. They also loved the Up Close with Butterflies. They loved to feel the ever-fluttering butterflies above their heads. There was a holder with butterfly information leaflets depicting the species that you could spot in this Station. Very informative. Thank God, a station guard was there to prevent kids from shouting & tourists from pinning the wings of butterflies at their feeding areas. This Station could become crowded, yet I personally liked the most.

Another of my favourite was watching the documentary show at the Omni-theatre. Please note that there are certain time slots and you adhere to it. Be there 10 mins earlier. We sat on the highest level, loved the show about Earth - snow, polar bears, big brown bears, human inhabitants living side by side with them. Pretty exciting & moving in fact. The sound system & lighting were pretty good.

Some foreign students in groups were a little pushy when we spent a little more time maneuvering the exhibits at the electrical & voltage station. Demo of the voltage speed & power wasn’t fantastic, though the lady commentator was very jovial & eloquent.

The fire tornado demo was good, but it was so hot around the cylinder where fire was ragingly spinning within it. We couldn’t bear the heat, we went to scout for the Dino Quest.

The Dino Quest Station had the longest wait & queue of all. The queue snaked all the way to the exterior of the entrance, it was rather warm, so all of us were sweaty! When we got into the exhibit hall, we didn’t find it impressive. Our kids didn’t want to participate in the drawing activities. Those seemed to attract younger children more. There were some interactive games that required us to scan our badges against the screen if we got our answers correct. The hall was very small. We expected more could be felt with our hands. The skeletal system of the Dino’s (T-Rex) was of good size.

McDonalds near the ticketing counter was small & crowded with lunch time crowd. No seats were available. We went further in & ate at Coffee Bee, average food quality & service. Self-service.

We left the centre around 5.30pm. An announcement informing that the centre would be closed at 6pm could be heard over the PA system. The souvenirs weren’t impressive too.

We had a tiring day. Would not consider returning till some spots were properly maintained (they were getting old, very worn out & some were spoilt)."
,,It’s just ok,3.0,,"If you are a well traveled person and have seen various science centers this one is actually a very basic science center given that it’s in Singapore. I m sure they could have done a much better job. It’s not very interactive. It’s good for kids ages 4-10 or 12 maybe. The only good part that I enjoyed was the butterfly arena. They let the butterflies fly around and it’s pretty cool, snow city I found was pretty pricy as you have to buy ticket as well as the rental outfits. For us coming from Canada it was not worth it :)"
,,"Undergoing a much-needed refurbishment in places, but a great place to visit",4.0,,"So, the run down bits are pretty poor but these seem to already be under refurbishment. The parts that have already been modernised are really great. We spent hours and hours in this place and had the best day with our son. So much to see and learn about. A quest for the kids and they win a prize for completion. Interesting exhibits.

The food places really need to be improved though - the standard is not acceptable."
,,Nothing much changed since last visit,2.0,,"I visited Science Centre when I was a boy. I was a happy kid, being able to see and interact with the exhibits hence I have a very vivd memory about it. 20 years later I revisited Science Centre but unfortunately it looks rundown. The main entranced seems dull and the atmosphere of the starting trial was extremely quite. A few simulator isn't working at the same time. But nevertheless still a good place to spend your weekends if you do not mind travelling almost 1 hour from the city by train followed by 5 minutes walking."
,,Can be better,4.0,,"Came here for the Dino Quest exhibit. Price wise bit tad expensive, but the exhibit is educational enough for my child. The place can keep him occupied for 2 hour with the activities available.

One thing is they could have open additional counter on a weekend rather than having 2 during their peak hour"
