id,uid,title,score,date,content
,,ENormous.,5.0,,"Lots of lovely gardens within a natural setting and containing the national orchid garden. Free to enter. Watch out for the monitor lizards assisting with the gardening! Plenty of cafes, seats, toilets and gift shops. Easy to get to by the transit."
,,Peaceful,5.0,,"Very nice garden with so much to look at. Beautiful place to take photos. Although hot, the shades helped."
,,Always worthy of at least half a day,4.0,,"Such a variety of things to see, trees, shrubs, flowers, ponds and specialist areas, we entered from Hassim Road and spent about 4 hours wandering around and exited to the MRT at the Bukit Timah end. Peaceful, interesting and informative."
,,Beautiful and enjoyable park in the middle of Singapore,5.0,,"These Botanic Gardens are enormous and have widely varied tropical flora in all shapes and sizes. The layout is well-planned with many paths and sections to wander through. An amazing, restful and beautiful resource for the whole city to enjoy."
,,Ex colleaques lunch gathering at Taman Serasi Next to Botanical Garden,4.0,,"After our lunch gathering with colleaques at Taman Serasi ,we decided to walk down memory lane at Botanical Garden.Since I was trained as horticulture assistant in early 70s at this very place I was impressed with
the serenity and ambience of this garden.
The man made lake still there with concerts performances held throughout the year.With the world heritage status ,this garden is comparable with some world famous garden like Kew Garden in UK and in Dubai .I would certainly encourage fellow Singaporean to bisit this place to feel the beauty and serenity which is rare to be found."
,,Wonderful park,5.0,,"This park is huge. The distance from the nort-side to the south-side is 2km. The design, layout and green variation of the park is wonderful: from bonsai trees, bamboo forests, orchids, palm trees etc. There are plenty of places to relax, eat, drink or enjoy the serenity."
,,Nice place to enjoy the outdoors,5.0,,A lot of big shady trees and big open space. There are also playgrounds at the Children's gardens area for the kids.
,,Beautiful Rejuvenating Garden,5.0,,"Singapore Botanic Gardens is a very well kept place that exudes beauty at every corner. Spending time here alone, with family or friends, always bring a smile to my soul. Plus multiple visits will not bore you because there is almost always something new to surprise you. Free guided tours are available every Sat."
,,Wonderful and tranquil,5.0,,"I have been so many times in the botanic garden in Singapore during my 4 year stay. I have taken all my family and friends who came for a visit and everyone was impressed. It is idyllic, calming and so well kept. Love it!"
,,Tsum tsum,5.0,,Went to visit the character tsum tsum at the Gardens By the Bay with a friend who visited Singapore. Nice various flowers.
,,Trip to Our Botanical Garden,5.0,,I was suprised how established our botanical Garden is. I spent 1.5 hour and only completed half the garden. The main focus during the visit was the Ginger Plants. I am very proud of our garden. I planned to visit the Orchid Garden in another day.
,,Beautiful,5.0,,Peaceful and refreshing. Great place to go for a walk and see beautiful gardens. Easy to park and the entrance is free.
,,A lovely place to wander and you can see monkeys too,5.0,,This is a lovely place to wander around and you will see monkeys if you look for them - we saw them near the water. The loos were not particularly nice though.
,,A place l like to visit since young.,5.0,,Noticed many upgrading done and additional features. Still an educational and relaxing place for youngsters too.
,,Excellent for walks!,5.0,,"Easily my favorite park in Singapore for its beauty and meticulous upkeep. The trees are old, the flora is varied, and there are many animals scurrying around freely! Choose from walking in the shade of ancient trees, or out in the open around small lakes or open fields. There is something for everyone, locals and tourists alike, here. Many choices of eating places too, or pack a picnic and enjoy sprawling out on the well kept lawns. I love it in the mornings when it is still cool enough for a brisk walk. Stick to the shadier parts in the heat of the afternoon sun. Lovely in the evenings again but do bring a mosquito repellent as the mozzies tend to appear at dusk. Too big to be enjoyed in one visit. Plan to visit it’s different parts over a few visits. It’s open and free to everyone."
